U' R2 B L F U2
U F R F2 L' B
U F R F2 B L'
U F R B F2 L'
D' F2 U F R B
D2 U' L' B' L' F' R'
L' D' F2 U F R B
L2 D' F2 U F R B
D2 U' F' L' B' L' R'
D2 U' F' L' B' R' L'
L D' F2 U F R B
F U' R F2 L' B' R'
F2 U' R2 U2 F R B
U' D2 L' B' L' F' R'
U D2 L2 F R F2 B
U D2 L2 F R B F2
U' D2 F' L' B' L' R'
U' D2 F' L' B' R' L'
U D2 F L2 R F2 B
U D2 F L2 R B F2
U D2 F R L2 F2 B
U D2 F R L2 B F2
U D2 F R F2 L2 B
U D2 F R F2 B L2
U D2 F R B L2 F2
U D2 F R B F2 L2
R2 D2 B U L B' U
U F L R F2 L' B
U F L R F2 B L'
U F L R B F2 L'
U F L' R F2 L' B
U F L' R F2 B L'
U F L' R B F2 L'
U' F R F2 L' B' R'
U F L2 R F2 L' B
U F L2 R F2 B L'
U F L2 R B F2 L'
U F R L F2 L' B
U F R L F2 B L'
U F R L B F2 L'
U F R L' F2 L' B
U F R L' F2 B L'
U F R L' B F2 L'
U F R L2 F2 L' B
U F R L2 F2 B L'
U F R L2 B F2 L'
U F R F2 L B L2
U F R F2 L' D B
U F R F2 L' D' B
U F R F2 L' D2 B
U F R F2 L' B D
U F R F2 L' B D'
U F R F2 L' B D2
U F R F2 D L' B
U F R F2 D B L'
U F R F2 D' L' B
U F R F2 D' B L'
U F R F2 D2 L' B
U F R F2 D2 B L'
U F R F2 B L' D
U F R F2 B L' D'
U F R F2 B L' D2
U F R F2 B D L'
U F R F2 B D' L'
U F R F2 B D2 L'
U F R F2 B' L' B2
U F R B L F2 L'
U F R B L' F2 L'
U F R B L2 F2 L'
U F R B F2 L' D
U F R B F2 L' D'
U F R B F2 L' D2
U F R B F2 D L'
U F R B F2 D' L'
U F R B F2 D2 L'
U F R B' F2 L' B2
U F R2 U2 R' F2 B
U F R2 U2 R' B F2
U F R2 U2 F2 R' B
U F U2 R F2 L' B'
U F B R F2 L' B
U F B R F2 B L'
U F B R B F2 L'
U' F' L D2 L2 B' R'
U F B' R F2 L' B
U F B' R F2 B L'
U F B' R B F2 L'
U F B2 R F2 L' B
U F B2 R F2 B L'
U F B2 R B F2 L'
U' F' L' D2 B' L2 R'
U' F' L' D2 B' R' L2
U' F' L' B' D2 L2 R'
U' F' L' B' D2 R' L2
R' F' U R' F' B U2
R' F' U R' B F' U2
B D' L F2 U F R
U F' U2 L' R2 U2 B'
U F' U2 R2 L' U2 B'
U' F' D2 L' B' L' R'
U' F' D2 L' B' R' L'
U' F2 R2 U2 F R B
D' F2 U R F B R
D' F2 U R B F R
D' F2 U D F R B
D' F2 U D' F R B
D' F2 U D2 F R B
D2 F2 U F L2 R B
D2 F2 U F R L2 B
D2 F2 U F R B L2
D' F2 U F R D B
D' F2 U F R D' B
D' F2 U F R D2 B
D' F2 U F R B D
D' F2 U F R B D'
D' F2 U F R B D2
D' F2 U F D R B
D' F2 U F D' R B
D' F2 U F D2 R B
D' F2 U F B R B
D' F2 U F B' R B
D' F2 U F B2 R B
D' F2 U B F R B
D' F2 U B' F R B
D' F2 U B2 F R B
D' F2 D U F R B
D' F2 D' U F R B
D' F2 D2 U F R B
U' B L R2 F B U2
U' B L R2 B F U2
F2 D2 U F L2 R B
F2 D2 U F R L2 B
F2 D2 U F R B L2
U' B L F R2 U2 F2
D' B L F2 U F R
U' B R2 L F B U2
U' B R2 L B F U2
R2 B U D2 L B' U
R2 B D2 U L B' U
U B F R F2 L' B
U B F R F2 B L'
U B F R B F2 L'
U' B' R2 B U2 R B
U B' F R F2 L' B
U B' F R F2 B L'
U B' F R B F2 L'
R2 B2 D B' L U2 B'
U B2 F R F2 L' B
U B2 F R F2 B L'
U B2 F R B F2 L'
