F L' B U' L' R'
F L' B U' R' L'
B F L' U' L' R'
B F L' U' R' L'
F B L' U' L' R'
F B L' U' R' L'
F2 B U' L2 R' F'
F2 B U' R' L2 F'
F2 B U' R' F' L2
B F2 U' L2 R' F'
B F2 U' R' L2 F'
B F2 U' R' F' L2
F B L' U' L' R' D
F B L' U' L' R' D'
F B L' U' L' R' D2
F B L' U' L' D R'
F B L' U' L' D' R'
F B L' U' L' D2 R'
L' B D' U' L' R' F
L' B D' U' L' F R'
F B L' U' R' L' D
F B L' U' R' L' D'
F B L' U' R' L' D2
F B L' U' R' D L'
F B L' U' R' D' L'
F B L' U' R' D2 L'
L' B D' U' R' L' F
F B L' U' D L' R'
F B L' U' D R' L'
F B L' U' D' L' R'
F B L' U' D' R' L'
F B L' U' D2 L' R'
F B L' U' D2 R' L'
F B L' D U' L' R'
F B L' D U' R' L'
F B L' D' U' L' R'
F B L' D' U' R' L'
F B L' D2 U' L' R'
F B L' D2 U' R' L'
L2 B F L' U' L R'
L2 B F L' U' R' L
U2 B F' R U L2 R2
U2 B F' R U R2 L2
F' B U' L2 R' D' F2
F' B U' R' L2 D' F2
F2 B U' L R' F' L
F2 B U' L2 R' D F'
F2 B U' L2 R' D' F'
F2 B U' L2 R' D2 F'
F2 B U' L2 R' F' D
F2 B U' L2 R' F' D'
F2 B U' L2 R' F' D2
F2 B U' L2 D R' F'
F2 B U' L2 D' R' F'
F2 B U' L2 D2 R' F'
F2 B U' L2 F R' F'
F2 B U' L2 F' R' F'
F2 B U' L2 F2 R' F'
F2 B U' R' L F' L
F2 B U' R' L2 D F'
F2 B U' R' L2 D' F'
F2 B U' R' L2 D2 F'
F2 B U' R' L2 F' D
F2 B U' R' L2 F' D'
F2 B U' R' L2 F' D2
F2 B U' R' F L2 F2
F2 B U' R' F' L2 D
F2 B U' R' F' L2 D'
F2 B U' R' F' L2 D2
F2 B U' F L2 R' F'
F2 B U' F R' L2 F'
F2 B U' F R' F' L2
F2 B U' F' L2 R' F'
F2 B U' F' R' L2 F'
F2 B U' F' R' F' L2
F2 B U' F2 L2 R' F'
F2 B U' F2 R' L2 F'
F2 B U' F2 R' F' L2
F' B U2 R U L2 R2
F' B U2 R U R2 L2
B' F D' B2 L' U' R'
F B' L' U L2 U2 L
F B' L' U' D2 L' R2
F B' L' U' D2 R2 L'
F B' L' D2 U' L' R2
F B' L' D2 U' R2 L'
F2 B' U L U2 F L
B F' U' L2 R' D' F2
B F' U' R' L2 D' F2
B F' U2 R U L2 R2
B F' U2 R U R2 L2
F2 B' D' B2 U' R' F'
F B' D' B2 L' U' R'
B F2 L U' L R' F'
B F2 L U' R' L F'
B F2 L U' R' F' L
B F2 L' U' L' R' F'
B F2 L' U' R' L' F'
F B2 L' B' U' L' R'
F B2 L' B' U' R' L'
B' F2 U L U2 F L
B F2 U' L R' F' L
B F2 U' L2 R' D F'
B F2 U' L2 R' D' F'
B F2 U' L2 R' D2 F'
B F2 U' L2 R' F' D
B F2 U' L2 R' F' D'
B F2 U' L2 R' F' D2
B F2 U' L2 D R' F'
B F2 U' L2 D' R' F'
B F2 U' L2 D2 R' F'
B F2 U' L2 F R' F'
B F2 U' L2 F' R' F'
B F2 U' L2 F2 R' F'
B F2 U' R' L F' L
B F2 U' R' L2 D F'
B F2 U' R' L2 D' F'
B F2 U' R' L2 D2 F'
B F2 U' R' L2 F' D
B F2 U' R' L2 F' D'
B F2 U' R' L2 F' D2
B F2 U' R' F L2 F2
B F2 U' R' F' L2 D
B F2 U' R' F' L2 D'
B F2 U' R' F' L2 D2
B F2 U' F L2 R' F'
B F2 U' F R' L2 F'
B F2 U' F R' F' L2
B F2 U' F' L2 R' F'
B F2 U' F' R' L2 F'
B F2 U' F' R' F' L2
B F2 U' F2 L2 R' F'
B F2 U' F2 R' L2 F'
B F2 U' F2 R' F' L2
B' F2 D' B2 U' R' F'
