D2 L2 U2 B U' R'
R2 U2 F' R2 U R'
U2 R2 U2 F' U R
F' U2 B R2 U' R'
U2 F' B R2 U' R'
U2 B R2 F' U' R
U2 B F' R2 U' R'
F' U B' D L2 R B2
F' U B' D L2 B2 R
F' U B' D R L2 B2
F' U B' D R B2 L2
F' U B' D B2 L2 R
F' U B' D B2 R L2
F U B' D L2 B2 R'
F U' L' U' B R2 U'
L' D2 L2 U2 B U' R'
L2 D2 L2 U2 B U' R'
L D2 L2 U2 B U' R'
B2 U' B' R2 U' F' R
D2 U2 B U' R' D' B2
D2 U2 B U' D' R' B2
D2 U2 B U2 L2 U R'
D2 U2 B D' U' R' B2
D2 U2 B D2 R2 U' R
U2 D2 B U' R' D' B2
U2 D2 B U' D' R' B2
U2 D2 B U2 L2 U R'
U2 D2 B D' U' R' B2
U2 D2 B D2 R2 U' R
F' U2 R2 U2 F' U R'
D U2 B U' D B R'
B' U2 R2 F' B2 U' R
D U2 B D U' B R'
B' U2 R2 B2 F' U' R
B2 U2 R2 F' B' U' R
B2 U2 R2 B' F' U' R
F' U2 D B U' B R
U' F L' U' B R2 U'
D2 F L2 U2 B U' R'
B' U2 F' B2 R2 U' R'
B2 U2 F' B' R2 U' R'
F' U2 B R2 U' R' D
F' U2 B R2 U' R' D'
F' U2 B R2 U' R' D2
F' U2 B R2 U' D R'
F' U2 B R2 U' D' R'
F' U2 B R2 U' D2 R'
F' U2 B R2 D U' R'
F' U2 B R2 D' U' R'
F' U2 B R2 D2 U' R'
F' U2 B R2 F U' R'
F' U2 B R2 F' U' R'
F' U2 B R2 F2 U' R'
F' U2 B U' D R B2
F' U2 B U' D B2 R
F2 U2 B R2 U L U2
F' U2 B D U' R B2
F' U2 B D U' B2 R
F2 U2 B U' D B2 R'
F2 U2 B D U' B2 R'
F U2 F2 B R2 U' R'
B2 U2 B' R2 F' U' R
F2 U2 B' R2 B2 U' R
F U2 B R2 U L' U2
F U2 B R2 F2 U' R
B2 U2 B' F' R2 U' R'
B' U2 B2 R2 F' U' R
F U2 B F2 R2 U' R'
B' U2 B2 F' R2 U' R'
R2 F U' D' F2 L2 R
R2 F U' D' F2 R L2
R2 F U2 R2 F2 U R
R2 F U2 F2 R2 U R'
R2 F D' U' F2 L2 R
R2 F D' U' F2 R L2
R2 F D2 L2 B2 U' R'
U2 F B R2 U L' U2
U2 F B R2 F2 U' R
F' D U2 B U' B R
D2 F' L2 U2 B U' R'
U2 F' R2 U2 F' U R'
R2 F' R2 U D R' B2
R2 F' R2 U2 R2 U' R
R2 F' R2 D U R' B2
R2 F' R2 D2 L2 U R'
U' F' U' B R2 U' R'
L' F' U2 B R2 U' R'
L2 F' U2 B R2 U' R'
U2 F' D B U' B R
L F' U2 B R2 U' R'
U2 F' B R2 U' R' D
U2 F' B R2 U' R' D'
U2 F' B R2 U' R' D2
U2 F' B R2 U' D R'
U2 F' B R2 U' D' R'
U2 F' B R2 U' D2 R'
U2 F' B R2 D U' R'
U2 F' B R2 D' U' R'
U2 F' B R2 D2 U' R'
U2 F' B R2 F U' R'
U2 F' B R2 F' U' R'
U2 F' B R2 F2 U' R'
U2 F' B U' D R B2
U2 F' B U' D B2 R
U2 F' B D U' R B2
U2 F' B D U' B2 R
U F' B R2 U' R' F
U F' B R2 U' F R'
D2 F2 L2 U2 B U' R'
F' D2 L2 U2 B U' R
B' D2 L2 F2 B U R'
B' D2 L2 B F2 U R'
B2 D2 L2 F B U R'
B2 D2 L2 B F U R'
U2 F2 B R2 F U' R
B' D2 F2 L2 B U R'
B' D2 F2 B L2 U R'
U2 B R D R F' U'
U2 B R F' U' R B
B' D2 B L2 F2 U R'
B' D2 B F2 L2 U R'
U2 B R' F' R' U' R2
B' D2 B' L2 F2 U R
B D2 B L2 F U R'
U2 B R2 U' F' R F
U2 B R2 F U L' U2
U2 B R2 F' U' R D
U2 B R2 F' U' R D'
U2 B R2 F' U' R D2
U2 B R2 F' U' D R
U2 B R2 F' U' D' R
U2 B R2 F' U' D2 R
U2 B R2 F' D U' R
U2 B R2 F' D' U' R
U2 B R2 F' D2 U' R
F2 D2 B2 L2 F U R
U B R2 F' U' R F
R2 B U2 F' R2 U R'
U2 B D R F' U' B2
F' B R2 U' D' R' F2
F' B R2 U' D' F2 R'
F' B R2 U2 R2 U R
U2 B F R2 U L' U2
F' B R2 D' U' R' F2
F' B R2 D' U' F2 R'
U2 B F R2 F2 U' R
F' B R2 D2 L2 U' R'
B' F U D L2 B2 R'
U2 B F' R2 U' R' D
U2 B F' R2 U' R' D'
U2 B F' R2 U' R' D2
U2 B F' R2 U' D R'
U2 B F' R2 U' D' R'
U2 B F' R2 U' D2 R'
U2 B F' R2 D U' R'
U2 B F' R2 D' U' R'
U2 B F' R2 D2 U' R'
U2 B F' R2 F U' R'
U2 B F' R2 F' U' R'
U2 B F' R2 F2 U' R'
B F R2 U' D' F2 R
F' B U D R B2 L
U2 B F' U' D R B2
U2 B F' U' D B2 R
U2 B F' D U' R B2
U2 B F' D U' B2 R
B F R2 D' U' F2 R
F B R2 U' D' F2 R
F B R2 D' U' F2 R
U2 B F2 R2 F U' R
U B F' R2 U' R' F
U B F' R2 U' F R'
B' F D U L2 B2 R'
D2 B' L2 D2 F2 U R
F' B D U R B2 L
B' F D2 F2 L2 U R
U' B' R2 B2 U' F' R
U2 B' R2 F' B2 U' R
U2 B' R2 B2 F' U' R
R2 B' U2 F' R2 U R'
B' F' U D L2 R B2
B' F' U D L2 B2 R
B' F' U D R L2 B2
B' F' U D R B2 L2
B' F' U D B2 L2 R
B' F' U D B2 R L2
F' B' U D L2 R B2
F' B' U D L2 B2 R
F' B' U D R L2 B2
F' B' U D R B2 L2
B F' R2 U' D' R' F2
B F' R2 U' D' F2 R'
F' B' U D B2 L2 R
F' B' U D B2 R L2
B F' R2 U2 R2 U R
B F' R2 D' U' R' F2
B F' R2 D' U' F2 R'
B F' R2 D2 L2 U' R'
B F' U D R B2 L
F B' U D L2 B2 R'
B' F' U2 B2 R2 U' R'
F' B' U2 B2 R2 U' R'
B' F' D U L2 R B2
B' F' D U L2 B2 R
B' F' D U R L2 B2
B' F' D U R B2 L2
B' F' D U B2 L2 R
B' F' D U B2 R L2
B2 F' U2 B' R2 U' R'
F' B' D U L2 R B2
F' B' D U L2 B2 R
F' B' D U R L2 B2
F' B' D U R B2 L2
F' B' D U B2 L2 R
F' B' D U B2 R L2
B F' D U R B2 L
F B' D U L2 B2 R'
D2 B2 L2 F B' U R'
D2 B2 L2 B' F U R'
F B' D2 F2 L2 U R
U2 B2 R2 F' B' U' R
U2 B2 R2 B' F' U' R
R2 B2 U2 F' R2 U R'
B2 F2 U2 R2 B' U' R'
F2 B2 U2 R2 B' U' R'
F' B2 U2 B' R2 U' R'
B2 F2 U2 B' R2 U' R
F2 B2 U2 B' R2 U' R
B2 F2 D2 L2 F U R
F2 B2 D2 L2 F U R
