D L R' F B R'
D L R' B R' F
D L R' B F R'
D L F R' B R'
D L F B R' B
D' L F' R F2 B'
D' L F' R B' F2
D' L F' B' R F2
D L B R' F B
D L B R' B F
D L B F R' B
D' L B' F' R F2
D R' L F B R'
D R' L B R' F
D R' L B F R'
L D R' F B R'
L D R' B R' F
L D R' B F R'
L D F R' B R'
L D F B R' B
L D B R' F B
L D B R' B F
L D B F R' B
D' F' L R F B'
D' F' L R B' F
D' F' L B' R F
D' F' R L F B'
D' F' R L B' F
D' F2 L F R B'
D' F2 L F B' R
D' F2 L B' F R
L D R' B R' D' F
L D R' B R' D2 F
L D R' B R' F D
L D R' B R' F D'
L D R' B R' F D2
L D R' B D R' F
L D R' B D F R'
L D R' B D' R' F
L D R' B D' F R'
L D R' B D2 R' F
L D R' B D2 F R'
L D R' B F R' D
L D R' B F R' D'
L D R' B F R' D2
L D R' B F D R'
L D R' B F D' R'
L D R' B F D2 R'
L D R' B F' R' F2
L D R2 F R B R'
U2 D L R' F' B R'
U2 D L R' B F' R'
U2 D L B R' F' B
U2 D L B R' B F'
L D F R' B R' D
L D F R' B R' D'
L D F R' B R' D2
L D F R' B D R'
L D F R' B D' R'
L D F R' B D2 R'
L D F B R' D B
L D F B R' D' B
L D F B R' D2 B
L D F B R' B D
L D F B R' B D'
L D F B R' B D2
L D F' R' F2 B R'
L D F' R' B R' F2
L D F' R' B F2 R'
F' U R F' U' L F
L D F' B R' F2 B
L D F' B R' B F2
U2 D R' L F' B R'
U2 D R' L B F' R'
U2 D R' F' L B R'
L D B R' D F B
L D B R' D B F
L D B R' D' F B
L D B R' D' B F
L D B R' D2 F B
L D B R' D2 B F
L D B R' F D B
L D B R' F D' B
L D B R' F D2 B
L D B R' F B D
L D B R' F B D'
L D B R' F B D2
L D B R' B D F
L D B R' B D' F
L D B R' B D2 F
L D B R' B F D
L D B R' B F D'
L D B R' B F D2
L D B F R' D B
L D B F R' D' B
L D B F R' D2 B
L D B F R' B D
L D B F R' B D'
L D B F R' B D2
L D B F' R' F2 B
L D B F' R' B F2
R' D' L F B' D' R2
R' D' L B' D' R2 F
R' D' L B' D' F R2
R' D' L B' F D' R2
R D' L F D R2 B'
R D' L F D B' R2
R D' L F B' D R2
R D' L B' F D R2
U2 D' L R' F' R B'
U2 D' L R' F' B' R
U2 D' L R' B' F' R
U2 D' L B' R' F' R
U2 D' R' L F' R B'
U2 D' R' L F' B' R
U2 D' R' L B' F' R
U2 D' R' F' L R B'
U2 D' R' F' L B' R
U2 D' R' F' R L B'
L D' F U2 L' F U2
F' U' R F' L' U' L2
D' U2 L R' F' R B'
D' U2 L R' F' B' R
D' U2 L R' B' F' R
D' U2 L B' R' F' R
D U2 L R' F' B R'
D U2 L R' B F' R'
D U2 L B R' F' B
D U2 L B R' B F'
D' U2 R' L F' R B'
D' U2 R' L F' B' R
D' U2 R' L B' F' R
D' U2 R' F' L R B'
D' U2 R' F' L B' R
D' U2 R' F' R L B'
D U2 R' L F' B R'
D U2 R' L B F' R'
D U2 R' F' L B R'
L D2 F D' R' B R'
L D2 F D' B R' B
D' F L D2 R2 F B'
D' F L D2 R2 B' F
D' F L D2 F R2 B'
D' F L D2 F B' R2
D' F L D2 B' R2 F
D' F L D2 B' F R2
D' F L F D2 R2 B'
D' F L F D2 B' R2
D' F L F B' D2 R2
D' F L B' D2 R2 F
D' F L B' D2 F R2
D' F L B' F D2 R2
D' F L' U2 L2 F B'
D' F L' U2 L2 B' F
D F L R' F B R'
D F L R' B R' F
D F L R' B F R'
D' F L' F U2 L2 F
D' F L' F B' U2 L2
D' F L' B' U2 L2 B'
D F L F R' B R'
D' F L' B' F U2 L2
D F L F B R' B
D F L B R' F B
D F L B R' B F
D F L B F R' B
R2 F L' U L2 F R
D F R' L F B R'
D F R' L B R' F
D F R' L B F R'
L F R' U' L' B U
L F R' U' B L' U
L F U F2 R F' U'
B2 D R' U2 B R' F'
B' D R' B L R' F
B' D R' B L F R'
B' D R' B R' L F
D' F' L R D F B'
D' F' L R D B' F
D' F' L R D' F B'
D' F' L R D' B' F
D' F' L R D2 F B'
D' F' L R D2 B' F
D' F' L R F D B'
D' F' L R F D' B'
D' F' L R F D2 B'
D' F' L R F B' D
D' F' L R F B' D'
D' F' L R F B' D2
D' F' L R B' D F
D' F' L R B' D' F
D' F' L R B' D2 F
D' F' L R B' F D
D' F' L R B' F D'
D' F' L R B' F D2
D' F' L R' F R2 B'
D' F' L R' F B' R2
D' F' L R' B' R2 F
D' F' L R' B' F R2
D' F' L R2 F R' B'
D' F' L D R F B'
D' F' L D R B' F
D' F' L D B' R F
D' F' L D' R F B'
D' F' L D' R B' F
D' F' L D' B' R F
D' F' L D2 R F B'
D' F' L D2 R B' F
D' F' L D2 B' R F
U' F' L' R F' U' L2
D' F' L B R F B2
D' F' L B R B2 F
D' F' L B' R D F
D' F' L B' R D' F
D' F' L B' R D2 F
D' F' L B' R F D
D' F' L B' R F D'
D' F' L B' R F D2
D' F' L B' R' F R2
D' F' L B' R2 F R'
D' F' L B' D R F
D' F' L B' D' R F
D' F' L B' D2 R F
D F' L R' F B R'
D F' L R' B R' F
D F' L R' B F R'
D F' L F R' B R'
D F' L F B R' B
D F' L B R' F B
D F' L B R' B F
D F' L B F R' B
U' F' R L' F' U' L2
D' F' R L D F B'
D' F' R L D B' F
D' F' R L D' F B'
D' F' R L D' B' F
D' F' R L D2 F B'
D' F' R L D2 B' F
D' F' R L F D B'
D' F' R L F D' B'
D' F' R L F D2 B'
D' F' R L F B' D
D' F' R L F B' D'
D' F' R L F B' D2
D' F' R L B' D F
D' F' R L B' D' F
D' F' R L B' D2 F
D' F' R L B' F D
D' F' R L B' F D'
D' F' R L B' F D2
R F' L' R U' L2 F
D' F' R F L F B'
D' F' R F L B' F
D' F' R F' L F B'
D' F' R F' L B' F
D' F' R F2 L F B'
D' F' R F2 L B' F
L' F' R F' U' L2 F
D' F' R' L F R2 B'
D' F' R' L F B' R2
D' F' R' L B' R2 F
D' F' R' L B' F R2
R F' L2 R U' L' F
B' D B L R' F B
B' D B L R' B F
B' D B L F R' B
B' D B R' L F B
B' D B R' L B F
D' F' R2 L F R' B'
R F' R L' U' L2 F
R F' R L2 U' L' F
B2 D B R' B L F
D F' R' L F B R'
D F' R' L B R' F
D F' R' L B F R'
U F' R F' U' L F
L F' U R F' U' F'
D' F2 L R F R B'
D' F2 L R F B' R
D' F2 L R B' F R
D' F2 L R' F R B'
D' F2 L R' F B' R
D' F2 L R' B' F R
D' F2 L R2 F R B'
D' F2 L R2 F B' R
D' F2 L R2 B' F R
D' F2 L D F R B'
D' F2 L D F B' R
D' F2 L D B' F R
D' F2 L D' F R B'
D' F2 L D' F B' R
D' F2 L D' B' F R
D' F2 L D2 F R B'
D' F2 L D2 F B' R
D' F2 L D2 B' F R
D' F2 L F R D B'
D' F2 L F R D' B'
D' F2 L F R D2 B'
D' F2 L F R B' D
D' F2 L F R B' D'
D' F2 L F R B' D2
D' F2 L F R' B' R2
D' F2 L F D R B'
D' F2 L F D B' R
D' F2 L F D' R B'
D' F2 L F D' B' R
D' F2 L F D2 R B'
D' F2 L F D2 B' R
D' F2 L F B R B2
D' F2 L F B' R D
D' F2 L F B' R D'
D' F2 L F B' R D2
D' F2 L F B' D R
D' F2 L F B' D' R
D' F2 L F B' D2 R
D' F2 L B F R B2
D' F2 L B' R F R
D' F2 L B' R' F R
D' F2 L B' R2 F R
D' F2 L B' D F R
D' F2 L B' D' F R
D' F2 L B' D2 F R
D' F2 L B' F R D
D' F2 L B' F R D'
D' F2 L B' F R D2
D' F2 L B' F D R
D' F2 L B' F D' R
D' F2 L B' F D2 R
D F2 L R' F B R'
D F2 L R' B R' F
D F2 L R' B F R'
D F2 L F R' B R'
D F2 L F B R' B
D F2 L B R' F B
D F2 L B R' B F
D F2 L B F R' B
D' F2 R L F R B'
D' F2 R L F B' R
D' F2 R L B' F R
D' F2 R' L F R B'
D' F2 R' L F B' R
D' F2 R' L B' F R
D' F2 R2 L F R B'
D' F2 R2 L F B' R
D' F2 R2 L B' F R
D F2 R' L F B R'
D F2 R' L B R' F
D F2 R' L B F R'
D' F2 U2 L B' R' F'
D B R' B' L F B2
D B R' B' L B2 F
L B D R' F B R'
L B D R' B R' F
L B D R' B F R'
L B D F R' B R'
L B D F B R' B
L B D B R' F B
L B D B R' B F
L B D B F R' B
L B' D R' F B R'
L B' D R' B R' F
L B' D R' B F R'
L B' D F R' B R'
L B' D F B R' B
L B' D B R' F B
L B' D B R' B F
L B' D B F R' B
L B2 D R' F B R'
L B2 D R' B R' F
L B2 D R' B F R'
L B2 D F R' B R'
L B2 D F B R' B
L B2 D B R' F B
L B2 D B R' B F
L B2 D B F R' B
