R D2 L2 F U R2
R' D2 B' L2 U' R2
D F2 R' B' L' U'
R' B' D2 L2 U' R2
R' D2 B' L2 F' U' R2
R' D2 B' L2 F2 U' R2
R' D2 B' U' R2 D F2
R' D2 B' F L2 U' R2
R' D2 B' F' L2 U' R2
R' D2 B' F2 L2 U' R2
R' D2 B2 L2 B U' R2
D F R' F B' L' U'
D F R' B' F L' U'
B' D L2 F2 L' U' B'
R' F D2 B' L2 U' R2
F2 D R' B' L' F2 U'
R F D2 L2 F U R2
R' F B' D2 L2 U' R2
B' D F2 L' U F U2
B D F2 L' U' L' B'
R' F' D2 B' L2 U' R2
R F' D2 L2 F U R2
R' F' B' D2 L2 U' R2
D F2 L' D2 R' B U'
D F2 R B' L' R2 U'
D F2 R B' R2 L' U'
D F2 R' D B' L' U'
D F2 R' D' B' L' U'
D F2 R' D2 B' L' U'
D F2 R' B L' B2 U'
D F2 R' B' L' U' D
D F2 R' B' L' U' D'
D F2 R' B' L' U' D2
D F2 R' B' L' D U'
D F2 R' B' L' D' U'
D F2 R' B' L' D2 U'
D F2 R' B' D L' U'
D F2 R' B' D' L' U'
D F2 R' B' D2 L' U'
D F2 R' B2 L' B U'
D F2 R2 B' L' R U'
D F2 R2 B' R L' U'
D F2 D R' B' L' U'
R' F2 D2 B' L2 U' R2
D F2 D' R' B' L' U'
D F2 D2 R' B' L' U'
R' F2 B' D2 L2 U' R2
R F2 D2 L2 F U R2
L2 B U R F U B
R B D2 L2 F2 U R2
R B D2 F2 L2 U R2
R' B' L' U' D' F2 R
R' B' L' D' U' F2 R
R' B' L2 U2 R2 U R2
R' B' U L2 U R2 U
R' B' U L2 U2 D' F2
R' B' U L2 D B2 U2
R' B' U L2 D' U2 F2
R' B' U' D' F2 D' R2
R' B' U' D2 R2 D F2
R B' R2 D2 L2 U' R2
R' B' U2 R2 U D2 R2
R' B' U2 R2 U' L2 U2
R' B' U2 R2 D' B2 U
R' B' U2 R2 D2 U R2
D' B' U2 R B' L U
R' B' U2 D' B2 U F2
D' B' U2 B' L R U
D' B' U2 B' R L U
R' B' D F2 U B2 U2
R' B' D F2 U' D2 F2
R' B' D F2 D L2 U'
R' B' D F2 D2 U' F2
R' B' D' U' F2 D' R2
R' B' D' U2 B2 U F2
R' B' D2 L2 U' R2 D
R' B' D2 L2 U' R2 D'
R' B' D2 L2 U' R2 D2
R' B' D2 L2 D' F2 U'
R' B' D2 L2 F U' R2
R' B' D2 L2 F' U' R2
R' B' D2 L2 F2 U' R2
R' B' D2 U' R2 D F2
R' B' D2 F L2 U' R2
R' B' D2 F' L2 U' R2
R' B' D2 F2 L2 U' R2
R' B' F D2 L2 U' R2
R' B' F' D2 L2 U' R2
R' B' F2 D2 L2 U' R2
D' B2 L R2 F' R' U
L B2 L R F U R2
D' B2 R2 L F' R' U
L B2 R L F U R2
D' B2 R2 F' L R' U
D' B2 R2 F' R' L U
L2 B2 U R F L U
R' B2 D2 L2 B U' R2
R' B2 D2 B L2 U' R2
