F2 L' R2 F U
F2 L' F R2 U
F2 R2 L' F U
F2 R2 L' F U
R2 L U2 R' B' U'
F2 L' R' F R' U
F2 L' R2 D F U
F2 L' R2 D' F U
F2 L' R2 D2 F U
F2 L' R2 F U D
F2 L' R2 F U D'
F2 L' R2 F U D2
F2 L' R2 F D U
F2 L' R2 F D' U
F2 L' R2 F D2 U
F L' R2 F L' U
R2 L' F U2 R' U'
F2 L' D' F U F
F2 L' F R2 U D
F2 L' F R2 U D'
F2 L' F R2 U D2
F2 L' F R2 D U
F2 L' F R2 D' U
F2 L' F R2 D2 U
F2 L' F U D' F2
F L' F L' R2 U
F2 L' F D' U F2
F L' F R2 L' U
F2 L' F' R2 F2 U
L R2 U2 R' B' U'
L' R2 F U2 R' U'
F2 R' L' F R' U
F2 R2 L' D F U
R2 U2 D2 R' B U'
F2 R2 L' D' F U
F2 R2 L' D2 F U
F2 R2 L' F U D
F2 R2 L' F U D'
F2 R2 L' F U D2
F2 R2 L' F D U
F2 R2 L' F D' U
F2 R2 L' F D2 U
F R2 L' F L' U
F' R2 F' L' F U
F R2 F L' F U
R2 D2 U2 R' B U'
L' F2 L' F' R2 U
R2 L' F U2 R' D2 U'
R2 L' F U2 D R' U'
R2 L' F U2 D' R' U'
R2 L' F U2 D2 R' U'
R2 L' F D U2 R' U'
R2 L' F D' U2 R' U'
R2 L' F D2 U2 R' U'
R2 L' F B2 L B2 U
F2 L' U2 D2 L2 B' U'
F2 L' D F U D2 F2
F2 L' D F U' B2 U2
F2 L' D F D' R2 U
F2 L' D F D2 U F2
F2 L' D' R F U F
F2 L' D' R' F U F
F2 L' D' R2 F U F
F2 L' D' F R U F
F2 L' D' F R' U F
F2 L' D' F R2 U F
F2 L' D' F U D F
F2 L' D' F U D' F
F2 L' D' F U D2 F
F2 L' D' F U F D
F2 L' D' F U F D'
F2 L' D' F U F D2
F2 L' D' F D U F
F2 L' D' F D' U F
F2 L' D' F D2 U F
U2 L' D2 L2 R B' U'
U2 L' D2 L2 B' R U'
U2 L' D2 R L2 B' U'
F2 L' D2 U2 L2 B' U'
F2 L' D2 F U D F2
F2 L' D2 F U2 L2 U'
F2 L' D2 F D U F2
F2 L' D2 F D2 R2 U
F2 L' F R D R U
F2 L' F R D' R U
F' L' F R2 U2 R' U'
F2 L' F R D2 R U
F2 L' F R' D R' U
F L' F L' R2 U D
F L' F L' R2 U D'
F L' F L' R2 U D2
F L' F L' R2 D U
F L' F L' R2 D' U
F2 L' F R' D' R' U
F L' F L' R2 D2 U
F L' F L' U D' F2
F2 L' F R' D2 R' U
F L' F L' D' U F2
F2 L' F U D' F2 D
F2 L' F U D' F2 D'
F2 L' F U D' F2 D2
F2 L' F U F D' F2
F2 L' F U F' D' F2
F2 L' F U F2 D' F2
F2 L' F U' D B2 U2
F L' F R2 L' U D
F L' F R2 L' U D'
F L' F R2 L' U D2
F L' F R2 L' D U
F L' F R2 L' D' U
F L' F R2 L' D2 U
F2 L' F U2 D2 L2 U'
F L' F R2 D L' U
F L' F R2 D' L' U
F L' F R2 D2 L' U
F2 L' F D U' B2 U2
F2 L' F D' R U F2
F2 L' F D' R' U F2
F2 L' F D' R2 U F2
F2 L' F D' U F2 D
F2 L' F D' U F2 D'
F2 L' F D' U F2 D2
F2 L' F D2 U2 L2 U'
F2 L' F B R2 B' U
R2 L' B2 F L B2 U
F L' F D' L' U F2
F' L' F' L' R2 F2 U
F2 L' F B2 R2 B2 U
F' L' F' L' F2 R2 U
F' L' F' R2 L' F2 U
F2 L' F' R' F2 R' U
F2 L' F' R2 U D' L2
F2 L' F' R2 D' U L2
F2 L' F' R2 F2 U D
F2 L' F' R2 F2 U D'
F2 L' F' R2 F2 U D2
F2 L' F' R2 F2 D U
F2 L' F' R2 F2 D' U
F2 L' F' R2 F2 D2 U
F2 L' F' U D' L2 F2
F2 L' F' U D' F2 L2
F2 L' F' D' U L2 F2
F2 L' F' D' U F2 L2
D2 L' F2 L' R F' U
D2 L' F2 R L' F' U
F2 L' F2 R2 U2 B U'
F2 L' F2 D' F' U F'
L' R2 U2 R' U2 F U
L2 R2 U2 R B R2 U'
R2 L2 U2 R B R2 U'
L2 R2 U2 R' U2 F' U
L R2 U2 R B' R2 U'
R2 L2 U2 R' U2 F' U
F2 L' B R2 F B' U
L R2 U2 R' D B' U'
F2 L' B R2 B' F U
L R2 U2 R' D' B' U'
L R2 U2 R' D2 B' U'
L R2 U2 R' B' U' D
L R2 U2 R' B' U' D'
L R2 U2 R' B' U' D2
L R2 U2 R' B' D U'
L R2 U2 R' B' D' U'
L R2 U2 R' B' D2 U'
L R2 U2 R2 B' R U'
L R2 U2 D R' B' U'
L R2 U2 D' R' B' U'
L R2 U2 D2 R' B' U'
F2 L' B F R2 B' U
L' R2 D F U2 R' U'
L R2 D U2 R' B' U'
L' R2 D' F U2 R' U'
F2 L' B2 R2 F B2 U
F2 L' B2 R2 B2 F U
L R2 D' U2 R' B' U'
F2 L' B2 F R2 B2 U
L' R2 D2 F U2 R' U'
L R2 D2 U2 R' B' U'
L' R2 F L U2 R' U'
L' R2 F L' U2 R' U'
L' R2 F L2 U2 R' U'
L' R2 F U2 R' U' D
L' R2 F U2 R' U' D'
L' R2 F U2 R' U' D2
L' R2 F U2 R' D U'
L' R2 F U2 R' D' U'
L' R2 F U2 R' D2 U'
L' R2 F U2 D R' U'
L' R2 F U2 D' R' U'
L' R2 F U2 D2 R' U'
L' R2 F D U2 R' U'
L' R2 F D' U2 R' U'
L' R2 F D2 U2 R' U'
L' R2 F B2 L B2 U
L R2 F U2 R' B' U'
F2 L2 R2 D L F U
F2 L2 R2 D' L F U
F2 L2 R2 D2 L F U
F2 L2 R2 F L F U
F2 L2 R2 F' L F U
F2 L2 R2 F2 L F U
B2 L2 R2 B2 L F U
L R2 F' U2 R' B' U'
L R2 F2 U2 R' B' U'
L2 R2 B2 L F B2 U
L2 R2 B2 L B2 F U
R2 L2 B2 L F B2 U
R2 L2 B2 L B2 F U
L' R2 B2 F L B2 U
F2 L2 D' L F U F
R2 U L U R' B' U'
F2 L2 F L R2 F U
F2 L2 F L F R2 U
F2 L2 F R2 L F U
F2 L2 F' L R2 F U
F2 L2 F' L F R2 U
F2 L2 F' R2 L F U
F2 L2 F2 L R2 F U
F2 L2 F2 L F R2 U
F2 L2 F2 R2 L F U
R2 U D' B' D L B'
U2 R L B' U2 R U
U2 R L' U2 R F U
F2 R L' D R F U
F2 R L' D' R F U
F2 R L' D2 R F U
U2 R U2 D2 R F' U
F' R D2 R F' L' U
F2 R D2 L' R F' U
F2 R D2 R L' F' U
U2 R D2 U2 R F' U
F' R F' L' F R U
F2 R' L' D R' F U
F2 R' L' D F R' U
F2 R' L' D' R' F U
F2 R' L' D' F R' U
F2 R' L' D2 R' F U
F2 R' L' D2 F R' U
F2 R' L' F R' U D
F2 R' L' F R' U D'
F2 R' L' F R' U D2
F2 R' L' F R' D U
F2 R' L' F R' D' U
F2 R' L' F R' D2 U
F2 R' L' F D R' U
F2 R' L' F D' R' U
F2 R' L' F D2 R' U
F2 R' L' F' R' F2 U
F R' L' F L' R' U
F R' L' F R' L' U
D2 R' U2 L2 B R2 U'
D2 R' U2 B L2 R2 U'
D2 R' U2 B R2 L2 U'
D2 R' D2 L2 R2 F' U
R2 U2 L R' B' L' U'
D2 R' D2 R2 L2 F' U
D2 R' D2 R2 F' L2 U
F R' F L' R' F U
F R' F L' F R' U
F' R' F' L' R' F U
F' R' F' L' F R' U
F R' F R' L' F U
F' R' F' R' L' F U
L' U2 R U2 R F U
L2 U2 R B U2 R U
D2 R' B L2 R2 F U'
D2 R' B L2 F R2 U'
R2 U2 R' L B' L' U'
D2 R' B R2 L2 F U'
L U2 R B' U2 R U
R2 U2 R' D' B' U' L
U2 R' B2 L R2 B' U'
U2 R' B2 L B' R2 U'
U2 R' B2 R2 L B' U'
L2 U2 D' R B U' F2
F' R2 L U2 B' R' U'
R2 U2 D' R' B' U' L
L' U2 D2 L2 R B' U'
L' U2 D2 L2 B' R U'
L' U2 D2 R L2 B' U'
L U2 D' R B' U' F2
L2 U2 D2 L2 R B U'
F2 R2 L F L2 F U
L2 U2 D2 R L2 B U'
F2 R2 L F' L2 F U
L2 U2 D2 R B L2 U'
F2 R2 L F2 L2 F U
L U2 D' B' R U' F2
R2 U2 D2 R' D B U'
R2 U2 D2 R' D' B U'
R2 U2 D2 R' D2 B U'
R2 U2 D2 R' B U' D
R2 U2 D2 R' B U' D'
R2 U2 D2 R' B U' D2
R2 U2 D2 R' B D U'
R2 U2 D2 R' B D' U'
R2 U2 D2 R' B D2 U'
F' R2 L' F U2 R U'
F' R2 L' F' L' F2 U
L U2 D2 R B' L2 U'
F2 R2 L' D F U D
F2 R2 L' D F U D'
F2 R2 L' D F U D2
F2 R2 L' D F D U
F2 R2 L' D F D' U
F2 R2 L' D F D2 U
F2 R2 L' D' F U D
F2 R2 L' D' F U D'
F2 R2 L' D' F U D2
F2 R2 L' D' F D U
F2 R2 L' D' F D' U
F2 R2 L' D' F D2 U
F2 R2 L' D2 F U D
F2 R2 L' D2 F U D'
F2 R2 L' D2 F U D2
F2 R2 L' D2 F D U
F2 R2 L' D2 F D' U
F2 R2 L' D2 F D2 U
B2 R2 L' F B2 L U
F2 R2 L' F' U D' L2
F2 R2 L' F' D' U L2
F2 R2 L' F2 D F' U
F2 R2 L' F2 D' F' U
F2 R2 L' F2 D2 F' U
L U2 D2 B' L2 R U'
L U2 D2 B' R L2 U'
B2 R2 L' B2 F L U
F2 R2 L2 D L F U
F R2 L' F L' U D
F R2 L' F L' U D'
F R2 L' F L' U D2
F R2 L' F L' D U
F R2 L' F L' D' U
F R2 L' F L' D2 U
F R2 L' F D L' U
F R2 L' F D' L' U
F R2 L' F D2 L' U
F2 R2 L2 D' L F U
F2 R2 L2 D2 L F U
F2 R2 L2 F L F U
F2 R2 L2 F' L F U
F2 R2 L2 F2 L F U
B2 R2 L2 B2 L F U
F' R2 U D' L' B' L
F R2 U D' L B' L
F R2 U D' B' L B'
R' U2 B2 L R2 B' U'
R' U2 B2 L B' R2 U'
F2 R2 D L' F U L'
R' U2 B2 R2 L B' U'
L U2 B' R U2 R U
F2 R2 D F U L' B'
L U2 B' D' R U' F2
L U2 B' D2 L2 R U'
L U2 B' D2 R L2 U'
F' R2 D' U L' B' L
F R2 D' L U B' L
F R2 D' U L B' L
F R2 D' U B' L B'
F R2 F L' D F U
F R2 F L' D' F U
F' R2 F' L' D F U
F R2 F L' D2 F U
F' R2 F' L' D' F U
F R2 F L' F U D
F R2 F L' F U D'
F R2 F L' F U D2
F R2 F L' F D U
F R2 F L' F D' U
F' R2 F' L' D2 F U
F R2 F L' F D2 U
F' R2 F' L' F U D
F' R2 F' L' F U D'
F' R2 F' L' F U D2
F' R2 F' L' F D U
F' R2 F' L' F D' U
F' R2 F' L' F D2 U
F2 R2 F' L' F L' U
F' R2 F2 L' F L' U
R' D R' F U L' B2
R' D R' F U B2 L'
F2 R2 B' L' F B U
F2 R2 B' L' B F U
B2 R2 B2 L U2 B' U'
B2 R2 B2 L' F L2 U
F2 R2 B2 L' F B2 U
F2 R2 B2 L' B2 F U
R' D F R' U L' B2
R' D F R' U B2 L'
F2 U L' R2 F U R2
F2 U L' F R2 U R2
R2 D F U2 R' U' L'
F2 U R2 L' F U R2
F' U D' L' F2 B' L
F' U D' L' B' L F2
F' U D' L' B' F2 L
F' U D' F2 L' B' L
F U D' L F2 B' L
F U D' L B' L F2
F U D' L B' F2 L
F U D' F2 L B' L
F U D' F2 B' L B'
D' U F2 B' L D' B2
F U D' B' L F2 B'
F U D' B' L B' F2
F U D' B' F2 L B'
D' U B' F2 L D' B2
R2 D' U B' D L B'
L2 D' U2 R B U' F2
R2 D' U2 R' B' U' L
L D' U2 R B' U' F2
U2 D' R B' U' L F2
U2 D' R B' U' F2 L
L D' U2 B' R U' F2
L' D' F2 L' F' U F
U D' F2 B' L D' B2
R2 D2 L U2 R' B U'
U2 D' B' R U' L F2
U2 D' B' R U' F2 L
R' D2 L2 R F' R2 U
R' D2 L2 R' U2 B U'
R2 D2 L' U2 R' B U'
U D' B' F2 L D' B2
R' D2 R L2 F' R2 U
R2 D2 L2 U2 R' B U'
R' D2 R F' L2 R2 U
R' D2 R F' R2 L2 U
R' D2 R' L2 U2 B U'
D2 U2 L2 R U2 F' U
D2 U2 L2 R' B R2 U'
U2 D2 L2 R U2 F' U
U2 D2 L2 R' B R2 U'
R D2 R F' U2 R' U'
D2 U2 R L2 U2 F' U
D' U2 R B' U' L F2
D' U2 R B' U' F2 L
U2 D2 R L2 U2 F' U
D2 U2 R' L2 B R2 U'
U2 D2 R' L2 B R2 U'
D2 U2 R' B L2 R2 U'
D2 U2 R' B R2 L2 U'
U2 D2 R' B L2 R2 U'
L' D2 U2 L2 R B' U'
U2 D2 R' B R2 L2 U'
L' D2 U2 L2 B' R U'
L' D2 U2 R L2 B' U'
L2 D2 U2 L2 R B U'
L2 D2 U2 R L2 B U'
L2 D2 U2 R B L2 U'
R2 D2 U2 R' D B U'
R2 D2 U2 R' D' B U'
R2 D2 U2 R' D2 B U'
R2 D2 U2 R' B U' D
R2 D2 U2 R' B U' D'
R2 D2 U2 R' B U' D2
R2 D2 U2 R' B D U'
R2 D2 U2 R' B D' U'
R2 D2 U2 R' B D2 U'
F2 U2 L' F R2 B U
L D2 U2 R B' L2 U'
R2 D2 F U2 R' B U'
L D2 U2 B' L2 R U'
L D2 U2 B' R L2 U'
R2 D2 F' U2 R' B U'
R2 D2 F2 U2 R' B U'
D' U2 B' R U' L F2
D' U2 B' R U' F2 L
L2 F L R2 F L' U
L2 F L F L' R2 U
L2 F L F R2 L' U
R2 F L U2 R' B' U'
R2 F L' F U2 R' U'
L F L2 R2 F L' U
L F L2 F L' R2 U
L F L2 F R2 L' U
L' F R' D R' U B
L' F R2 D' L U B'
L2 F R2 L F L' U
L' F R2 F L' F' U
L F R2 L2 F L' U
R2 F U2 D2 R' B U'
L' F D' L U F2 B'
L' F D' L U B' F2
U F D' L F2 B' L
U F D' L B' L F2
U F D' L B' F2 L
U F D' F2 L B' L
U F D' F2 B' L B'
R2 F D2 U2 R' B U'
U F D' B' L F2 B'
U F D' B' L B' F2
U F D' B' F2 L B'
R2 F' L U2 R' B' U'
R2 F' L' F U2 R' U'
L' F' R2 F' L' F' U
D' F' U L' F' B' L
D' F' U L' B' L F'
D' F' U L' B' F' L
D' F' U F' L' B' L
L F' R2 U2 B' R' U'
D F' U D2 F2 L' B'
D F' U' R B2 U2 B'
D F' U' B2 R U2 B
F D' L U F2 B' L
F D' L U B' L F2
F D' L U B' F2 L
R2 F' U2 D2 R' B U'
R2 F' D2 U2 R' B U'
D F' D2 U F2 L' B'
F' D' U L' F2 B' L
F' D' U L' B' L F2
F' D' U L' B' F2 L
F' D' U F2 L' B' L
L' F2 L F' L2 R2 U
L' F2 L F' R2 L2 U
F D' U L F2 B' L
F D' U L B' L F2
F D' U L B' F2 L
L2 F2 L R2 F L2 U
L' F2 L' R2 U2 B U'
L2 F2 L F L2 R2 U
L2 F2 L F R2 L2 U
F D' U F2 L B' L
F D' U F2 B' L B'
R2 F2 L U2 R' B' U'
F D' U B' L F2 B'
F D' U B' L B' F2
F D' U B' F2 L B'
L' F2 L' D' F' U F'
D2 F2 L' F2 R F' U
L' F2 L' F R2 F2 U
L' F2 L' F' R2 U D
L' F2 L' F' R2 U D'
L' F2 L' F' R2 U D2
L' F2 L' F' R2 D U
L' F2 L' F' R2 D' U
L' F2 L' F' R2 D2 U
L' F2 L' F' U D' F2
L' F2 L' F' D' U F2
L' F2 L' F2 R2 F U
L2 F2 L' R2 U2 B' U'
L' F2 L2 F' L R2 U
R2 F2 L' F U2 R' U'
L' F2 L2 F' R2 L U
U F2 L' R2 F U R2
U F2 L' F R2 U R2
L F2 L2 R2 F L U
L F2 L2 F L R2 U
L F2 L2 F R2 L U
L' F2 R2 L' U2 B U'
U' F2 U L' R2 F U
L2 F2 R2 L F L2 U
U' F2 U L' F R2 U
L2 F2 R2 L' U2 B' U'
U' F2 U R2 L' F U
U F2 R2 L' F U R2
L F2 R2 L2 F L U
U F2 U' L' R2 F U
U F2 U' L' F R2 U
D' F2 D L' F U F'
U F2 U' R2 L' F U
R2 F2 U2 D2 R' B U'
F2 D2 L' F2 R F' U
L' F2 D' L' F' U F'
D2 F2 D2 L' R2 F U
D2 F2 D2 L' F R2 U
D2 F2 D2 R2 L' F U
B2 D2 R F2 L2 B' U'
R2 F2 D2 U2 R' B U'
F2 B R2 B' L' F U
F2 B' L' F B R2 U
F2 B' L' B R2 F U
F2 B' L' B F R2 U
R2 B2 L B2 U2 B U'
R2 B2 L' F L2 B2 U
R2 B2 L' F B2 L2 U
R2 B2 L' B2 F L2 U
B' F2 L' F B R2 U
B' F2 L' B R2 F U
B2 F2 L' R2 F B2 U
B' F2 L' B F R2 U
B2 F2 L' R2 B2 F U
F2 B2 L' R2 F B2 U
F2 B2 L' R2 B2 F U
B2 F2 L' F R2 B2 U
B2 F2 L' F B2 R2 U
F2 B2 L' F R2 B2 U
F2 B2 L' F B2 R2 U
B2 F2 L' B2 R2 F U
B2 F2 L' B2 F R2 U
F2 B2 L' B2 R2 F U
F2 B2 L' B2 F R2 U
L' B2 R2 F B2 L U
L' B2 R2 B2 F L U
L2 B2 R2 B2 L F U
L B2 R2 F' B2 L U
B2 F2 R2 L' F B2 U
B2 F2 R2 L' B2 F U
L B2 R2 B2 L F' U
F2 B2 R2 L' F B2 U
F2 B2 R2 L' B2 F U
L B2 R2 B2 F' L U
B2 F2 R2 B2 L' F U
F2 B2 R2 B2 L' F U
B F2 R2 B' L' F U
