B' R2 D F' L' F'
F' R2 D B' L' F2
U' R2 D F2 B' L
U' R2 D B' L F2
U' R2 D B' F2 L
U' R2 D B' F2 L
B' R2 F D F2 L'
B' R2 F' D L' F2
F' R2 B' D L' F2
R2 D F' B' L' F'
R2 D F2 D2 B' L
R2 D B' F' L' F'
R2 F D F2 B' L'
R2 F D B' F2 L'
R2 F B' D F2 L'
R2 F' D B' L' F2
R2 F' B' D L' F2
U2 B' R2 D F2 L'
F' B' R2 D L' F2
R2 B' D F' L' F'
B' F' R2 D L' F2
R2 B' F D F2 L'
R2 B' F' D L' F2
B' D F' L' F' D' R2
L F' L' R2 D F2 B'
L F' L' R2 D B' F2
L F' L' R2 B' D F2
B' D F' D' L' F' R2
L F' L' B' R2 D F2
R' F' R' D B' L' F2
R' F' R' B' D L' F2
U' F' R2 D F2 B' L
U' F' R2 D B' L F2
U' F' R2 D B' F2 L
F D F2 D' R2 B' L'
F D F2 D' B' L' R2
F D F2 D' B' R2 L'
L F' R2 L' D F2 B'
L F' R2 L' D B' F2
L F' R2 L' B' D F2
F' D B2 U L' F2 B
F' D B2 U L' B F2
F' D B2 U B L' F2
L2 F' U F2 R U2 R
L2 F' U' L' R2 D2 B2
L2 F' U' R2 L' D2 B2
L2 F' U' R2 D2 L' B2
L2 F' U' R2 D2 B2 L'
F D B2 U F2 L' B
F D B2 U F2 B L'
F D B2 U B F2 L'
R' F' D R' B' L' F2
R2 F' D B L' F2 B2
R2 F' D B L' B2 F2
R2 F' D B' L F2 L2
R2 F' D B' L' F2 D
R2 F' D B' L' F2 D'
R2 F' D B' L' F2 D2
R2 F' D B' L2 F2 L
R2 F' D B2 L' F2 B
R2 F' D B2 L' B F2
R2 F' D' B' L2 F L
D F' D' B' L' F' R2
D2 F' B' L' D' F2 R
R2 F' D2 B' L' D' F2
R2 F' D2 B' D' L' F2
U2 F' B' R2 D F2 L'
R2 F' B' L' U L' U'
D F' B' L' D F' R
R2 F' B' U L2 U' L
R2 F' B' D L F2 L2
R2 F' B' D L' F2 D
R2 F' B' D L' F2 D'
R2 F' B' D L' F2 D2
R2 F' B' D L2 F2 L
R2 F' B' D' L' D2 F2
R2 F' B' D2 L' D' F2
R2 F' B2 D L' F2 B
R2 F' B2 D L' B F2
D F' B2 U L' F' B
D F' B2 U L' B F'
R2 F' B2 D B L' F2
D F' B2 U B L' F'
U' F2 R2 D F2 B' L
U' F2 R2 D B' L F2
U' F2 R2 D B' F2 L
B2 D' B D R2 F' L'
L2 F2 U F' R U2 R
D' F2 U' D2 F2 B' L
D' F2 U' D2 B' L F2
D' F2 U' D2 B' F2 L
D' F2 U' B' L2 F L'
R2 F2 D F2 D B' L
D' F2 D2 U' F2 B' L
D' F2 D2 U' B' L F2
D' F2 D2 U' B' F2 L
D F2 D' R2 D' B' L
R2 F2 D2 B' L D' F2
R2 F2 D2 B' D' L F2
R2 F2 D2 B' D' F2 L
D F2 D2 B' L D R2
D F2 D2 B' D L R2
D F2 D2 B' D R2 L
U2 F2 B' R2 D F2 L'
B' D2 F' L' D' F2 R
U2 B L2 U' L' R2 B2
U2 B L2 U' L' B2 R2
U2 B L2 U' R2 L' B2
U2 B L2 U' R2 B2 L'
U2 B L2 U' B2 L' R2
U2 B L2 U' B2 R2 L'
F' D2 B' L' D' F2 R
F' B L2 U' L R2 B2
F' B L2 U' L B2 R2
F' B L2 U' R2 L B2
B F L2 U' R2 B2 L
F B L2 U' R2 B2 L
F' B R2 B2 D L' F2
B F R2 B2 D L F2
B F R2 B2 D F2 L
F B R2 B2 D L F2
F B R2 B2 D F2 L
R2 B' L F' L' D F2
R2 B' L' U L' B' U'
B' F D F2 L' D' R2
B' F D F2 D' L' R2
B' F D F2 D' R2 L'
R2 B' L' F' D' L' F
U2 B' R' D R' F2 L'
B' F' L' R2 U L' U'
B' F' L' U L' U' R2
R B' R D F' L' F'
U2 B' R2 D L F2 L'
U2 B' R2 D L' F2 L'
U2 B' R2 D L2 F2 L'
U2 B' R2 D F2 L' D
U2 B' R2 D F2 L' D'
U2 B' R2 D F2 L' D2
U2 B' R2 D F2 D L'
U2 B' R2 D F2 D' L'
U2 B' R2 D F2 D2 L'
R B' R F D F2 L'
F' B' L' R2 U L' U'
R B' R F' D L' F2
F' B' L' U L' U' R2
U2 B' R2 F2 D L' F2
R2 B' U L' B' L' U'
B2 F' L2 U' L B R2
B' F' R D L' R F2
B' F' R D R L' F2
F' B' R D L' R F2
F' B' R D R L' F2
B F' L2 U' L R2 B2
B F' L2 U' L B2 R2
B F' L2 U' R2 L B2
B' F' R' D L' R' F2
B' F' R' D L' F2 R'
B' F' R' D R' L' F2
F' B' R' D L' R' F2
F' B' R' D L' F2 R'
F' B' R' D R' L' F2
B' F' R2 L' U L' U'
B' F' R2 U L2 U' L
B' F' R2 D L F2 L2
B' F' R2 D L' F2 D
B' F' R2 D L' F2 D'
B' F' R2 D L' F2 D2
B' F' R2 D L2 F2 L
B' F' R2 D' L' D2 F2
F' B' R2 L' U L' U'
B' F' R2 D2 L' D' F2
R2 B' D L F' L' F'
F' B' R2 U L2 U' L
R2 B' D L' F' L' F'
R2 B' D L2 F' L' F'
B' F' R2 F2 D F2 L'
F' B' R2 D L F2 L2
F' B' R2 D L' F2 D
F' B' R2 D L' F2 D'
F' B' R2 D L' F2 D2
F' B' R2 D L2 F2 L
F' B' R2 D' L' D2 F2
F' B' R2 D2 L' D' F2
B' F' U L2 U' L R2
B' F' U L2 U' R2 L
R2 B' D F' L F' L2
R2 B' D F' L' D F'
R2 B' D F' L' D' F'
R2 B' D F' L' D2 F'
R2 B' D F' L' F' D
R2 B' D F' L' F' D'
R2 B' D F' L' F' D2
R2 B' D F' L2 F' L
F' B' R2 F2 D F2 L'
R2 B' D F' D L' F'
R2 B' D F' D' L' F'
R2 B' D F' D2 L' F'
F2 B' R2 F D L' F2
F2 B' R2 F' D F2 L'
F' B' U L2 U' L R2
F' B' U L2 U' R2 L
R B' D R F' L' F'
R2 B' D' F D2 F2 L'
R2 B' D' F' L' D2 F2
R2 B' D' F' D2 L' F2
B F' R2 B2 D L' F2
D2 B' F' L' D' F2 R
R2 B' D2 F D' F2 L'
R2 B' D2 F' L' D' F2
R2 B' D2 F' D' L' F2
U2 B' F R2 D F2 L'
B' F' D L' F2 D' R2
R2 B' F D L F2 L'
R2 B' F D L' F2 L'
R2 B' F D L2 F2 L'
R2 B' F D F2 L' D
R2 B' F D F2 L' D'
R2 B' F D F2 L' D2
U2 B' F' R2 D F2 L'
R2 B' F D F2 D L'
R2 B' F D F2 D' L'
R2 B' F D F2 D2 L'
R2 B' F' L' U L' U'
F' B' D L' F2 D' R2
D B' F' L' D F' R
R2 B' F' U L2 U' L
R2 B' F' D L F2 L2
R2 B' F' D L' F2 D
R2 B' F' D L' F2 D'
R2 B' F' D L' F2 D2
R2 B' F' D L2 F2 L
U2 B' F2 R2 D F2 L'
R2 B' F' D' L' D2 F2
R2 B' F' D2 L' D' F2
B' F' D2 L' D' F2 R
F' B' D2 L' D' F2 R
U' B2 L2 U' B L R2
U' B2 L2 U' B R2 L
F B' D F2 L' D' R2
F B' D F2 D' L' R2
F B' D F2 D' R2 L'
F' B2 L2 U' L B R2
D' B2 U' F2 U' B L
B' F2 R2 F D L' F2
B' F2 R2 F' D F2 L'
D' B2 U2 D B L R2
D' B2 U2 D B R2 L
D' B2 U2 B L D R2
D' B2 U2 B D L R2
D' B2 U2 B D R2 L
D' B2 D U2 B L R2
D' B2 D U2 B R2 L
D' B2 D' L2 U2 B L
R2 B2 D F' L' F' B
R2 B2 D F' L' B F'
R2 B2 D F' B L' F'
R2 B2 D B F' L' F'
R2 B2 F D F2 L' B
R2 B2 F D F2 B L'
R2 B2 F D B F2 L'
D B2 F' U L' F' B
D B2 F' U L' B F'
R2 B2 F' D L' F2 B
R2 B2 F' D L' B F2
D B2 F' U B L' F'
R2 B2 F' D B L' F2
