B L U R' D F2
B L U D R' F2
B L U D F2 R'
B L U2 L2 U' R'
B L D U R' F2
B L D U F2 R'
B L D2 R2 U R
U2 L' U' R B R'
U2 D L' F R U'
D U2 L' F R U'
U2 L' U' R B D2 R'
U2 L' U' R2 B R' B
U2 L' U' B R B R2
U2 L' U2 B L U R'
U2 L' D' F R F' U'
D L' F U2 F' L' U
U2 L' F D' R F' U'
L U R B R' D F2
L U R B D R' F2
L U R B D F2 R'
B2 L2 B' L U R' F'
B R L U R2 D F2
B R L U2 L2 U' R2
B R L D B2 U F2
U2 R L' U' R B R'
U R L' U' L B R'
U R U L' U' B R'
D R U2 L' F R U'
U2 R D L' F R U'
F2 R F2 U R B R'
F2 R F2 B L U R'
F2 R B L F2 U R'
U R F2 B R' D' F2
U R B R' U L' U'
F2 R B F2 L U R'
U R B U L' U' R'
U R B F2 R' D' F2
B' R' L' U L2 U2 L2
B R' L D2 R2 U R2
U2 R' L' U' R B R'
L' U' B' L F U2 F'
D R' U2 L' F R U'
U2 R' D L' F R U'
L2 U2 L U' R B R'
R' U2 L' U' R B R'
R2 U2 L' U' R B R'
R U2 L' U' R B R'
L U2 L2 U' R B R'
D' R' B L U D F2
D' R' B L U2 L2 U'
D' R' B L D U F2
D' R' B L D2 R2 U
R' U2 D L' F R U'
R2 U2 D L' F R U'
R U2 D L' F R U'
B R2 L U R D F2
B R2 L U D R F2
B R2 L U2 L2 U' R
B R2 L D U R F2
B R2 L D2 R2 U R'
U2 R2 L' U' R B R'
D R2 U2 L' F R U'
U2 R2 D L' F R U'
R' D U2 L' F R U'
R2 D U2 L' F R U'
U2 D L' R F R U'
U2 D L' R' F R U'
U2 D L' R2 F R U'
R D U2 L' F R U'
U2 D L' D F R U'
U2 D L' D' F R U'
U2 D L' D2 F R U'
U2 D L' F R U' D
U2 D L' F R U' D'
U2 D L' F R U' D2
U2 D L' F R D U'
U2 D L' F R D' U'
U2 D L' F R D2 U'
U2 D L' F D R U'
U2 D L' F D' R U'
U2 D L' F D2 R U'
U2 D R L' F R U'
F2 U R F2 U B R'
U2 D R' L' F R U'
L D B L B' U F2
U2 D R2 L' F R U'
D2 U F' D R F' B
D2 U F' D R B F'
U2 D' L' F R F' U'
B' U' L U' L2 R' U'
B' U' L U' R' L2 U'
U2 D' F R F' L' U'
D' U2 L' F R F' U'
D U2 L' R F R U'
D U2 L' R' F R U'
D U2 L' R2 F R U'
D U2 L' D F R U'
D U2 L' D' F R U'
D U2 L' D2 F R U'
D U2 L' F R U' D
D U2 L' F R U' D'
D U2 L' F R U' D2
D U2 L' F R D U'
D U2 L' F R D' U'
D U2 L' F R D2 U'
D U2 L' F D R U'
D U2 L' F D' R U'
D U2 L' F D2 R U'
D U2 R L' F R U'
D U2 R' L' F R U'
D' U2 F R F' L' U'
B' U2 L' R' U L2 U2
B' U2 L' R' U' D2 R2
B' U2 L' R' D F2 U'
B' U2 L' R' D2 U' R2
D U2 R2 L' F R U'
B' U2 L' D R' F2 U'
B' U2 L' D F2 R' U'
B' U2 L' D2 R' U' R'
B U2 L' U' R' D' B2
B U2 L' U' D' R' B2
B U2 L' U2 L2 U R'
B U2 L' D' U' R' B2
B U2 L' D2 R2 U' R
B' U2 R' L' U L2 U2
B' U2 R' L' U' D2 R2
B' U2 R' L' D F2 U'
B' U2 R' L' D2 U' R2
U D2 F' D R F' B
U D2 F' D R B F'
B D L U R' D F2
B D L U D R' F2
B D L U D F2 R'
B D L U2 L2 U' R'
B D L D U R' F2
B D L D U F2 R'
B D L D2 R2 U R
U2 F D' R F' L' U'
B D' L U R' D F2
B D' L U D R' F2
B D' L U D F2 R'
B D' L U2 L2 U' R'
B D' L D U R' F2
B D' L D U F2 R'
B D' L D2 R2 U R
B D2 L U R' D F2
B D2 L U D R' F2
B D2 L U D F2 R'
B D2 L U2 L2 U' R'
B D2 L D U R' F2
B D2 L D U F2 R'
B D2 L D2 R2 U R
R' B L U R' D F2
R' B L U D R' F2
R' B L U D F2 R'
R' B L U2 L2 U' R'
R' B L D U R' F2
R' B L D U F2 R'
R' B L D2 R2 U R
L' B L U2 L' U' R'
R2 B L U R' D F2
R2 B L U D R' F2
R2 B L U D F2 R'
R2 B L U2 L2 U' R'
R2 B L D U R' F2
R2 B L D U F2 R'
R2 B L D2 R2 U R
D B L U2 L2 F U'
D B L D B' U F2
D B L D2 R2 B' U
D B L D2 B' R2 U
L B L U2 L U' R'
D B L B' U D F2
D B L B' U2 L2 U'
D B L B' D U F2
D B L B' D2 R2 U
R B L U R' D F2
R B L U D R' F2
R B L U D F2 R'
R B L U2 L2 U' R'
R B L D U R' F2
R B L D U F2 R'
R B L D2 R2 U R
F2 B L R F2 U R2
F2 B R L F2 U R2
L B D L U R' F2
L B D L U F2 R'
F2 B R F2 L U R2
L B D2 L R2 U R
L B D2 R2 L U R
U' B' L U' L2 U' B'
U' B' L D F U2 F
U' B' L D' F B2 U2
U' B' L D' B2 F U2
U' B' L F U' L2 U'
U' B' L F U2 D F2
U' B' L F D U2 F2
U' B' L F D' B2 U2
L' B' R' U L U2 L'
D B' U2 L' R' F U'
D B' U2 L' F R' U'
D B' U2 R' L' F U'
B F2 L R F2 U R2
L2 B2 R' B' L U R'
B F2 R L F2 U R2
B F2 R F2 L U R2
