R2 U' F' R' U
R2 L U' F' R' U
R2 L' U' F' R' U
L' R2 U' F' R' U
L2 R2 U' F' R' U
R2 L2 U' F' R' U
L R2 U' F' R' U
F2 L' B U' R2 B'
F2 L' B U' B' R2
R2 U' D F' R' U
R2 U' D' F' R' U
R2 U' D2 F' R' U
R2 U' F R' F2 U
R2 U' F' R' U D
R2 U' F' R' U D'
R2 U' F' R' U D2
R2 U' F' R' D U
R2 U' F' R' D' U
R2 U' F' R' D2 U
R2 U' F' D R' U
R2 U' F' D' R' U
R2 U' F' D2 R' U
R2 U' F2 R' F U
F R2 U' F' R U
U' R2 F' R' U R
R2 D U' F' R' U
F2 U L' B U' R2
D' U F2 L' B U'
D' U F2 B L' U'
D' U B F2 L' U'
F2 U B L' U' R2
R2 D' U' F' R' U
U D' F2 L' B U'
U D' F2 B L' U'
U D' B F2 L' U'
R2 D2 U' F' R' U
B U2 R U R B'
B U2 R U B' R
R2 F U' R' F2 U
R2 F U' F2 R' U
D' F2 L' B U' B'
U F2 L' B U' R2
R2 F2 U' R' F U
R2 F2 U' F R' U
U F2 B L' U' R2
U B U2 R U R
U B D' F2 L' U'
U B F2 L' U' R2
R2 L' U' F R' F2 U
R2 L' U' F' R' U D
R2 L' U' F' R' U D'
R2 L' U' F' R' U D2
R2 L' U' F' R' D U
R2 L' U' F' R' D' U
R2 L' U' F' R' D2 U
R2 L' U' F' D R' U
R2 L' U' F' D' R' U
R2 L' U' F' D2 R' U
R2 L' U' F2 R' F U
R2 L' D U' F' R' U
F2 L' R2 U' F' U F
F L' R2 U' F' R U
R2 L' D' U' F' R' U
R2 L' D2 U' F' R' U
D' L' U F2 L' B U'
D' L' U F2 B L' U'
D' L' U B F2 L' U'
R2 L' F U' R' F2 U
R2 L' F U' F2 R' U
R2 L' F2 U' R' F U
R2 L' F2 U' F R' U
F2 L' D' F2 B U' B'
F2 L' D' B F2 U' B'
U L' D' F2 L' B U'
U L' D' F2 B L' U'
U L' D' B F2 L' U'
F2 L' F B U' R2 B'
F2 L' F B U' B' R2
F2 L' F' B U' R2 B'
F2 L' F' B U' B' R2
D' L' F2 L' B U' B'
L' R2 U' D F' R' U
L' R2 U' D' F' R' U
L' R2 U' D2 F' R' U
L' R2 U' F R' F2 U
L' R2 U' F' R' U D
L' R2 U' F' R' U D'
L' R2 U' F' R' U D2
L' R2 U' F' R' D U
L' R2 U' F' R' D' U
L' R2 U' F' R' D2 U
L' R2 U' F' D R' U
L' R2 U' F' D' R' U
L' R2 U' F' D2 R' U
L' R2 U' F2 R' F U
L2 R2 U' D F' R' U
U L' F2 L' B U' R2
R2 L2 U' D F' R' U
L R2 U' D F' R' U
L2 R2 U' D' F' R' U
R2 L2 U' D' F' R' U
L R2 U' D' F' R' U
L2 R2 U' D2 F' R' U
R2 L2 U' D2 F' R' U
L2 R2 U' F R' F2 U
L R2 U' D2 F' R' U
R2 L2 U' F R' F2 U
L R2 U' F R' F2 U
L2 R2 U' F' R' U D
L2 R2 U' F' R' U D'
L2 R2 U' F' R' U D2
L2 R2 U' F' R' D U
L2 R2 U' F' R' D' U
L2 R2 U' F' R' D2 U
R2 L2 U' F' R' U D
R2 L2 U' F' R' U D'
R2 L2 U' F' R' U D2
L2 R2 U' F' D R' U
R2 L2 U' F' R' D U
R2 L2 U' F' R' D' U
R2 L2 U' F' R' D2 U
L2 R2 U' F' D' R' U
L2 R2 U' F' D2 R' U
R2 L2 U' F' D R' U
R2 L2 U' F' D' R' U
R2 L2 U' F' D2 R' U
L R2 U' F' R' U D
L R2 U' F' R' U D'
L R2 U' F' R' U D2
L R2 U' F' R' D U
L R2 U' F' R' D' U
L R2 U' F' R' D2 U
L2 R2 U' F2 R' F U
L R2 U' F' D R' U
L R2 U' F' D' R' U
L R2 U' F' D2 R' U
R2 L2 U' F2 R' F U
L R2 U' F2 R' F U
F2 L' F2 B U' R2 B'
F2 L' F2 B U' B' R2
U L' F2 B L' U' R2
F2 L' B R U' R B'
F2 L' B R U' B' R
F2 L' B R' U' R' B'
F2 L' B U' R B' R
F2 L' B U' R2 D B'
F2 L' B U' R2 D' B'
F2 L' B U' R2 D2 B'
F2 L' B U' R2 B' D
F2 L' B U' R2 B' D'
F2 L' B U' R2 B' D2
F2 L' B U' B R2 B2
F2 L' B U' B' R2 D
F2 L' B U' B' R2 D'
F2 L' B U' B' R2 D2
F2 L' B D' F2 U' B'
F2 L' B F U' R2 B'
F2 L' B F U' B' R2
F2 L' B F' U' R2 B'
F2 L' B F' U' B' R2
U L' B U2 R U R
F2 L' B F2 U' R2 B'
F2 L' B F2 U' B' R2
U L' B D' F2 L' U'
L' R2 D U' F' R' U
U L' B F2 L' U' R2
L2 R2 D U' F' R' U
R2 L2 D U' F' R' U
L R2 D U' F' R' U
L' R2 D' U' F' R' U
L2 R2 D' U' F' R' U
R2 L2 D' U' F' R' U
L R2 D' U' F' R' U
L' R2 D2 U' F' R' U
L2 R2 D2 U' F' R' U
R2 L2 D2 U' F' R' U
L R2 D2 U' F' R' U
L' R2 F U' R' F2 U
L' R2 F U' F2 R' U
L2 R2 F U' R' F2 U
L2 R2 F U' F2 R' U
R2 L2 F U' R' F2 U
R2 L2 F U' F2 R' U
L R2 F U' R' F2 U
L R2 F U' F2 R' U
F L2 R2 U' F' R U
F2 L2 U L B U' R2
D' L2 U F2 L' B U'
D' L2 U F2 B L' U'
D' L2 U B F2 L' U'
L' R2 F2 U' R' F U
L' R2 F2 U' F R' U
L2 R2 F2 U' R' F U
L2 R2 F2 U' F R' U
R2 L2 F2 U' R' F U
R2 L2 F2 U' F R' U
L R2 F2 U' R' F U
L R2 F2 U' F R' U
R2 U L U2 F' R' U
U L2 D' F2 L' B U'
U L2 D' F2 B L' U'
U L2 D' B F2 L' U'
R2 U L' U2 F' R' U
R2 U L2 U2 F' R' U
D' L2 F2 L' B U' B'
B L2 F2 L' U' R2 B
U L2 F2 L' B U' R2
U L2 F2 B L' U' R2
U L2 B U2 R U R
U L2 B D' F2 L' U'
U L2 B F2 L' U' R2
L' U D' F2 L' B U'
L' U D' F2 B L' U'
L' U D' B F2 L' U'
L2 U D' F2 L' B U'
L2 U D' F2 B L' U'
L2 U D' B F2 L' U'
L U D' F2 L' B U'
L U D' F2 B L' U'
L U D' B F2 L' U'
U' R U R U' F' U
L' U F2 L' B U' R2
B R U R B2 L B
L2 U F2 L' B U' R2
B R U B R B2 L
L U F2 L' B U' R2
L' U F2 B L' U' R2
L2 U F2 B L' U' R2
B R U' R' B' R2 F'
L U F2 B L' U' R2
L' U B U2 R U R
L' U B D' F2 L' U'
B R U' B' R2 F' R'
L2 U B U2 R U R
L' U B F2 L' U' R2
L2 U B D' F2 L' U'
L U B U2 R U R
L2 U B F2 L' U' R2
L U B D' F2 L' U'
B2 R U2 B' U' R B'
B2 R U2 B' U' B' R
U R U2 R' B U' R2
L U B F2 L' U' R2
U' R D B' U L R
U' R D B' U R L
R2 U B2 L U2 F' U
F R D' L' R F L'
F R D' R L' F L'
F R D' R F L' F
R2 U' L' F' L R' U
R2 U' L' F' R' L U
R2 U' L2 F' L2 R' U
R2 U' L2 F' R' L2 U
R2 U' R' D' F U L'
R2 U' R' D' F U L'
L' U' R2 F' R' U R
R' U' R2 B U L R
R' U' R2 B U R L
L2 U' R2 F' R' U R
L U' R2 F' R' U R
R2 U' D F R' F2 U
R2 U' D F' R' U D
R2 U' D F' R' U D'
R2 U' D F' R' U D2
R2 U' D F' R' D U
R2 U' D F' R' D' U
R2 U' D F' R' D2 U
R2 U' D F' D R' U
R2 U' D F' D' R' U
R2 U' D F' D2 R' U
R2 U' D F2 R' F U
R2 U' D' F R' F2 U
R2 U' D' F' R' U D
R2 U' D' F' R' U D'
R2 U' D' F' R' U D2
R2 U' D' F' R' D U
R2 U' D' F' R' D' U
R2 U' D' F' R' D2 U
R2 U' D' F' D R' U
R2 U' D' F' D' R' U
R2 U' D' F' D2 R' U
R2 U' D' F2 R' F U
R2 U' D2 F R' F2 U
R2 U' D2 F' R' U D
R2 U' D2 F' R' U D'
R2 U' D2 F' R' U D2
R2 U' D2 F' R' D U
R2 U' D2 F' R' D' U
R2 U' D2 F' R' D2 U
R2 U' D2 F' D R' U
R2 U' D2 F' D' R' U
R2 U' D2 F' D2 R' U
R2 U' D2 F2 R' F U
R2 U' F R F2 R2 U
R2 U' F R' U D' L2
R2 U' F R' D' U L2
R2 U' F R' F2 U D
R2 U' F R' F2 U D'
R2 U' F R' F2 U D2
R2 U' F R' F2 D U
R2 U' F R' F2 D' U
R2 U' F R' F2 D2 U
R2 U' F D' R' U L2
R2 U' F' R U D' F2
R2 U' F' R D' U F2
R2 U' F' R2 D R U
R2 U' F' R2 D' R U
R2 U' F' R2 D2 R U
R2 U' F' D R' U D
R2 U' F' D R' U D'
R2 U' F' D R' U D2
R2 U' F' D R' D U
R2 U' F' D R' D' U
R2 U' F' D R' D2 U
R2 U' F' D' R' U D
R2 U' F' D' R' U D'
R2 U' F' D' R' U D2
R2 U' F' D' R' D U
R2 U' F' D' R' D' U
R2 U' F' D' R' D2 U
R2 U' F' D2 R' U D
R2 U' F' D2 R' U D'
R2 U' F' D2 R' U D2
R2 U' F' D2 R' D U
R2 U' F' D2 R' D' U
R2 U' F' D2 R' D2 U
R2 U' F2 R F R2 U
R2 U' F2 R' D F U
R2 U' F2 R' D' F U
R2 U' F2 R' D2 F U
R2 U' F2 R' F U D
R2 U' F2 R' F U D'
R2 U' F2 R' F U D2
R2 U' F2 R' F D U
R2 U' F2 R' F D' U
R2 U' F2 R' F D2 U
R2 U' F2 D R' F U
R2 U' F2 D F R' U
R2 U' F2 D' R' F U
R2 U' F2 D' F R' U
R2 U' F2 D2 R' F U
R2 U' F2 D2 F R' U
B R' U' D' R' F2 B'
B R' U' D' R' B' F2
B R' U' D' F2 R' B'
B R' U2 R2 U R B'
B R' U2 R2 U B' R
B R' D' U' R' F2 B'
B R' D' U' R' B' F2
B R' D' U' F2 R' B'
F R2 L U' F' R U
F2 R2 L' U' F' U F
F R2 L' U' F' R U
F R2 L2 U' F' R U
F2 R2 U L' U2 F' U
F' R2 U' F' R' U F'
F2 R2 U' F2 R F U
D R2 U' F' R' B2 U
F R2 U' F' R U D
F R2 U' F' R U D'
F R2 U' F' R U D2
F R2 U' F' R D U
F R2 U' F' R D' U
F R2 U' F' R D2 U
F R2 U' F' D R U
F R2 U' F' D' R U
F R2 U' F' D2 R U
U' R2 D F' R' U R
U' R2 D' F' R' U R
F R2 D' L' F D' L2
R2 D L U' F' R' U
U' R2 D2 F' R' U R
R2 D L' U' F' R' U
F' R2 F U' R F2 U
U' R2 F' R' U R D
U' R2 F' R' U R D'
U' R2 F' R' U R D2
U' R2 F' R' U D R
U' R2 F' R' U D' R
U' R2 F' R' U D2 R
U' R2 F' R' D U R
U' R2 F' R' D' U R
U' R2 F' R' D2 U R
U' R2 F' R' B U R
U' R2 F' R' B' U R
U' R2 F' R' B2 U R
R2 D L2 U' F' R' U
F' R2 F' U L' U' L
F R2 F U' F2 R U
U' R2 F' D R' U R
U' R2 F' D' R' U R
U' R2 F' D2 R' U R
D R2 F' R' B2 U B2
F2 R2 F2 U' R F U
B2 R2 B2 U L B U'
R2 D U' F R' F2 U
R2 D U' F' R' U D
R2 D U' F' R' U D'
R2 D U' F' R' U D2
R2 D U' F' R' D U
R2 D U' F' R' D' U
R2 D U' F' R' D2 U
R2 D U' F' D R' U
R2 D U' F' D' R' U
R2 D U' F' D2 R' U
R2 D U' F2 R' F U
D' U L F2 L' B U'
D' U L F2 B L' U'
D' U L B F2 L' U'
F' U L B U' R2 F
F' U L B U' F R2
F2 U L B L2 U' R2
D' U L' F2 L' B U'
D' U L' F2 B L' U'
D' U L' B F2 L' U'
F2 U L' D' F2 B U'
F2 U L' D' B F2 U'
F2 U L' F B U' R2
F2 U L' F' B U' R2
F2 U L' F2 B U' R2
F2 U L' B U' R2 D
F2 U L' B U' R2 D'
F2 U L' B U' R2 D2
F2 U L' B D' F2 U'
F2 U L' B F U' R2
F2 U L' B F' U' R2
F2 U L' B F2 U' R2
R2 D F U' R' F2 U
R2 D F U' F2 R' U
D' U L2 F2 L' B U'
D' U L2 F2 B L' U'
D' U L2 B F2 L' U'
R2 D F2 U' R' F U
R2 D F2 U' F R' U
U' D R2 F' R' B2 U
R D B' U L B R
F2 U D' L' F2 B U'
F2 U D' L' B F2 U'
F2 U D' B L' F2 U'
D' U F2 L B L2 U'
D' U F2 L' D B U'
D' U F2 L' D' B U'
D' U F2 L' D2 B U'
D' U F2 L' B U' D
D' U F2 L' B U' D'
D' U F2 L' B U' D2
D' U F2 L' B D U'
D' U F2 L' B D' U'
D' U F2 L' B D2 U'
R2 D' L U' F' R' U
D' U F2 D L' B U'
D' U F2 D B L' U'
D' U F2 D' L' B U'
D' U F2 D' B L' U'
D' U F2 D2 L' B U'
D' U F2 D2 B L' U'
D' U F2 B L' U' D
D' U F2 B L' U' D'
D' U F2 B L' U' D2
D' U F2 B L' D U'
D' U F2 B L' D' U'
D' U F2 B L' D2 U'
D' U F2 B D L' U'
D' U F2 B D' L' U'
D' U F2 B D2 L' U'
D' U F2 B' L' B2 U'
D' U B L F2 L' U'
D' U B L' F2 L' U'
R2 D' L' U' F' R' U
D' U B L2 F2 L' U'
D2 U B D F2 L' U'
D' U B F2 L' U' D
D' U B F2 L' U' D'
D' U B F2 L' U' D2
D' U B F2 L' D U'
D' U B F2 L' D' U'
D' U B F2 L' D2 U'
F U F L' B U' R2
D' U B F2 D L' U'
D' U B F2 D' L' U'
D' U B F2 D2 L' U'
R2 D' L2 U' F' R' U
D U B U2 B R U
F U F B L' U' R2
D' U B' F2 L' B2 U'
U D B U2 B R U
R' D' R' U' F' U F'
U' D B2 R U2 B' U'
R' D' R' F D' F L2
R' D' R' F2 U' F U
F' U B L U' R2 F
F' U B L U' F R2
F2 U B L' U' R2 D
F2 U B L' U' R2 D'
F2 U B L' U' R2 D2
F2 U B L' D' F2 U'
F2 U B L' F U' R2
F2 U B L' F' U' R2
F2 U B L' F2 U' R2
F2 U B D' L' F2 U'
F2 U B' L' B2 U' R2
L' D' U F2 L' B U'
L' D' U F2 B L' U'
F U B F L' U' R2
L' D' U B F2 L' U'
U D' L F2 L' B U'
L2 D' U F2 L' B U'
U D' L F2 B L' U'
L2 D' U F2 B L' U'
U D' L B F2 L' U'
L2 D' U B F2 L' U'
L D' U F2 L' B U'
R2 D' U' F R' F2 U
L D' U F2 B L' U'
U D' L' F2 L' B U'
R2 D' U' F' R' U D
R2 D' U' F' R' U D'
R2 D' U' F' R' U D2
R2 D' U' F' R' D U
R2 D' U' F' R' D' U
R2 D' U' F' R' D2 U
L D' U B F2 L' U'
R2 D' U' F' D R' U
R2 D' U' F' D' R' U
R2 D' U' F' D2 R' U
U D' L' F2 B L' U'
R2 D' U' F2 R' F U
U D' L' B F2 L' U'
R' D' F R' F D' L2
U D' L2 F2 L' B U'
U D' L2 F2 B L' U'
U D' L2 B F2 L' U'
R2 D' F U' R' F2 U
R2 D' F U' F2 R' U
R' D' F2 R' U' F' U
L' D' F2 L' B U' B'
L2 D' F2 L' B U' B'
D U' R2 F' R' B2 U
R2 D' F2 U' R' F U
R2 D' F2 U' F R' U
F' U' R' U F' L' R'
F' U' R' U F' R' L'
L D' F2 L' B U' B'
B U' R' D' R' F2 B'
B U' R' D' R' B' F2
B U' R' D' F2 R' B'
B U' R2 U' R' U B'
U D' F2 L B L2 U'
U D' F2 L' D B U'
U D' F2 L' D' B U'
U D' F2 L' D2 B U'
U D' F2 L' B U' D
U D' F2 L' B U' D'
U D' F2 L' B U' D2
U D' F2 L' B D U'
U D' F2 L' B D' U'
U D' F2 L' B D2 U'
F U' R2 F' R U R'
U D' F2 D L' B U'
U D' F2 D B L' U'
U D' F2 D' L' B U'
U D' F2 D' B L' U'
U D' F2 D2 L' B U'
U D' F2 D2 B L' U'
U D' F2 B L' U' D
U D' F2 B L' U' D'
U D' F2 B L' U' D2
U D' F2 B L' D U'
U D' F2 B L' D' U'
U D' F2 B L' D2 U'
U D' F2 B D L' U'
U D' F2 B D' L' U'
U D' F2 B D2 L' U'
U D' F2 B' L' B2 U'
U D' B L F2 L' U'
U D' B L' F2 L' U'
R2 D2 L U' F' R' U
U D' B L2 F2 L' U'
U D' B F2 L' U' D
U D' B F2 L' U' D'
U D' B F2 L' U' D2
U D' B F2 L' D U'
U D' B F2 L' D' U'
U D' B F2 L' D2 U'
U D' B F2 D L' U'
U D' B F2 D' L' U'
U D' B F2 D2 L' U'
R2 D2 L' U' F' R' U
D U' B2 R U2 B' U'
U D' B' F2 L' B2 U'
R2 D2 L2 U' F' R' U
B U' B' R' D' R' F2
B U' B' R' D' F2 R'
B U' B' R2 U' R' U
B U' B' U' R U R
R2 D2 U' F R' F2 U
R2 D2 U' F' R' U D
R2 D2 U' F' R' U D'
R2 D2 U' F' R' U D2
R2 D2 U' F' R' D U
R2 D2 U' F' R' D' U
R2 D2 U' F' R' D2 U
R2 D2 U' F' D R' U
R2 D2 U' F' D' R' U
R2 D2 U' F' D2 R' U
R2 D2 U' F2 R' F U
R2 D2 F U' R' F2 U
R2 D2 F U' F2 R' U
B U2 R U R D B'
B U2 R U R D' B'
B U2 R U R D2 B'
B U2 R U R B' D
B U2 R U R B' D'
B U2 R U R B' D2
B U2 R U R' B' R2
B U2 R U D R B'
B U2 R U D B' R
B U2 R U D' R B'
B U2 R U D' B' R
B U2 R U D2 R B'
B U2 R U D2 B' R
B U2 R U B R B2
R2 D2 F2 U' R' F U
B U2 R U B' R D
B U2 R U B' R D'
B U2 R U B' R D2
B U2 R U B' D R
B U2 R U B' D' R
B U2 R U B' D2 R
R2 D2 F2 U' F R' U
B U2 R D U R B'
B U2 R D U B' R
B U2 R D' U R B'
B U2 R D' U B' R
B U2 R D2 U R B'
B U2 R D2 U B' R
B U2 R B U R B2
B U2 R B U B2 R
B U2 R B2 U B R
U D2 B D F2 L' U'
B U2 D R B2 U B
R2 F L U' R' F2 U
R2 F L U' F2 R' U
R2 F L' U' R' F2 U
R2 F L' U' F2 R' U
R2 F L2 U' R' F2 U
R2 F L2 U' F2 R' U
R' F R' U' F' R' U
R2 F R D' L2 R' F2
R2 F R D' L2 F2 R'
R2 F R D' R' L2 F2
R2 F R D' R' F2 L2
R2 F R D' F2 L2 R'
R2 F R D' F2 R' L2
L' F R2 U' F' R U
U' F R2 F' R U R'
B U2 B R U R B2
B U2 B R U B2 R
L2 F R2 U' F' R U
D' F U F L' B U'
D' F U F B L' U'
D' F U B F L' U'
L F R2 U' F' R U
R2 F U D2 B2 L U'
R2 F U' R F2 R2 U
R2 F U' R' U D' L2
R2 F U' R' D' U L2
R2 F U' R' F2 U D
R2 F U' R' F2 U D'
R2 F U' R' F2 U D2
R2 F U' R' F2 D U
R2 F U' R' F2 D' U
R2 F U' R' F2 D2 U
R2 F U' D' R' U L2
R2 F U' F R' F U
R2 F U' F2 R' U D
R2 F U' F2 R' U D'
R2 F U' F2 R' U D2
R2 F U' F2 R' D U
R2 F U' F2 R' D' U
R2 F U' F2 R' D2 U
R2 F U' F2 D R' U
R2 F U' F2 D' R' U
R2 F U' F2 D2 R' U
B2 D L2 R F B2 U
B2 D L2 R B2 F U
B2 D L2 B2 R F U
B2 D R L2 F B2 U
B2 D R L2 B2 F U
R2 F D' L2 U' R' U
R2 F D' U' R' U L2
R2 F D2 U B2 L U'
B D U2 R B2 U B
R' F' R' U' F' R' U
R2 F' R' B U R B'
R2 F' R' B U B' R
R2 F' R' B' U B R
R2 F' R' B2 U R B2
R2 F' R' B2 U B2 R
B' D B2 R U B' L2
R2 F' U B2 L U' L'
R2 F' U' R' U' R U2
R2 F' U' R' F2 U L'
U' F' U2 B L U' R2
B D' L F2 L' U' B'
F2 D' L' F2 B U' B'
F2 D' L' B F2 U' B'
F2 D' U L' F2 B U'
F2 D' U L' B F2 U'
U F' B U' R' F' R'
F2 D' U B L' F2 U'
D' F2 L' D B U' B'
D' F2 L' D' B U' B'
D' F2 L' D2 B U' B'
D' F2 L' B R U' B'
D' F2 L' B R' U' B'
D' F2 L' B R2 U' B'
D' F2 L' B U' D B'
D' F2 L' B U' D' B'
D' F2 L' B U' D2 B'
D' F2 L' B U' B' D
D' F2 L' B U' B' D'
D' F2 L' B U' B' D2
D' F2 L' B D U' B'
D' F2 L' B D' U' B'
D' F2 L' B D2 U' B'
L' F2 L' B U' R2 B'
L' F2 L' B U' B' R2
L2 F2 L' B U' R2 B'
L2 F2 L' B U' B' R2
U F2 L B L2 U' R2
U F2 L' D' F2 B U'
U F2 L' D' B F2 U'
U F2 L' F B U' R2
U F2 L' F' B U' R2
U F2 L' F2 B U' R2
U F2 L' B U' R2 D
U F2 L' B U' R2 D'
U F2 L' B U' R2 D2
U F2 L' B D' F2 U'
U F2 L' B F U' R2
U F2 L' B F' U' R2
U F2 L' B F2 U' R2
L F2 L' B U' R2 B'
L F2 L' B U' B' R2
R' F2 R' U' F' R' U
B2 D' F2 R2 B' L' U'
B2 D' F2 B' L' R2 U'
B2 D' F2 B' R2 L' U'
L' F2 U L' B U' R2
B2 D' B' F2 L' R2 U'
B2 D' B' F2 R2 L' U'
L2 F2 U L' B U' R2
L' F2 U B L' U' R2
L2 F2 U B L' U' R2
U' F2 U2 L' B U' R2
L F2 U L' B U' R2
R2 F2 U' R F R2 U
U' F2 U2 B L' U' R2
R2 F2 U' R' D F U
R2 F2 U' R' D' F U
R2 F2 U' R' D2 F U
R2 F2 U' R' F U D
R2 F2 U' R' F U D'
R2 F2 U' R' F U D2
R2 F2 U' R' F D U
R2 F2 U' R' F D' U
R2 F2 U' R' F D2 U
R2 F2 U' D R' F U
R2 F2 U' D F R' U
R2 F2 U' D' R' F U
R2 F2 U' D' F R' U
R2 F2 U' D2 R' F U
R2 F2 U' D2 F R' U
R2 F2 U' F R' U D
R2 F2 U' F R' U D'
R2 F2 U' F R' U D2
L F2 U B L' U' R2
R2 F2 U' F R' D U
R2 F2 U' F R' D' U
R2 F2 U' F R' D2 U
R2 F2 U' F D R' U
R2 F2 U' F D' R' U
R2 F2 U' F D2 R' U
R2 F2 U' F' R' F2 U
D' F2 D L' B U' B'
D' F2 D' L' B U' B'
R2 F2 D U' R' F U
R2 F2 D U' F R' U
D' F2 D2 L' B U' B'
R2 F2 D' U' R' F U
R2 F2 D' U' F R' U
U F2 D' L' F2 B U'
U F2 D' L' B F2 U'
R2 F2 D2 U' R' F U
R2 F2 D2 U' F R' U
U F2 D' B L' F2 U'
D' F2 B' L' B2 U' B'
U F2 B L' U' R2 D
U F2 B L' U' R2 D'
U F2 B L' U' R2 D2
U F2 B L' D' F2 U'
U F2 B L' F U' R2
U F2 B L' F' U' R2
U F2 B L' F2 U' R2
U F2 B D' L' F2 U'
U F2 B' L' B2 U' R2
D' B L F2 L' U' B'
U B L U2 R U R
U B L D' F2 L' U'
U B L F2 L' U' R2
U B L' U2 R U R
U B L' D' F2 L' U'
U B L' F2 L' U' R2
U B L2 U2 R U R
U B L2 D' F2 L' U'
U B L2 F2 L' U' R2
L' B U2 R U R B'
L' B U2 R U B' R
R B U D R B' L
R B U D B' L R
R B U D B' R L
L2 B U2 R U R B'
L2 B U2 R U B' R
U B U' R' D' R' F2
U B U' R' D' F2 R'
U B U' R2 U' R' U
D B U2 B R U B2
L B U2 R U R B'
L B U2 R U B' R
U B U2 R U R D
U B U2 R U R D'
U B U2 R U R D2
U B U2 R U D R
U B U2 R U D' R
U B U2 R U D2 R
U B U2 R D U R
U B U2 R D' U R
U B U2 R D2 U R
U B U2 R B U R
U B U2 R B' U R
U B U2 R B2 U R
U B U2 D R B2 U
U B U2 D B2 R U
U B U2 B R U R
U B U2 B' R U R
U B U2 B2 R U R
U B D U2 R B2 U
U B D U2 B2 R U
F' B R' U' R' F' B'
F' B R' U' R' B' F'
R B D U R B' L
R B D U B' L R
R B D U B' R L
U B D' L F2 L' U'
U B D' L' F2 L' U'
U B D' L2 F2 L' U'
U B D' F2 L' U' D
U B D' F2 L' U' D'
U B D' F2 L' U' D2
U B D' F2 L' D U'
U B D' F2 L' D' U'
U B D' F2 L' D2 U'
U B D' F2 D L' U'
U B D' F2 D' L' U'
U B D' F2 D2 L' U'
F' B U' R' F' R' B'
U B F' U' R' F' R'
F' B U' B' R' F' R'
U B F2 L' U' R2 D
U B F2 L' U' R2 D'
U B F2 L' U' R2 D2
U B F2 L' D' F2 U'
U B F2 L' F U' R2
U B F2 L' F' U' R2
U B F2 L' F2 U' R2
U B F2 D' L' F2 U'
U' B' R U R D L2
U' B' R U D L2 R
U' B' R U D R L2
U' B' R U2 B2 U' R
U' B' R D U L2 R
U' B' R D U R L2
F2 B' L' B2 U' R2 B'
F2 B' L' B2 U' B' R2
U' B' D R B2 U L2
U' B' D B2 R U L2
B F' R' U' R' F' B'
B F' R' U' R' B' F'
B F' U' R' F' R' B'
D' B' F2 L' B2 U' B'
B F' U' B' R' F' R'
U B' F2 L' B2 U' R2
U' B2 R U2 B' U' R
D B2 L2 R F U B2
B' F2 L' B2 U' R2 B'
B' F2 L' B2 U' B' R2
D B2 R L2 F U B2
D B2 R U2 B' U' B'
D B2 R D L2 F U
D B2 D L2 R F U
D B2 D R L2 F U
U B2 D' F2 B' L' U'
U B2 D' B' F2 L' U'
