R' L F L2 U R2
R' L' U2 B' U' R2
L' R' U2 B' U' R2
U2 L' R' F' U R2
L R' F L2 U R2
U2 R' L' F' U R2
L' R' B D B2 U L2
L R' B F L2 U R2
R' L' B' U R2 D2 L2
L' R' B' U R2 D2 L2
U2 L' D2 R' F' U R2
L R' B' F L2 U R2
R' L' B2 U2 B U' R2
L' R' B2 U2 B U' R2
U2 L' F R' F' U R
R L' B2 R2 F' U R2
L R' B2 F L2 U R2
U2 L2 R' F' L U R2
L U R' F L2 U R2
R' U R2 B L D' B2
U2 R U' L' R2 F' U
R' U B L R2 D' B2
U2 R U' R2 L' F' U
R' U B R2 L D' B2
R U' L' R2 F' U L'
R U' L' F' R2 U L'
L U' R' F L2 U R2
U R B L D' F2 B2
U R B L D' B2 F2
R U' R2 L' F' U L'
D2 R' L F L2 U R2
D' R' L F L2 U R2
F' R' L F L' U R
U2 R' L F' L2 U R2
D R' L F L2 U R2
D2 R' L' U2 B' U' R2
D' R' L' U2 B' U' R2
U' R' L' F' U L' R2
U' R' L' F' U R2 L'
U2 R' L' D F' B2 U
U2 R' L' D B2 F' U
D R' L' U2 B' U' R2
U2 R' L' F' U R2 D
U2 R' L' F' U R2 D'
U2 R' L' F' U R2 D2
U2 R' L' F' D B2 U
U2 R' L' F' B U R2
U2 R' L' F' B' U R2
U2 R' L' F' B2 U R2
U2 R' L' B F' U R2
U2 R' L' B' F' U R2
U2 R' L' B2 F' U R2
U R' L' B U L R2
U R' L' B U R2 L
U2 R' L2 F' L U R2
U2 R' D L' F' B2 U
U2 R' D L' B2 F' U
U2 R' D B2 L' F' U
U2 R' B L' F' U R2
L U2 R' F L2 U R2
U R' B L' U L2 R2
U R' B L' U R2 L2
U2 R' B' L' F' U R2
U2 R' B2 L' F' U R2
R' U2 D' F2 R B U'
R' U2 F2 R B U' R
L' U2 B' U' D' R F'
L' U2 B' D' U' R F'
L' U2 B2 L B U' R
R' D L F L2 B2 U
R' D L F B2 L2 U
R' D L B2 F L2 U
R' D L' B2 U2 B U'
L' D R' U2 B' U' R2
U2 D L' R' F' U R2
U2 D R' L' F' U R2
R' D B2 L F L2 U
R' D B2 L' U2 B' U'
R' D' L F L2 B' U
R' D' L' U2 F2 B' U'
R' D' L' U2 B' F2 U'
L' D' R' U2 B' U' R2
L D' R' F U R2 B2
L D' R' F U B2 R2
U2 D' L' R' F' U R2
R' D' U2 F2 R B U'
U2 D' R' L' F' U R2
D' U2 L' R' F' U R2
D2 U2 L' R' F' U R2
U2 D2 L' R' F' U R2
L' D2 R' U2 B' U' R2
D U2 L' R' F' U R2
D' U2 R' L' F' U R2
D2 U2 R' L' F' U R2
U2 D2 R' L' F' U R2
D U2 R' L' F' U R2
F U2 R' F' U R B
L F L2 D R' B U
U2 F R' F' L' U R
R' F' L F L' U R2
L' F' R' U2 B' U' R'
R2 F2 L' R B' U' R2
R2 F2 R L' B' U' R2
R' F2 U2 R B U' R
R' B L F L2 U R2
R' B L' U2 B' U' R2
R' B' L F L2 U R2
R' B' L' U2 B' U' R2
R' B2 L F L2 U R2
L2 B2 L R' B' U' R2
R' B2 L' U2 B' U' R2
L2 B2 R' L B' U' R2
L' B2 U2 L B U' R
