L2 R' U R B' U'
L2 R' U B' R U'
R' L2 U R B' U'
R' L2 U B' R U'
R' U R U2 F U
R' U' F2 L' F' U
U' R' U' R F U
F' U' R' D' F L2
F' U' D' R' F L2
F' U' D' F L2 R'
F' U' D' F R' L2
F U' F R' F2 L'
F2 U2 F' U F' R'
F' U2 F2 U F' R'
L' F U' F' L' R'
L' F U' F' R' L'
U' F B' U B R'
U' F B2 U B2 R'
F' D' U' R' F L2
F' D' U' R' F L2
F' D' U' F L2 R'
F' D' U' F R' L2
U' B' F U B R'
U' B2 F U B2 R'
F U' F L2 R' F2 L'
F U' F R' L F2 L'
F U' F R' L' F2 L'
F U' F R' L2 F2 L'
F U' F R' F2 L' D
F U' F R' F2 L' D'
F U' F R' F2 L' D2
F U' F R' F2 D L'
F U' F R' F2 D' L'
F U' F R' F2 D2 L'
D U' B2 F U B2 R'
B U' F B U B' R'
R2 D2 R U' F L2 U
F2 U' F2 R' U' F U
F U' F' R' U2 R U2
F U' F' R' F2 L' F2
F U' F' R2 D2 L2 R
F U' F' R2 D2 R L2
F2 U' F2 U' F U R'
L2 D2 R' U R B' U'
L2 D2 R' U B' R U'
F U' F2 R' F2 L' F'
B' U' B F U R' B'
L D2 R' U B R U'
R' D2 U R U2 F U
U' D2 R' U' R F U
B U' B F U B' R'
R' D2 U' F2 L' F' U
B2 U' B2 F U R' B2
F U' B' U2 F' B R'
F U' B' U2 B F' R'
B2 U2 L U L' F U
F U' B2 L U2 F' B2
F U' B2 L U2 B2 F'
F U' B2 U2 F' B2 R'
F U' B2 U2 B2 F' R'
L' D2 F U' F' L' R'
L' D2 F U' F' R' L'
U' D2 F B' U B R'
U' D2 F B2 U B2 R'
R2 D2 F L2 U F' R
F' U2 R F2 U F' R2
U' D2 B' F U B R'
U' D2 B2 F U B2 R'
F2 U2 D F' R2 U R
U' F L B' U B R'
U' F L B2 U B2 R'
L2 F L U' F' L' R'
L2 F L U' F' R' L'
U' F L' B' U B R'
U' F L' B2 U B2 R'
U' F L2 B' U B R'
U' F L2 B2 U B2 R'
F2 U2 F' U D F' R'
F2 U2 F' U D' F' R'
F2 U2 F' U D2 F' R'
F2 U2 F' U F R' F2
F2 U2 F' U F' R' D
F2 U2 F' U F' R' D'
F2 U2 F' U F' R' D2
F2 U2 F' U F' D R'
F2 U2 F' U F' D' R'
F2 U2 F' U F' D2 R'
F2 U2 F' U F2 R' F
F U2 F U R' F2 L'
F2 U2 F' D U F' R'
F2 U2 F' D' U F' R'
F2 U2 F' D2 U F' R'
U2 F R U R2 D' F2
L F L2 U' F' L' R'
L F L2 U' F' R' L'
F' U2 F2 U D F' R'
F' U2 F2 U D' F' R'
F' U2 F2 U D2 F' R'
F' U2 F2 U F R' F2
F' U2 F2 U F' R' D
F' U2 F2 U F' R' D'
F' U2 F2 U F' R' D2
F' U2 F2 U F' D R'
F' U2 F2 U F' D' R'
F' U2 F2 U F' D2 R'
F' U2 F2 U F2 R' F
F' U2 F2 D U F' R'
F' U2 F2 D' U F' R'
F' U2 F2 D2 U F' R'
U2 F R B' U R2 F'
U' F U R' U R U'
U' F U R2 D R B2
U' F U R2 D B2 R
U2 F U R' U' R U
U2 F U R2 D' R F2
L' F U' L F' L' R'
L' F U' L F' R' L'
L' F U' L' F' L' R'
L' F U' L' F' R' L'
L' F U' L2 F' L' R'
L' F U' L2 F' R' L'
D' F U' F R' F2 L'
L' F U' D F' L' R'
D2 F U' F R' F2 L'
L' F U' D F' R' L'
L' F U' D' F' L' R'
L' F U' D' F' R' L'
L' F U' D2 F' L' R'
L' F U' D2 F' R' L'
R2 F U F' D R B2
R2 F U F' D B2 R
L' F U' F' L' R' D
L' F U' F' L' R' D'
L' F U' F' L' R' D2
L' F U' F' L' D R'
L' F U' F' L' D' R'
L' F U' F' L' D2 R'
L' F U' F' R' L' D
L' F U' F' R' L' D'
L' F U' F' R' L' D2
L' F U' F' R' D L'
L' F U' F' R' D' L'
L' F U' F' R' D2 L'
L' F U' F' D L' R'
L' F U' F' D R' L'
L' F U' F' D' L' R'
L' F U' F' D' R' L'
L' F U' F' D2 L' R'
L' F U' F' D2 R' L'
L' F U' F2 R' F L'
D F U' F R' F2 L'
B' D L' F U' F' L'
U2 F U2 F U' F' R'
U2 F U2 F' U' R' F
U2 F U2 F' U' F R'
U F U' F' U2 R' F
U F U' F' U2 F R'
U2 F U2 F2 U' R' F2
U2 F U2 F2 U' F2 R'
L' F D U' F' L' R'
L' F D U' F' R' L'
U' F D B' U B R'
U' F D B2 U B2 R'
U' F D' B' U B R'
L' F D' U' F' L' R'
L' F D' U' F' R' L'
U' F D' B2 U B2 R'
U' F D2 B' U B R'
L' F D2 U' F' L' R'
L' F D2 U' F' R' L'
U' F D2 B2 U B2 R'
R F D B2 L U F'
U' F B' L U B R'
U' F B' L' U B R'
U' F B' L2 U B R'
U' F B' U B R' D
U' F B' U B R' D'
U' F B' U B R' D2
U' F B' U B D R'
U' F B' U B D' R'
U' F B' U B D2 R'
U' F B2 U R B2 R'
U' F B2 U R' B2 R'
U' F B2 U R2 B2 R'
U' F B2 U B2 R' D
U' F B2 U B2 R' D'
U' F B2 U B2 R' D2
U' F B2 U B2 D R'
U' F B2 U B2 D' R'
U' F B2 U B2 D2 R'
U' F B2 U' L U2 B2
F' D U R2 U2 R F
L2 F B' U' D2 F' R
U2 F B' U' B U2 R'
L2 F B' D2 U' F' R
U2 F B2 U' L B2 U2
U2 F B2 U' B2 U2 R'
F' D U' F D2 L2 R'
F' D U' F D2 R' L2
R F B2 L U F' R2
F2 D U2 F' R2 U R
F D U' F R' F2 L'
U' F' R' U' R F2 U
U' F' R2 D' L2 R F2
U' F' R2 D' R L2 F2
U' F' R2 D' R F2 L2
D2 F' U' R' D' F L2
D' F' U' R' D' F L2
D2 F' U' D' R' F L2
D2 F' U' D' F L2 R'
D2 F' U' D' F R' L2
L' F' U' R' F' L' F2
D' F' U' D' R' F L2
D' F' U' D' F L2 R'
D' F' U' D' F R' L2
L' F' U' F R' D2 L2
L' F' U' F' L' R' F2
L' F' U' F' L' F2 R'
L' F' U' F' R' L' F2
D F' U' R' D' F L2
D2 F' U2 F2 U F' R'
D' F' U2 F2 U F' R'
D F' U' D' R' F L2
D F' U' D' F L2 R'
D F' U' D' F R' L2
U F' U' R' D' L2 B'
L F' U' R' D F L'
U F' U' D' L2 R' B'
U F' U' D' R' L2 B'
L F' U' D R' F L'
L F' U' D F L' R'
L F' U' D F R' L'
D F' U2 F2 U F' R'
F2 D' L2 U2 F' U R'
D2 F' D' U' R' F L2
D2 F' D' U' F L2 R'
D2 F' D' U' F R' L2
D' F' D' U' R' F L2
D' F' D' U' F L2 R'
D' F' D' U' F R' L2
L F' D U' R' F L'
L F' D U' F L' R'
L F' D U' F R' L'
R2 F' D' F L2 R B'
R2 F' D' F L2 B' R
R2 F' D' F R L2 B'
D F' D' U' R' F L2
D F' D' U' F L2 R'
D F' D' U' F R' L2
U F' D' U' L2 R' B'
U F' D' U' R' L2 B'
F' D' U' R F L2 R2
F' D' U' R F R2 L2
F' D' U' R' F L2 D
F' D' U' R' F L2 D'
F' D' U' R' F L2 D2
F' D' U' R' F' L2 F2
F' D' U' R' F2 L2 F'
F' D' U' F L2 R' D
F' D' U' F L2 R' D'
F' D' U' F L2 R' D2
F' D' U' F L2 D R'
F' D' U' F L2 D' R'
F' D' U' F L2 D2 R'
F' D' U' F R' L2 D
F' D' U' F R' L2 D'
F' D' U' F R' L2 D2
F' D' U' F' L2 R' F2
F' D' U' F' L2 F2 R'
F' D' U' F' R' L2 F2
F' D' U' F' R' F2 L2
F' D' U' F2 L2 F' R'
F D' U' F R' F2 L'
F' D' F' U' L2 R' F2
F' D' F' U' L2 F2 R'
F' D' F' U' R' L2 F2
F' D' F' U' R' F2 L2
F' D' F' U' F2 L2 R'
F' D' F' U' F2 R' L2
U' F2 R' U' R F' U
F' D' F2 U' L2 F' R'
F' D' F2 U' F' L2 R'
F' D' F2 U' F' R' L2
R' F2 U' L' F' U F'
R2 F2 R2 B U' F2 R
L' F2 U' R' F' L' F'
L' F2 U' F' L' F' R'
D2 F2 U2 F' U F' R'
D' F2 U2 F' U F' R'
D F2 U2 F' U F' R'
U F2 D R2 B U' R
F' D2 U' R' D F L2
F' D2 U' R' F D L2
F' D2 U' F R' D L2
F' D2 U' F D L2 R'
F' D2 U' F D R' L2
R' B L2 U R B' U'
R' B L2 U B' R U'
F D2 U' F R' F2 L'
R' B U R U2 F U
R' B U' F2 L' F' U
B2 F U L U2 L' F'
U' B' L' U B L R'
U' B' L' U B R' L
F' B U2 F2 U F' R
R' B' L2 U R B' U'
R' B' L2 U B' R U'
R' B' U R U2 F U
R' B' U' F2 L' F' U
L2 B' D L' F U' F'
U' B' F L U B R'
U' B' F L' U B R'
U' B' F L2 U B R'
U' B' F U B R' D
U' B' F U B R' D'
U' B' F U B R' D2
U' B' F U B D R'
U' B' F U B D' R'
U' B' F U B D2 R'
L2 B' D2 F' U' R F
L2 B' F U' D2 F' R
U2 B' F U' B U2 R'
L2 B' F D2 U' F' R
B F' U2 F2 U F' R
R' B2 L2 U R B' U'
R' B2 L2 U B' R U'
B2 F' D2 B2 U' R' F
B2 F' D2 B2 U' F R'
R' B2 U R U2 F U
R' B2 U' F2 L' F' U
R B2 R2 U' F L U
R B2 U' F L U R2
F B2 U L U2 L' F'
U' B2 F U R B2 R'
U' B2 F U R' B2 R'
U' B2 F U R2 B2 R'
U' B2 F U B2 R' D
U' B2 F U B2 R' D'
U' B2 F U B2 R' D2
U' B2 F U B2 D R'
U' B2 F U B2 D' R'
U' B2 F U B2 D2 R'
U' B2 F U' L U2 B2
U2 B2 F U' L B2 U2
U2 B2 F U' B2 U2 R'
F' B2 D2 B2 U' R' F
F' B2 D2 B2 U' F R'
R B2 F L U F' R2
