B' L U' F B
B' L U' B F
B' L U' D F B
B' L U' D B F
B' L U' D' F B
B' L U' D' B F
B' L U' D2 F B
B' L U' D2 B F
B' L U' F D B
B' L U' F D' B
B' L U' F D2 B
B' L U' F B D
B' L U' F B D'
B' L U' F B D2
B' L U' B D F
B' L U' B D' F
B' L U' B D2 F
B' L U' B F D
B' L U' B F D'
B' L U' B F D2
B' L D U' F B
B' L D U' B F
B' L D' U' F B
B' L D' U' B F
B' L D2 U' F B
B' L D2 U' B F
B2 L B U' F B
B2 L B U' B F
B' L' U B' U2 B2
B' L' U' B D2 F2
B' D L U' F B
B' D L U' B F
B' D' L U' F B
B' D' L U' B F
B' D2 L U' F B
B' D2 L U' B F
R' B' L U' F B
R' B' L U' B F
D2 B' L U' F B
D2 B' L U' B F
R2 B' L U' F B
R2 B' L U' B F
D' B' L U' F B
D' B' L U' B F
D B' L U' F B
D B' L U' B F
R B' L U' F B
R B' L U' B F
U B' U2 R' U R
D2 U B' U2 R' U R
D U B' U2 R' U R
F U F' B L B2 U'
F2 U F2 B L B2 U'
F U F' B' U2 R' U
F2 U F2 B' U2 R' U
F2 U B L F2 B2 U'
F2 U B L B2 F2 U'
U D B' U2 R' U R
F' U B F L B2 U'
F2 U B F2 L B2 U'
F U B L F' B2 U'
F U B L B2 F' U'
B' U B' U R' U B2
F' U B' F U2 R' U
F U B F' L B2 U'
F2 U B' F2 U2 R' U
F U B' F' U2 R' U
R' D' B' L U' F B
R' D' B' L U' B F
R2 D' B' L U' F B
R2 D' B' L U' B F
R D' B' L U' F B
R D' B' L U' B F
B' U' F B U' R U
U D' B' U2 R' U R
B' U' F' U L' U' B
B' U' F' B U L' U'
B' U' B U L U' F
B' U' B U' R' U F'
B' U' B F U' R U
B' U' B F' U L' U'
B2 U2 R' U F' L' B2
B2 U2 R' U F' B2 L'
B2 U2 R' U B2 F' L'
R' D2 B' L U' F B
R' D2 B' L U' B F
R2 D2 B' L U' F B
R2 D2 B' L U' B F
R D2 B' L U' F B
R D2 B' L U' B F
U D2 B' U2 R' U R
L F L' U F' B' U'
L F L' U B' F' U'
B' D L U' D F B
B' D L U' D B F
B' D L U' D' F B
B' D L U' D' B F
B' D L U' D2 F B
B' D L U' D2 B F
B' D L U' F D B
B' D L U' F D' B
B' D L U' F D2 B
B' D L U' F B D
B' D L U' F B D'
B' D L U' F B D2
B' D L U' B D F
B' D L U' B D' F
B' D L U' B D2 F
B' D L U' B F D
B' D L U' B F D'
B' D L U' B F D2
B' D L D U' F B
B' D L D U' B F
B' D L D' U' F B
B' D L D' U' B F
B' D L D2 U' F B
B' D L D2 U' B F
L F U F' B U' L
L F U B F' U' L
B' D L' U B' U2 B2
B' D L' U' B D2 F2
U F B' U2 R' U R
U' F' U B' L' U' B
B' D' L U' D F B
B' D' L U' D B F
B' D' L U' D' F B
B' D' L U' D' B F
B' D' L U' D2 F B
B' D' L U' D2 B F
B' D' L U' F D B
B' D' L U' F D' B
B' D' L U' F D2 B
B' D' L U' F B D
B' D' L U' F B D'
B' D' L U' F B D2
B' D' L U' B D F
B' D' L U' B D' F
B' D' L U' B D2 F
B' D' L U' B F D
B' D' L U' B F D'
B' D' L U' B F D2
B' D' L D U' F B
B' D' L D U' B F
B' D' L D' U' F B
B' D' L D' U' B F
B' D' L D2 U' F B
B' D' L D2 U' B F
B' D' L' U B' U2 B2
B2 D' L B R2 U' F
B' D' L' U' B D2 F2
U F' B' U2 R' U R
B2 D' B L R2 U' F
B2 D' B R2 L U' F
B' D2 L U' D F B
B' D2 L U' D B F
B' D2 L U' D' F B
B' D2 L U' D' B F
B' D2 L U' D2 F B
B' D2 L U' D2 B F
B' D2 L U' F D B
B' D2 L U' F D' B
B' D2 L U' F D2 B
B' D2 L U' F B D
B' D2 L U' F B D'
B' D2 L U' F B D2
B' D2 L U' B D F
B' D2 L U' B D' F
B' D2 L U' B D2 F
B' D2 L U' B F D
B' D2 L U' B F D'
B' D2 L U' B F D2
B' D2 L D U' F B
B' D2 L D U' B F
B' D2 L D' U' F B
B' D2 L D' U' B F
B' D2 L D2 U' F B
B' D2 L D2 U' B F
B' D2 L' U B' U2 B2
B' D2 L' U' B D2 F2
L' F2 D L2 R2 F L'
L' F2 D L2 F L' R2
L' F2 D L2 F R2 L'
L' F2 D R2 L2 F L'
U F2 B' U2 R' U R
U B L F2 B2 U' R
U B L B2 U L' U2
U B L B2 F2 U' R
U B L' B2 L2 U' R'
B' F L F' U' F2 B
B' F L F' U' B F2
U B U' L B2 U' B2
L B U' F' B' L' F2
L B U' B' F' L' F2
R' B' L U' D F B
R' B' L U' D B F
R' B' L U' D' F B
R' B' L U' D' B F
R' B' L U' D2 F B
R' B' L U' D2 B F
R' B' L U' F D B
R' B' L U' F D' B
R' B' L U' F D2 B
R' B' L U' F B D
R' B' L U' F B D'
R' B' L U' F B D2
D2 B' L U' D F B
D2 B' L U' D B F
D2 B' L U' D' F B
D2 B' L U' D' B F
D2 B' L U' D2 F B
R' B' L U' B D F
R' B' L U' B D' F
R' B' L U' B D2 F
D2 B' L U' D2 B F
R' B' L U' B F D
R' B' L U' B F D'
R' B' L U' B F D2
D2 B' L U' F D B
D2 B' L U' F D' B
D2 B' L U' F D2 B
D2 B' L U' F B D
D2 B' L U' F B D'
D2 B' L U' F B D2
D2 B' L U' B D F
D2 B' L U' B D' F
D2 B' L U' B D2 F
D2 B' L U' B F D
D2 B' L U' B F D'
D2 B' L U' B F D2
D' B' L U' D F B
D' B' L U' D B F
D' B' L U' D' F B
D' B' L U' D' B F
D' B' L U' D2 F B
D' B' L U' D2 B F
D' B' L U' F D B
D' B' L U' F D' B
D' B' L U' F D2 B
D' B' L U' F B D
D' B' L U' F B D'
D' B' L U' F B D2
D' B' L U' B D F
D' B' L U' B D' F
D' B' L U' B D2 F
D' B' L U' B F D
D' B' L U' B F D'
D' B' L U' B F D2
R' B' L D U' F B
R' B' L D U' B F
D2 B' L D U' F B
D2 B' L D U' B F
R' B' L D' U' F B
R' B' L D' U' B F
D2 B' L D' U' F B
D2 B' L D' U' B F
D' B' L D U' F B
D' B' L D U' B F
R' B' L D2 U' F B
R' B' L D2 U' B F
D2 B' L D2 U' F B
D2 B' L D2 U' B F
D' B' L D' U' F B
D' B' L D' U' B F
D' B' L D2 U' F B
D' B' L D2 U' B F
R' B' L' U B' U2 B2
D2 B' L' U B' U2 B2
R' B' L' U' B D2 F2
D2 B' L' U' B D2 F2
D' B' L' U B' U2 B2
D' B' L' U' B D2 F2
R2 B' L U' D F B
R2 B' L U' D B F
R2 B' L U' D' F B
R2 B' L U' D' B F
R2 B' L U' D2 F B
R2 B' L U' D2 B F
R2 B' L U' F D B
R2 B' L U' F D' B
R2 B' L U' F D2 B
R2 B' L U' F B D
R2 B' L U' F B D'
R2 B' L U' F B D2
R2 B' L U' B D F
R2 B' L U' B D' F
R2 B' L U' B D2 F
R2 B' L U' B F D
R2 B' L U' B F D'
R2 B' L U' B F D2
R2 B' L D U' F B
R2 B' L D U' B F
D B' L U' D F B
D B' L U' D B F
D B' L U' D' F B
D B' L U' D' B F
D B' L U' D2 F B
D B' L U' D2 B F
D B' L U' F D B
D B' L U' F D' B
D B' L U' F D2 B
D B' L U' F B D
D B' L U' F B D'
D B' L U' F B D2
D B' L U' B D F
D B' L U' B D' F
D B' L U' B D2 F
D B' L U' B F D
D B' L U' B F D'
D B' L U' B F D2
R2 B' L D' U' F B
R2 B' L D' U' B F
R2 B' L D2 U' F B
R2 B' L D2 U' B F
D B' L D U' F B
D B' L D U' B F
D B' L D' U' F B
D B' L D' U' B F
D B' L D2 U' F B
D B' L D2 U' B F
R2 B' L' U B' U2 B2
R2 B' L' U' B D2 F2
D B' L' U B' U2 B2
D B' L' U' B D2 F2
R B' L U' D F B
R B' L U' D B F
R B' L U' D' F B
R B' L U' D' B F
R B' L U' D2 F B
R B' L U' D2 B F
R B' L U' F D B
R B' L U' F D' B
R B' L U' F D2 B
R B' L U' F B D
R B' L U' F B D'
R B' L U' F B D2
R B' L U' B D F
R B' L U' B D' F
R B' L U' B D2 F
R B' L U' B F D
R B' L U' B F D'
R B' L U' B F D2
R B' L D U' F B
R B' L D U' B F
R B' L D' U' F B
R B' L D' U' B F
R B' L D2 U' F B
R B' L D2 U' B F
R B' L' U B' U2 B2
R B' L' U' B D2 F2
F2 B' L F2 U' F' B
F2 B' L F2 U' B F'
F B' L F' U' F2 B
F B' L F' U' B F2
R' B' D L U' F B
R' B' D L U' B F
D2 B' D L U' F B
D2 B' D L U' B F
D' B' D L U' F B
D' B' D L U' B F
L B' U' F' L' F2 B
L B' U' F' L' B F2
R' B' D' L U' F B
R' B' D' L U' B F
L B' U' F' B L' F2
D2 B' D' L U' F B
D2 B' D' L U' B F
L B' U' B F' L' F2
D' B' D' L U' F B
D' B' D' L U' B F
R2 B' D L U' F B
R2 B' D L U' B F
U B' U2 R' U R D
U B' U2 R' U R D'
U B' U2 R' U R D2
U B' U2 R' U D R
U B' U2 R' U D' R
U B' U2 R' U D2 R
U B' U2 R' D U R
U B' U2 R' D' U R
U B' U2 R' D2 U R
D B' D L U' F B
D B' D L U' B F
U B' U2 R' B U R
U B' U2 R' B' U R
U B' U2 R' B2 U R
U B' U2 D R' U R
U B' U2 D' R' U R
U B' U2 D2 R' U R
R' B' D2 L U' F B
R' B' D2 L U' B F
D2 B' D2 L U' F B
D2 B' D2 L U' B F
D' B' D2 L U' F B
D' B' D2 L U' B F
R2 B' D' L U' F B
R2 B' D' L U' B F
D B' D' L U' F B
D B' D' L U' B F
R B' D L U' F B
R B' D L U' B F
U B' D U2 R' U R
R2 B' D2 L U' F B
R2 B' D2 L U' B F
D B' D2 L U' F B
D B' D2 L U' B F
R B' D' L U' F B
R B' D' L U' B F
U B' D' U2 R' U R
R B' D2 L U' F B
R B' D2 L U' B F
U B' D2 U2 R' U R
U B' F U2 R' U R
R' B2 L B U' F B
R' B2 L B U' B F
D2 B2 L B U' F B
D2 B2 L B U' B F
D' B2 L B U' F B
D' B2 L B U' B F
U B' F' U2 R' U R
U B' F2 U2 R' U R
R2 B2 L B U' F B
R2 B2 L B U' B F
D B2 L B U' F B
D B2 L B U' B F
B' F2 L F2 U' F' B
B' F2 L F2 U' B F'
R B2 L B U' F B
R B2 L B U' B F
L B2 U' F' L' F2 B2
L B2 U' F' L' B2 F2
L B2 U' F' B2 L' F2
L B2 U' B2 F' L' F2
