L2 F U' L R
L2 F U' R L
B' L2 F U' L R
B' L2 F U' R L
B2 L2 F U' L R
B2 L2 F U' R L
B L2 F U' L R
B L2 F U' R L
L2 D F U' L R
L2 D F U' R L
L2 D' F U' L R
L2 D' F U' R L
L2 D2 F U' L R
L2 D2 F U' R L
L F L U' L R
L F L U' R L
L2 F U' L R D
L2 F U' L R D'
L2 F U' L R D2
L2 F U' L D R
L2 F U' L D' R
L2 F U' L D2 R
L2 F U' R L D
L2 F U' R L D
L2 F U' R L D'
L2 F U' R L D2
L2 F U' R D L
L2 F U' R D' L
L2 F U' R D2 L
L2 F U' D L R
L2 F U' D R L
L2 F U' D' L R
L2 F U' D' R L
L2 F U' D2 L R
L2 F U' D2 R L
L2 F D U' L R
L2 F D U' R L
L2 F D' U' L R
L2 F D' U' R L
L2 F D2 U' L R
L2 F D2 U' R L
L2 F' U L' U2 L2
L2 F' U' L D2 R2
L2 D F' U' L D2 R2
R2 D B2 L' F R F
L' D' L' F U' L R
L' D' L' F U' R L
L D' L F B2 U' R
L D' L B2 F U' R
U2 D B' U L' R' F2
U2 D B' U L' F2 R'
U2 D B' U R' L' F2
L2 D' F U' L R D
L2 D' F U' L R D'
L2 D' F U' L R D2
L2 D' F U' L D R
L2 D' F U' L D' R
L2 D' F U' L D2 R
L2 D' F U' R L D
L2 D' F U' R L D'
L2 D' F U' R L D2
L2 D' F U' R D L
L2 D' F U' R D' L
L2 D' F U' R D2 L
L2 D' F U' D L R
L2 D' F U' D R L
L2 D' F U' D' L R
L2 D' F U' D' R L
L2 D' F U' D2 L R
L2 D' F U' D2 R L
L2 D' F D U' L R
L2 D' F D U' R L
L2 D' F D' U' L R
L2 D' F D' U' R L
L2 D' F D2 U' L R
L2 D' F D2 U' R L
L D' F L B2 U' R
L2 D' F' U L' U2 L2
L2 D' F' U' L D2 R2
F U' R U L2 B U'
F U' R U B L2 U'
L' D2 L' F U' L R
L' D2 L' F U' R L
D2 U2 R2 B' U L' R'
D2 U2 R2 B' U R' L'
U2 D2 R2 B' U L' R'
U2 D2 R2 B' U R' L'
L2 D2 F U' L R D
L2 D2 F U' L R D'
L2 D2 F U' L R D2
L2 D2 F U' L D R
L2 D2 F U' L D' R
L2 D2 F U' L D2 R
L2 D2 F U' R L D
L2 D2 F U' R L D'
L2 D2 F U' R L D2
L2 D2 F U' R D L
L2 D2 F U' R D' L
L2 D2 F U' R D2 L
L2 D2 F U' D L R
L2 D2 F U' D R L
L2 D2 F U' D' L R
L2 D2 F U' D' R L
L2 D2 F U' D2 L R
L2 D2 F U' D2 R L
L2 D2 F D U' L R
L2 D2 F D U' R L
L2 D2 F D' U' L R
L2 D2 F D' U' R L
L2 D2 F D2 U' L R
L2 D2 F D2 U' R L
L2 D2 F' U L' U2 L2
L2 D2 F' U' L D2 R2
D2 U2 B' R2 U L' R
D2 U2 B' R2 U R L'
U2 D2 B' R2 U L' R
U2 D2 B' R2 U R L'
D U2 B' U L' R' F2
D U2 B' U L' F2 R'
D U2 B' U R' L' F2
L F L U' L R D
L F L U' L R D'
L F L U' L R D2
L F L U' L D R
L F L U' L D' R
L F L U' L D2 R
L F L U' R L D
L F L U' R L D'
L F L U' R L D2
L F L U' R D L
L F L U' R D' L
L F L U' R D2 L
L F L U' D L R
L F L U' D R L
L F L U' D' L R
L F L U' D' R L
L F L U' D2 L R
L F L U' D2 R L
L F L D U' L R
L F L D U' R L
L F L D' U' L R
L F L D' U' R L
L F L D2 U' L R
L F L D2 U' R L
L2 F U L' U2 L2 R
L2 F U L' U2 R L2
L2 F U L2 U2 L' R
L2 F U L2 U2 R L'
L2 F U R' U2 L R2
L2 F U R' U2 R2 L
L2 F U R2 U2 L R'
L2 F U R2 U2 R' L
L2 F U' L R2 D R'
L2 F U' L R2 D' R'
L2 F U' L R2 D2 R'
L2 F U' L D R D
L2 F U' L D R D'
L2 F U' L D R D2
L2 F U' L D' R D
L2 F U' L D' R D'
L2 F U' L D' R D2
L2 F U' L D2 R D
L2 F U' L D2 R D'
L2 F U' L D2 R D2
L2 F U' L B R B'
L2 F U' L B2 R B2
L2 F U' L2 R D L'
L2 F U' L2 R D' L'
L2 F U' L2 R D2 L'
L2 F U' L2 D L' R
L2 F U' L2 D R L'
L2 F U' L2 D' L' R
L2 F U' L2 D' R L'
L2 F U' L2 D2 L' R
L2 F U' L2 D2 R L'
L2 F U' R L2 D L'
L2 F U' R L2 D' L'
L2 F U' R L2 D2 L'
L2 F U' R D L D
L2 F U' R D L D'
L2 F U' R D L D2
L2 F U' R D' L D
L2 F U' R D' L D'
L2 F U' R D' L D2
L2 F U' R D2 L D
L2 F U' R D2 L D'
L2 F U' R D2 L D2
L2 F U' R F L F'
L2 F U' R F2 L F2
L2 F U' R2 L D R'
L2 F U' R2 L D' R'
L2 F U' R2 L D2 R'
L2 F U' R2 D L R'
L2 F U' R2 D R' L
L2 F U' R2 D' L R'
L2 F U' R2 D' R' L
L2 F U' R2 D2 L R'
L2 F U' R2 D2 R' L
L2 F U' D L R D
L2 F U' D L R D'
L2 F U' D L R D2
L2 F U' D L D R
L2 F U' D L D' R
L2 F U' D L D2 R
L2 F U' D R L D
L2 F U' D R L D'
L2 F U' D R L D2
L2 F U' D R D L
L2 F U' D R D' L
L2 F U' D R D2 L
L2 F U' D' L R D
L2 F U' D' L R D'
L2 F U' D' L R D2
L2 F U' D' L D R
L2 F U' D' L D' R
L2 F U' D' L D2 R
L2 F U' D' R L D
L2 F U' D' R L D'
L2 F U' D' R L D2
L2 F U' D' R D L
L2 F U' D' R D' L
L2 F U' D' R D2 L
L2 F U' D2 L R D
L2 F U' D2 L R D'
L2 F U' D2 L R D2
L2 F U' D2 L D R
L2 F U' D2 L D' R
L2 F U' D2 L D2 R
L2 F U' D2 R L D
L2 F U' D2 R L D'
L2 F U' D2 R L D2
L2 F U' D2 R D L
L2 F U' D2 R D' L
L2 F U' D2 R D2 L
L2 F U' F L F' R
L2 F U' B R B' L
L2 F D U' L R D
L2 F D U' L R D'
L2 F D U' L R D2
L2 F D U' L D R
L2 F D U' L D' R
L2 F D U' L D2 R
L2 F D U' R L D
L2 F D U' R L D'
L2 F D U' R L D2
L2 F D U' R D L
L2 F D U' R D' L
L2 F D U' R D2 L
L2 F D' U' L R D
L2 F D' U' L R D'
L2 F D' U' L R D2
L2 F D' U' L D R
L2 F D' U' L D' R
L2 F D' U' L D2 R
L2 F D' U' R L D
L2 F D' U' R L D'
L2 F D' U' R L D2
L2 F D' U' R D L
L2 F D' U' R D' L
L2 F D' U' R D2 L
L F D' L B2 U' R
L2 F D2 U' L R D
L2 F D2 U' L R D'
L2 F D2 U' L R D2
L2 F D2 U' L D R
L2 F D2 U' L D' R
L2 F D2 U' L D2 R
L2 F D2 U' R L D
L2 F D2 U' R L D'
L2 F D2 U' R L D2
L2 F D2 U' R D L
L2 F D2 U' R D' L
L2 F D2 U' R D2 L
L2 F B2 U R' U2 R2
L2 F B2 U' R D2 L2
L F' L U L2 U2 L'
L F' L U' D2 L R2
L F' L U' D2 R2 L
L F' L D F2 U' L
L F' L D2 U' L R2
L F' L D2 U' R2 L
L2 F' U L' R U2 L2
L2 F' U L' R' U2 L2
L2 F' U L' R2 U2 L2
L2 F' U L' U2 L2 D
L2 F' U L' U2 L2 D'
L2 F' U L' U2 L2 D2
L2 F' U L' D2 R2 U2
L2 F' U R L' U2 L2
L2 F' U R' L' U2 L2
L2 F' U R2 L' U2 L2
L2 F' U D L' U2 L2
L2 F' U D' L' U2 L2
L2 F' U D2 L' U2 L2
L2 F' U' L R D2 R2
L2 F' U' L R' D2 R2
L2 F' U' L R2 D2 R2
L2 F' U' L U2 L2 U2
L2 F' U' L D2 R2 D
L2 F' U' L D2 R2 D'
L2 F' U' L D2 R2 D2
L2 F' U' R L D2 R2
L2 F' U' R' L D2 R2
L2 F' U' R2 L D2 R2
L2 F' U' D L D2 R2
L2 F' U' D' L D2 R2
L2 F' U' D2 L D2 R2
L2 F' U' F2 L R F2
L2 F' U' F2 R L F2
L2 F' U' F2 R F2 L
L2 F' U2 F2 U L R
L2 F' U2 F2 U R L
L2 F' D U L' U2 L2
L2 F' D U' L D2 R2
L2 F' D F2 U' L R
L2 F' D F2 U' R L
L2 F' D' U L' U2 L2
L2 F' D' U' L D2 R2
L2 F' D' F2 U' L R
L2 F' D' F2 U' R L
L2 F' D2 U L' U2 L2
L2 F' D2 U' L D2 R2
L2 F' D2 F2 U' L R
L2 F' D2 F2 U' R L
L2 F' B2 U L' R' U2
L2 F' B2 U R' L' U2
L F2 L F' U' L R
L F2 L F' U' R L
L2 F2 U' L F' R F
L2 F2 U' F' R F L
L2 F2 U2 F' U L R
L2 F2 U2 F' U R L
L' B L' F U' L R
L' B L' F U' R L
L2 B U2 B' U L R'
L2 B U2 B' U R' L
L2 B D2 F U' L' R
L2 B D2 F U' R L'
L' B' L' F U' L R
L' B' L' F U' R L
U2 B' U R' D L' F2
U2 B' U D L' R' F2
U2 B' U D L' F2 R'
U2 B' U D R' L' F2
U2 B' U2 L2 U' L R'
U2 B' U2 L2 U' R' L
U2 B' D U L' R' F2
U2 B' D U L' F2 R'
U2 B' D U R' L' F2
U2 B' D2 R2 U L' R
U2 B' D2 R2 U R L'
L' B2 L' F U' L R
L' B2 L' F U' R L
L2 B2 F U R' U2 R2
L2 B2 F U' R D2 L2
L2 B2 F' U L' R' U2
L2 B2 F' U R' L' U2
