R2 L' U D L2 F'
R2 L' U D F' L2
R2 L' U F' D L2
R2 L' U2 B2 U' F'
R2 L' D U L2 F'
R2 L' D U F' L2
D L' R2 U L' F'
D2 L' R2 F2 U F
R2 L' D2 F2 U F
D' L' U' R2 U2 F'
D' L' U' B R2 U2
D L' U' B U2 L'
L' R2 U D L2 F'
L' R2 U D F' L2
L' R2 U F' D L2
D2 L' F2 R2 U F'
D2 L' F2 U' B U2
L' R2 U2 B2 U' F'
L' R2 D U L2 F'
L' R2 D U F' L2
L' R2 D2 F2 U F
L' U' D B U2 L2
L' U' D' R2 U2 F'
L' U' D' B R2 U2
L' U' B U' B U'
D2 R2 L' F2 U F
D R2 L' U L' F'
L' U2 B2 L2 U' F
L' U2 B2 U B' U2
R2 D L' U L' F'
L' D R2 U L2 F'
L' D R2 U F' L2
L' D U' B U2 L2
L' D' U' R2 U2 F'
L' D' U' B R2 U2
R2 D2 L' F2 U F
L' D2 R2 F2 U F
R D2 L' F2 U F'
L' D2 F2 R2 U F'
L' D2 F2 U' B U2
L' U2 B2 U' L2 F L2
L2 U2 B2 L2 R' U' F
L' U2 B2 D L2 U' F
L' U2 B2 D U B' U2
L2 U2 B2 R' L2 U' F
L2 U2 B2 R' U B' U2
L' U2 B2 D' L2 U' F
L' U2 B2 D' U B' U2
L' U2 B2 D2 L2 U' F
L' U2 B2 D2 U B' U2
R2 U2 B2 U2 L' U F'
L2 D L R2 U L F'
L2 D L R2 U F' L
L U2 B2 U2 L2 U F
R' D L' R' U L' F'
R2 D L' U L F' L2
R2 D L' U L' D F'
R2 D L' U L' D' F'
R2 D L' U L' D2 F'
R2 D L' U L' F' D
R2 D L' U L' F' D'
R2 D L' U L' F' D2
R2 D L' U L2 F' L
R2 D L' U D L' F'
R2 D L' U D' L' F'
R2 D L' U D2 L' F'
R2 D L' D U L' F'
R2 D L' D' U L' F'
R2 D L' D2 U L' F'
R D L' U D L' F
R D L' D U L' F
R' D R' L' U L' F'
D2 R2 F2 U2 R U' F
L' D R2 U L F' L
L' D R2 U L2 D F'
L' D R2 U L2 D' F'
L' D R2 U L2 D2 F'
L' D R2 U L2 F' D
L' D R2 U L2 F' D'
L' D R2 U L2 F' D2
L' D R2 U F L2 F2
L' D R2 U F' L2 D
L' D R2 U F' L2 D'
L' D R2 U F' L2 D2
L' D R2 D F2 U F
L2 D R2 L U L F'
L2 D R2 L U F' L
L' D R2 F U L2 F2
L' D R2 F U F2 L2
L' D R2 F2 U F L2
L' D U L2 R2 F' R2
L' D U L2 U2 B U2
L' D U R2 L2 F' R2
L' D U R2 F' L2 R2
L' D U R2 F' R2 L2
L' D U B2 L2 F B2
L' D U B2 L2 B2 F
L' D U' R2 U2 L2 F'
L' D U' R2 U2 F' L2
U2 R2 B2 U2 L' U F'
L' D U' B R U2 L2
L' D U' B R' U2 L2
L' D U' B R2 U2 L2
L' D U' B U2 L2 D
L' D U' B U2 L2 D'
L' D U' B U2 L2 D2
L' D U' B D2 R2 U2
L' D U' B2 U2 L2 F
D2 U L D' B2 L2 F
L' D U2 B2 U' L2 F
L D U' F2 B U2 L2
L D U' B F2 U2 L2
L' D F R2 U L2 F'
L' D F R2 U F' L2
L' D F U' B U2 L2
L' D F' R2 U L2 F'
L' D F' R2 U F' L2
L' D F' U' B U2 L2
L' D F2 R2 U L2 F'
L' D F2 R2 U F' L2
L' D F2 U' B U2 L2
L2 D' L U' R2 U2 F'
L2 D' L U' B R2 U2
R2 D' L' U D2 L2 F'
R2 D' L' U D2 F' L2
R2 D' L' U F' D2 L2
R2 D' L' U' R2 B U2
R2 D' L' D' F2 U F
U' D B U L' U L'
R2 D' L' D2 U L2 F'
R2 D' L' D2 U F' L2
L' D' R U' R U2 F'
B2 U B' U B' L' U
B U B' L' U D L2
B U B' L' U2 B2 U'
B U B' L' D U L2
B U B' L' D2 F2 U
B U B' D L' U L'
L' D' U' R2 U2 D F'
L' D' U' R2 U2 D' F'
L' D' U' R2 U2 D2 F'
L' D' U' R2 U2 F' D
L' D' U' R2 U2 F' D'
L' D' U' R2 U2 F' D2
L' D' U' R2 D U2 F'
L' D' U' R2 D' U2 F'
L' D' U' R2 D2 U2 F'
L' D' U' R2 B U2 F'
L' D' U' R2 B' U2 F'
L' D' U' R2 B2 U2 F'
B U B' D2 L' F2 U
L' D' U' B R2 U2 D
L' D' U' B R2 U2 D'
L' D' U' B R2 U2 D2
L' D' U' B R2 D U2
L' D' U' B R2 D' U2
L' D' U' B R2 D2 U2
L' D' U' B U2 D2 L2
L' D' U' B D2 U2 L2
L' D' U' B' R2 B2 U2
L' D' U' B2 R2 B' U2
L D' U B2 D2 L2 F
L D' U' R2 U2 F' B2
L D' U' R2 U2 B2 F'
L D' U' B R2 F' U2
L' D' F U' R2 U2 F'
L' D' F U' B R2 U2
U' D' R2 U L' U F'
D' U' R2 U L' U F'
L' D' F' U' R2 U2 F'
L' D' F' U' B R2 U2
L' D' F2 U' R2 U2 F'
L' D' F2 U' B R2 U2
D' U' B R2 U L' U
U' D' B R2 U L' U
D2 U' B U L' F2 U
L2 D2 L R2 F2 U F
R' D2 L' R' F2 U F
D U' B U L' U L'
L2 D2 L F2 R2 U F'
L2 D2 L F2 U' B U2
R' D2 L' F2 R' U F'
R2 D2 L' U D' L2 F'
R2 D2 L' U D' F' L2
R2 D2 L' D' U L2 F'
R2 D2 L' D' U F' L2
R D2 L F2 L2 U F
R2 D2 L' F2 R U F
R2 D2 L' F2 R' U F
R2 D2 L' F2 R2 U F
R2 D2 L' F2 U D F
R2 D2 L' F2 U D' F
R2 D2 L' F2 U D2 F
R2 D2 L' F2 U F D
R2 D2 L' F2 U F D'
R2 D2 L' F2 U F D2
R2 D2 L' F2 D U F
R2 D2 L' F2 D' U F
R2 D2 L' F2 D2 U F
R D2 L' R F2 U F'
R D2 L' R' F2 U F'
R D2 L' R2 F2 U F'
R D2 L' U D' F L2
R D2 L' D' U F L2
R D2 L' F2 U D F'
R D2 L' F2 U D' F'
R D2 L' F2 U D2 F'
R D2 L' F2 U F' D
R D2 L' F2 U F' D'
R D2 L' F2 U F' D2
R D2 L' F2 D U F'
R D2 L' F2 D' U F'
R D2 L' F2 D2 U F'
L' D2 R F2 R U F'
R' D2 R' L' F2 U F
R D2 L2 F2 L U F
U D2 L D' B2 L2 F
L' D2 R' F2 R' U F'
R D2 R L' F2 U F'
L' D2 R2 U D' L2 F'
L' D2 R2 U D' F' L2
F2 U' B U' B R U'
L' D2 R2 D' U L2 F'
L' D2 R2 D' U F' L2
L2 D2 R2 L F2 U F
L' D2 R2 F2 R U F
L' D2 R2 F2 R' U F
L' D2 R2 F2 R2 U F
L' D2 R2 F2 U D F
L' D2 R2 F2 U D' F
L' D2 R2 F2 U D2 F
L' D2 R2 F2 U F D
L' D2 R2 F2 U F D'
L' D2 R2 F2 U F D2
L' D2 R2 F2 D U F
L' D2 R2 F2 D' U F
L' D2 R2 F2 D2 U F
R D2 R' L' F2 U F'
B U' B U2 L' B2 U
B U' B U2 B2 L' U
B U' B D2 F2 R U'
R D2 R2 L' F2 U F'
L' D2 U' B U F2 U
L' D2 U' B U2 D' L2
L' D2 U' B D R2 U2
L' D2 U' B D' U2 L2
L' D2 F R2 F U F2
L' D2 F2 R2 U D F'
L' D2 F2 R2 U D' F'
L' D2 F2 R2 U D2 F'
L' D2 F2 R2 U F' D
L' D2 F2 R2 U F' D'
L' D2 F2 R2 U F' D2
L' D2 F2 R2 D U F'
L' D2 F2 R2 D' U F'
L' D2 F2 R2 D2 U F'
L' D2 F2 U R2 F' R2
L' D2 F2 U' D B U2
L' D2 F2 U' D' B U2
L' D2 F2 U' D2 B U2
L' D2 F2 U' B U2 D
L' D2 F2 U' B U2 D'
L' D2 F2 U' B U2 D2
L' D2 F2 U' B D U2
L' D2 F2 U' B D' U2
L' D2 F2 U' B D2 U2
L2 D2 F2 L R2 U F'
L2 D2 F2 L U' B U2
L' D2 F2 D R2 U F'
L' D2 F2 D U' B U2
L' D2 F2 D' R2 U F'
L' D2 F2 D' U' B U2
L' D2 F2 D2 R2 U F'
L' D2 F2 D2 U' B U2
L2 D2 F2 R2 L U F'
U' D2 B U L' F2 U
R2 D2 F2 U2 R U' F
L D2 F2 U2 R2 U' F'
L' F R2 U D L2 F'
L' F R2 U D F' L2
L' F R2 U F' D L2
L' F R2 U2 B2 U' F'
L' F R2 D U L2 F'
L' F R2 D U F' L2
L' F R2 D2 F2 U F
B2 U2 B2 L' R2 U F'
B2 U2 B2 L' U' B U2
F2 U2 B2 L2 R U' F
B2 U2 B2 R2 L' U F'
F2 U2 B2 R L2 U' F
F2 U2 B2 R U B' U2
L' F U' D B U2 L2
L' F U' D' R2 U2 F'
L' F U' D' B R2 U2
L' F U' B U' B U'
L' F U2 B2 L2 U' F
L' F U2 B2 U B' U2
L' F D R2 U L2 F'
L' F D R2 U F' L2
L' F D U' B U2 L2
L' F D' U' R2 U2 F'
L' F D' U' B R2 U2
L' F D2 R2 F2 U F
L' F D2 F2 R2 U F'
L' F D2 F2 U' B U2
L' F' R2 U D L2 F'
L' F' R2 U D F' L2
L' F' R2 U F' D L2
L' F' R2 U2 B2 U' F'
L' F' R2 D U L2 F'
L' F' R2 D U F' L2
L' F' R2 D2 F2 U F
L' F' U' D B U2 L2
L' F' U' D' R2 U2 F'
L' F' U' D' B R2 U2
L' F' U' B U' B U'
L' F' U2 B2 L2 U' F
L' F' U2 B2 U B' U2
L' F' D R2 U L2 F'
L' F' D R2 U F' L2
L' F' D U' B U2 L2
L' F' D' U' R2 U2 F'
L' F' D' U' B R2 U2
L' F' D2 R2 F2 U F
L' F' D2 F2 R2 U F'
L' F' D2 F2 U' B U2
L' F2 R2 U D L2 F'
L' F2 R2 U D F' L2
L' F2 R2 U F' D L2
L' F2 R2 U2 B2 U' F'
L' F2 R2 D U L2 F'
L' F2 R2 D U F' L2
L' F2 R2 D2 F2 U F
L' F2 U' D B U2 L2
L' F2 U' D' R2 U2 F'
L' F2 U' D' B R2 U2
D2 F2 U' B U' R U'
L' F2 U' B U' B U'
L' F2 U2 B2 L2 U' F
L' F2 U2 B2 U B' U2
R2 F2 U2 R B2 U' F
L' F2 D R2 U L2 F'
L' F2 D R2 U F' L2
L' F2 D U' B U2 L2
R2 F2 U2 B2 R U' F
L' F2 D' U' R2 U2 F'
L' F2 D' U' B R2 U2
R F2 U2 R B2 U' F'
R F2 U2 B2 R U' F'
L' F2 D2 R2 F2 U F
L' F2 D2 F2 R2 U F'
L' F2 D2 F2 U' B U2
U' F2 B U' B R U'
R2 F2 D2 F2 L' U F'
R F2 D2 F2 L' U F
B2 D2 F2 L2 R U' F
B2 D2 F2 R L2 U' F
B2 D2 F2 R U B' U2
F2 D2 F2 L' R2 U F'
F2 D2 F2 L' U' B U2
F2 D2 F2 R2 L' U F'
U' B R2 U L' F' U
D' B R2 U B' L' U
U' B U L' U2 B U'
D2 B U B' L' F2 U
U' B U' B U2 L' U
D B U B' L' U L'
U' B F2 U' B R U'
D B2 L' B2 U L' F
U2 B2 U B' U L' U
R2 B2 U2 L' B2 U F'
L B2 U' D' B2 R2 F'
R2 B2 U2 B2 L' U F'
L B2 U2 L2 B2 U F
L B2 D' U' B2 R2 F'
R2 B2 D2 F2 R U' F
