U' L' U2 F' B2 U
U' L' U2 B2 F' U
L2 U F' B2 R' U
L2 U B2 F' R' U
L' U2 F' B2 U B2
L' U2 B2 F' U B2
U F2 R F B2 U
U F2 R B2 F U
U F2 B2 R F U
U B2 F2 R F U
L' U B2 F' D' R2 U
L' U B2 F' D2 U F2
L2 U B2 D F' R' U
L2 U B2 D' F' R' U
R2 U B2 U2 B' L' U'
L2 U B2 D2 F' R' U
L2 U B2 F R' F2 U
L2 U B2 F' R' U D
L2 U B2 F' R' U D'
L2 U B2 F' R' U D2
L2 U B2 F' R' D U
L2 U B2 F' R' D' U
L2 U B2 F' R' D2 U
L2 U B2 F' D R' U
L2 U B2 F' D' R' U
L2 U B2 F' D2 R' U
L2 U B2 F2 R' F U
L U B2 D F' U F'
F2 R D' F L2 U R2
L U B2 D2 F' R2 U
L U B2 F' U D F2
L U B2 F' U2 L2 U'
L U B2 F' D U F2
L U B2 F' D2 R2 U
L2 U' L U2 F' B2 U
L2 U' L U2 B2 F' U
F2 R F L2 B2 U B
R2 U' L' D' B U' R2
R2 U' L' D2 F2 B U'
R2 U' L' D2 B F2 U'
R2 U' L' B U2 B U
F2 R F B2 L2 U B'
F2 R F B2 U' F U2
L U' L2 U2 F' B2 U
L U' L2 U2 B2 F' U
R2 U' D' L' B U' R2
F2 R B2 D' F L2 U
F2 R B2 D2 F U B2
F2 R B2 F L2 U B'
F2 R B2 F U' F U2
U R B2 U2 L' B' U'
R2 U' D' B L' U' R2
R2 U' D2 L' F2 B U'
R2 U' D2 L' B F2 U'
R2 U' D2 B L' F2 U'
R2 U' B L' U2 B U
L' U2 L F' B2 U B2
L' U2 L B2 F' U B2
L' U2 L' F' B2 U B2
L' U2 L' B2 F' U B2
L' U2 L2 F' B2 U B2
L' U2 L2 B2 F' U B2
U R' F2 R F' B2 U
U R' F2 R B2 F' U
U R' F2 B2 R F' U
U R' B2 F2 R F' U
U' R2 L' B R2 F' U'
L' U2 F' L B2 U B2
L' U2 F' L' B2 U B2
L' U2 F' L2 B2 U B2
D R2 L2 U' L B U'
L' U2 F' B2 L U B2
L' U2 F' B2 L' U B2
L' U2 F' B2 L2 U B2
L' U2 F' B2 U B2 D
L' U2 F' B2 U B2 D'
L' U2 F' B2 U B2 D2
L' U2 F' B2 D L2 U
L2 U2 F' B2 R' U B2
D2 R2 U' L' F2 B U'
D2 R2 U' L' B F2 U'
D2 R2 U' B L' F2 U'
B R2 U' L' F' B U'
B R2 U' L' B F' U'
B2 R2 U2 L' B U' B'
B R2 U' B L' F' U'
L' U2 B2 L F' U B2
L' U2 B2 L' F' U B2
L' U2 B2 L2 F' U B2
L' U2 B2 D L2 F' U
L' U2 B2 D F' L2 U
L' U2 B2 F' L U B2
L' U2 B2 F' L' U B2
L' U2 B2 F' L2 U B2
L' U2 B2 F' U B2 D
L' U2 B2 F' U B2 D'
L' U2 B2 F' U B2 D2
L' U2 B2 F' D L2 U
L2 U2 B2 F' R' U B2
R2 D L2 U' L B U'
L D L2 U F' U F'
U' R2 B L' R2 F' U'
U' R2 B R2 L' F' U'
U R2 B2 U2 B' L' U'
B' U F2 R F B' U
B' U F2 R B' F U
B2 U F2 R F U R'
B U F' D2 B R' U
B' U F2 B' R F U
B U F2 B R F U
D2 U' L F2 L2 B' U'
U' D' L' U2 F' U R2
D' U' L' U2 F' U R2
B' U B' F2 R F U
B U B F2 R F U
D2 U' L' F2 U2 F U
R2 D' U' L' B U' R2
R2 D' U' B L' U' R2
B U' L' U2 F' B U
B U' L' U2 B F' U
U2 D' R2 U L' B U'
U2 D' R2 U B L' U'
D2 U' F2 U2 R F U
L D' B2 U F' U R2
U' D2 L F2 L2 B' U'
U' D2 L' F2 U2 F U
D' U2 R2 U L' B U'
D' U2 R2 U B L' U'
R2 D2 U' L' F2 B U'
R2 D2 U' L' B F2 U'
L D2 U F' R2 B U
R2 D2 U' B L' F2 U'
B2 U2 L' R2 B U' B'
U' D2 F2 U2 R F U
B2 U2 R2 L' B U' B'
L' F U' D' L2 R2 B
L' F U' D' R2 L2 B
L' F U' D' R2 B L2
L' F D' U' L2 R2 B
L' F D' U' R2 L2 B
L' F D' U' R2 B L2
L' F' B2 U' F U2 F'
L2 F' B2 L2 R' U B'
L2 F' B2 R' L2 U B'
L2 F' B2 R' U' F U2
U F' B D2 B R' U
L F' B2 U2 L2 U' B'
U F' B2 D R U F'
U' F2 R F B2 L U
U' F2 R B2 F L U
U2 F2 R F B2 U B2
U2 F2 R B2 F U B2
U F2 R D' F U R2
U F2 R F U D' R2
U F2 R F D' U R2
U F2 R F B2 U D
U F2 R F B2 U D'
U F2 R F B2 U D2
U F2 R F B2 D U
U F2 R F B2 D' U
U F2 R F B2 D2 U
U F2 R B2 D F U
U F2 R B2 D' F U
U F2 R B2 D2 F U
U F2 R B2 F U D
U F2 R B2 F U D'
U F2 R B2 F U D2
U F2 R B2 F D U
U F2 R B2 F D' U
U F2 R B2 F D2 U
U F2 R' F R2 B2 U
U F2 R' F B2 R2 U
U F2 R' B2 R2 F U
U F2 R' B2 F R2 U
U F2 R2 F R' B2 U
U' F2 U2 R F B2 U
U' F2 U2 R B2 F U
U2 F2 U' R F B2 U
U2 F2 U' R B2 F U
U' F2 U2 B2 R F U
U2 F2 U' B2 R F U
U2 F2 B2 R F U B2
U F2 B' R F B' U
U F2 B' R B' F U
U' B L' U2 F' B U
U' B L' U2 B F' U
U F2 B2 R D F U
U F2 B2 R D' F U
U F2 B2 R D2 F U
U F2 B2 R F U D
U F2 B2 R F U D'
U F2 B2 R F U D2
U F2 B2 R F D U
U F2 B2 R F D' U
U F2 B2 R F D2 U
U F2 B2 R' F R2 U
U F2 B2 R2 F R' U
U F2 B2 D R F U
U F2 B2 D' R F U
U F2 B2 D2 R F U
R2 B L' U2 B U B'
L2 B U F' B R' U
L2 B U B F' R' U
L' B U2 F' B U B'
L' B U2 B F' U B'
U B F' D2 B R' U
L' B' U2 F' B' U B
L' B' U2 B' F' U B
B2 F' U' F U' L' U'
U B' F2 R F B' U
U B' F2 R B' F U
U B2 R U2 L' B' U'
B2 F2 R D' F L2 U
B2 F2 R D2 F U B2
B2 F2 R F L2 U B'
B2 F2 R F U' F U2
F2 B2 R D' F L2 U
F2 B2 R D2 F U B2
F2 B2 R F L2 U B'
F2 B2 R F U' F U2
U B2 R' F2 R F' U
L2 B2 U F' R' U R
U B2 R2 U2 L' B U'
U B2 R2 U2 B L' U'
R2 B2 U2 B' L' U' B
F' B2 U' F U' L' U'
U B2 U2 L' U2 F' U
R B2 U2 L' B' U' B
U B2 D F2 R F U
U B2 D' F2 R F U
B2 F2 D' R F L2 U
F2 B2 D' R F L2 U
L' B2 F' U' F U2 F'
L2 B2 F' L2 R' U B'
L2 B2 F' R' L2 U B'
L2 B2 F' R' U' F U2
U B2 D2 F2 R F U
B2 F2 D2 R F U B2
F2 B2 D2 R F U B2
U2 B2 F2 R F U B2
L B2 F' U2 L2 U' B'
U B2 F' D R U F'
U B2 F2 R D F U
U B2 F2 R D' F U
U B2 F2 R D2 F U
U B2 F2 R F U D
U B2 F2 R F U D'
U B2 F2 R F U D2
U B2 F2 R F D U
U B2 F2 R F D' U
U B2 F2 R F D2 U
U B2 F2 R' F R2 U
U B2 F2 R2 F R' U
U B2 F2 D R F U
U B2 F2 D' R F U
U B2 F2 D2 R F U
