F R2 U F' R B'
F R2 U F' B' R
F R2 U B' F' R
F U R2 F' R B'
F U R2 F' B' R
F U R2 B' F' R
R2 F U R' F2 B'
R2 F U R' B' F2
R2 F U F2 R' B'
R2 F' R' D' B' L2
R2 F' R' B' D' L2
R2 F' D' R' B' L2
R' B' R' F' D' R' L2
R B' R F' R' D' L2
R B' R F' D' L2 R'
R B' R F' D' R' L2
R B' U' R F U F2
L2 B' D L2 U' R B'
L2 B' D L2 U' B' R
R B' U' F R U F'
R2 B' D2 F' R D' L2
R2 B' D2 F' D' L2 R
R2 B' D2 F' D' R L2
B2 F' D' L2 F B R
B2 F' D' L2 B F R
B F2 L' U F' U B2
F' B2 D' L2 F B R
F' B2 D' L2 B F R
