F2 L R D' F' B2
F2 L R D' B2 F'
F2 L R F' D' B2
F2 L R F' D' B2
F2 L' U L2 R F'
F2 L' U R L2 F'
F2 L' U R F' L2
R U L' U2 L2 F'
R U L' U2 F' L2
F2 R L D' F' B2
F2 R L D' B2 F'
F2 R L F' D' B2
R U' L D2 F' R2
R U' L F' D2 R2
L' U' R U' L2 F'
L' U' R U' F' L2
F2 R F' D' L B'
R U' F2 R F L
R F2 U' R F L
F2 L' B U L2 R F'
F2 L' B U R L2 F'
F2 L' B U R F' L2
F2 L' B' U L2 R F'
F2 L' B' U R L2 F'
F2 L' B' U R F' L2
F2 L' B2 U L2 R F'
F2 L' B2 U R L2 F'
F2 L' B2 U R F' L2
R L2 B2 U' L' F' R'
R U L' R2 B U2 L2
R U L' U2 L F' L
R U L' U2 L2 D F'
R U L' U2 L2 D' F'
R U L' U2 L2 D2 F'
R U L' U2 L2 F' D
R U L' U2 L2 F' D'
R U L' U2 L2 F' D2
R U L' U2 F L2 F2
R U L' U2 F' L2 D
R U L' U2 F' L2 D'
R U L' U2 F' L2 D2
R U L' D2 R2 B U2
R U L' B U2 L2 F'
R U L' B U2 F' L2
R U L' B' U2 L2 F'
R U L' B' U2 F' L2
R U L' B2 U2 L2 F'
R U L' B2 U2 F' L2
L' U R U F' L2 B'
L U R U L2 U2 F'
L U R U' D2 F' R2
L U R U' F' D2 R2
L U R D F2 U' F
L U R D2 U' F' R2
R U R2 L' B U2 L2
R U D L' U2 L2 F'
R U D L' U2 F' L2
R U D' L' U2 L2 F'
R U D' L' U2 F' L2
F2 R L U' L2 U F'
F2 R L D' F' B2 D
F2 R L D' F' B2 D'
F2 R L D' F' B2 D2
F2 R L D' B2 D F'
F2 R L D' B2 D' F'
F2 R L D' B2 D2 F'
F2 R L D' B2 F' D
F2 R L D' B2 F' D'
F2 R L D' B2 F' D2
F2 R L D2 F' D B2
F2 R L F' U' L2 U
F2 R L F' D' B2 D
F2 R L F' D' B2 D'
F2 R L F' D' B2 D2
F2 R L F' B D' B2
F2 R L F' B' D' B2
F2 R L F' B2 D' B2
F2 R L F2 D' F B2
F2 R L F2 D' B2 F
F2 R L B D' F' B2
F2 R L B D' B2 F'
F2 R L B F' D' B2
F2 R L B' D' F' B2
F2 R L B' D' B2 F'
R U D2 L' U2 L2 F'
R U D2 L' U2 F' L2
F2 R L B' F' D' B2
F2 R L B2 D' F' B2
F2 R L B2 D' B2 F'
F2 R L B2 F' D' B2
F2 R L' F' L2 D' B2
D2 R U L' U2 F L2
U' R U L' U2 L2 F'
U' R U L' U2 F' L2
B2 R U L' R2 B U2
U2 R U L' U2 L2 F'
U2 R U L' U2 F' L2
B2 R U R2 L' B U2
B2 R U R2 B L' U2
U R U L' U2 L2 F'
U R U L' U2 F' L2
F' R U' L F' R B
U' R U' L D2 F' R2
U' R U' L F' D2 R2
U2 R U' L D2 F' R2
F2 R U' L' U L2 F'
F2 R U' L' U F' L2
U2 R U' L F' D2 R2
F' R U' F' L R B
F' R U' F' R L B
U' R U' F2 R F L
U R U' L D2 F' R2
U R U' L F' D2 R2
U2 R U' F2 R F L
U R U' F2 R F L
F2 R D L D' F' B2
F2 R D L D' B2 F'
F2 R D L F' D' B2
R U B' L' U2 F' L'
F2 R D F' D' L B'
F2 R D' L D' F' B2
F2 R D' L D' B2 F'
F2 R D' L F' D' B2
L' U' L R U' L F'
L' U' L R U' F' L
F2 R D' F' D' L B'
F2 R D2 L D' F' B2
F2 R D2 L D' B2 F'
F2 R D2 L F' D' B2
R U' L R2 D2 R2 F'
L' U' L' R U' L' F'
R U' L U2 L2 U2 F'
R U' L D' F' D' R2
R U' L D2 F R2 F2
R U' L D2 F' R2 D
R U' L D2 F' R2 D'
R U' L D2 F' R2 D2
R U' L D2 F2 R2 F
F2 R D2 F' D' L B'
R U' L F' R D2 R2
R U' L F' R' D2 R2
R U' L F' R2 D2 R2
R U' L F' U2 L2 U2
R U' L F' D2 R2 D
R U' L F' D2 R2 D'
R U' L F' D2 R2 D2
R U' L F2 D2 R2 F
R U' L F2 D2 F R2
R U' L' U2 F' L2 B'
R U' L' F' L2 D2 R2
F' R F' L R D' B2
F' R F' L D' R B2
F' R F' L D' B2 R
F' R F' R L D' B2
L' U' R L U' L F'
L' U' R L U' F' L
L' U' R L' U' L' F'
L' U' R U' L F' L
L' U' R U' L2 D F'
L' U' R U' L2 D' F'
L' U' R U' L2 D2 F'
L' U' R U' L2 F' D
L' U' R U' L2 F' D'
L' U' R U' L2 F' D2
L' U' R U' F L2 F2
L' U' R U' F' L2 D
L' U' R U' F' L2 D'
L' U' R U' F' L2 D2
F2 R F' D' L D B'
F2 R F' D' L D' B'
F2 R F' D' L D2 B'
F2 R F' D' L B' D
F2 R F' D' L B' D'
F2 R F' D' L B' D2
L' U' R D' B2 U' F'
L' U' R B U' L2 F'
L' U' R B U' F' L2
L' U' R B' U' L2 F'
L' U' R B' U' F' L2
L' U' R B2 U' L2 F'
L' U' R B2 U' F' L2
U' R F2 U' R F L
U2 R F2 U' R F L
U R F2 U' R F L
R U' R' F2 L R F'
R U' R' F2 R L F'
R U' R' F2 R F' L
R U' R2 L D2 R2 F'
R U' D L D2 F' R2
R U' D L F' D2 R2
R U' D F2 R F L
R U' D' L D2 F' R2
R U' D' L F' D2 R2
R U' D' F2 R F L
R U' D2 L D2 F' R2
R U' D2 L F' D2 R2
B2 R' L' U' R2 U' F'
F2 R' L' U L2 R2 F'
F2 R' L' U R2 L2 F'
F2 R' L' U R2 F' L2
B2 R' L' D B U2 B
B2 R' L' D' F2 B U2
B2 R' L' D' B F2 U2
R U' D2 F2 R F L
B2 R' L' B U' R2 U'
B2 R' L' B U2 D B2
B2 R' L' B D U2 B2
B2 R' L' B D' F2 U2
R U' F L F R F
R U' F' L F' R F
R U' F2 L D2 R F'
R U' F2 R D F L
R U' F2 R D' F L
R U' F2 R D2 F L
R U' F2 R F L D
R U' F2 R F L D'
R U' F2 R F L D2
R U' F2 R F D L
R U' F2 R F D' L
R U' F2 R F D2 L
R U' F2 R F' L F2
R U' F2 R F2 L F'
L' U' B R U' L2 F'
L' U' B R U' F' L2
R U' F2 R' F L R2
R U' F2 R' F R2 L
R U' F2 R2 F L R'
R U' F2 R2 F R' L
R U' F2 D R F L
R U' F2 D' R F L
R U' F2 D2 R F L
L' U' B' R U' L2 F'
L' U' B' R U' F' L2
B2 R' D L' B U2 B
L' U' B2 R U' L2 F'
L' U' B2 R U' F' L2
B2 R' D B L' U2 B
B2 R' D' L' F2 B U2
B2 R' D' L' B F2 U2
B2 R' D' F2 B U2 R
B2 R' D' B L' F2 U2
B2 R' D' B F2 U2 R
L' U2 L2 U R U' F'
L U2 L2 U' R U' F'
L' U2 R U' L2 F' R'
L' U2 R U' F' L2 R'
L' U2 R U' F' R' L2
B2 R' B L' U' R2 U'
B2 R' B L' U2 D B2
B2 R' B L' D U2 B2
B2 R' B L' D' F2 U2
B2 R' B D L' U2 B2
B2 R' B D' L' F2 U2
B2 R' B D' F2 U2 R
F2 R2 L D' R' F' B2
F2 R2 L D' R' B2 F'
R U2 F2 U R F L
R' D L' U2 B2 L2 F
R' D L' B U2 L2 B
R' D L' B U2 B L2
R D U L' U2 L2 F'
R D U L' U2 F' L2
F2 U L R D' F' B2
F2 U L R D' B2 F'
F2 U L R F' D' B2
R D U' L D2 F' R2
R D U' L F' D2 R2
R D U' F2 R F L
F2 U L' U L2 R F'
F2 U L' U R L2 F'
F2 U L' U R F' L2
F2 U R L D' F' B2
F2 U R L D' B2 F'
F2 U R L F' D' B2
F2 U R F' D' L B'
R D F2 U' R F L
R' D' L D2 R2 F' B2
R' D' L D2 R2 B2 F'
R' D' L' F2 B U2 L2
R' D' L' B F2 U2 L2
F' U' L R F' B R
F' U' L R B F' R
R D' U L' U2 L2 F'
R D' U L' U2 F' L2
F2 U' L R D' F' B2
F2 U' L R D' B2 F'
F2 U' L R F' D' B2
F' U' L F' R F' B
F' U' L F' R B F'
R D' U' L D2 F' R2
R D' U' L F' D2 R2
R D' U' F2 R F L
F2 U' L' U L2 R F'
F2 U' L' U R L2 F'
F2 U' L' U R F' L2
F' U' R L F' B R
F' U' R L B F' R
F2 U' R L D' F' B2
F2 U' R L D' B2 F'
F2 U' R L F' D' B2
F' U' R F' L B R
F2 U' R F' D' L B'
R D' F2 U' R F L
F' U' F' L R F' B
F' U' F' L R B F'
F' U' F' R L F' B
F' U' F' R L B F'
F' U' F' R F' L B
R D2 U L' U2 L2 F'
R D2 U L' U2 F' L2
F2 U2 L R D' F' B2
F2 U2 L R D' B2 F'
F2 U2 L R F' D' B2
R D2 U' L D2 F' R2
R D2 U' L F' D2 R2
F2 U2 L' U L2 R F'
F2 U2 L' U R L2 F'
F2 U2 L' U R F' L2
R D2 U' F2 R F L
F2 U2 R L D' F' B2
F2 U2 R L D' B2 F'
F2 U2 R L F' D' B2
F2 U2 R F' D' L B'
R D2 F2 U' R F L
F2 D L D' R F' B2
F2 D L D' R B2 F'
F2 D L D' B2 R F'
R' F' R2 U' L F' R
R' F' R2 U' F' L R
R' F' R2 U' F' R L
R2 F' R' U' L F' R
R2 F' R' U' F' L R
R2 F' R' U' F' R L
U' F2 L R D' F' B2
U' F2 L R D' B2 F'
U' F2 L R F' D' B2
U2 F2 L R D' F' B2
U2 F2 L R D' B2 F'
U2 F2 L R F' D' B2
U' F2 L' U L2 R F'
U' F2 L' U R L2 F'
U' F2 L' U R F' L2
D2 F2 L' U R F L2
D F2 L D' R F' B2
D F2 L D' R B2 F'
D F2 L D' B2 R F'
U2 F2 L' U L2 R F'
U2 F2 L' U R L2 F'
U2 F2 L' U R F' L2
U F2 L R D' F' B2
U F2 L R D' B2 F'
U F2 L R F' D' B2
U' F2 R L D' F' B2
U' F2 R L D' B2 F'
U' F2 R L F' D' B2
U F2 L' U L2 R F'
U F2 L' U R L2 F'
U F2 L' U R F' L2
U' F2 R F' D' L B'
U2 F2 R L D' F' B2
U2 F2 R L D' B2 F'
U2 F2 R L F' D' B2
U2 F2 R F' D' L B'
U F2 R L D' F' B2
U F2 R L D' B2 F'
U F2 R L F' D' B2
R' F2 R2 U' L F' R'
R' F2 R2 U' F' L R'
R' F2 R2 U' F' R' L
R2 F2 R' U' L F' R2
R2 F2 R' U' F' L R2
R2 F2 R' U' F' R2 L
U F2 R F' D' L B'
F2 D2 L' U R F L2
R F2 U' L D2 R F'
R F2 U' R D F L
R F2 U' R D' F L
R F2 U' R D2 F L
R F2 U' R F L D
R F2 U' R F L D'
R F2 U' R F L D2
R F2 U' R F D L
R F2 U' R F D' L
R F2 U' R F D2 L
R F2 U' R F' L F2
R F2 U' R F2 L F'
R F2 U' R' F L R2
R F2 U' R' F R2 L
R F2 U' R2 F L R'
R F2 U' R2 F R' L
R F2 U' D R F L
R F2 U' D' R F L
R F2 U' D2 R F L
R F2 D U' R F L
R F2 D' U' R F L
R F2 D2 U' R F L
L' B U' R U' L2 F'
L' B U' R U' F' L2
L' B' U' R U' L2 F'
L' B' U' R U' F' L2
L2 B2 R U' L' F' R2
L' B2 U' R U' L2 F'
L' B2 U' R U' F' L2
