F' L D F2 B' R'
F' L D B' R' F2
F' L D B' F2 R'
F' L B' R' D F2
F' L B' D R' F2
F L B' R' D' F2
F' L B' D F2 R'
L F B' R' D' F2
L B' F R' D' F2
F' L B' R' D F2 D'
F' L B' R' D F2 D2
F' L B' R' F D F2
F' L B' R' F' D F2
F' L B' R' F2 D F2
F' L B' R2 D R F2
F' L B' U L2 U' R'
U' L B' R' F' D R2
F2 L B' R2 D R F'
F L B' R' U' R2 U
F L B' R' D' F2 D
F L B' R' D' F2 D'
F L B' R' D' F2 D2
F L B' R' F D' F2
F L B' R' F' D' F2
F L B' R' F2 D' F2
F' L B' D R F2 R2
F' L B' D R' F2 D
F' L B' D R' F2 D'
F' L B' D R' F2 D2
F' L B' D F R' F
F' L B' D F2 R' D
F' L B' D F2 R' D'
F' L B' D F2 R' D2
F' L B' D F2 D R'
F' L B' D F2 D' R'
F' L B' D F2 D2 R'
U L B' R' F D R2
F' L B' D' R' D2 F2
F L B' U' R U R2
F2 L B' D R F' R2
F' L B' F R' D F2
F L B' D R' D' F2
F' L B' F D R' F2
F' L B' F D F2 R'
F' L B' F' R' D F2
F' L B' F' D R' F2
F' L B' F' D F2 R'
F L B' D' R' D' F2
F' L B' F2 R' D F2
U2 L B' F R D' F2
F' L B' F2 D R' F2
F' L B' F2 D F2 R'
F2 L B' F' R' D' F2
F L B' D2 R' D' F2
U L' U L2 F R B'
U L' U L2 F B' R
U L' U L2 B' F R
U L' U' L2 F B' R'
U L' U' L2 B' R' F
U L' U' L2 B' F R'
L R' F B' R' D' F2
L R' B' F R' D' F2
F' L' B' U' L2 R' B'
F' L' B' U' R' L2 B'
L R2 F B' R' D' F2
L R2 B' F R' D' F2
F2 L2 D' L' F B' R'
F2 L2 D' L' B' R' F
F2 L2 D' L' B' F R'
F' R L D F2 B' R'
F' R L D B' R' F2
F' R L D B' F2 R'
F' R L B' R' D F2
F' R L B' D R' F2
F' R L B' D F2 R'
U R L F B' D' R2
U R L B' D' R2 F
U R L B' D' F R2
U R L B' F D' R2
L U' R' U F' B' R'
L U' R' U B' F' R'
F' R' L D F2 B' R'
F' R' L D B' R' F2
F' R' L D B' F2 R'
U' R' L F' D R2 B'
U' R' L F' D B' R2
U' R' L F' B' D R2
F' R' L B' R' D F2
U' R' L B' F' D R2
F' R' L B' D R' F2
F' R' L B' D F2 R'
F R' L D' F2 B' R'
F R' L D' B' R' F2
F R' L D' B' F2 R'
U R' L F D R2 B'
U R' L F D B' R2
U R' L F B' D R2
F R' L B' D' R' F2
F R' L B' D' F2 R'
U R' L B' F D R2
U' R' U L F' B' R'
U' R' U L B' F' R'
U' R' U F' L B' R'
F' R2 L D F2 B' R'
F' R2 L D B' R' F2
F' R2 L D B' F2 R'
F' R2 L B' R' D F2
F' R2 L B' D R' F2
F' R2 L B' D F2 R'
B U L U2 F B' L
B U L U2 B' F L
F' U L' U' L2 B' R'
L D F B' R' D' F2
L D B' F R' D' F2
B U B' L F B' R'
B U B' L B' R' F
B U B' L B' F R'
B2 U B2 L F B' R'
B2 U B2 L B' R' F
B2 U B2 L B' F R'
B U' L U2 B' L F
L D' F B' R' D' F2
F U' R U L B' R'
L D' B' F R' D' F2
B U' B' L B' R' F'
B2 U' B2 L B' R' F'
L D2 F B' R' D' F2
L D2 B' F R' D' F2
R' F L B' R' D' F2
U2 F L B' R D' F2
R2 F L B' R' D' F2
R F L B' R' D' F2
L F R' D' F2 B' R'
L F R' D' B' R' F2
L F R' D' B' F2 R'
L' F U R B U L2
L F R' B' D' R' F2
L F R' B' D' F2 R'
U2 F U' L R F B'
U2 F U' L R B' F
U2 F U' L B' R F
U2 F U' R L F B'
U2 F U' R L B' F
L F U' R U B' R'
L F D B' R' D' F2
L F D' B' R' D' F2
L F D2 B' R' D' F2
R' F' L D F2 B' R'
R' F' L D B' R' F2
R' F' L D B' F2 R'
L F B' R' U' R2 U
L F B' R' D' F2 D
L F B' R' D' F2 D'
L F B' R' D' F2 D2
L F B' R' F D' F2
L F B' R' F' D' F2
L F B' R' F2 D' F2
L F B' U' R U R2
R' F' L B' R' D F2
R' F' L B' D R' F2
R' F' L B' D F2 R'
L F B' D R' D' F2
L F B' D' R' D' F2
L F B' D2 R' D' F2
R2 F' L D F2 B' R'
R2 F' L D B' R' F2
R2 F' L D B' F2 R'
R2 F' L B' R' D F2
R2 F' L B' D R' F2
R2 F' L B' D F2 R'
R F' L D F2 B' R'
R F' L D B' R' F2
R F' L D B' F2 R'
R F' L B' R' D F2
R F' L B' D R' F2
R F' L B' D F2 R'
L F' B' R' U L' U'
L F' B' U L' U' R'
L F2 D R F' B' R'
L F2 D R B' F' R'
L F2 D R2 B' R' F'
L F2 D B' R F' R2
L F2 B' R2 D R F'
L F2 B' D R F' R2
L B' R' U L U' F
L B' R' U' R' U F'
L B' R' F U' R U
L B' R' F' U L' U'
L' B' U' L2 R' F' B'
L' B' U' L2 R' B' F'
L' B' U' R' L2 F' B'
L' B' U' R' L2 B' F'
L B' U L U' R' F
L B' U L U' F R'
L B' U' R U R2 F'
L B' U' R2 U R F'
L B' D F R' D' F2
L B' D' F R' D' F2
L B' D2 F R' D' F2
L B' F R' U' R2 U
L B' F R' D' F2 D
L B' F R' D' F2 D'
L B' F R' D' F2 D2
L B' F R' F D' F2
L B' F R' F' D' F2
L B' F R' F2 D' F2
L B' F U' R U R2
L B' F D R' D' F2
L B' F D' R' D' F2
L B' F D2 R' D' F2
L B' F' R' U L' U'
L B' F' U L' U' R'
L B' F2 R2 D R F'
L B' F2 D R F' R2
