L' U F' R2 U
D' L' U F' U F'
B' L' U F' R2 U
B2 L' U F' R2 U
B L' U F' R2 U
D L' B2 U F' U
L' U R2 U2 B U'
L' U D' F' U F'
L' U F R2 F2 U
L' U F' R2 U D
L' U F' R2 U D'
L' U F' R2 U D2
L' U F' R2 D U
L' U F' R2 D' U
L' U F' R2 D2 U
L' U F' U D' F2
L' U F' D' U F2
L' U F2 R2 F U
L' U2 F D' L2 F2
L' U2 F D' F2 L2
F' R2 U' F L' U2
L' D B2 U F' U
D' U F' U F' R
L' D' U F' U F'
U D' F' U F' R
U F2 R2 F U R'
L' B U F' R2 U
L' B' U F' R2 U
D B2 L' U F' U
L' B2 U F' R2 U
L' F D' U2 F2 L2 B'
L' F D' F' U2 L2 F'
L' F D' F' U2 F' L2
U2 F D' L2 F R F
U2 F D' F R F L2
F D R2 B2 U2 B' R'
D' F' L2 U F' R B'
D' F' L2 U F' B' R
D' F' L2 U B' F' R
F D F' L' R2 B2 U2
F D F' L' B2 R2 U2
F D F' R2 L' B2 U2
F D F' R2 B2 L' U2
F D F' B2 L' R2 U2
F D F' B2 R2 L' U2
L2 F' R2 U' F L U2
U F' R' D R' B U
B' D B2 L' U F' U
D' F' U F' R D2 B2
D' F' U F' D2 R B2
D' F' U F' D2 B2 R
B2 D B2 L' U F' U
U F' R2 U F' R F
L F' R2 U' L2 U2 B'
U F' R2 U2 F' U' R
L F' R2 U' F L2 U2
U F' R2 D2 B U R'
D' F' U' F L' U2 F2
D' F' U' F U2 F2 R
B D B2 L' U F' U
U F' U F D' F2 R
U F' U F' D' R F2
B' D' L' U F' U F'
D F' U' F L' B2 U2
D F' U' F B2 L' U2
B2 D' L' U F' U F'
F D B2 F' L' R2 U2
F D B2 F' R2 L' U2
D F' U' B2 F L' U2
F' D' L2 U F2 B' R'
F' D' L2 U B' R' F2
F' D' L2 U B' F2 R'
B D' L' U F' U F'
B' D' U F' U F' R
B2 D' U F' U F' R
B D' U F' U F' R
F D' U2 F2 L2 B' R'
F D' F R F L2 B'
U2 F2 R U' R F U
F D' F' L' U2 L' F'
U F2 R' F R' U R'
U F2 R2 D F U R'
U F2 R2 D' F U R'
U F2 R2 D2 F U R'
U F2 R2 F U R' D
U F2 R2 F U R' D'
U F2 R2 F U R' D2
U F2 R2 F U D R'
U F2 R2 F U D' R'
U F2 R2 F U D2 R'
U F2 R2 F D U R'
U F2 R2 F D' U R'
U F2 R2 F D2 U R'
U' F2 U2 R2 F U R'
U2 F2 U' R2 F U R'
U' F2 D2 L2 B' U' R
F2 D2 L2 B' U' R B'
F2 D2 L2 B' U' B' R
U F2 B R2 F U R'
U F2 B' R2 F U R'
D' B L' U F' U F'
U F2 B2 R2 F U R'
D B L' B U F' U
L B L2 U F' R2 U
L' B U R2 U2 B U'
L' B U D' F' U F'
D' B U F' U F' R
L' B U F R2 F2 U
L' B U F' R2 U D
L' B U F' R2 U D'
L' B U F' R2 U D2
L' B U F' R2 D U
L' B U F' R2 D' U
L' B U F' R2 D2 U
L' B U F' U D' F2
L' B U F' D' U F2
L' B U F2 R2 F U
L' B U2 F D' L2 F2
L' B U2 F D' F2 L2
L' B D B2 U F' U
L' B D' U F' U F'
U B D' F' U F' R
F' B R2 U' F L' U2
D' B' L' U F' U F'
U B F2 R2 F U R'
L B' L2 U F' R2 U
L' B' U R2 U2 B U'
L' B' U D' F' U F'
D' B' U F' U F' R
L' B' U F R2 F2 U
L' B' U F' R2 U D
L' B' U F' R2 U D'
L' B' U F' R2 U D2
L' B' U F' R2 D U
L' B' U F' R2 D' U
L' B' U F' R2 D2 U
L' B' U F' U D' F2
L' B' U F' D' U F2
L' B' U F2 R2 F U
L' B' U2 F D' L2 F2
L' B' U2 F D' F2 L2
B' F' R2 U' F L' U2
L' B' D B2 U F' U
F' B' R2 U' F L' U2
L' B' D' U F' U F'
B2 F' R2 U' F L' U2
B F' R2 U' F L' U2
U B' D' F' U F' R
D' B2 L' U F' U F'
U B' F2 R2 F U R'
D B2 L' R2 U' B U'
D B2 L' U D F' U
D B2 L' U D' F' U
D B2 L' U D2 F' U
D B2 L' U F' U D
D B2 L' U F' U D'
D B2 L' U F' U D2
D B2 L' U F' D U
D B2 L' U F' D' U
D B2 L' U F' D2 U
D B2 L' D U F' U
D B2 L' D' U F' U
D B2 L' D2 U F' U
L B2 L2 U F' R2 U
L' B2 U R2 U2 B U'
D B2 R2 L' U' B U'
L' B2 U D' F' U F'
L' B2 U F R2 F2 U
D' B2 U F' U F' R
L' B2 U F' R2 U D
L' B2 U F' R2 U D'
L' B2 U F' R2 U D2
L' B2 U F' R2 D U
L' B2 U F' R2 D' U
L' B2 U F' R2 D2 U
L' B2 U F' U D' F2
L' B2 U F' D' U F2
L' B2 U F2 R2 F U
L2 B2 U F' R2 U R
F' B2 R2 U' F L' U2
L' B2 U2 F D' L2 F2
L' B2 U2 F D' F2 L2
L' B2 D B2 U F' U
L' B2 D' U F' U F'
D B2 D L' U F' U
D B2 D' L' U F' U
D B2 D2 L' U F' U
U B2 D' F' U F' R
U B2 F2 R2 F U R'
