B L U2 R U R'
B L' D F2 L' U'
F2 L' B U L U2
B L2 F2 L' U' R
B U L U R U
B U2 R U' L U2
B U2 R B2 U R'
B U2 B2 R U R2
F2 B L' U L2 U2
F2 B L' U' D2 R2
F2 B L' D F2 U'
F2 B L' D2 U' R2
F' B U L U2 F
B F' U L U2 F
B F2 L' U L2 U2
B F2 L' U' D2 R2
B F2 L' D F2 U'
B F2 L' D2 U' R2
B U2 B2 D' R U R2
B U2 B2 D2 R U R2
B D L U2 R U R'
F2 D L' B U L U2
B D L' D F2 L' U'
B D L2 F2 L' U' R
B' D U' L2 R' D' F2
B' D U' R' L2 D' F2
B D U L U R U
B' D U2 R U L2 R2
B' D U2 R U R2 L2
B D U2 R U' L U2
B D U2 R B2 U R'
B D U2 B2 R U R2
B' D F' U' L2 R' F'
B' D F' U' R' L2 F'
B' D F' U' R' F' L2
B' D F2 L' U' L' R'
B' D F2 L' U' R' L'
B D F' U L U2 F
B2 D F2 B' L' F U'
B D F2 L' U L2 U2
B D F2 L' U' D2 R2
B D F2 L' D F2 U'
B D F2 L' D2 U' R2
F2 D B L' U L2 U2
F2 D B L' U' D2 R2
F2 D B L' D F2 U'
F2 D B L' D2 U' R2
F' D B U L U2 F
B2 D B' F2 L' F U'
B D' L U2 R U R'
F2 D' L' B U L U2
B D' L' D F2 L' U'
B D' L2 F2 L' U' R
D2 F' B U L U2 F
D' F' B U L U2 F
L' F' B U L U2 F
L2 F' B U L U2 F
D F' B U L U2 F
L F' B U L U2 F
B D' U L U R U
D2 F2 L' B U L U2
D' F2 L' B U L U2
L' F2 L' B U L U2
B D' U2 R U' L U2
B D' U2 R B2 U R'
L2 F2 L' B U L U2
B D' U2 B2 R U R2
D F2 L' B U L U2
L F2 L' B U L U2
B D' F' U L U2 F
B D' F2 L' U L2 U2
B D' F2 L' U' D2 R2
B D' F2 L' D F2 U'
B D' F2 L' D2 U' R2
F' D' B U L U2 F
F2 D' B L' U L2 U2
F2 D' B L' U' D2 R2
F2 D' B L' D F2 U'
F2 D' B L' D2 U' R2
F D' B U L B' U2
B D2 L U2 R U R'
F2 D2 L' B U L U2
B D2 L' D F2 L' U'
B D2 L2 F2 L' U' R
D2 F2 B L' U L2 U2
D2 F2 B L' U' D2 R2
D2 F2 B L' D F2 U'
D2 F2 B L' D2 U' R2
D' F2 B L' U L2 U2
D' F2 B L' U' D2 R2
D' F2 B L' D F2 U'
D' F2 B L' D2 U' R2
L' F2 B L' U L2 U2
L' F2 B L' U' D2 R2
L' F2 B L' D F2 U'
L' F2 B L' D2 U' R2
L2 F2 B L' U L2 U2
L2 F2 B L' U' D2 R2
L2 F2 B L' D F2 U'
L2 F2 B L' D2 U' R2
D F2 B L' U L2 U2
D F2 B L' U' D2 R2
D F2 B L' D F2 U'
D F2 B L' D2 U' R2
L F2 B L' U L2 U2
L F2 B L' U' D2 R2
L F2 B L' D F2 U'
L F2 B L' D2 U' R2
B' D2 U' R' D' L2 F2
B' D2 U' R' D' F2 L2
D2 B L U2 R U R'
D' B L U2 R U R'
B D2 U L U R U
L' B L U2 R U R'
B' D2 U2 R F2 U R2
L2 B L U2 R U R'
D2 B L' D F2 L' U'
D' B L' D F2 L' U'
L' B L' D F2 L' U'
D B L U2 R U R'
L2 B L' D F2 L' U'
B D2 U2 R U' L U2
B D2 U2 R B2 U R'
L B L U2 R U R'
D2 B L2 F2 L' U' R
D' B L2 F2 L' U' R
B D2 U2 B2 R U R2
L' B L2 F2 L' U' R
D B L' D F2 L' U'
L B L' D F2 L' U'
L2 B L2 F2 L' U' R
D B L2 F2 L' U' R
B D2 F' U L U2 F
L B L2 F2 L' U' R
B D2 F2 L' U L2 U2
B D2 F2 L' U' D2 R2
B D2 F2 L' D F2 U'
B D2 F2 L' D2 U' R2
F' D2 B U L U2 F
F2 D2 B L' U L2 U2
F2 D2 B L' U' D2 R2
F2 D2 B L' D F2 U'
F2 D2 B L' D2 U' R2
D2 B U L U R U
D' B U L U R U
L' B U L U R U
L2 B U L U R U
D B U L U R U
U' B U2 R B U B2
L B U L U R U
D2 B U2 R U' L U2
D2 B U2 R B2 U R'
D' B U2 R U' L U2
D' B U2 R B2 U R'
L' B U2 R U' L U2
L' B U2 R B2 U R'
D2 B U2 B2 R U R2
D' B U2 B2 R U R2
L2 B U2 R U' L U2
L' B U2 B2 R U R2
L2 B U2 R B2 U R'
F2 B L' U L2 U2 D
F2 B L' U L2 U2 D'
F2 B L' U L2 U2 D2
F2 B L' U L2 D U2
F2 B L' U L2 D' U2
F2 B L' U L2 D2 U2
F2 B L' U' R D2 R2
F2 B L' U' R' D2 R2
F2 B L' U' R2 D2 R2
F2 B L' U' D2 R2 D
F2 B L' U' D2 R2 D'
F2 B L' U' D2 R2 D2
F2 B L' U2 D' B2 U
F2 B L' D F2 U' D
F2 B L' D F2 U' D'
F2 B L' D F2 U' D2
F2 B L' D F2 D U'
F2 B L' D F2 D' U'
F2 B L' D F2 D2 U'
F2 B L' D' U2 B2 U
F2 B L' D2 U' R2 D
F2 B L' D2 U' R2 D'
F2 B L' D2 U' R2 D2
F2 B L' D2 F U' R2
F2 B L' D2 F' U' R2
F2 B L' D2 F2 U' R2
F2 B L' F U L2 U2
F2 B L' F U' D2 R2
F2 B L' F D F2 U'
F2 B L' F D2 U' R2
D B U2 R U' L U2
F2 B L' F' U L2 U2
F2 B L' F' U' D2 R2
D B U2 R B2 U R'
F2 B L' F' D F2 U'
F2 B L' F' D2 U' R2
L2 B U2 B2 R U R2
F2 B L' F2 U L2 U2
F2 B L' F2 U' D2 R2
F2 B L' F2 D F2 U'
F2 B L' F2 D2 U' R2
F' B L2 U L' B' U2
L B U2 R U' L U2
L B U2 R B2 U R'
D B U2 B2 R U R2
F2 B L2 F2 L U' R
L B U2 B2 R U R2
D2 B F' U L U2 F
D' B F' U L U2 F
L' B F' U L U2 F
D2 B F2 L' U L2 U2
D2 B F2 L' U' D2 R2
D2 B F2 L' D F2 U'
D2 B F2 L' D2 U' R2
F' B U L U2 D F
F' B U L U2 D' F
F' B U L U2 D2 F
F' B U L U2 F D
F' B U L U2 F D'
F' B U L U2 F D2
F' B U L D U2 F
F' B U L D' U2 F
F' B U L D2 U2 F
D' B F2 L' U L2 U2
D' B F2 L' U' D2 R2
F' B U L B U2 F
F' B U L B' U2 F
F' B U L B2 U2 F
D' B F2 L' D F2 U'
D' B F2 L' D2 U' R2
F' B U L' B' L2 U2
L' B F2 L' U L2 U2
L' B F2 L' U' D2 R2
L' B F2 L' D F2 U'
L' B F2 L' D2 U' R2
F2 B U L U' L2 U'
F2 B U L U2 D F2
L2 B F' U L U2 F
F2 B U L D U2 F2
F2 B U L D' B2 U2
F' B U D L U2 F
F' B U D' L U2 F
F' B U D2 L U2 F
L2 B F2 L' U L2 U2
L2 B F2 L' U' D2 R2
L2 B F2 L' D F2 U'
L2 B F2 L' D2 U' R2
F' B U B2 U2 R' F'
D B F' U L U2 F
D B F2 L' U L2 U2
D B F2 L' U' D2 R2
D B F2 L' D F2 U'
D B F2 L' D2 U' R2
B F U D' L B' U2
L B F' U L U2 F
F' B U' B2 R' F' B2
F' B U' B2 R' B2 F'
F B U D' L B' U2
L B F2 L' U L2 U2
L B F2 L' U' D2 R2
L B F2 L' D F2 U'
L B F2 L' D2 U' R2
F2 B D L' U L2 U2
F' B D U L U2 F
F2 B D L' U' D2 R2
F2 B D L' D F2 U'
F2 B D L' D2 U' R2
F2 B D' L' U L2 U2
F' B D' U L U2 F
F2 B D' L' U' D2 R2
F2 B D' L' D F2 U'
F2 B D' L' D2 U' R2
F2 B D2 L' U L2 U2
F' B D2 U L U2 F
F2 B D2 L' U' D2 R2
F2 B D2 L' D F2 U'
F2 B D2 L' D2 U' R2
B F D' U L B' U2
F B D' U L B' U2
F2 B' L' U' R' D L2
F2 B' L' U' D L2 R'
F2 B' L' U' D R' L2
F2 B' L' D U' L2 R'
F2 B' L' D U' R' L2
F2 B' L' B2 U L U2
B F' L2 U L' B' U2
B' F' U' R' D L2 F'
B' F' U' R' D F' L2
B' F' U' R' F' D L2
B' F' U' D L2 R' F'
B' F' U' D R' L2 F'
B' F' U' D R' F' L2
B F' U L U2 D F
B F' U L U2 D' F
B F' U L U2 D2 F
B F' U L U2 F D
B F' U L U2 F D'
B F' U L U2 F D2
B F' U L D U2 F
B F' U L D' U2 F
B F' U L D2 U2 F
B F' U L B U2 F
B F' U L B' U2 F
B F' U L B2 U2 F
F' B' U' R' D L2 F'
F' B' U' R' D F' L2
B F' U L' B' L2 U2
F' B' U' R' F' D L2
F' B' U' D L2 R' F'
F' B' U' D R' L2 F'
F' B' U' D R' F' L2
B F' U D L U2 F
B F' U D' L U2 F
B F' U D2 L U2 F
B F' U B2 U2 R' F'
B' F' D U' L2 R' F'
B' F' D U' R' L2 F'
B' F' D U' R' F' L2
B F' U' B2 R' F' B2
B F' U' B2 R' B2 F'
F2 B' D L' U' L' R'
F2 B' D L' U' R' L'
F' B' D U' L2 R' F'
F' B' D U' R' L2 F'
F' B' D U' R' F' L2
B F' D U L U2 F
R2 B2 L R2 B U' R'
B F' D' U L U2 F
B F' D2 U L U2 F
B' F2 L' U' R' D L2
B' F2 L' U' D L2 R'
B' F2 L' U' D R' L2
B' F2 L' D U' L2 R'
B' F2 L' D U' R' L2
U2 B2 R U2 B' U' R'
B' F2 L' B2 U L U2
B F2 L' U L2 U2 D
B F2 L' U L2 U2 D'
B F2 L' U L2 U2 D2
B F2 L' U L2 D U2
B F2 L' U L2 D' U2
B F2 L' U L2 D2 U2
B F2 L' U' R D2 R2
B F2 L' U' R' D2 R2
B F2 L' U' R2 D2 R2
B F2 L' U' D2 R2 D
B F2 L' U' D2 R2 D'
B F2 L' U' D2 R2 D2
B F2 L' U2 D' B2 U
B F2 L' D F2 U' D
B F2 L' D F2 U' D'
B F2 L' D F2 U' D2
B F2 L' D F2 D U'
B F2 L' D F2 D' U'
B F2 L' D F2 D2 U'
B F2 L' D' U2 B2 U
B F2 L' D2 U' R2 D
B F2 L' D2 U' R2 D'
B F2 L' D2 U' R2 D2
B F2 L' D2 F U' R2
B F2 L' D2 F' U' R2
B F2 L' D2 F2 U' R2
B F2 L' F U L2 U2
B F2 L' F U' D2 R2
B F2 L' F D F2 U'
B F2 L' F D2 U' R2
B F2 L' F' U L2 U2
B F2 L' F' U' D2 R2
B F2 L' F' D F2 U'
B F2 L' F' D2 U' R2
B F2 L' F2 U L2 U2
B F2 L' F2 U' D2 R2
B F2 L' F2 D F2 U'
B F2 L' F2 D2 U' R2
R2 B2 R2 L B U' R'
B F2 L2 F2 L U' R
B F2 U L U' L2 U'
B F2 U L U2 D F2
B F2 U L D U2 F2
B F2 U L D' B2 U2
B' F2 D L' U' L' R'
B' F2 D L' U' R' L'
R B2 D L B' U L
B2 F2 D B' L' F U'
F2 B2 D B' L' F U'
B F2 D L' U L2 U2
B F2 D L' U' D2 R2
B F2 D L' D F2 U'
B F2 D L' D2 U' R2
B F2 D' L' U L2 U2
B F2 D' L' U' D2 R2
B F2 D' L' D F2 U'
B F2 D' L' D2 U' R2
B F2 D2 L' U L2 U2
B F2 D2 L' U' D2 R2
B F2 D2 L' D F2 U'
B F2 D2 L' D2 U' R2
