D' L U2 R B'
D' L U2 B' R
D' L2 U2 R B
U2 R2 D R' B
U2 D R' B R2
D U2 R' B R2
D' F2 L' F U2
F2 L' U' R D' U' B
F2 L' U' R D2 U' B
F2 L' U' R' U F' U2
D L' U' R' U' B R2
F2 L' U' D R U' B
F2 L' U' D' R U' B
F2 L' U' D2 R U' B
D' L' U2 L2 R B' L2
D' L' U2 L2 B' L2 R
D' L' U2 L2 B' R L2
D' L' U2 R L2 B' L2
D' L' U2 R U2 F U2
D2 L' U2 R2 D' R' B
D L' U2 R U2 F' U2
D2 L' U2 D' R' B R2
D L' U2 R' B R2 D
D L' U2 R' B R2 D'
D L' U2 R' B R2 D2
D L' U2 R' B' R2 B2
D L' U2 R' B2 R2 B'
D2 L' U2 B R D B2
F' L' U2 B' R' D B2
F2 L' U2 B U' L U
D2 L' D L U2 R B'
D2 L' D L U2 B' R
F2 L' U2 B' U R' U'
D L' U2 B R' B R2
D' L' D L' U2 R B
D L' U2 B' R' B R2
D2 L' D L2 U2 R B
D' L' D L2 U2 R B'
D' L' D L2 U2 B' R
U2 L' D L R' B R2
D L' U2 B2 R' B R2
U2 L' D R' L B R2
F2 L' D U L' U B'
F2 L' D U' R U' B
D2 L' D F2 L' F U2
D' L' D F2 L' F' U2
F2 L' D F U' R U'
F2 L' D F' U L' U
U L' D U R' B R2
D' L' D' L' U2 R B
U' L' D' L U' R B'
U' L' D' L U' B' R
D' L' D' L2 U2 R B'
D' L' D' L2 U2 B' R
U2 L' D' L R D B'
U2 L' D' L R D' B'
U2 L' D' L R D2 B'
U2 L' D' L R B' D
U2 L' D' L R B' D'
U2 L' D' L R B' D2
U2 L' D' L R' B' R2
U2 L' D' L D R B'
U2 L' D' L D B' R
U2 L' D' L D' R B'
U2 L' D' L D' B' R
U2 L' D' L D2 R B'
U2 L' D' L D2 B' R
U2 L' D' L B R B2
U2 L' D' L B' R D
U2 L' D' L B' R D'
U2 L' D' L B' R D2
U2 L' D' L B' D R
U2 L' D' L B' D' R
U2 L' D' L B' D2 R
U2 L' D' R L D B'
U2 L' D' R L D' B'
U2 L' D' R L D2 B'
U2 L' D' R L B' D
U2 L' D' R L B' D'
U2 L' D' R L B' D2
U2 L' D' R' L B' R2
U L' D' L U R B'
U L' D' L U B' R
D2 L' D' U2 R' B R2
F2 L' D' U L' U B'
F2 L' D' U' R U' B
D' L' D' F2 L' F' U2
F2 L' D' F U' R U'
F2 L' D' F' U L' U
D' L' D2 L' U2 R B
D' L' D2 L2 U2 R B'
D' L' D2 L2 U2 B' R
D L' D2 L U2 R B'
D L' D2 L U2 B' R
U2 L' D2 R D L B'
D L' D2 L2 U2 R B
F2 L' D2 U L' U B'
F2 L' D2 U' R U' B
D' L' D2 F2 L' F' U2
F2 L' D2 F U' R U'
F2 L' D2 F' U L' U
D L' D2 F2 L' F U2
U L' D2 B' L U R
U L' D2 B2 U R B
F L' F L' U L U
D' L' F U' F' U' R
D' L' F U2 F' R F
U L' F L' F' U R
F2 L' F U' R U' D
F2 L' F U' R U' D'
F2 L' F U' R U' D2
F2 L' F U' R D U'
F2 L' F U' R D' U'
F2 L' F U' R D2 U'
F2 L' F U' D R U'
F2 L' F U' D' R U'
F2 L' F U' D2 R U'
F2 L' F D U' R U'
F2 L' F D' U' R U'
F2 L' F D2 U' R U'
F2 L' F' U L' U D
F2 L' F' U L' U D'
F2 L' F' U L' U D2
F2 L' F' U L' D U
F2 L' F' U L' D' U
F2 L' F' U L' D2 U
F2 L' F' U D L' U
F2 L' F' U D' L' U
F2 L' F' U D2 L' U
F2 L' F' D U L' U
F2 L' F' D' U L' U
D L' F' U2 B' R' B
F2 L' F' D2 U L' U
D' L' F2 L F' L2 U2
D' L' F2 L' D F' U2
D' L' F2 L' D' F' U2
D' L' F2 L' D2 F' U2
D' L' F2 L' F' U2 D
D' L' F2 L' F' U2 D'
D' L' F2 L' F' U2 D2
D' L' F2 L' F' D U2
D' L' F2 L' F' D' U2
D' L' F2 L' F' D2 U2
D' L' F2 L2 F' L U2
D' L' F2 D L' F' U2
D2 L' F2 D L' F U2
D' L' F2 D' L' F' U2
D' L' F2 D2 L' F' U2
D L' F2 D2 L' F U2
R L2 D R' U2 B R
D L2 R F' R' U2 R
D' L2 U L U R B
D' L2 U L' U R B
D' L2 U L2 U R B
D' L2 U B L U R
D2 L2 U B' L U R
D2 L2 U B2 U R B
F L2 U D' L B' U
U L2 U R2 D R' B
U L2 U D R' B R2
F' L2 U' R U2 B U
F' L2 U' R' F' R2 U'
D L2 U' R' U' B R2
D' L2 U2 L R B L'
D' L2 U2 L2 R B L2
D' L2 U2 R L B L'
D' L2 U2 R L2 B L2
D' L2 U2 R D B D
D' L2 U2 R D B D'
D' L2 U2 R D B D2
D' L2 U2 R D' B D
D' L2 U2 R D' B D'
D' L2 U2 R D' B D2
D' L2 U2 R D2 B D
D' L2 U2 R D2 B D'
D' L2 U2 R D2 B D2
D' L2 U2 R B2 D B'
D' L2 U2 R B2 D' B'
D' L2 U2 R B2 D2 B'
D' L2 U2 R' B R2 B
D2 L2 U2 R2 D' R' B
D' L2 U2 R' B' R2 B
D' L2 U2 R' B2 R2 B
D' L2 U2 D R D B
D' L2 U2 D R D' B
D' L2 U2 D R D2 B
D' L2 U2 D R B D
D' L2 U2 D R B D'
D' L2 U2 D R B D2
D2 L2 U2 D' R' B R2
D' L2 U2 D B R B
D' L2 U2 D B' R B
D' L2 U2 D B2 R B
D' L2 U2 D' R D B
D' L2 U2 D' R D' B
D' L2 U2 D' R D2 B
D' L2 U2 D' R B D
D' L2 U2 D' R B D'
D' L2 U2 D' R B D2
D' L2 U2 D' B R B
D' L2 U2 D' B' R B
D' L2 U2 D' B2 R B
D' L2 U2 D2 R D B
D' L2 U2 D2 R D' B
D' L2 U2 D2 R D2 B
D' L2 U2 D2 R B D
D' L2 U2 D2 R B D'
D' L2 U2 D2 R B D2
D' L2 U2 D2 B R B
D' L2 U2 D2 B' R B
D' L2 U2 D2 B2 R B
D L2 U2 R U2 F' U2
D L2 U2 R' B R2 D
D L2 U2 R' B R2 D'
D L2 U2 R' B R2 D2
D L2 U2 R' B' R2 B2
D L2 U2 R' B2 R2 B'
D2 L2 U2 B R D B2
D' L2 U2 B R D B
D' L2 U2 B R D' B
D' L2 U2 B R D2 B
D' L2 U2 B R B D
D' L2 U2 B R B D'
D' L2 U2 B R B D2
D' L2 U2 B D R B
D' L2 U2 B D' R B
D' L2 U2 B D2 R B
D' L2 U2 B' R D B
D' L2 U2 B' R D' B
D' L2 U2 B' R D2 B
D' L2 U2 B' R B D
D' L2 U2 B' R B D'
D' L2 U2 B' R B D2
D' L2 U2 B' D R B
D' L2 U2 B' D' R B
D' L2 U2 B' D2 R B
F' L2 U2 B' R' D B2
D' L2 U2 B2 R D B
D' L2 U2 B2 R D' B
D' L2 U2 B2 R D2 B
D' L2 U2 B2 R B D
D' L2 U2 B2 R B D'
D' L2 U2 B2 R B D2
D' L2 U2 B2 D R B
D2 L2 D L U2 R B'
D2 L2 D L U2 B' R
D' L2 U2 B2 D' R B
D' L2 U2 B2 D2 R B
D' L2 D L' U2 R B'
D' L2 D L' U2 B' R
D2 L2 D L2 U2 R B
F2 L2 U2 B2 D' R' B
D L2 U2 B R' B R2
D L2 U2 B' R' B R2
D L2 U2 B2 R' B R2
D' L2 D U2 R D B
D' L2 D U2 R D' B
D' L2 D U2 R D2 B
D' L2 D U2 R B D
D' L2 D U2 R B D'
D' L2 D U2 R B D2
D' L2 D U2 B R B
D' L2 D U2 B' R B
D' L2 D U2 B2 R B
D2 L2 D F2 L' F U2
D' L2 D F2 L' U2 B'
D' L2 D' L' U2 R B'
D' L2 D' L' U2 B' R
U L2 D U R' B R2
D2 L2 D' U2 R' B R2
D' L2 D' U2 R D B
D' L2 D' U2 R D' B
D' L2 D' U2 R D2 B
D' L2 D' U2 R B D
D' L2 D' U2 R B D'
D' L2 D' U2 R B D2
D' L2 D' U2 B R B
D' L2 D' U2 B' R B
D' L2 D' U2 B2 R B
U L2 D' L U R B'
U L2 D' L U B' R
D' L2 D' F2 L' U2 B'
F L2 D' U L B' U
D' L2 D2 L' U2 R B'
D' L2 D2 L' U2 B' R
D L2 D2 L U2 R B'
D L2 D2 L U2 B' R
D' L2 D2 U2 R D B
D' L2 D2 U2 R D' B
D' L2 D2 U2 R D2 B
D' L2 D2 U2 R B D
D' L2 D2 U2 R B D'
D' L2 D2 U2 R B D2
D L2 D2 L2 U2 R B
D' L2 D2 U2 B R B
D' L2 D2 U2 B' R B
D' L2 D2 U2 B2 R B
D' L2 D2 F2 L' U2 B'
D' L2 F L F L' U2
D L2 D2 F2 L' F U2
F2 L2 F L U' R U'
U L2 D2 B' L U R
F L2 F L' U L2 U
F L2 F L' U2 D' B2
F L2 F L' D F2 U2
F L2 F L' D' U2 B2
U L2 D2 B2 U R B
U L2 F L' F' U R
D' L2 F' L F U2 R
D' L2 F' L' U2 B' R'
F2 L2 F' L U L2 U
F2 L2 F' L U2 D' B2
F2 L2 F' L D F2 U2
F2 L2 F' L D' U2 B2
F L2 F' U L U R
D L2 F' U2 B' R' B
D' L2 F2 L F L2 U2
D' L2 F2 L' U2 D B'
D' L2 F2 L' U2 D' B'
D' L2 F2 L' U2 D2 B'
D' L2 F2 L' U2 B' D
D' L2 F2 L' U2 B' D'
D' L2 F2 L' U2 B' D2
D' L2 F2 L' D U2 B'
D' L2 F2 L' D' U2 B'
D' L2 F2 L' D2 U2 B'
D' L2 F2 L' F U2 B'
D' L2 F2 L' F' U2 B'
D' L2 F2 L' F2 U2 B'
D2 L2 F2 D L' F U2
D' L2 F2 D L' U2 B'
D' L2 F2 D' L' U2 B'
D' L2 F2 D2 L' U2 B'
F2 L2 F2 D' L U2 B'
D L2 F2 D2 L' F U2
L' U D' L U R B'
L' U D' L U B' R
L2 U D' L U R B'
L2 U D' L U B' R
L U D' L U R B'
L U D' L U B' R
U2 R L D' L B' L2
L' U D2 B' L U R
L' U D2 B2 U R B
D R L F' R' U2 R
L' U F L' F' U R
L2 U D2 B' L U R
D' R L' F R' U2 R
L2 U D2 B2 U R B
U2 R L' D' L D B'
U2 R L' D' L D' B'
U2 R L' D' L D2 B'
U2 R L' D' L B' D
U2 R L' D' L B' D'
U2 R L' D' L B' D2
L2 U F L' F' U R
L U D2 B' L U R
L U D2 B2 U R B
L U F L' F' U R
D R L' F' R' U2 R
D R L2 F' R' U2 R
U2 R U D R' U' B
R' U F2 U L' R2 B'
R' U F2 U L' B' R2
R' U F2 U R2 L' B'
U2 R U F' R F U'
U2 R U' D' L U B'
U2 R U' F L' F' U
U2 R U2 F U L' U
U2 R U2 F' U' R U'
D R U2 F' R' U2 F
U' R D R' U' B R
U2 R D L' D2 L B'
U2 R D R' D B R
U2 R D R' D' B R
U2 R D R' D2 B R
U2 R D R' B R D
U2 R D R' B R D'
U2 R D R' B R D2
U2 R D R' B D R
U2 R D R' B D' R
U2 R D R' B D2 R
U2 R D R' B' R B2
U2 R D R' B2 R B'
U2 R D U R' U' B
D R D F' R' U2 R
U R D R' U B R
U2 R D B R' B R
U2 R D B' R' B R
D2 R D' R' U2 B R
U2 R D B2 R' B R
U2 R D' L D B' L'
U2 R D' L D' B' L'
U2 R D' L D2 B' L'
U2 R D' L B L' B2
U2 R D' L B' L' D
U2 R D' L B' L' D'
U2 R D' L B' L' D2
U2 R D' L B' D L'
U2 R D' L B' D' L'
U2 R D' L B' D2 L'
U2 R D' L B2 L' B
U2 R D' R D2 R' B
U2 R D' U' L U B'
D R D' F' R' U2 R
U2 R D' B L B' L'
U2 R D' B' L B' L'
U2 R D' B2 L B' L'
D' R D2 R' U2 B R
U2 R D2 L' D L B'
U2 R D2 R D' R' B
D R D2 F' R' U2 R
U2 R D2 B U R' U'
U2 R D2 B' U' L U
D R F R' F2 L' U2
U2 R F U' L' U F'
U' R F' R U' R' D
U' R F' R U' R' D'
U' R F' R U' R' D2
U' R F' R U' D R'
U' R F' R U' D' R'
U' R F' R U' D2 R'
U' R F' R D U' R'
U' R F' R D' U' R'
U' R F' R D2 U' R'
U' R F' R F U' R'
U' R F' R F' U' R'
U' R F' R F2 U' R'
D R F' L R' U2 R
D R F' L' R' U2 R
D R F' L2 R' U2 R
U' R F' D R U' R'
D R F' R' L U2 R
D R F' R' L' U2 R
D R F' R' L2 U2 R
D R F' R' U2 R D
D R F' R' U2 R D'
D R F' R' U2 R D2
D R F' R' U2 D R
D R F' R' U2 D' R
D R F' R' U2 D2 R
D R F' R' D U2 R
D R F' R' D' U2 R
D R F' R' D2 U2 R
U2 R F' U R U' F
U' R F' D' R U' R'
U' R F' D2 R U' R'
D R F' D R' U2 R
D R F' D' R' U2 R
L' U' R F' R U' R'
D R F' D2 R' U2 R
U' R F2 R' U' R B
L2 U' R F' R U' R'
L U' R F' R U' R'
L' U' R' F' R U' R
U2 R B L' D' L B'
L2 U' R' F' R U' R
U2 R B R D R' B
L' U' R2 U' D R' B
L U' R' F' R U' R
L' U' R2 D U' R' B
U2 R B D R' B R
U2 R B D' L B' L'
L2 U' R2 U' D R' B
L' U' R2 F' R U' R2
L2 U' R2 D U' R' B
U2 R B' L' D' L B'
L2 U' R2 F' R U' R2
L U' R2 U' D R' B
U2 R B' R D R' B
L U' R2 D U' R' B
L' U' D R' U' B R2
L U' R2 F' R U' R2
D' R B2 L D2 F2 B'
D' R B2 L D2 B' F2
U2 R B' D R' B R
U2 R B' D' L B' L'
L2 U' D R' U' B R2
U2 R B2 L' D' L B'
L U' D R' U' B R2
U2 R B2 R D R' B
U2 R B2 D R' B R
U2 R B2 D' L B' L'
L' U' F' R F U' R
L2 U' F' R F U' R
L U' F' R F U' R
L' U' F2 U L' U2 B'
U2 R' U F' R U' R
L2 U' F2 U L' U2 B'
U' R' U' R' D R' B
L U' F2 U L' U2 B'
D' R' U2 R2 B2 L B'
D R' U2 B' R2 B2 L
U2 R' D R D' R2 B
U2 R' D R' D' B R2
D' R' D2 L2 R F' U2
D' R' D2 R L2 F' U2
D' R' D2 R F' L2 U2
L' U2 L' R D' L B'
L2 U2 L' R D' L B'
L' U2 L' D' L R B'
L' U2 L' D' L B' R
L' U2 L' D' R L B'
L2 U2 L' D' L R B'
L2 U2 L' D' L B' R
L2 U2 L' D' R L B'
L U2 L' R D' L B'
U' R' F U2 L' U R2
U' R' F D' F2 R U'
L U2 L' D' L R B'
L U2 L' D' L B' R
L U2 L' D' R L B'
U' R' F' R U' R D
U' R' F' R U' R D'
U' R' F' R U' R D2
U' R' F' R U' D R
U' R' F' R U' D' R
U' R' F' R U' D2 R
U' R' F' R D U' R
U' R' F' R D' U' R
U' R' F' R D2 U' R
L' U2 R L' D' L B'
U' R' F' D' R F2 U'
L' U2 R D R' B R
L' U2 R D' L B' L'
L2 U2 R L' D' L B'
D R' F' U2 B L R2
D R' F' U2 B R2 L
U' R' F2 R U' R B
L2 U2 R D R' B R
L2 U2 R D' L B' L'
L U2 R L' D' L B'
U' R' F2 U' R B R
L U2 R D R' B R
L U2 R D' L B' L'
D R' F2 U2 L' B R2
D R' F2 U2 B L' R2
D R' F2 U2 B R2 L'
R2 U2 R' D' B2 L B'
U2 R' B R' D R' B
R' U2 R2 D' B2 L B'
L' U2 R2 D R' D B
L' U2 R2 D R' D' B
L' U2 R2 D R' D2 B
L' U2 R2 D R' B D
L' U2 R2 D R' B D'
L' U2 R2 D R' B D2
R2 U2 R' B2 D' L B'
R' U2 R2 B2 D' L B'
L2 U2 R2 D R' D B
L2 U2 R2 D R' D' B
L2 U2 R2 D R' D2 B
L2 U2 R2 D R' B D
L2 U2 R2 D R' B D'
L2 U2 R2 D R' B D2
U2 R' B' R' D R' B
L' U2 D R U2 F' U2
L U2 R2 D R' D B
L U2 R2 D R' D' B
L U2 R2 D R' D2 B
L U2 R2 D R' B D
L U2 R2 D R' B D'
L U2 R2 D R' B D2
L' U2 D R' B R2 D
L' U2 D R' B R2 D'
L' U2 D R' B R2 D2
L' U2 D R' B' R2 B2
L' U2 D R' B2 R2 B'
D R' B' R2 F' B2 L
D R' B' R2 B2 L F'
D R' B' R2 B2 F' L
L2 U2 D R U2 F' U2
L' U2 D B R' B R2
L2 U2 D R' B R2 D
L2 U2 D R' B R2 D'
L2 U2 D R' B R2 D2
L2 U2 D R' B' R2 B2
L2 U2 D R' B2 R2 B'
L' U2 D B' R' B R2
L' U2 D B2 R' B R2
L' U2 D' L R B' L'
R2 U2 D R' D L2 B
R2 U2 D R' D B L2
L' U2 D' L B' L' R
L' U2 D' L B' R L'
