B' L R U L2
B' R L U L2
R B' L U L2
B' L R U L2 D
B' L R U L2 D'
B' L R U L2 D2
B' L R D F2 U
B' L R F U L2
B' L R F' U L2
B' L R F2 U L2
B' L D R F2 U
B' R L U L2 D
B' R L U L2 D'
B' R L U L2 D2
B' R L D F2 U
B' R L F U L2
B' R L F' U L2
B' R L F2 U L2
B' R U L' D' B2
B' R D L U L2
B' R D' L U L2
B' R D2 L U L2
U' R B' L U L2
U2 R B' L U L2
U R B' L U L2
B' D L R U L2
B' D R L U L2
B' D' L R U L2
B' D' R L U L2
B' D2 L R U L2
B' D2 R L U L2
R' B' L R2 U L2
U' B' L R U L2
U2 B' L R U L2
U B' L R U L2
U' B' R L U L2
U2 B' R L U L2
R B' L U L2 D
R B' L U L2 D'
R B' L U L2 D2
R' B' R2 L U L2
R B' L D F2 U
R B' L F U L2
R B' L F' U L2
R B' L F2 U L2
U B' R L U L2
R B' U L' D' B2
R B' D L U L2
R B' D' L U L2
R B' D2 L U L2
B' L F2 U2 L' U' L'
B' L F2 D F2 R U
B2 L B L R U L
B2 L B R L U L
B' L B R B' U L2
B L B2 L R U L
B' L B2 R B2 U L2
B L B2 R L U L
B' L' R F L2 U L2
B' L' R F' L2 U L2
B' L' R F2 L2 U L2
D' L' R' D' F2 B R'
D' L' R' D' B R' F2
D' L' R' D' B F2 R'
R' L' D' R' F2 B R'
R' L' D' R' B R' F2
R' L' D' R' B F2 R'
L' R' D' R' F2 B R'
L' R' D' R' B R' F2
L' R' D' R' B F2 R'
R' L' D' F2 R' B R'
R' L' D' F2 B R' B
L' R' D' F2 R' B R'
R' L' D' B R' F2 B
R' L' D' B R' B F2
L' R' D' F2 B R' B
R' L' D' B F2 R' B
L' R' D' B R' F2 B
L' R' D' B R' B F2
L' R' D' B F2 R' B
B L' U' B2 L R U
B L' U' B2 R L U
R L' B' L B' U L'
B2 L' B L R U L'
B2 L' B R L U L'
B L' B2 L R U L'
B L' B2 R L U L'
B' L2 R U L D' B2
B' L2 R D L' U L2
B' L2 R D' L' U L2
B' L2 R D2 L' U L2
B' L2 D L' R U L2
B' L2 D R L' U L2
B' L2 D' L' R U L2
B' L2 D' R L' U L2
B' L2 D2 L' R U L2
B' L2 D2 R L' U L2
R U L' D' R' B R'
R U L' D' B R' B
R2 U R' B' L U L2
R' U R2 B' L U L2
B' R L U L D L
B' R L U L D' L
B' R L U L D2 L
B' R L U L' D L'
B' R L U L' D' L'
B' R L U L' D2 L'
B' R L U F L2 F'
B' R L U F2 L2 F2
B' R L U B' L2 B
B' R L U B2 L2 B2
B' R L U' R U2 L2
B' R L U' R' U2 L2
B' R L U' R2 U2 L2
B' R L U' D2 R2 U2
B' R L U2 D' B2 U'
B' R L U2 B U' L2
B' R L U2 B' U' L2
B' R L U2 B2 U' L2
B' R L D F2 U D
B' R L D F2 U D'
B' R L D F2 U D2
B' R L D F2 D U
B' R L D F2 D' U
B' R L D F2 D2 U
B' R L D' U2 B2 U'
B' R L D2 U' R2 U2
B' R L F U L2 D
B' R L F U L2 D'
B' R L F U L2 D2
D R L U B' L2 R'
D R L U B' R' L2
B' R L F D F2 U
B' R L F' U L2 D
B' R L F' U L2 D'
B' R L F' U L2 D2
B' R L F' D F2 U
B' R L F2 U L2 D
B' R L F2 U L2 D'
B' R L F2 U L2 D2
B' R L F2 D F2 U
B' R L' F L2 U L2
B' R L' F' L2 U L2
B' R L' F2 L2 U L2
B' R L2 U L D' B2
B' R L2 D L' U L2
B' R L2 D' L' U L2
B' R L2 D2 L' U L2
B' R U L' U' L2 U
B' R U L' D' B2 D
B' R U L' D' B2 D'
B' R U L' D' B2 D2
B' R U L' B D' B2
B' R U L' B' D' B2
B' R U L' B2 D' B2
B' R U D L' D' B2
B' R U D' L' D' B2
B' R U D2 L' D' B2
R' U B' L R2 U L2
R' U B' R2 L U L2
B' R U2 B' U' L' B'
B' R U2 B2 R' U' L'
B' R D L U L2 D
B' R D L U L2 D'
B' R D L U L2 D2
B' R D L D F2 U
B' R D L F U L2
B' R D L F' U L2
B' R D L F2 U L2
B' R D U L' D' B2
B' R D' L U L2 D
B' R D' L U L2 D'
B' R D' L U L2 D2
B' R D' L D F2 U
B' R D' L F U L2
B' R D' L F' U L2
B' R D' L F2 U L2
B' R D' U L' D' B2
L' U' L R B' L U
B' R D2 L U L2 D
B' R D2 L U L2 D'
B' R D2 L U L2 D2
B' R D2 L D F2 U
B' R D2 L F U L2
B' R D2 L F' U L2
B' R D2 L F2 U L2
D R D' B' L U L2
L' U' L B' L R U
L' U' L B' R L U
B' R D2 U L' D' B2
D2 R D2 B' L U L2
B' R F L F' U L'
B' R F' L F U L'
L' U' R L B' L U
B' R F2 L U' R U2
B' R F2 L F2 U L'
L' U' R B' L B' U
R2 U' R' B' L U L2
U' R B' L U L2 D
U' R B' L U L2 D'
U' R B' L U L2 D2
U' R B' L D F2 U
U' R B' L F U L2
U' R B' L F' U L2
U' R B' L F2 U L2
R' U' R2 B' L U L2
U2 R B' L U L2 D
U2 R B' L U L2 D'
U2 R B' L U L2 D2
U2 R B' L D F2 U
U2 R B' L F U L2
U2 R B' L F' U L2
U2 R B' L F2 U L2
U' R B' U L' D' B2
D R B' L U B' L2
U' R B' D L U L2
U' R B' D' L U L2
U2 R B' U L' D' B2
U' R B' D2 L U L2
U R B' L U L2 D
U R B' L U L2 D'
U R B' L U L2 D2
D R B' U L B' L2
U R B' L D F2 U
U R B' L F U L2
U R B' L F' U L2
U R B' L F2 U L2
U2 R B' D L U L2
U2 R B' D' L U L2
U2 R B' D2 L U L2
U R B' U L' D' B2
U R B' D L U L2
U R B' D' L U L2
U R B' D2 L U L2
B R B2 U L' D B2
B R B2 U D L' B2
B R B2 U D B2 L'
B' R' L U L2 D' F2
B R B2 U2 R2 U' L'
B R B2 D U L' B2
B R B2 D U B2 L'
B R B2 D2 L2 U L
B' R' L F R2 U L2
B' R' L F' R2 U L2
B' R' L F2 R2 U L2
D' R' L' D' F2 B R'
D' R' L' D' B R' F2
D' R' L' D' B F2 R'
B' R' U L' D' F2 B2
B' R' U L' D' B2 F2
B R' U' L' D' R2 F2
B R' U' L' D' F2 R2
B R' U' D' L' R2 F2
B R' U' D' L' F2 R2
B R' U' D' R2 L' F2
R' U' B' L R2 U L2
L' U' B' L R B' U
L' U' B' L B' R U
R' U' B' R2 L U L2
L' U' B' R L B' U
B R' U2 R2 B2 U L'
B R' U2 B2 R2 U L'
B' R' D' L U L2 F2
B' R' D' L U F2 L2
B R' D' U' L' R2 F2
B R' D' U' L' F2 R2
B R' D' U' R2 L' F2
B R' D2 L2 F2 U' L
D' R' B L' D' R2 F2
D' R' B L' D' F2 R2
D' R' B D' L' R2 F2
D' R' B D' L' F2 R2
D' R' B D' R2 L' F2
R2 U2 R' B' L U L2
U' R' B' L R2 U L2
R' U2 R2 B' L U L2
D' R' B' R2 U L' B2
D' R' B' R2 U B2 L'
U' R' B' R2 L U L2
U2 R' B' L R2 U L2
U2 R' B' R2 L U L2
U R' B' L R2 U L2
U R' B' R2 L U L2
B' R2 L D R' F2 U
B' R2 L D F2 R' U
B' R2 L F R' U L2
B' R2 L F' R' U L2
B' R2 L F2 R' U L2
R' U2 B' L R2 U L2
R' U2 B' R2 L U L2
B' R2 D L R' U L2
B' R2 D R' L U L2
B' R2 D' L R' U L2
B' R2 D' R' L U L2
B' R2 D2 L R' U L2
B' R2 D2 R' L U L2
R D L U B' L2 R'
R D L U B' R' L2
B' U L R U L2 R'
B' U L R U R' L2
B' U L' U' L2 R U
B' U L' U' R L2 U
B' U R L U L2 R'
B' U R L U R' L2
R D B' L U B' L2
R D B' U L B' L2
L' D' R' B D' R' F2
L' D' R' B D' F2 R'
B2 U B R U L' B
B2 U B R U B L'
F' U B' L U F L'
R2 D' R' B' U L' B2
R2 D' R' B' U B2 L'
B U B2 L R U L2
B U B2 R L U L2
L' D' B R' D' F2 B
L' D' B R' D' B F2
L' D' B R' B D' F2
B U' B2 L R U L2
B U' B2 R L U L2
B2 U2 B R U L' B'
B' D L R U L2 D
B' D L R U L2 D'
B' D L R U L2 D2
B' D L R D F2 U
B' D L R F U L2
B' D L R F' U L2
B' D L R F2 U L2
B U2 B2 L R U L2
B' D L D R F2 U
B U2 B2 R L U L2
B' D R L U L2 D
B' D R L U L2 D'
B' D R L U L2 D2
B' D R L D F2 U
B' D R L F U L2
B' D R L F' U L2
B' D R L F2 U L2
B' D R U L' D' B2
B' D R D L U L2
B' D R D' L U L2
B' D R D2 L U L2
R F B' L F' U L'
B2 D B L R U L2
B2 D B R L U L2
B' D' L R U L2 D
B' D' L R U L2 D'
B' D' L R U L2 D2
B' D' L R D F2 U
B' D' L R F U L2
B' D' L R F' U L2
B' D' L R F2 U L2
B' D' L D R F2 U
B' D' R L U L2 D
B' D' R L U L2 D'
B' D' R L U L2 D2
B' D' R L D F2 U
B' D' R L F U L2
B' D' R L F' U L2
B' D' R L F2 U L2
B' D' R U L' D' B2
B' D' R D L U L2
B' D' R D' L U L2
B' D' R D2 L U L2
R F' B' L F U L'
B2 D' B L R U L2
B2 D' B R L U L2
B' D2 L R U L2 D
B' D2 L R U L2 D'
B' D2 L R U L2 D2
B' D2 L R D F2 U
B' D2 L R F U L2
B' D2 L R F' U L2
B' D2 L R F2 U L2
B' D2 L D R F2 U
B' D2 R L U L2 D
B' D2 R L U L2 D'
B' D2 R L U L2 D2
B' D2 R L D F2 U
B' D2 R L F U L2
B' D2 R L F' U L2
B' D2 R L F2 U L2
B' D2 R U L' D' B2
B' D2 R D L U L2
B' D2 R D' L U L2
B' D2 R D2 L U L2
R F2 B' L U' R U2
R F2 B' L F2 U L'
R B L B2 L U L
R B L' B2 L U L'
B2 D2 B L R U L2
B2 D2 B R L U L2
B' F L F' R U L'
U' B' L R U L2 D
U' B' L R U L2 D'
U' B' L R U L2 D2
U' B' L R D F2 U
U' B' L R F U L2
U' B' L R F' U L2
U' B' L R F2 U L2
R' B' L R2 U L2 D
R' B' L R2 U L2 D'
R' B' L R2 U L2 D2
U' B' L D R F2 U
R' B' L R2 D F2 U
R' B' L R2 F U L2
R' B' L R2 F' U L2
R' B' L R2 F2 U L2
R' B' L U L2 D' F2
L' B' L R B' U L'
R' B' L F R2 U L2
R' B' L F' R2 U L2
R' B' L F2 R2 U L2
U2 B' L R U L2 D
U2 B' L R U L2 D'
U2 B' L R U L2 D2
U2 B' L R D F2 U
U2 B' L R F U L2
U2 B' L R F' U L2
U2 B' L R F2 U L2
L' B' L B' R U L'
U2 B' L D R F2 U
D B' L R U B' L2
U B' L R U L2 D
U B' L R U L2 D'
U B' L R U L2 D2
U B' L R D F2 U
U B' L R F U L2
U B' L R F' U L2
U B' L R F2 U L2
U B' L D R F2 U
U' B' R L U L2 D
U' B' R L U L2 D'
U' B' R L U L2 D2
U' B' R L D F2 U
U' B' R L F U L2
U' B' R L F' U L2
U' B' R L F2 U L2
U' B' R U L' D' B2
R B' L U L D L
R B' L U L D' L
R B' L U L D2 L
R B' L U L' D L'
R B' L U L' D' L'
R B' L U L' D2 L'
R B' L U F L2 F'
R B' L U F2 L2 F2
R B' L U B' L2 B
R B' L U B2 L2 B2
R B' L U' R U2 L2
R B' L U' R' U2 L2
R B' L U' R2 U2 L2
R B' L U' D2 R2 U2
R B' L U2 D' B2 U'
U' B' R D L U L2
R B' L U2 B U' L2
R B' L U2 B' U' L2
R B' L U2 B2 U' L2
U' B' R D' L U L2
R B' L D F2 U D
R B' L D F2 U D'
R B' L D F2 U D2
R B' L D F2 D U
R B' L D F2 D' U
R B' L D F2 D2 U
R B' L D' U2 B2 U'
U' B' R D2 L U L2
L' B' R L B' U L'
R B' L D2 U' R2 U2
R B' L F U L2 D
R B' L F U L2 D'
R B' L F U L2 D2
R B' L F D F2 U
R B' L F' U L2 D
R B' L F' U L2 D'
R B' L F' U L2 D2
R B' L F' D F2 U
R B' L F2 U L2 D
R B' L F2 U L2 D'
R B' L F2 U L2 D2
R B' L F2 D F2 U
U2 B' R L U L2 D
U2 B' R L U L2 D'
U2 B' R L U L2 D2
U2 B' R L D F2 U
U2 B' R L F U L2
U2 B' R L F' U L2
U2 B' R L F2 U L2
U2 B' R U L' D' B2
U2 B' R D L U L2
R B' L' F L2 U L2
U2 B' R D' L U L2
R B' L' F' L2 U L2
U2 B' R D2 L U L2
R B' L' F2 L2 U L2
D B' R L U B' L2
D B' R U L B' L2
R B' L2 U L D' B2
R' B' R2 L U L2 D
R' B' R2 L U L2 D'
R' B' R2 L U L2 D2
R' B' R2 L D F2 U
R' B' R2 L F U L2
R' B' R2 L F' U L2
R' B' R2 L F2 U L2
B' F' L U L F L'
R B' L2 D L' U L2
R' B' R2 U L' D' B2
R B' L2 D' L' U L2
U B' R L U L2 D
U B' R L U L2 D'
U B' R L U L2 D2
U B' R L D F2 U
U B' R L F U L2
U B' R L F' U L2
R B' L2 D2 L' U L2
U B' R L F2 U L2
R' B' R2 D L U L2
R' B' R2 D' L U L2
U B' R U L' D' B2
R' B' R2 D2 L U L2
F' B' L U L F L'
B' F' L F R U L'
U B' R D L U L2
U B' R D' L U L2
U B' R D2 L U L2
F2 B' L U D F2 L'
F' B' L F R U L'
R' B' U L' D' F2 B2
R' B' U L' D' B2 F2
F2 B' L D U F2 L'
L' B' U' L R B' U
L' B' U' L B' R U
L' B' U' R L B' U
F B' L F' R U L'
U' B' D L R U L2
R B' U L' U' L2 U
R B' U L' D' B2 D
R B' U L' D' B2 D'
R B' U L' D' B2 D2
U' B' D R L U L2
R B' U L' B D' B2
R B' U L' B' D' B2
R B' U L' B2 D' B2
R B' U D L' D' B2
R B' U D' L' D' B2
R B' U D2 L' D' B2
U' B' D' L R U L2
U' B' D' R L U L2
U2 B' D L R U L2
R' B' D' L U L2 F2
R' B' D' L U F2 L2
U2 B' D R L U L2
R2 B' D L U L2 F
U' B' D2 L R U L2
U' B' D2 R L U L2
U2 B' D' L R U L2
U2 B' D' R L U L2
U B' D L R U L2
U B' D R L U L2
R B' U2 B' U' L' B'
R B' U2 B2 R' U' L'
R B' D L U L2 D
R B' D L U L2 D'
R B' D L U L2 D2
R B' D L D F2 U
R B' D L F U L2
R B' D L F' U L2
R B' D L F2 U L2
U2 B' D2 L R U L2
U2 B' D2 R L U L2
R B' D U L' D' B2
U B' D' L R U L2
U B' D' R L U L2
R B' D' L U L2 D
R B' D' L U L2 D'
R B' D' L U L2 D2
R B' D' L D F2 U
R B' D' L F U L2
R B' D' L F' U L2
R B' D' L F2 U L2
R B' D' U L' D' B2
U B' D2 L R U L2
U B' D2 R L U L2
R B' D2 L U L2 D
R B' D2 L U L2 D'
R B' D2 L U L2 D2
R B' D2 L D F2 U
R B' D2 L F U L2
R B' D2 L F' U L2
R B' D2 L F2 U L2
R B' D2 U L' D' B2
R B' F L F' U L'
R B' F' L F U L'
R B' F2 L U' R U2
R B' F2 L F2 U L'
B' F2 L U D F2 L'
B' F2 L D U F2 L'
R B2 L B L U L
R B2 L' B L U L'
R B2 D B L U L2
R B2 D' B L U L2
R B2 D2 B L U L2
