F2 L' F B2 R' U'
F2 L' B2 R' F U'
F2 L' B2 F R' U'
D R F' U L2 R
D R F' U R L2
D2 R F2 U2 F U'
D2 R' F2 B R2 U
D2 R' B R2 F2 U
D2 R' B F2 R2 U
R D F' U L2 R
R D F' U R L2
R2 D2 R' F2 B U
R2 D2 R' B F2 U
F2 U2 L' F B2 U'
F2 U2 L' B2 F U'
R2 D2 F2 R' B U
F2 U2 B2 L' F U'
U2 F2 L' F B2 U'
U2 F2 L' B2 F U'
U2 F2 B2 L' F U'
U2 B2 F2 L' F U'
L B' L' D2 R F' U
L B' L2 R F L U
D2 B' R' F2 B R2 U
D2 B' R' B R2 F2 U
D2 B' R' B F2 R2 U
D B' R F' U L2 R
D B' R F' U R L2
L B' R L2 F L U
F2 B' U2 B' L' F U'
U2 B2 L U2 R B' U
U2 B2 L U2 B' R U
R2 B2 L U2 B' L' U
U2 B2 L' F2 L' F' U'
U2 B2 L2 U2 R B U
D2 B2 R F2 U2 F U'
B2 F2 L' F U2 L U
L' B2 R' D' F U' F
D2 B2 R' F2 B R2 U
L' B2 R' D2 F L2 U'
D2 B2 R' B R2 F2 U
F2 B2 L' F U2 L U
D2 B2 R' B F2 R2 U
L' B2 R' F U' D' F2
L' B2 R' F U2 R2 U
L' B2 R' F D' U' F2
L' B2 R' F D2 L2 U'
D B2 R F' U L2 R
D B2 R F' U R L2
L2 B2 U2 L2 R B U
L2 B2 U2 R L2 B U
L2 B2 U2 R B L2 U
L B2 U2 L' B R U
L B2 U2 B L' R U
B' F2 U2 B' L' F U'
L B2 U2 B R L' U
B F2 U2 L' F B U'
B F2 U2 L' B F U'
B F2 U2 B L' F U'
U2 B2 F L' F L' U'
L' B2 F2 L' F' R' U'
U2 B2 F2 L' D F U'
U2 B2 F2 L' D' F U'
U2 B2 F2 L' D2 F U'
U2 B2 F2 L' F U' D
U2 B2 F2 L' F U' D'
U2 B2 F2 L' F U' D2
U2 B2 F2 L' F D U'
U2 B2 F2 L' F D' U'
U2 B2 F2 L' F D2 U'
U B2 F2 L' F U' B2
