F' L2 U R F
L2 F' U R F2
F' L2 R' U R2 F
F' L2 R' U F R2
F' L2 R2 U R' F
F' L2 R2 U F R'
F' L2 U R D F
F' L2 U R D' F
F' L2 U R D2 F
F' L2 U R F D
F' L2 U R F D'
F' L2 U R F D2
F' L2 U R' F R2
F' L2 U R2 F R'
F' L2 U D R F
F' L2 U D' R F
F' L2 U D2 R F
F' L2 D U R F
F' L2 D' U R F
F' L2 D2 U R F
U' L2 F' U R F2
U2 L2 F' U R F2
U L2 F' U R F2
F' L2 B U R F
F' L2 B' U R F
F' L2 B2 U R F
F' R' L2 U R2 F
F' R' L2 U F R2
F' R2 L2 U R' F
F' R2 L2 U F R'
B' U L2 F' U R
B' U F' L2 U R
L F' L U R F
U' F' L2 U R F
U2 F' L2 U R F
U F' L2 U R F
L2 F' R' U R2 F2
L2 F' R' U F2 R2
L2 F' R2 U R' F2
L2 F' R2 U F2 R'
L2 F' U R F2 D
L2 F' U R F2 D'
L2 F' U R F2 D2
L2 F' U R' F2 R2
L2 F' U R2 F2 R'
L2 F' D R2 U R'
F D' L2 F B2 R'
L2 F' B U R F2
F D' L2 B2 R' F
F D' L2 B2 F R'
L2 F' B' U R F2
L2 F' B2 U R F2
L2 B F' U R F2
L2 B' F' U R F2
L2 B2 F' U R F2
F' L2 U D R F D'
F' L2 U D R F D2
F' L2 U D R' F R2
F' L2 U D R2 F R'
F' L2 U D' R D F
F' L2 U D' R D' F
F' L2 U D' R D2 F
F' L2 U D' R F D
F' L2 U D' R F D'
F' L2 U D' R F D2
F' L2 U D' R' F R2
F' L2 U D' R2 F R'
F' L2 U D2 R D F
F' L2 U D2 R D' F
F' L2 U D2 R D2 F
F' L2 U D2 R F D
F' L2 U D2 R F D'
F' L2 U D2 R F D2
F' L2 U D2 R' F R2
F' L2 U D2 R2 F R'
F' L2 U B R F B'
F' L2 U B R B' F
F' L2 U B2 R F B2
F' L2 U B2 R B2 F
F' L2 U' L2 B' U2 R
F' L2 U' B U2 R F
F' L2 U' B' U2 R F
F' L2 U' B2 U2 R F
F2 L2 U2 B' U' R' F
F2 L2 U2 B' U' F R'
F' L2 D R' U R2 F
F' L2 D R' U F R2
F' L2 D R2 U R' F
F' L2 D R2 U F R'
F' L2 D U R D F
F' L2 D U R D' F
F' L2 D U R D2 F
F' L2 D U R F D
F' L2 D U R F D'
F' L2 D U R F D2
F' L2 D U R' F R2
F' L2 D U R2 F R'
F' L2 D B U R F
F' L2 D B' U R F
F' L2 D B2 U R F
F' L2 D' R' U R2 F
F' L2 D' R' U F R2
F' L2 D' R2 U R' F
F' L2 D' R2 U F R'
F' L2 D' U R D F
F' L2 D' U R D' F
F' L2 D' U R D2 F
F' L2 D' U R F D
F' L2 D' U R F D'
F' L2 D' U R F D2
F' L2 D' U R' F R2
F' L2 D' U R2 F R'
F' L2 D' B U R F
F' L2 D' B' U R F
F' L2 D' B2 U R F
F' L2 D2 R' U R2 F
F' L2 D2 R' U F R2
F' L2 D2 R2 U R' F
F' L2 D2 R2 U F R'
F' L2 D2 U R D F
F' L2 D2 U R D' F
F' L2 D2 U R D2 F
F' L2 D2 U R F D
F' L2 D2 U R F D'
F' L2 D2 U R F D2
F' L2 D2 U R' F R2
F' L2 D2 U R2 F R'
F' L2 D2 B U R F
F' L2 D2 B' U R F
F' L2 D2 B2 U R F
L' U L' F' U R F2
U' L2 F' R' U R2 F2
U' L2 F' R' U F2 R2
U' L2 F' R2 U R' F2
U' L2 F' R2 U F2 R'
U' L2 F' U R F2 D
U' L2 F' U R F2 D'
U' L2 F' U R F2 D2
U' L2 F' U R' F2 R2
U' L2 F' U R2 F2 R'
U2 L2 F' R' U R2 F2
U2 L2 F' R' U F2 R2
B2 L2 F' R2 U F' R'
U2 L2 F' R2 U R' F2
U2 L2 F' R2 U F2 R'
U2 L2 F' U R F2 D
U2 L2 F' U R F2 D'
U2 L2 F' U R F2 D2
B2 L2 F' U R2 F' R'
U2 L2 F' U R' F2 R2
U2 L2 F' U R2 F2 R'
U' L2 F' D R2 U R'
B2 L2 F' U' B U2 R
B L2 F' U R D2 F2
B L2 F' U D2 R F2
U2 L2 F' D R2 U R'
U' L2 F' B U R F2
U' L2 F' B' U R F2
B L2 F' U' B2 U2 R
U' L2 F' B2 U R F2
U L2 F' R' U R2 F2
U L2 F' R' U F2 R2
U L2 F' R2 U R' F2
U L2 F' R2 U F2 R'
U2 L2 F' B U R F2
B L2 F' D' R2 U R'
U2 L2 F' B' U R F2
U L2 F' U R F2 D
U L2 F' U R F2 D'
U L2 F' U R F2 D2
U L2 F' U R' F2 R2
U L2 F' U R2 F2 R'
U2 L2 F' B2 U R F2
B L2 F' D2 U R F2
U L2 F' D R2 U R'
U L2 F' B U R F2
U L2 F' B' U R F2
U L2 F' B2 U R F2
F L2 F2 U' L U2 F'
F' L2 B R' U R2 F
F' L2 B R' U F R2
F' L2 B R2 U R' F
F' L2 B R2 U F R'
F' L2 B U R D F
F' L2 B U R D' F
F' L2 B U R D2 F
F' L2 B U R F D
F' L2 B U R F D'
F' L2 B U R F D2
F' L2 B U R' F R2
F' L2 B U R2 F R'
F' L2 B U D R F
F' L2 B U D' R F
F' L2 B U D2 R F
F L2 F2 B2 U F' R'
F' L2 B D U R F
F' L2 B D' U R F
F' L2 B D2 U R F
U' L2 B F' U R F2
U2 L2 B F' U R F2
F' L2 B' R' U R2 F
F' L2 B' R' U F R2
F' L2 B' R2 U R' F
F' L2 B' R2 U F R'
F' L2 B' U R D F
F' L2 B' U R D' F
F' L2 B' U R D2 F
F' L2 B' U R F D
F' L2 B' U R F D'
F' L2 B' U R F D2
F' L2 B' U R' F R2
F' L2 B' U R2 F R'
F' L2 B' U D R F
F' L2 B' U D' R F
F' L2 B' U D2 R F
F' L2 B' D U R F
U L2 B F' U R F2
F' L2 B' D' U R F
F' L2 B' D2 U R F
U' L2 B' F' U R F2
U2 L2 B' F' U R F2
F' L2 B2 R' U R2 F
F' L2 B2 R' U F R2
F' L2 B2 R2 U R' F
F' L2 B2 R2 U F R'
F' L2 B2 U R D F
F' L2 B2 U R D' F
F' L2 B2 U R D2 F
F' L2 B2 U R F D
F' L2 B2 U R F D'
F' L2 B2 U R F D2
F' L2 B2 U R' F R2
F' L2 B2 U R2 F R'
F' L2 B2 U D R F
F' L2 B2 U D' R F
F' L2 B2 U D2 R F
F' L2 B2 D U R F
U L2 B' F' U R F2
F' L2 B2 D' U R F
F' L2 B2 D2 U R F
U' L2 B2 F' U R F2
U2 L2 B2 F' U R F2
F L2 B2 F2 U F' R'
U L2 B2 F' U R F2
L2 U F U' F2 U R
L2 U F' R F2 D' L2
F R D' L2 F B2 R'
F R D' L2 B2 R' F
F R D' L2 B2 F R'
L' U' L' F' U R F2
F2 R F L2 U R F
F' R F2 D' L2 F B2
F' R F2 D' L2 B2 F
F R F2 L2 U R F
F' R' L2 U R' F R'
F' R' L2 U R2 D F
F' R' L2 U R2 D' F
F' R' L2 U R2 D2 F
F' R' L2 U R2 F D
F' R' L2 U R2 F D'
F' R' L2 U R2 F D2
F' R' L2 U F R2 D
F' R' L2 U F R2 D'
F' R' L2 U F R2 D2
F' R' L2 U F' R2 F2
F' R' L2 D B2 U F
F' R' L2 B U R2 F
F' R' L2 B U F R2
F' R' L2 B' U R2 F
F' R' L2 B' U F R2
F' R' L2 B2 U R2 F
F' R' L2 B2 U F R2
F R' D' L2 F B2 R'
F R' D' L2 B2 R' F
F R' D' L2 B2 F R'
L' U2 L' F' U R F2
F2 R' F L2 U R F
F R' F2 L2 U R F
F' R' B2 L2 U R2 F'
F' R2 L2 U R F R2
F' R2 L2 U R' D F
F' R2 L2 U R' D' F
F' R2 L2 U R' D2 F
F' R2 L2 U R' F D
F' R2 L2 U R' F D'
F' R2 L2 U R' F D2
F' R2 L2 U D R' F
F' R2 L2 U D F R'
F' R2 L2 U D' R' F
F' R2 L2 U D' F R'
F' R2 L2 U D2 R' F
F' R2 L2 U D2 F R'
F' R2 L2 U F R' D
F' R2 L2 U F R' D'
F' R2 L2 U F R' D2
F' R2 L2 U F D R'
F' R2 L2 U F D' R'
F' R2 L2 U F D2 R'
F' R2 L2 U F' R' F2
F' R2 L2 D U R' F
F' R2 L2 D U F R'
F' R2 L2 D' U R' F
F' R2 L2 D' U F R'
F' R2 L2 D2 U R' F
F' R2 L2 D2 U F R'
D2 R2 L2 B U' R' F
D2 R2 L2 B U' F R'
F R2 D' L2 F B2 R'
F R2 D' L2 B2 R' F
F R2 D' L2 B2 F R'
F2 R2 F L2 U R F
F R2 F2 L2 U R F
D2 R2 B U B2 L U2
D2 R2 B U' R' D2 F2
D2 R2 B U' D2 R' F2
D2 R2 B U' D2 F2 R'
D2 R2 B D L2 U' R'
D2 R2 B D2 U' R' F2
D2 R2 B D2 U' F2 R'
B' U L F' L U R
F' U L2 U R F L2
B' U L2 F' U R D
B' U L2 F' U R D'
B' U L2 F' U R D2
B' U L2 F' U D R
B' U L2 F' U D' R
B' U L2 F' U D2 R
B' U L2 F' D U R
B' U L2 F' D' U R
B' U L2 F' D2 U R
B' U L2 F' B U R
B' U L2 F' B' U R
B' U L2 F' B2 U R
B' U L2 B F' U R
L2 D F' R' B U F2
B' U L2 B' F' U R
B' U L2 B2 F' U R
F' U R U' L2 U F
F' U D' R' B2 R2 F'
F' U D' B2 R2 F' R'
F U D' L2 F B2 R'
F U D' L2 B2 R' F
F U D' L2 B2 F R'
L D' L F' B' U F2
L D' L B' F' U F2
B' U F' L2 U R D
B' U F' L2 U R D'
B' U F' L2 U R D2
B' U F' L2 U D R
B' U F' L2 U D' R
B' U F' L2 U D2 R
B' U F' L2 D U R
B' U F' L2 D' U R
B' U F' L2 D2 U R
B' U F' L2 B U R
B' U F' L2 B' U R
B' U F' L2 B2 U R
B' U F' U R D' B2
B' U F' U D' R B2
B' U F' U D' B2 R
B' U F' D' U R B2
B' U F' D' U B2 R
B' U F' B L2 U R
B' U F' B' L2 U R
B' U F' B2 L2 U R
B' U B L2 F' U R
F U F2 L2 U R F
B' U B F' L2 U R
B' U B' L2 F' U R
B' U B' F' L2 U R
B' U B2 L2 F' U R
B' U B2 F' L2 U R
L D' F' L B' U F
F' U' D F2 B' L' U2
F' U' D B' F2 L' U2
F' U' D' B' U2 R B'
F' U' D' B' U2 B' R
B' U' D2 R2 B U' R'
F U' D' L2 F B2 R'
F U' D' L2 B2 R' F
F U' D' L2 B2 F R'
F2 U' F L2 U F R
F U' F2 L2 U R F
F' U' B' U L2 U R
F' U' B' U2 R D' B2
F' U' B' U2 D' R B2
F' U' B' U2 D' B2 R
F' U' B' D F2 L' U2
F' U' B' D' U2 R B2
F' U' B' D' U2 B2 R
B' U2 L2 F' U R F
L2 D2 F' B U R' F2
L2 D2 F' B U F2 R'
L2 D2 B F' U R' F2
L2 D2 B F' U F2 R'
F U2 D' L2 F B2 R'
F U2 D' L2 B2 R' F
F U2 D' L2 B2 F R'
L2 F L2 D' B2 L2 R'
L2 F L2 D' B2 R' L2
L2 F R F2 U R F2
F U2 F2 L2 U R F
L2 F R' F2 U R F2
L2 F R2 F2 U R F2
U' F D' L2 F B2 R'
U' F D' L2 B2 R' F
U' F D' L2 B2 F R'
U2 F D' L2 F B2 R'
L2 F D' L2 D' B2 R'
U2 F D' L2 B2 R' F
U2 F D' L2 B2 F R'
U F D' L2 F B2 R'
U F D' L2 B2 R' F
U F D' L2 B2 F R'
F D R2 F2 B' U2 R
F D R2 B' L' F2 U2
F D R2 B' F2 U2 R
F' D U' F2 B' L' U2
F' D U' B' F2 L' U2
U' F' L2 R' U R2 F
U' F' L2 R' U F R2
U' F' L2 R2 U R' F
U' F' L2 R2 U F R'
U' F' L2 U R D F
U' F' L2 U R D' F
U' F' L2 U R D2 F
U' F' L2 U R F D
U' F' L2 U R F D'
U' F' L2 U R F D2
U' F' L2 U R' F R2
U' F' L2 U R2 F R'
U' F' L2 U D R F
U' F' L2 U D' R F
U' F' L2 U D2 R F
L F' L R' U R2 F
L F' L R' U F R2
L F' L R2 U R' F
L F' L R2 U F R'
L F' L U R D F
L F' L U R D' F
L F' L U R D2 F
L F' L U R F D
L F' L U R F D'
L F' L U R F D2
L F' L U R' F R2
L F' L U R2 F R'
L F' L U D R F
L F' L U D' R F
L F' L U D2 R F
U' F' L2 D U R F
U' F' L2 D' U R F
U' F' L2 D2 U R F
L F' L D U R F
L F' L D' U R F
L F' L D2 U R F
U' F' L2 B U R F
U' F' L2 B' U R F
U' F' L2 B2 U R F
L F' L B U R F
U2 F' L2 R' U R2 F
U2 F' L2 R' U F R2
L F' L B' U R F
U2 F' L2 R2 U R' F
U2 F' L2 R2 U F R'
L F' L B2 U R F
U2 F' L2 U R D F
U2 F' L2 U R D' F
U2 F' L2 U R D2 F
U2 F' L2 U R F D
U2 F' L2 U R F D'
U2 F' L2 U R F D2
U2 F' L2 U R' F R2
U2 F' L2 U R2 F R'
U2 F' L2 U D R F
U2 F' L2 U D' R F
U2 F' L2 U D2 R F
U2 F' L2 D U R F
U2 F' L2 D' U R F
U2 F' L2 D2 U R F
U2 F' L2 B U R F
U2 F' L2 B' U R F
U2 F' L2 B2 U R F
U' F' R' L2 U R2 F
U' F' R' L2 U F R2
U F' L2 R' U R2 F
U F' L2 R' U F R2
U F' L2 R2 U R' F
U F' L2 R2 U F R'
L2 F' R U F2 D R2
U F' L2 U R D F
U F' L2 U R D' F
U F' L2 U R D2 F
U F' L2 U R F D
U F' L2 U R F D'
U F' L2 U R F D2
U F' L2 U R' F R2
U F' L2 U R2 F R'
U F' L2 U D R F
U F' L2 U D' R F
U F' L2 U D2 R F
L2 F' R D R2 U R2
U F' L2 D U R F
U F' L2 D' U R F
U F' L2 D2 U R F
U F' L2 B U R F
U F' L2 B' U R F
U F' L2 B2 U R F
U2 F' R' L2 U R2 F
U2 F' R' L2 U F R2
U' F' R2 L2 U R' F
U' F' R2 L2 U F R'
L2 F' R' U R' F2 R'
L2 F' R' U R2 F2 D
L2 F' R' U R2 F2 D'
L2 F' R' U R2 F2 D2
L2 F' R' U F R2 F
L2 F' R' U F2 R2 D
L2 F' R' U F2 R2 D'
L2 F' R' U F2 R2 D2
L2 F' R' D R2 B2 U
L2 F' R' D B2 R2 U
L2 F' R' B U R2 F2
L2 F' R' B U F2 R2
L2 F' R' B' U R2 F2
L2 F' R' B' U F2 R2
L2 F' R' B2 U R2 F2
L2 F' R' B2 U F2 R2
U2 F' R2 L2 U R' F
U2 F' R2 L2 U F R'
L F' R' L U R2 F
L F' R' L U F R2
L2 F' R2 U R F2 R2
L2 F' R2 U R' F2 D
L2 F' R2 U R' F2 D'
L2 F' R2 U R' F2 D2
U F' R' L2 U R2 F
U F' R' L2 U F R2
L2 F' R2 U F R' F
L2 F' R2 U F2 R' D
L2 F' R2 U F2 R' D'
L2 F' R2 U F2 R' D2
L2 F' R2 U F2 D R'
L2 F' R2 U F2 D' R'
L2 F' R2 U F2 D2 R'
L2 F' R2 D R2 U R
F D F2 B' R2 U2 R'
L2 F' U L' R F2 L
L2 F' U L2 R F2 L2
L F' R2 L U R' F
L F' R2 L U F R'
U F' R2 L2 U R' F
U F' R2 L2 U F R'
L2 F' U R L' F2 L
L2 F' U R L2 F2 L2
L2 F' U R F D F
L2 F' U R F D' F
L2 F' U R F D2 F
L2 F' U R F' D F'
L2 F' U R F' D' F'
L2 F' U R F' D2 F'
L2 F' U R' F R2 F
L2 F' U R' F2 R2 D
L2 F' U R' F2 R2 D'
L2 F' U R' F2 R2 D2
L2 F' U R2 F R' F
L2 F' U R2 F2 R' D
L2 F' U R2 F2 R' D'
L2 F' U R2 F2 R' D2
L2 F' U R2 F2 D R'
L2 F' U R2 F2 D' R'
L2 F' U R2 F2 D2 R'
L2 F' U D' R D F2
L2 F' U D2 R D2 F2
F D B' L' R2 F2 U2
F D B' L' F2 R2 U2
L2 F' U F2 U2 L' U2
L2 F' U B R F2 B'
L2 F' U B R B' F2
F D B' R2 L' F2 U2
F D B' R2 F2 U2 R
L2 F' U B2 R F2 B2
L2 F' U B2 R B2 F2
L2 F' U' L U2 R F2
L2 F' U' L' U2 R F2
L2 F' U' L2 U2 R F2
F D B' F2 R2 U2 R'
L2 F' U' D2 B2 U2 R
L2 F' U' B U2 R F2
L2 F' U' B' U2 R F2
L2 F' U' B2 U2 R F2
L2 F' U2 L U' R F2
L2 F' U2 L' U' R F2
L2 F' U2 L2 U' R F2
L2 F' U2 D' L2 U' R
F' D' L2 U R F B2
F' D' L2 U R B2 F
F' D' L2 U B2 R F
L2 F' D R2 U R' D
L2 F' D R2 U R' D'
L2 F' D R2 U R' D2
L2 F' D R2 U D R'
L2 F' D R2 U D' R'
L2 F' D R2 U D2 R'
L2 F' D R2 D U R'
L2 F' D R2 D' U R'
L2 F' D R2 D2 U R'
L2 F' D B R2 U R'
F D' L' U2 L' F B2
F D' L' U2 L' B2 F
L2 F' D B' R2 U R'
F D' L' U2 B2 L' F
L2 F' D B2 R2 U R'
L F' D L U R F
L2 F' D' U R D F2
L2 F' D' U2 L2 U' R
F D' L2 R F B2 R'
F D' L2 R B2 R' F
F D' L2 R B2 F R'
F D' L2 R' F B2 R'
F D' L2 R' B2 R' F
F D' L2 R' B2 F R'
F D' L2 R2 F B2 R'
F D' L2 R2 B2 R' F
F D' L2 R2 B2 F R'
F D' L2 F R B2 R'
F D' L2 F R' B2 R'
F D' L2 F R2 B2 R'
F D' L2 F B2 R' D
F D' L2 F B2 R' D'
F D' L2 F B2 R' D2
F D' L2 F B2 D R'
F D' L2 F B2 D' R'
F D' L2 F B2 D2 R'
F' D' R' U B2 R2 F'
L F' D' L U R F
F D' L2 F' B2 R' F2
L2 F' D2 U R D2 F2
F D' L2 B2 R F R2
F D' L2 B2 R' D F
F D' L2 B2 R' D' F
F D' L2 B2 R' D2 F
F D' L2 B2 R' F D
F D' L2 B2 R' F D'
F D' L2 B2 R' F D2
F D' L2 B2 D R' F
F D' L2 B2 D F R'
F D' L2 B2 D' R' F
F D' L2 B2 D' F R'
F D' L2 B2 D2 R' F
F D' L2 B2 D2 F R'
L2 F' D2 U' B2 U2 R
F D' L2 B2 F R' D
F D' L2 B2 F R' D'
F D' L2 B2 F R' D2
F D' L2 B2 F D R'
F D' L2 B2 F D' R'
F D' L2 B2 F D2 R'
F D' L2 B2 F' R' F2
F D' R L2 F B2 R'
F D' R L2 B2 R' F
F D' R L2 B2 F R'
L F' D2 L U R F
L2 F' B R' U R2 F2
L2 F' B R' U F2 R2
L2 F' B R2 U R' F2
L2 F' B R2 U F2 R'
L2 F' B U R F2 D
L2 F' B U R F2 D'
L2 F' B U R F2 D2
L2 F' B U R' F2 R2
L2 F' B U R2 F2 R'
L2 F' B D R2 U R'
F D' R' L2 F B2 R'
F D' R' L2 B2 R' F
F D' R' L2 B2 F R'
L2 F' B' R' U R2 F2
L2 F' B' R' U F2 R2
L2 F' B' R2 U R' F2
L2 F' B' R2 U F2 R'
L2 F' B' U R F2 D
L2 F' B' U R F2 D'
L2 F' B' U R F2 D2
L2 F' B' U R' F2 R2
L2 F' B' U R2 F2 R'
F' D' U R' B2 R2 F'
L2 F' B' D R2 U R'
F D' R2 L2 F B2 R'
F D' R2 L2 B2 R' F
F D' R2 L2 B2 F R'
F' D' U B2 R2 F' R'
L2 F' B2 R' U R2 F2
L2 F' B2 R' U F2 R2
L2 F' B2 R2 U R' F2
L2 F' B2 R2 U F2 R'
L2 F' B2 U R F2 D
L2 F' B2 U R F2 D'
L2 F' B2 U R F2 D2
L2 F' B2 U R' F2 R2
L2 F' B2 U R2 F2 R'
L2 F' B2 D R2 U R'
F' D' U' B' U2 R B'
F' D' U' B' U2 B' R
F D' U L2 F B2 R'
F D' U L2 B2 R' F
F D' U L2 B2 F R'
F D' U' L2 F B2 R'
F D' U' L2 B2 R' F
F D' U' L2 B2 F R'
F D' U2 L2 F B2 R'
F D' U2 L2 B2 R' F
F D' U2 L2 B2 F R'
F D' F L2 F R B2
F D' F L2 F B2 R
F D' F L2 B2 F R
L2 F2 R' F U R F'
F D' F2 L2 R F B2
F D' F2 L2 R B2 F
F D' F2 L2 B2 R F
F D' F2 R L2 F B2
F D' F2 R L2 B2 F
L2 F2 D F U R F2
L2 F2 D' F U R F2
L2 F2 D2 F U R F2
B2 D2 R2 B U' F' R'
B' D2 U' R2 B U' R'
B D2 R2 B U' R' F2
B D2 R2 B U' F2 R'
L' B L' F' U R F2
B' F L' U L' F2 U
F' B L2 U R D2 F2
F' B L2 U D2 R F2
F' B L2 U' B2 U2 R
F' B L2 D' R2 U R'
F' B L2 D2 U R F2
L2 B F' R' U R2 F2
L2 B F' R' U F2 R2
L2 B F' R2 U R' F2
L2 B F' R2 U F2 R'
B' F U F2 L2 U R
L2 B F' U R F2 D
L2 B F' U R F2 D'
L2 B F' U R F2 D2
L2 B F' U R' F2 R2
L2 B F' U R2 F2 R'
L2 B F' D R2 U R'
D2 B' L U' R2 B U'
B' F U2 D' L2 B2 R'
L' B' L' F' U R F2
B' F D L' R2 F2 U2
B' F D L' F2 R2 U2
B' F D R2 L' F2 U2
B' F D R2 F2 U2 R
B' F D F2 R2 U2 R'
B' F D' L' U2 L' B2
B' F D' L' U2 B2 L'
B' F D' U2 L2 B2 R'
F' B D' R2 U R' B2
U' B' U L2 F' U R
U' B' U F' L2 U R
U2 B' U L2 F' U R
U2 B' U F' L2 U R
B2 F' L2 R2 U F' R'
B2 F' L2 U R2 F' R'
B2 F' L2 U' B U2 R
F B' L' U L' F2 U
U B' U L2 F' U R
B F' L2 U R D2 F2
B F' L2 U D2 R F2
B F' L2 U' B2 U2 R
U B' U F' L2 U R
B F' L2 D' R2 U R'
B F' L2 D2 U R F2
B2 F' R2 L2 U F' R'
B' F' U L2 U L2 R
B' F' U L2 U R L2
F' B' U L2 U L2 R
F' B' U L2 U R L2
F B' U F2 L2 U R
L2 B' F' R' U R2 F2
L2 B' F' R' U F2 R2
L2 B' F' R2 U R' F2
L2 B' F' R2 U F2 R'
L2 B' F' U R F2 D
L2 B' F' U R F2 D'
L2 B' F' U R F2 D2
L2 B' F' U R' F2 R2
L2 B' F' U R2 F2 R'
L2 B' F' D R2 U R'
F B' U2 D' L2 B2 R'
F B' D L' R2 F2 U2
F B' D L' F2 R2 U2
L' B2 L' F' U R F2
F B' D R2 L' F2 U2
F B' D R2 F2 U2 R
F B' D F2 R2 U2 R'
B F' D' R2 U R' B2
F B' D' L' U2 L' B2
F B' D' L' U2 B2 L'
F B' D' U2 L2 B2 R'
F' B2 L2 R2 U F' R'
F' B2 L2 U R2 F' R'
F' B2 L2 U' B U2 R
F' B2 R2 L2 U F' R'
L2 B2 F' R' U R2 F2
L2 B2 F' R' U F2 R2
L2 B2 F' R2 U R' F2
L2 B2 F' R2 U F2 R'
L2 B2 F' U R F2 D
L2 B2 F' U R F2 D'
L2 B2 F' U R F2 D2
L2 B2 F' U R' F2 R2
L2 B2 F' U R2 F2 R'
L2 B2 F' D R2 U R'
