F' L' F U R' F2
F' L' F U F2 R'
F2 R' D' L B' L
F2 R' D' B' L B'
F R' D F L' B2
F R' D F B2 L'
F R' D B2 F L'
F2 D' L R' B' L
F2 D' R' L B' L
F2 D' R' B' L B'
R' F2 D' L B' L
R' F2 D' B' L B'
F D R U' F R2 L'
F2 D R' D2 B' L B2
F2 D R' F L' F' B
F2 D R' F L' B F'
F2 D R' F B L' F'
F2 D R' B F L' F'
F2 D R' B2 D2 B' L
F D R' F L' D B2
F D R' F D L' B2
F D R' F D B2 L'
L' F' L' F2 U R' F
L' F' L' F2 U F R'
F2 D F L' F' R' B
R2 F' L' F U R F2
F D F L' D R' B
R F' L' F U R2 F2
R F' L' F U F2 R2
F D F D L' R' B
F D F D R' L' B
F D F D R' B L'
R' F' U' L' F U F2
F2 D' L R B' L R2
F2 D' L R B' R2 L
F2 D' L R' B' L D
F2 D' L R' B' L D'
F2 D' L R' B' L D2
F2 D' L R' B' D L
F2 D' L R' B' D' L
F2 D' L R' B' D2 L
F2 D' L R2 B' L R
F2 D' L R2 B' R L
F2 D' R L B' L R2
F2 D' R L B' R2 L
F2 D' R B' L R2 B'
F2 D' R B' L B' R2
F2 D' R B' R2 L B'
F2 D' R' L B' L D
F2 D' R' L B' L D'
F2 D' R' L B' L D2
F2 D' R' L B' D L
F2 D' R' L B' D' L
F2 D' R' L B' D2 L
F2 D' R' B' L D B'
F2 D' R' B' L D' B'
F2 D' R' B' L D2 B'
F2 D' R' B' L B' D
F2 D' R' B' L B' D'
F2 D' R' B' L B' D2
F2 D' R2 L B' L R
F2 D' R2 L B' R L
F2 D' R2 B' L R B'
F2 D' R2 B' L B' R
F2 D' R2 B' R L B'
R' F2 L' U' F L' U
F2 D' B' L B R' B2
U F2 R' D' L' B' L
R' F2 U' L' F L' U
R' F2 U' F L' F U
R F2 R2 D' L B' L
R F2 R2 D' B' L B'
R' F2 D' L B' L D
R' F2 D' L B' L D'
R' F2 D' L B' L D2
R' F2 D' L B' D L
R' F2 D' L B' D' L
R' F2 D' L B' D2 L
R' F2 D' B' L D B'
R' F2 D' B' L D' B'
R' F2 D' B' L D2 B'
R' F2 D' B' L B' D
R' F2 D' B' L B' D'
R' F2 D' B' L B' D2
L F2 D R' B D L2
U F2 D' L' R' B' L
F2 D2 R' U B R' U'
U F2 D' R' L' B' L
R' F2 B D' L B' L
R' F2 B D' B' L B'
R' F2 B' D' L B' L
R' F2 B' D' B' L B'
R' F2 B2 D' L B' L
R' F2 B2 D' B' L B'
R' B F2 D' L B' L
R' B F2 D' B' L B'
F2 B D' L B' L R'
F2 B D' L B' R' L
F2 B D' B' L R' B'
F2 B D' B' R' L B'
L B' U' R F2 B R'
L B' U' R B R' F2
L B' U' R B F2 R'
L B' U' F2 R B R'
R' B' F2 D' L B' L
R' B' F2 D' B' L B'
B2 F2 D' B' L B' R'
F2 B2 D' B' L B' R'
B F2 D' L B' L R'
B F2 D' L B' R' L
R' B2 F2 D' L B' L
R' B2 F2 D' B' L B'
B F2 D' B' L R' B'
B F2 D' B' R' L B'
