F R2 U R B2
F R2 U B2 R
F L R2 U R B2
F L R2 U B2 R
F L' R2 U R B2
F L' R2 U B2 R
F L2 R2 U R B2
F L2 R2 U B2 R
R' U' R' F U B2
R' U' F R' U B2
F R2 L U R B2
F R2 L U B2 R
F R2 L' U R B2
F R2 L' U B2 R
F R2 L2 U R B2
F R2 L2 U B2 R
F R2 U R B2 D
F R2 U R B2 D'
F R2 U R B2 D2
F R2 U R' B2 R2
F R2 U B' R B'
F R2 U B2 R D
F R2 U B2 R D'
F R2 U B2 R D2
F R2 U B2 D R
F R2 U B2 D' R
F R2 U B2 D2 R
F R2 D L2 U R
F R2 B U B R
F R2 B' U R B'
F R2 B' U B' R
R' F R' U R B2
R' F R' U B2 R
U' F R2 U R B2
U' F R2 U B2 R
U2 F R2 U R B2
U2 F R2 U B2 R
U F R2 U R B2
U F R2 U B2 R
B2 F' D' L2 F2 R
F' B2 D' L2 F2 R
U' F R2 L2 U R B2
U' F R2 L2 U B2 R
U' F R2 U R B2 D
U' F R2 U R B2 D'
U' F R2 U R B2 D2
U' F R2 U R' B2 R2
U' F R2 U B' R B'
U' F R2 U B2 R D
U' F R2 U B2 R D'
U' F R2 U B2 R D2
U' F R2 U B2 D R
U' F R2 U B2 D' R
U' F R2 U B2 D2 R
U' F R2 D L2 U R
U' F R2 B U B R
U2 F R2 L U R B2
U2 F R2 L U B2 R
U' F R2 B' U R B'
U' F R2 B' U B' R
U2 F R2 L' U R B2
U2 F R2 L' U B2 R
U2 F R2 L2 U R B2
U2 F R2 L2 U B2 R
U2 F R2 U R B2 D
U2 F R2 U R B2 D'
U2 F R2 U R B2 D2
U2 F R2 U R' B2 R2
U2 F R2 U B' R B'
U2 F R2 U B2 R D
U2 F R2 U B2 R D'
U2 F R2 U B2 R D2
U2 F R2 U B2 D R
U2 F R2 U B2 D' R
U2 F R2 U B2 D2 R
U2 F R2 D L2 U R
D' F U D R' F B2
D' F U D R' B2 F
D' F U D F R' B2
U2 F R2 B U B R
D' F U F D R' B2
U2 F R2 B' U R B'
U2 F R2 B' U B' R
U F R2 L U R B2
U F R2 L U B2 R
U F R2 L' U R B2
U F R2 L' U B2 R
U F R2 L2 U R B2
U F R2 L2 U B2 R
U F R2 U R B2 D
U F R2 U R B2 D'
U F R2 U R B2 D2
U F R2 U R' B2 R2
U F R2 U B' R B'
U F R2 U B2 R D
U F R2 U B2 R D'
U F R2 U B2 R D2
U F R2 U B2 D R
U F R2 U B2 D' R
U F R2 U B2 D2 R
U F R2 D L2 U R
F' U2 B2 D' L2 F2 R
U F R2 B U B R
U F R2 B' U R B'
U F R2 B' U B' R
R2 F U F' R F B2
R2 F U F' R B2 F
R2 F U F' B2 R F
R2 F U B D2 B R'
R2 F U B2 F' R F
D2 F U2 L2 U' R' B'
D' F U2 R2 U' R F
R2 F U' F L' U2 B2
R2 F U' F' U2 R B2
R2 F U' F' U2 B2 R
R' F D L2 R' U R
R' F D R' L2 U R
D' F D U R' F B2
D' F D U R' B2 F
D' F D U F R' B2
R2 F U2 F' U' R B2
R2 F U2 F' U' B2 R
F D L2 U R' D2 F2
F D L2 U D2 R' F2
F D L2 U D2 F2 R'
F D L2 U' B2 L U2
F D L2 D' R2 U R
D F D' R2 U R B2
D F D' R2 U B2 R
F D L2 D2 U R' F2
F D L2 D2 U F2 R'
R2 F B U D2 B R'
R2 F B D2 U B R'
R' F B2 U L U' L'
R' F' U' R' F2 U B2
R' F' U' F2 R' U B2
D' F' D F' R' B2 L
F' D' L2 F2 D R' B2
F' D' R2 U' L2 R F2
F' D' R2 U' R L2 F2
F' D' R2 U' R F2 L2
F2 D' R2 B U' R F2
U' F' B2 D' L2 F2 R
U2 F' B2 D' L2 F2 R
F D' U F2 D R' B2
U F' B2 D' L2 F2 R
F D' U2 R2 U' R F2
F' D' F2 L2 D R' B2
R2 F2 L2 F' U B2 R'
D' F2 R' U R' B U'
F D' F2 D R' B2 L
D' F2 U R2 B U' R
R' F2 U' F' R' U B2
B D2 L2 B' U' R' B2
R2 B L' U B L R
R2 B L' U B R L
B' F R2 U B R' B2
B' F R2 B U R' B2
R2 B F U D2 B R'
B2 F R2 B2 U R' B2
R2 B F D2 U B R'
F' B D' B L2 F2 R
B2 F' L2 D' F2 L2 R
B2 F' L2 D' F2 R L2
F B' R2 U B R' B2
F B' R2 B U R' B2
B2 F' D' L2 R F2 R
B2 F' D' L2 R' F2 R
B2 F' D' L2 R2 F2 R
B2 F' D' L2 F2 R D
B2 F' D' L2 F2 R D'
B2 F' D' L2 F2 R D2
B2 F' D' L2 F2 D R
B2 F' D' L2 F2 D' R
B2 F' D' L2 F2 D2 R
B2 F' D' R L2 F2 R
B2 F' D' R' L2 F2 R
B2 F' D' R2 L2 F2 R
R' B2 L2 U B' L' U'
B F' D' B L2 F2 R
R2 B2 R U' R' F U
R2 B2 R U' F R' U
F' B2 L2 D' F2 L2 R
F' B2 L2 D' F2 R L2
R' B2 U L2 B' L' U'
R' B2 U' F U2 L U'
R B2 R2 U' R' F U
R B2 R2 U' F R' U
F B2 R2 B2 U R' B2
R' B2 F U L U' L'
F' B2 D' L2 R F2 R
F' B2 D' L2 R' F2 R
F' B2 D' L2 R2 F2 R
F' B2 D' L2 F2 R D
F' B2 D' L2 F2 R D'
F' B2 D' L2 F2 R D2
F' B2 D' L2 F2 D R
F' B2 D' L2 F2 D' R
F' B2 D' L2 F2 D2 R
F' B2 D' R L2 F2 R
F' B2 D' R' L2 F2 R
U' B2 F' D' L2 F2 R
F' B2 D' R2 L2 F2 R
U2 B2 F' D' L2 F2 R
U B2 F' D' L2 F2 R
