B' L2 U' R' B2
B D L2 F2 R
B' L2 R U' R2 B2
B' L2 R U' B2 R2
B' L2 R2 U' R B2
B' L2 R2 U' B2 R
B' L2 U' R B2 R2
B' L2 U' R' B2 D
B' L2 U' R' B2 D'
B' L2 U' R' B2 D2
B' L2 U' R2 B2 R
B' L2 D' R2 U' R
B' L2 F U' R' B2
B' L2 F' U' R' B2
B' L2 F2 U' R' B2
B' R L2 U' R2 B2
B' R L2 U' B2 R2
B R D L2 F2 R
B R' D L2 F2 R
B' R' B2 D L2 F2
B' R' B2 D F2 L2
B' R2 L2 U' R B2
B' R2 L2 U' B2 R
L2 U2 F U B R
B R2 D L2 F2 R
B U B2 L2 U' R'
B' U' R' B2 D F2
B D L2 R F2 R
B D L2 R' F2 R
B D L2 R2 F2 R
B D L2 F2 R D
B D L2 F2 R D'
B D L2 F2 R D2
B D L2 F2 D R
B D L2 F2 D' R
B D L2 F2 D2 R
B D R L2 F2 R
B D R' L2 F2 R
B D R2 L2 F2 R
B' F L2 U' R' B2
F' B D L2 F2 R
F2 B D L2 F2 R
B F D L2 F2 R
F B D L2 F2 R
R B' L2 U' R' B
F' B' L2 U' R' B2
B' F' L2 U' R' B2
F2 B' L2 U' R' B2
D B' U' R' F2 B2
D B' U' R' B2 F2
F B' L2 U' R' B2
D B' U' F2 R' B2
B F' D L2 F2 R
B' F2 L2 U' R' B2
B F2 D L2 F2 R
L2 D2 U2 F U B R
B U2 L U' L B2 U'
B' U2 D L2 U R' F2
B' U2 D L2 U F2 R'
B U2 D L U2 L F2
B U2 D L U2 F2 L
B U2 D' L R2 B2 U2
B U2 D' L B2 R2 U2
B U2 D' R2 L B2 U2
B U2 D' R2 B2 U2 R'
B U2 D' B2 R2 U2 R
B2 U2 B L2 U' R' B2
B2 U2 B' D L2 F2 R
B' D L2 U R' F2 L'
B D L2 R F2 R D
B D L2 R F2 R D'
B D L2 R F2 R D2
B D L2 R F2 D R
B D L2 R F2 D' R
B D L2 R F2 D2 R
B D L2 R' F2 R D
B D L2 R' F2 R D'
B D L2 R' F2 R D2
B D L2 R' F2 D R
B D L2 R' F2 D' R
B D L2 R' F2 D2 R
B D L2 R2 F2 R D
B D L2 R2 F2 R D'
B D L2 R2 F2 R D2
B D L2 R2 F2 D R
B D L2 R2 F2 D' R
B D L2 R2 F2 D2 R
B D L2 U2 L' U2 F2
B D L2 F R F R
B D L2 F R' F R
B D L2 F R2 F R
B D L2 F D F R
B D L2 F D' F R
B D L2 F D2 F R
B D L2 F2 R2 D R'
B D L2 F2 R2 D' R'
B D L2 F2 R2 D2 R'
B D L2 F2 D R D
B D L2 F2 D R D'
B D L2 F2 D R D2
B D L2 F2 D' R D
B D L2 F2 D' R D'
B D L2 F2 D' R D2
B D L2 F2 D2 R D
B D L2 F2 D2 R D'
B D L2 F2 D2 R D2
B D L2 F2 B R B'
B D L2 F2 B2 R B2
B D L2 B F2 R B'
B D L2 B2 F2 R B2
B D R L2 F2 R D
B D R L2 F2 R D'
B D R L2 F2 R D2
B D R L2 F2 D R
B D R L2 F2 D' R
B D R L2 F2 D2 R
B D R' L2 F2 R D
B D R' L2 F2 R D'
B D R' L2 F2 R D2
B D R' L2 F2 D R
B D R' L2 F2 D' R
B D R' L2 F2 D2 R
U2 F B R D L2 F2
U2 F B R D F2 L2
U2 F B D L2 R F2
U2 F B D R L2 F2
U2 F B D R F2 L2
U2 F B' L2 U' R B2
U2 F B' L2 U' B2 R
B D R2 L2 F2 R D
B D R2 L2 F2 R D'
B D R2 L2 F2 R D2
B D R2 L2 F2 D R
B D R2 L2 F2 D' R
B D R2 L2 F2 D2 R
B' D U' R' F2 D' B2
D F B' U' R' F B2
D F B' U' R' B2 F
D F B' U' F R' B2
B' D U' F2 R' D' B2
B' D U' F2 D' R' B2
R F B' L2 U' R' B
B' D U2 L2 U R' F2
B' D U2 L2 U F2 R'
B D U2 L U2 L F2
B D U2 L U2 F2 L
B D F' L2 F2 R F
B D F2 L' D2 L' R2
B D F2 L' D2 R2 L'
B D F2 L2 U2 L' U2
B D F2 L2 F2 R F2
B D F2 U2 L U2 L
B D F2 B2 L2 R' B2
B D F2 B2 R' L2 B2
B D F2 B2 R' B2 L2
F' D B' U' R' F2 B2
F' D B' U' R' B2 F2
F' D B' U' F2 R' B2
F2 D B' U' R' F2 B2
F2 D B' U' R' B2 F2
F2 D B' U' F2 R' B2
F D B' U' R' F2 B2
F D B' U' R' B2 F2
F D B' U' F2 R' B2
B D B2 L2 R' F2 B2
B D B2 L2 R' B2 F2
B D B2 L2 F2 R' B2
B D B2 R' L2 F2 B2
B D B2 R' L2 B2 F2
B D B2 R' F2 L2 B2
B D B2 R' F2 B2 L2
B D B2 R' B2 L2 F2
B D B2 R' B2 F2 L2
B D B2 F2 L2 R' B2
B D B2 F2 R' L2 B2
B D B2 F2 R' B2 L2
B D' L R2 B2 U2 B2
B D' L B2 R2 U2 B2
B D' L' D2 L2 R2 F2
B D' L' D2 L2 F2 R2
B D' L' D2 R2 L2 F2
B D' L' D2 R2 F2 L2
B D' L' D2 F2 L2 R2
B D' L' D2 F2 R2 L2
B D' L2 D2 F2 L2 R
B D' L2 D2 F2 R L2
B' D' R2 U B2 U2 R
B' D' R2 U' R D2 F2
B' D' R2 U' D2 R F2
B' D' R2 D L2 U' R
B' D' R2 D2 U' R F2
U2 F' B D F2 L2 R
U2 F' B D F2 R L2
U2 F' B' L2 U' B2 R'
B D' R2 L B2 U2 B2
D F' B' U' F' R' B2
B D' R2 B2 U2 R' B2
R F' B' L2 U' R' B
B D' U2 L R2 B2 U2
B D' U2 L B2 R2 U2
B D' U2 R2 L B2 U2
B D' U2 R2 B2 U2 R'
B D' U2 B2 R2 U2 R
B D' F D2 L2 F2 R
B D' F' D2 L2 F2 R
B D' F2 D2 L2 F2 R
B D' B2 R2 U2 R B2
B D' B2 R2 U2 B2 R
B D' B2 U2 R' B2 L
B D2 L2 D' F2 L2 R
B D2 L2 D' F2 R L2
B2 D2 R2 F' U R B'
B2 D2 R2 F' U B' R
D F2 B U B2 U' R'
R2 F2 B' L2 U' R' B'
D F2 B' R' B2 D L2
R F2 B' L2 U' R' B
D B L2 F2 R D L2
D B L2 F2 D L2 R
D B L2 F2 D R L2
D B U B2 U' R' F2
D B U B2 U' F2 R'
R' B D L2 F2 R B
D2 B D L2 D2 F2 R
B' F L2 R U' R2 B2
B' F L2 R U' B2 R2
B' F L2 R2 U' R B2
B' F L2 R2 U' B2 R
B' F L2 U' R B2 R2
B' F L2 U' R' B2 D
B' F L2 U' R' B2 D'
B' F L2 U' R' B2 D2
B' F L2 U' R2 B2 R
B' F L2 D' R2 U' R
B' F L2 F U' R' B2
U2 B D L2 F R F
B' F L2 F' U' R' B2
B' F L2 F2 U' R' B2
U2 B D F R F L2
B' F R L2 U' R2 B2
B' F R L2 U' B2 R2
D B D L2 D' F2 R
F' B R D L2 F2 R
F2 B R D L2 F2 R
F' B R' D L2 F2 R
B F R D L2 F2 R
B' F R' B2 D L2 F2
B' F R' B2 D F2 L2
F2 B R' D L2 F2 R
B' F R2 L2 U' R B2
B' F R2 L2 U' B2 R
F B R D L2 F2 R
U2 B F R D L2 F2
U2 B F R D F2 L2
F' B R2 D L2 F2 R
B F R' D L2 F2 R
F2 B R2 D L2 F2 R
U2 B F D L2 R F2
U2 B F D R L2 F2
U2 B F D R F2 L2
F B R' D L2 F2 R
B F R2 D L2 F2 R
U2 B F' D F2 L2 R
U2 B F' D F2 R L2
F' B U B2 L2 U' R'
B' F U' R' B2 D F2
U' B' L F L U' B2
F B R2 D L2 F2 R
F2 B U B2 L2 U' R'
D B F2 U B2 U' R'
B F U B2 L2 U' R'
D B' L U' R' F2 B2
D B' L U' R' B2 F2
D B' L U' F2 R' B2
F B U B2 L2 U' R'
R' B' L2 R U' B R2
D' B' L2 U' R' F B2
D' B' L2 U' R' B2 F
D' B' L2 U' F R' B2
F' B D L2 R F2 R
F' B D L2 R' F2 R
F' B D L2 R2 F2 R
F' B D L2 F2 R D
F' B D L2 F2 R D'
F' B D L2 F2 R D2
F' B D L2 F2 D R
F' B D L2 F2 D' R
F' B D L2 F2 D2 R
F' B D R L2 F2 R
F' B D R' L2 F2 R
F' B D R2 L2 F2 R
F2 B D L2 R F2 R
F2 B D L2 R' F2 R
F2 B D L2 R2 F2 R
D B' L' U' R' F2 B2
F2 B D L2 F2 R D
F2 B D L2 F2 R D'
F2 B D L2 F2 R D2
D B' L' U' R' B2 F2
F2 B D L2 F2 D R
F2 B D L2 F2 D' R
F2 B D L2 F2 D2 R
D B' L' U' F2 R' B2
F2 B D R L2 F2 R
F2 B D R' L2 F2 R
F2 B D R2 L2 F2 R
R' B' R L2 U' B R2
D' B' R U' B2 R2 F'
R2 B' L2 R2 U' B R
U2 B' L2 F U' R B2
U2 B' L2 F U' B2 R
B F D L2 R F2 R
R2 B' L2 U F' U2 R'
B F D L2 R' F2 R
B F D L2 R2 F2 R
B F D L2 F2 R D
B F D L2 F2 R D'
B F D L2 F2 R D2
R2 B' L2 U' R2 B R
B F D L2 F2 D R
B F D L2 F2 D' R
B F D L2 F2 D2 R
B F D R L2 F2 R
B F D R' L2 F2 R
D B' L2 U' R' F2 B2
D B' L2 U' R' B2 F2
B F D R2 L2 F2 R
D B' L2 U' F2 R' B2
F B D L2 R F2 R
F B D L2 R' F2 R
F B D L2 R2 F2 R
F B D L2 F2 R D
F B D L2 F2 R D'
F B D L2 F2 R D2
F B D L2 F2 D R
F B D L2 F2 D' R
F B D L2 F2 D2 R
F B D R L2 F2 R
F B D R' L2 F2 R
U B' L2 R' F' U' B2
F B D R2 L2 F2 R
U B' L2 U' B' R' B'
R B' L2 R U' R2 B
D B' R U' R2 F2 B2
D B' R U' R2 B2 F2
D B' R U' F2 R2 B2
D B' R U' F2 B2 R2
D B' R U' B2 R2 F2
D B' R U' B2 F2 R2
R B' L2 U' R' D B
R B' L2 U' R' D' B
R B' L2 U' R' D2 B
R B' L2 U' R' B D
R B' L2 U' R' B D'
R B' L2 U' R' B D2
D2 B' R2 U R B2 L
R B' L2 F U' R' B
R B' L2 F' U' R' B
R B' L2 F2 U' R' B
R B' R L2 U' R2 B
D B' R' F2 B2 D L2
U B' R' L2 F' U' B2
R2 B' R2 L2 U' B R
D B' R' B2 F2 D L2
D B' R2 U' R F2 B2
D B' R2 U' R B2 F2
D B' R2 U' B2 R F2
B' F' L2 R U' R2 B2
B' F' L2 R U' B2 R2
U B' R' F' L2 U' B2
B' F' L2 R2 U' R B2
B' F' L2 R2 U' B2 R
B' F' L2 U' R B2 R2
B' F' L2 U' R' B2 D
B' F' L2 U' R' B2 D'
B' F' L2 U' R' B2 D2
B' F' L2 U' R2 B2 R
F' B' L2 R U' R2 B2
F' B' L2 R U' B2 R2
B' F' L2 D' R2 U' R
D' B' U' R B2 R2 F'
F' B' L2 R2 U' R B2
F' B' L2 R2 U' B2 R
B' F' L2 F U' R' B2
F' B' L2 U' R B2 R2
F' B' L2 U' R' B2 D
F' B' L2 U' R' B2 D'
F' B' L2 U' R' B2 D2
F' B' L2 U' R2 B2 R
B' F' L2 F' U' R' B2
F2 B' L2 R U' R2 B2
F2 B' L2 R U' B2 R2
B' F' L2 F2 U' R' B2
F2 B' L2 R2 U' R B2
F2 B' L2 R2 U' B2 R
F' B' L2 D' R2 U' R
F2 B' L2 U' R B2 R2
D B' U R' F2 L' B2
F2 B' L2 U' R' B2 D
F2 B' L2 U' R' B2 D'
F2 B' L2 U' R' B2 D2
D B' U R' F2 B2 L'
F2 B' L2 U' R2 B2 R
D B' U R' B2 F2 L'
F' B' L2 F U' R' B2
F' B' L2 F' U' R' B2
B' F' R L2 U' R2 B2
B' F' R L2 U' B2 R2
F' B' L2 F2 U' R' B2
F2 B' L2 D' R2 U' R
F2 B' L2 F U' R' B2
D2 B' U2 R2 U R B2
D2 B' U2 R2 U B2 R
F2 B' L2 F' U' R' B2
F2 B' L2 F2 U' R' B2
F' B' R L2 U' R2 B2
F' B' R L2 U' B2 R2
F2 B' R L2 U' R2 B2
F2 B' R L2 U' B2 R2
D B' U' R F2 R2 B2
D B' U' R F2 B2 R2
D B' U' R B2 R2 F2
D B' U' R B2 F2 R2
D B' U' R' F2 B2 D
D B' U' R' F2 B2 D'
D B' U' R' F2 B2 D2
D B' U' R' B2 F2 D
D B' U' R' B2 F2 D'
D B' U' R' B2 F2 D2
D B' U' R2 B2 R F2
F B' L2 R U' R2 B2
F B' L2 R U' B2 R2
F B' L2 R2 U' R B2
F B' L2 R2 U' B2 R
D B' U' F R' F B2
D B' U' F R' B2 F
F B' L2 U' R B2 R2
F B' L2 U' R' B2 D
F B' L2 U' R' B2 D'
F B' L2 U' R' B2 D2
F B' L2 U' R2 B2 R
D B' U' F2 R B2 R2
D B' U' F2 R' B2 D
D B' U' F2 R' B2 D'
D B' U' F2 R' B2 D2
D B' U' F2 R2 B2 R
L2 B' U2 F U R' B2
F B' L2 D' R2 U' R
F B' L2 F U' R' B2
F B' L2 F' U' R' B2
F B' L2 F2 U' R' B2
B' F' R' B2 D L2 F2
B' F' R' B2 D F2 L2
B F' R D L2 F2 R
B' F' R2 L2 U' R B2
B' F' R2 L2 U' B2 R
R B' U' R' D F2 B
R B' U' R' D B F2
R B' U' R' B D F2
F B' R L2 U' R2 B2
F B' R L2 U' B2 R2
F' B' R' B2 D L2 F2
F' B' R' B2 D F2 L2
D2 B' D' R2 U' R F2
F' B' R2 L2 U' R B2
F' B' R2 L2 U' B2 R
F2 B' R' B2 D L2 F2
F2 B' R' B2 D F2 L2
F2 B' R2 L2 U' R B2
F2 B' R2 L2 U' B2 R
B F' R' D L2 F2 R
D B' D' L2 R2 U' R
B F' R2 D L2 F2 R
D B' D' R2 L2 U' R
F B' R' B2 D L2 F2
F B' R' B2 D F2 L2
F B' R2 L2 U' R B2
F B' R2 L2 U' B2 R
B' F' U' R' B2 D F2
F' B' U' R' B2 D F2
F2 B' U' R' B2 D F2
U2 B' F L2 U' R B2
U2 B' F L2 U' B2 R
B F' U B2 L2 U' R'
U2 B' F' L2 U' B2 R'
D B' F U' R' F B2
D B' F U' R' B2 F
D B' F U' F R' B2
F B' U' R' B2 D F2
D B' F' U' F' R' B2
R B' F L2 U' R' B
R2 B' F2 L2 U' R' B'
D B' F2 R' B2 D L2
B F' D L2 R F2 R
B F' D L2 R' F2 R
B F' D L2 R2 F2 R
B F' D L2 F2 R D
B F' D L2 F2 R D'
B F' D L2 F2 R D2
B F' D L2 F2 D R
B F' D L2 F2 D' R
B F' D L2 F2 D2 R
B F' D R L2 F2 R
B F' D R' L2 F2 R
R B' F' L2 U' R' B
B F' D R2 L2 F2 R
R B' F2 L2 U' R' B
B' F2 L2 R U' R2 B2
B' F2 L2 R U' B2 R2
B' F2 L2 R2 U' R B2
B' F2 L2 R2 U' B2 R
B' F2 L2 U' R B2 R2
B' F2 L2 U' R' B2 D
B' F2 L2 U' R' B2 D'
B' F2 L2 U' R' B2 D2
B' F2 L2 U' R2 B2 R
B' F2 L2 D' R2 U' R
B' F2 L2 F U' R' B2
B' F2 L2 F' U' R' B2
B' F2 L2 F2 U' R' B2
B' F2 R L2 U' R2 B2
B' F2 R L2 U' B2 R2
R B2 L2 B U' R' B
B' F2 R' B2 D L2 F2
B' F2 R' B2 D F2 L2
B' F2 R2 L2 U' R B2
B F2 R D L2 F2 R
B' F2 R2 L2 U' B2 R
D' B2 U' B U' R' B2
B F2 R' D L2 F2 R
B F2 R2 D L2 F2 R
B' F2 U' R' B2 D F2
B F2 U B2 L2 U' R'
B F2 D L2 R F2 R
