D' L R' F2 L2 B'
D' L' R F2 B R2
D' L' R B R2 F2
D' L' R B F2 R2
D L' R B R2 F'
U2 L' D' R' F2 B'
U2 L' D' R' B' F2
U2 L' D' F2 R' B'
D' L' F2 R B R2
R2 U L' R' B R2
R2 U R' L' B R2
R2 U R' B L' R2
R2 U R' B R2 L'
D' R L' F2 B R2
D' R L' B R2 F2
D' R L' B F2 R2
D R L' B R2 F'
L' U' R2 U R B
D' R B L' R2 F2
D' R B L' F2 R2
D' R B R2 L' F2
D R B L' R2 F'
D R B R2 L' F'
D' R' L F2 L2 B'
U' R2 U L' R B
U' R2 U R L' B
U' R2 U R B L'
U R2 U L' R B'
U R2 U L' B' R
U R2 U R L' B'
L' D R B R2 F'
L' D' R F2 B R2
L' D' R B R2 F2
L' D' R B F2 R2
U2 D' L' R' F2 B'
U2 D' L' R' B' F2
U2 D' L' F2 R' B'
L' D' F2 R B R2
U2 D' R' L' F2 B'
U2 D' R' L' B' F2
D' U2 L' R' F2 B'
D' U2 L' R' B' F2
D' U2 L' F2 R' B'
D' U2 R' L' F2 B'
D' U2 R' L' B' F2
U2 L' F D' F2 R' B'
R2 L2 U L R' B R2
L2 R2 U L R' B R2
L R2 U L2 R' B R2
L2 R2 U R' L B R2
R2 L2 U R' L B R2
L R2 U R' L2 B R2
L R2 U R' B L2 R2
L R2 U R' B R2 L2
D L' F' R B R2 F'
L2 R2 U D2 L R B'
L2 R2 U D2 L B' R
R2 L2 U D2 L R B'
R2 L2 U D2 L B' R
L2 R2 U D2 R L B'
R2 L2 U D2 R L B'
U2 L' F' D' R' F2 B'
U2 L' F' D' R' B' F2
U2 L' F' D' F2 R' B'
D' L' F2 R B R2 D
D' L' F2 R B R2 D'
D' L' F2 R B R2 D2
D' L' F2 R B' R2 B2
D' L' F2 R B2 R2 B'
D' L' F2 R' U2 F' U2
D L' F2 R B R2 F'
D' L' F2 D R B R2
D' L' F2 D' R B R2
D' L' F2 D2 R B R2
D' L' F2 B' R B R'
U2 L' F2 D' R' F2 B'
U2 L' F2 D' R' B' F2
U2 L' F2 D' F2 R' B'
D' L' B' R F2 B R'
D' L' B' R B R' F2
D' L' B' R B F2 R'
D' L' B' F2 R B R'
D L' B2 L U2 L' B'
D2 L2 R U' L B R2
D' L2 R F2 L B R2
L2 R2 D2 U L R B'
L2 R2 D2 U L B' R
L2 R2 D2 U R L B'
R2 L2 D2 U L R B'
R2 L2 D2 U L B' R
R2 L2 D2 U R L B'
D' L2 R' F2 L2 B' L'
U' L2 R2 U L R B
U' L2 R2 U R L B
U2 L2 R2 U L R B'
U2 L2 R2 U L B' R
U2 L2 R2 U R L B'
B2 L2 D' F2 L R B
R2 U L R' B L2 R2
R2 U L R' B R2 L2
B2 L2 D' F2 R L B
R2 U L' R U2 F' U2
R2 U L' R' B R2 D
R2 U L' R' B R2 D'
R2 U L' R' B R2 D2
R2 U L' R' B' R2 B2
R2 U L' R' B2 R2 B'
R2 U L' B R' B R2
R2 U L' B' R' B R2
R2 U L' B2 R' B R2
R2 U L2 D2 L R B'
R2 U L2 D2 L B' R
R2 U L2 D2 R L B'
D' L2 F2 L R B R2
R2 U R L' U2 F' U2
D' L2 F2 R L B R2
R2 U R' L B L2 R2
R2 U R' L B R2 L2
R2 U R' L' B R2 D
R2 U R' L' B R2 D'
R2 U R' L' B R2 D2
R2 U R' L' B' R2 B2
R2 U R' L' B2 R2 B'
R2 U R' B L' R2 D
R2 U R' B L' R2 D'
R2 U R' B L' R2 D2
R2 U R' B R2 L' D
R2 U R' B R2 L' D'
R2 U R' B R2 L' D2
R2 U R' B R2 D L'
R2 U R' B R2 D' L'
R2 U R' B R2 D2 L'
R2 U R' B' L' R2 B2
R2 U R' B' L' B2 R2
R2 U R' B' R2 L' B2
R2 U R' B' R2 B2 L'
R2 U R' B2 R2 B' L'
D L2 B2 L R' F' U2
D L2 B2 R' L F' U2
D L2 B2 R' F' L U2
D' R L F2 L2 B R2
D' R L F2 B L2 R2
D' R L F2 B R2 L2
D' R L B L2 R2 F2
D' R L B L2 F2 R2
D' R L B R2 L2 F2
R2 U D2 L R B' L2
D' R L B R2 F2 L2
D' R L B F2 L2 R2
D' R L B F2 R2 L2
R2 U D2 L B' L2 R
R2 U D2 L B' R L2
R2 U D2 R L B' L2
D R L B L2 R2 F'
D R L B R2 L2 F'
D R L B R2 F' L2
D' R L' F B R2 F
D' R L' F2 B R2 D
D' R L' F2 B R2 D'
D' R L' F2 B R2 D2
D' R L' F2 B' R2 B2
D' R L' F2 B2 R2 B'
D' R L' B R' F2 R'
D' R L' B R2 F2 D
D' R L' B R2 F2 D'
D' R L' B R2 F2 D2
B' R L' B R' D' F2
D' R L' B F R2 F
D' R L' B F2 R2 D
D' R L' B F2 R2 D'
D' R L' B F2 R2 D2
D' R L' B' R2 F2 B2
D' R L' B' R2 B2 F2
D' R L' B' F2 R2 B2
D' R L' B2 R2 F2 B'
D' R L' B2 R2 B' F2
D2 R L2 U' L B R2
D' R L' B2 F2 R2 B'
D R L' F B R2 F'
D R L' F' B R2 F'
D R L' F2 B R2 F'
D R L' B R2 D F'
D R L' B R2 D' F'
D R L' B R2 D2 F'
D R L' B R2 F' D
D R L' B R2 F' D'
D R L' B R2 F' D2
D R L' B F R2 F'
D R L' B F' R2 F'
D R L' B F2 R2 F'
D' R L2 F2 L B R2
D' R U L' F2 B R2
D' R U L' B R2 F2
D' R U L' B F2 R2
D R U L' B R2 F'
D' R U B L' R2 F2
D' R U B L' F2 R2
D' R U B R2 L' F2
D' R U' L' F2 B R2
D' R U' L' B R2 F2
D' R U' L' B F2 R2
D R U B L' R2 F'
D R U B R2 L' F'
D R U' L' B R2 F'
D' R U' B L' R2 F2
D' R U' B L' F2 R2
D' R U' B R2 L' F2
R2 U B L' R' B R2
D' R U2 L' F2 B R2
D' R U2 L' B R2 F2
D' R U2 L' B F2 R2
D R U' B L' R2 F'
D R U' B R2 L' F'
R2 U B R' L' B R2
R2 U B R' B L' R2
R2 U B R' B R2 L'
D R U2 L' B R2 F'
D' R U2 B L' R2 F2
D' R U2 B L' F2 R2
D' R U2 B R2 L' F2
R2 U B' L' R' B R2
D R U2 B L' R2 F'
D R U2 B R2 L' F'
R2 U B' R' L' B R2
R2 U B' R' B L' R2
R2 U B' R' B R2 L'
R2 U B2 L' R' B R2
R2 U B2 R' L' B R2
R2 U B2 R' B L' R2
R2 U B2 R' B R2 L'
L' U' L R2 U R B
D R D2 L' F2 B R
D R D2 L' B F2 R
L' U' L' R2 U R B
D R D2 B L' F2 R
L' U' L2 R2 U R B
D R F B R2 F' L'
D' R F2 B' R2 B2 L
D' R B L R2 F2 L2
D' R B L F2 L2 R2
D' R B L F2 R2 L2
D' R B L' R' F2 R'
D' R B L' R2 F2 D
D' R B L' R2 F2 D'
D' R B L' R2 F2 D2
D' R B L' F R2 F
D' R B L' F2 R2 D
D' R B L' F2 R2 D'
D' R B L' F2 R2 D2
B' R B L' R' D' F2
D' R B L2 R2 F2 L
D' R B L2 F2 L R2
D' R B L2 F2 R2 L
D' R B R' L' F2 R'
B' R B R' L' D' F2
D' R B R2 L F2 L2
D' R B R2 L' F2 D
D' R B R2 L' F2 D'
D' R B R2 L' F2 D2
D' R B R2 L2 F2 L
D2 R B R2 D L' F2
B' R B R' D' L' F2
R2 U' R' U2 L' B R2
R2 U' R' U2 B L' R2
R2 U' R' U2 B R2 L'
D R B L R2 F' L2
L' U' R2 L U R B
D R B L' R2 D F'
D R B L' R2 D' F'
D R B L' R2 D2 F'
D R B L' R2 F' D
D R B L' R2 F' D'
D R B L' R2 F' D2
L' U' R2 L' U R B
D R B L' F R2 F'
D R B L' F' R2 F'
D R B L' F2 R2 F'
D R B L2 R2 F' L
L' U' R2 L2 U R B
L' U' R2 U R D B
L' U' R2 U R D' B
L' U' R2 U R D2 B
L' U' R2 U R B D
L' U' R2 U R B D'
L' U' R2 U R B D2
L' U' R2 U D R B
L' U' R2 U D' R B
L' U' R2 U D2 R B
L' U' R2 U B R B
L' U' R2 U B' R B
L' U' R2 U B2 R B
D R B R2 L F' L2
D R B R2 L' D F'
D R B R2 L' D' F'
D R B R2 L' D2 F'
D R B R2 L' F' D
D R B R2 L' F' D'
D R B R2 L' F' D2
D R B R2 L2 F' L
D R B R2 D L' F'
D R B R2 D' L' F'
D R B R2 D2 L' F'
L' U' R2 D U R B
L' U' R2 D' U R B
L2 U' R2 U L R B
L2 U' R2 U R L B
L' U' R2 D2 U R B
D' R B' L' R2 F2 B2
D' R B' L' R2 B2 F2
D' R B' L' F2 R2 B2
D' R B' L' F2 B2 R2
D' R B' L' B2 R2 F2
D' R B' L' B2 F2 R2
L' U' R2 B L U R
D' R B' R2 L' F2 B2
D' R B' R2 L' B2 F2
D R B F R2 F' L'
R2 U' R2 U2 L' R' B'
R2 U' R2 U2 R' L' B'
D' R B' R2 B2 L' F2
L U' R2 U L2 R B
L U' R2 U R L2 B
L U' R2 U R B L2
D' R B' F2 R2 B2 L
D' R B2 R2 B' L' F2
D R B2 U2 R2 B' L'
D R B2 U2 B' L' R2
D R B2 U2 B' R2 L'
D' R' L F2 L2 D B'
D' R' L F2 L2 D' B'
D' R' L F2 L2 D2 B'
D' R' L F2 L2 B' D
D' R' L F2 L2 B' D'
D' R' L F2 L2 B' D2
D' R' L F2 B L2 B'
D' R' L F2 B' L2 B'
D' R' L F2 B2 L2 B'
D' R' L B F2 L2 B'
D' R' L B' F2 L2 B'
D' R' L B2 F2 L2 B'
D' R' L' U2 F' U2 F'
D' R' L' F D2 F B2
D' R' L' F D2 B2 F
U2 R' L' U' R' U B'
D' R' L' F2 L2 B' L2
D' R' L' F2 U2 F U2
D R' L' U2 F' B2 U2
D R' L' U2 B2 F' U2
D R' L' F D2 F2 B2
D R' L' F D2 B2 F2
D' R' L2 F2 L2 B' L'
R2 U' F2 L' R F' U2
R2 U' F2 R L' F' U2
U2 R' U' R' U L' B'
D2 R' D L F2 L2 B'
D R' D2 L F2 L2 B'
D' R' F2 U2 R F U2
D' R' B L F2 L2 B'
R2 U2 R' U' L' B R2
R2 U2 R' U' B L' R2
R2 U2 R' U' B R2 L'
D' R' B' L F2 L2 B'
D' R' B2 L F2 L2 B'
U2 R' B' D L' F B'
U2 R' B' D L' B' F
L' U2 D B2 L F U2
U2 R' B2 L' D F2 B'
U2 R' B2 L' D B' F2
U2 R' B2 L' B' D F2
L' U2 D' R' F2 L' B'
U' R2 L U L2 R B
U' R2 L U R L2 B
U' R2 L U R B L2
U2 R2 L U L2 R B'
U2 R2 L U L2 B' R
U2 R2 L U R L2 B'
U' R2 L2 U L R B
U' R2 L2 U R L B
U2 R2 L2 U L R B'
U2 R2 L2 U L B' R
U2 R2 L2 U R L B'
U' R2 U L R B L2
B' R2 U L' R' B R'
U' R2 U L' R D B
U' R2 U L' R D' B
U' R2 U L' R D2 B
U' R2 U L' R B D
U' R2 U L' R B D'
U' R2 U L' R B D2
U' R2 U L' D R B
U' R2 U L' D' R B
U' R2 U L' D2 R B
B' R2 U L' B R' B
U' R2 U L' B R B
U' R2 U L' B' R B
U' R2 U L' B2 R B
U' R2 U R L B L2
U' R2 U R L' D B
U' R2 U R L' D' B
U' R2 U R L' D2 B
U' R2 U R L' B D
U' R2 U R L' B D'
U' R2 U R L' B D2
U' R2 U R D L' B
U' R2 U R D B L'
U' R2 U R D' L' B
U' R2 U R D' B L'
U' R2 U R D2 L' B
U' R2 U R D2 B L'
U' R2 U R B L' D
U' R2 U R B L' D'
U' R2 U R B L' D2
U' R2 U R B D L'
U' R2 U R B D' L'
U' R2 U R B D2 L'
U' R2 U R B' L' B2
B' R2 U R' L' B R'
B' R2 U R' B L' R'
B' R2 U R' B R' L'
U' R2 U D L' R B
U' R2 U D R L' B
U' R2 U D R B L'
U' R2 U D' L' R B
U' R2 U D' R L' B
U' R2 U D' R B L'
U' R2 U D2 L' R B
U' R2 U D2 R L' B
U' R2 U D2 R B L'
B' R2 U B L' R' B
B' R2 U B R' L' B
B' R2 U B R' B L'
U' R2 U B L' R B
U' R2 U B R L' B
U' R2 U B R B L'
U' R2 U B' L' R B
U' R2 U B' R L' B
U' R2 U B' R B L'
U' R2 U B2 L' R B
U' R2 U B2 R L' B
U' R2 U B2 R B L'
U R2 U L' R D B'
U R2 U L' R D' B'
U R2 U L' R D2 B'
U R2 U L' R B' D
U R2 U L' R B' D'
U R2 U L' R B' D2
U R2 U L' R' B' R2
B2 R2 U B2 L' R' B
B2 R2 U B2 R' L' B
U R2 U L' D R B'
B2 R2 U B2 R' B L'
U R2 U L' D B' R
U R2 U L' D' R B'
U R2 U L' D' B' R
U R2 U L' D2 R B'
U R2 U L' D2 B' R
U R2 U L' B R B2
U R2 U L' B' R D
U R2 U L' B' R D'
U R2 U L' B' R D2
U R2 U L' B' D R
U R2 U L' B' D' R
U R2 U L' B' D2 R
U R2 U R L' D B'
U R2 U R L' D' B'
U R2 U R L' D2 B'
U R2 U R L' B' D
U R2 U R L' B' D'
U R2 U R L' B' D2
U R2 U R D L' B'
U R2 U R D' L' B'
U R2 U R D2 L' B'
U R2 U R B L' B'
U R2 U R B' L' B'
U R2 U R B2 L' B'
U R2 U R' L' B' R2
U R2 U D L' R B'
U R2 U D L' B' R
U R2 U D R L' B'
U R2 U D' L' R B'
U R2 U D' L' B' R
U R2 U D' R L' B'
F2 R2 U' R' U2 B R2
U R2 U D2 L' R B'
U R2 U D2 L' B' R
U R2 U D2 R L' B'
U R2 U B L' R B'
U R2 U B L' B' R
U R2 U B R L' B'
U R2 U B' L' R B'
U R2 U B' L' B' R
U R2 U B' R L' B'
U R2 U B2 L' R B'
U R2 U B2 L' B' R
U R2 U B2 R L' B'
U' R2 D U L' R B
U' R2 D U R L' B
U' R2 D U R B L'
U' R2 D' U L' R B
U' R2 D' U R L' B
U' R2 D' U R B L'
U R2 D U L' R B'
U R2 D U L' B' R
U R2 D U R L' B'
L2 D L R B R2 F'
U' R2 D2 U L' R B
U' R2 D2 U R L' B
U' R2 D2 U R B L'
U R2 D' U L' R B'
U R2 D' U L' B' R
U R2 D' U R L' B'
U R2 D2 U L' R B'
U R2 D2 U L' B' R
U R2 D2 U R L' B'
L2 D R L B R2 F'
L' D R F B R2 F'
L' D R F' B R2 F'
L' D R F2 B R2 F'
L' D R B R2 D F'
L' D R B R2 D' F'
L' D R B R2 D2 F'
L' D R B R2 F' D
L' D R B R2 F' D'
L' D R B R2 F' D2
L' D R B F R2 F'
L' D R B F' R2 F'
L' D R B F2 R2 F'
L' D R' U2 F' B2 U2
L' D R' U2 B2 F' U2
U' R2 B L U L2 R
U' R2 B L U R L2
L' D R' F D2 F2 B2
L' D R' F D2 B2 F2
B' R2 B U L' R' B
B' R2 B U R' L' B
B' R2 B U R' B L'
U R2 B U L' R B'
U R2 B U L' B' R
U R2 B U R L' B'
B R2 B' U L' R' B
B R2 B' U R' L' B
B R2 B' U R' B L'
U R2 B' U L' R B'
U R2 B' U L' B' R
B2 R2 B2 U L' R' B
U R2 B' U R L' B'
B2 R2 B2 U R' L' B
B2 R2 B2 U R' B L'
U R2 B2 U L' R B'
U R2 B2 U L' B' R
U R2 B2 U R L' B'
L' D U2 B2 L F U2
L' D F R B R2 F'
U2 D L' R' D2 F2 B'
U2 D L' R' D2 B' F2
D' U L' F2 D R' B
U2 D L' D2 R' F2 B'
U2 D L' D2 R' B' F2
U2 D L' D2 F2 R' B'
L' D F' R B R2 F'
L' D F2 R B R2 F'
U2 D R' L' D2 F2 B'
U2 D R' L' D2 B' F2
U2 D R' D2 L' F2 B'
U2 D R' D2 L' B' F2
R2 D B' L U L2 R
R2 D B' L U R L2
L' D B2 L U2 L' B'
L2 D B2 L R' F' U2
L2 D B2 R' L F' U2
L2 D B2 R' F' L U2
R2 D B2 U L' R B
R2 D B2 U R L' B
R2 D B2 U R B L'
L2 D' L R F2 B R2
L2 D' L R B R2 F2
L2 D' L R B F2 R2
R D B2 R U B' L'
L2 D' L F2 R B R2
L2 D' L' R' F2 L2 B'
L' D' L2 R' F2 L2 B'
L2 D' R L F2 B R2
L2 D' R L B R2 F2
L2 D' R L B F2 R2
L' D' R F B R2 F
L' D' R F2 B R2 D
L' D' R F2 B R2 D'
L' D' R F2 B R2 D2
L' D' R F2 B' R2 B2
L' D' R F2 B2 R2 B'
L' D' R B R' F2 R'
L' D' R B R2 F2 D
L' D' R B R2 F2 D'
L' D' R B R2 F2 D2
L' D' R B F R2 F
L' D' R B F2 R2 D
L' D' R B F2 R2 D'
L' D' R B F2 R2 D2
L' D' R B' R2 F2 B2
L' D' R B' R2 B2 F2
L' D' R B' F2 R2 B2
L' D' R B2 R2 F2 B'
L' D' R B2 R2 B' F2
L' D' R B2 F2 R2 B'
L' D' R' L2 F2 L2 B'
L2 D' R F2 L B R2
L' D' R' U2 F' U2 F'
U2 D B2 L U2 L2 B'
U2 D B2 L F U2 L2
L' D' R' F D2 F B2
L' D' R' F D2 B2 F
L2 D' R' L' F2 L2 B'
L' D' R' F2 L2 B' L2
L' D' R' F2 U2 F U2
L2 D' R' F2 L2 B' L'
L D' R' F2 D L2 B'
U2 D' L' R F2 R2 B'
U2 D' L' R F2 B' R2
U2 D' L' R B' R2 F2
U2 D' L' R B' F2 R2
U2 D' L' R' F2 D B'
U2 D' L' R' F2 D' B'
U2 D' L' R' F2 D2 B'
U2 D' L' R' F2 B' D
U2 D' L' R' F2 B' D'
U2 D' L' R' F2 B' D2
U2 D' L' R' B' F2 D
U2 D' L' R' B' F2 D'
U2 D' L' R' B' F2 D2
U2 D' L' R2 B' R F2
U2 D' L' F R' F B'
U2 D' L' F R' B' F
U2 D' L' F2 R B' R2
U2 D' L' F2 R' D B'
U2 D' L' F2 R' D' B'
U2 D' L' F2 R' D2 B'
U2 D' L' F2 R' B' D
U2 D' L' F2 R' B' D'
U2 D' L' F2 R' B' D2
U2 D' L' F2 R2 B' R
U2 D' L' F2 D R' B'
U2 D' L' F2 D' R' B'
U2 D' L' F2 D2 R' B'
U2 D' L2 R' F2 L B'
L' D' U2 R' F2 L' B'
U D' L' F2 D R' B
U2 D' L2 F2 L R' B'
U2 D' L2 F2 R' L B'
U2 D' R L' F2 R2 B'
U2 D' R L' F2 B' R2
U2 D' R L' B' R2 F2
U2 D' R L' B' F2 R2
L' D' F R F B R2
L' D' F R B R2 F
L' D' F R B F R2
L' D' F R' F D2 B2
U2 D' R' L' F2 D B'
U2 D' R' L' F2 D' B'
U2 D' R' L' F2 D2 B'
U2 D' R' L' F2 B' D
U2 D' R' L' F2 B' D'
U2 D' R' L' F2 B' D2
U2 D' R' L' B' F2 D
U2 D' R' L' B' F2 D'
U2 D' R' L' B' F2 D2
U2 D' R' L2 F2 L B'
U2 D' R' B L' F2 B'
U2 D' R' B L' B' F2
U2 D' R' B' L' F2 B'
U2 D' R' B' L' B' F2
U2 D' R' B2 L' F2 B'
U2 D' R' B2 L' B' F2
U2 D' R2 L' B' R F2
L' D' F2 R B R2 D
L' D' F2 R B R2 D'
L' D' F2 R B R2 D2
L' D' F2 R B' R2 B2
L' D' F2 R B2 R2 B'
L' D' F2 R' U2 F' U2
L2 D' F2 L R B R2
L' D' F2 D R B R2
L' D' F2 D' R B R2
L2 D' F2 R L B R2
L' D' F2 D2 R B R2
L' D' F2 B' R B R'
L' D' B' R F2 B R'
L' D' B' R B R' F2
L' D' B' R B F2 R'
L' D' B' F2 R B R'
U2 D' B L' F2 B' R'
U2 D' B L' B' R' F2
U2 D' B L' B' F2 R'
R2 D2 L U R B' L2
R2 D2 L U B' L2 R
R2 D2 L U B' R L2
D' U2 L' R F2 R2 B'
D' U2 L' R F2 B' R2
D' U2 L' R B' R2 F2
D' U2 L' R B' F2 R2
D' U2 L' R' F2 D B'
D' U2 L' R' F2 D' B'
D' U2 L' R' F2 D2 B'
D' U2 L' R' F2 B' D
D' U2 L' R' F2 B' D'
D' U2 L' R' F2 B' D2
D' U2 L' R' B' F2 D
D' U2 L' R' B' F2 D'
D' U2 L' R' B' F2 D2
D' U2 L' R2 B' R F2
D' U2 L' F R' F B'
D' U2 L' F R' B' F
L' D2 R B R2 D F2
D' U2 L' F2 R B' R2
D' U2 L' F2 R' D B'
D' U2 L' F2 R' D' B'
D' U2 L' F2 R' D2 B'
D' U2 L' F2 R' B' D
D' U2 L' F2 R' B' D'
D' U2 L' F2 R' B' D2
D' U2 L' F2 R2 B' R
D' U2 L' F2 D R' B'
D' U2 L' F2 D' R' B'
D' U2 L' F2 D2 R' B'
D' U2 L2 R' F2 L B'
D U2 L' R' D2 F2 B'
D U2 L' R' D2 B' F2
D2 U2 L2 U' L R' B'
D2 U2 L2 U' R' L B'
D' U2 L2 F2 L R' B'
D' U2 L2 F2 R' L B'
D U2 L' D2 R' F2 B'
D U2 L' D2 R' B' F2
D U2 L' D2 F2 R' B'
U2 D2 L2 U' L R' B'
U2 D2 L2 U' R' L B'
D' U2 R L' F2 R2 B'
D' U2 R L' F2 B' R2
D' U2 R L' B' R2 F2
D' U2 R L' B' F2 R2
D' U2 R' L' F2 D B'
D' U2 R' L' F2 D' B'
D' U2 R' L' F2 D2 B'
D' U2 R' L' F2 B' D
D' U2 R' L' F2 B' D'
D' U2 R' L' F2 B' D2
D' U2 R' L' B' F2 D
D' U2 R' L' B' F2 D'
D' U2 R' L' B' F2 D2
D' U2 R' L2 F2 L B'
D2 U2 R' D L' F2 B'
D2 U2 R' D L' B' F2
R2 D2 U L R B' L2
R2 D2 U L B' L2 R
R2 D2 U L B' R L2
D' U2 R' B L' F2 B'
D' U2 R' B L' B' F2
R2 D2 U R L B' L2
D' U2 R' B' L' F2 B'
D' U2 R' B' L' B' F2
D' U2 R' B2 L' F2 B'
D' U2 R' B2 L' B' F2
D' U2 R2 L' B' R F2
U2 D2 R' D L' F2 B'
U2 D2 R' D L' B' F2
D U2 R' L' D2 F2 B'
D U2 R' L' D2 B' F2
D U2 R' D2 L' F2 B'
D U2 R' D2 L' B' F2
D' U2 B L' F2 B' R'
D' U2 B L' B' R' F2
D' U2 B L' B' F2 R'
D U2 B2 L U2 L2 B'
D U2 B2 L F U2 L2
F2 U2 D' F2 L' R' B'
F2 U2 D' F2 R' L' B'
D F R B R2 F' L'
L' F U' R2 U R B
L' F D R B R2 F'
L' F D' R F2 B R2
L' F D' R B R2 F2
L' F D' R B F2 R2
L' F D' F2 R B R2
F2 D R U2 B R2 F'
F2 D R B2 U2 R2 B'
F2 D R B2 U2 B' R2
F2 D R' D2 F2 L2 B'
