L2 U R F2 D L2
D' R B2 D F2 L'
L2 U2 B2 U' R F2
L2 D R2 U L2 R'
L2 D R2 U R' L2
B2 U' R F2 D' B2
B2 U2 L2 U R F2
F2 D L2 D2 B2 R'
R F D F L2 B'
B2 D' L2 U' R B2
B2 D' L2 U' B2 R
R2 F2 D' R' B2 L
R F2 D L2 D2 B2
R F2 D' B2 D2 L2
D' B2 R D F2 L'
L B2 R' U' R2 F2
L B2 R' U' F2 R2
B2 R F2 D' B2 D L2
U2 R F2 D' B2 D2 L2
U R F2 D L2 D2 B2
U R F2 D' B2 D2 L2
D' R B D F2 L' B
D' R B D F2 B L'
D' R B D B F2 L'
D' R B' D F2 B' L'
D' R B' D B' F2 L'
D' R B2 D L F2 L'
D' R B2 D L' F2 L'
D' R B2 D L2 F2 L'
D' R B2 D F2 L' D
D' R B2 D F2 L' D'
D' R B2 D F2 L' D2
D' R B2 D F2 D L'
D' R B2 D F2 D' L'
D' R B2 D F2 D2 L'
D' R B2 F2 D L' F2
D' R' L2 U' B2 L R2
D' R' L2 U' B2 R2 L
B' R' L2 F U R2 F
B' R' L2 F U F R2
B2 R' U' R2 F2 D' B2
R2 U' F2 D' R' B2 L
B2 R' U' F2 R2 D' B2
B2 R' U2 L2 U R2 F2
B2 R' U2 L2 U F2 R2
F2 R' D L2 D2 B2 R'
B2 R' D' L2 F2 U' B2
L U' B2 R' U' R2 F2
L U' B2 R' U' F2 R2
B2 R' D' F2 L2 U' B2
L2 U2 L B2 U' R F2
L2 U2 L' B2 U' R F2
L2 U2 L2 B2 U' R F2
D' R' B2 R2 D L F2
D' R' B2 R2 D F2 L
B2 R2 L2 U R' F2 L'
B' R2 L2 F U R' F
B' R2 L2 F U F R'
B R2 L2 F' U F' R'
D R2 U L2 R' D2 B2
D R2 U L2 D2 R' B2
D R2 U R' L2 D2 B2
D' R2 U' L2 U' R' B2
D R2 U D2 R' B2 L
B2 R2 U' R' F2 D' B2
R2 U2 F2 D' R' B2 L
B2 R2 U' F2 R' D' B2
B2 R2 U' F2 D' R' B2
D' R2 U2 R' B2 D F2
B2 R2 U2 L2 U R' F2
B2 R2 U2 L2 U F2 R'
D R2 U' F2 U2 L2 R'
D R2 U' F2 U2 R' L2
F2 R2 D L2 D2 B2 R'
L2 U2 B2 L U' R F2
L2 U2 B2 L' U' R F2
L2 U2 B2 L2 U' R F2
B2 R2 D' L2 U' R' B2
L2 U2 B2 U' R F2 D
L2 U2 B2 U' R F2 D'
L2 U2 B2 U' R F2 D2
L2 U2 B2 U' R' F2 R2
L2 U2 B2 U' R2 F2 R'
L2 U2 B2 D' L2 U' R
L U2 B2 R' U' R2 F2
L U2 B2 R' U' F2 R2
L' D L' R2 U L' R'
L' D L' R2 U R' L'
L D L R2 U L R'
L D L R2 U R' L
D R2 D2 U R' B2 L
D R2 F U L2 R' B'
D R2 F U R' L2 B'
L2 D L2 D' R F2 B2
L2 D L2 D' R B2 F2
L2 D L2 D' B2 R F2
B R2 F' L2 U F' R'
R D L2 D' F2 D' B2
R D L2 D2 B2 D F2
U' R2 F2 D' R' B2 L
U2 R2 F2 D' R' B2 L
L' D R2 L' U L' R'
L' D R2 L' U R' L'
U R2 F2 D' R' B2 L
L2 D R2 U L2 R' D
L2 D R2 U L2 R' D'
L2 D R2 U L2 R' D2
L2 D R2 U L2 D R'
L2 D R2 U L2 D' R'
L2 D R2 U L2 D2 R'
L2 D R2 U R' L2 D
L2 D R2 U R' L2 D'
L2 D R2 U R' L2 D2
L2 D R2 D F2 U R'
L2 D R2 F U L2 R'
L2 D R2 F U R' L2
L D R2 L U L R'
L D R2 L U R' L
L2 D R2 F' U L2 R'
L2 D R2 F' U R' L2
L2 D R2 F2 U L2 R'
L2 D R2 F2 U R' L2
L2 D U L2 D' R F2
R D F L2 D' F2 B'
R D F L2 D' B' F2
R D F L2 B' D' F2
D' U R B2 D F2 L'
B2 U R F2 D' B2 L
L2 D B R2 U L2 R'
L2 D B R2 U R' L2
L2 D B' R2 U L2 R'
L2 D B' R2 U R' L2
L2 D B2 R2 U L2 R'
L2 D B2 R2 U R' L2
R2 D' L2 U' R' B2 L
D' U B2 R D F2 L'
R2 D' R' B2 D L F2
R2 D' R' B2 D F2 L
L2 D' U R D F2 L'
D' U' R B2 D F2 L'
U' D' R B2 D F2 L'
U2 D' R B2 D F2 L'
B2 U' L2 U L2 R F2
B2 U' L2 U R L2 F2
B2 U' L2 U R F2 L2
F2 U' L2 U2 B2 U' R'
U D' R B2 D F2 L'
B2 U' R U' L2 U F2
B2 U' R D' B2 D F2
B2 U' R F D' F B2
B2 U' R F D' B2 F
B2 U' R F' D' F' B2
B2 U' R F' D' B2 F'
B2 U' R F2 U' L2 U
B2 U' R F2 D' B2 D
B2 U' R F2 D' B2 D'
B2 U' R F2 D' B2 D2
B2 U' R F2 B D' B2
B2 U' R F2 B' D' B2
B2 U' R F2 B2 D' B2
B2 U' R B F2 D' B2
B2 U' R B' F2 D' B2
B2 U' R B2 F2 D' B2
B2 U' R' F2 R2 D' B2
B2 U' R2 F2 R' D' B2
B2 U' R2 F2 D' R' B2
B2 U' D' R B2 D F2
B2 U' D' B2 R D F2
B2 U' D' B2 D R F2
R D' B2 D F2 D L2
D' U' B2 R D F2 L'
U' D' B2 R D F2 L'
R D' B2 D2 L2 D' F2
U2 D' B2 R D F2 L'
U D' B2 R D F2 L'
B2 U' B R F2 D' B2
B2 U' B' R F2 D' B2
D' U2 R B2 D F2 L'
B2 U' B2 R F2 D' B2
B2 U2 L2 R' U R2 F2
B2 U2 L2 R' U F2 R2
B2 U2 L2 R2 U R' F2
B2 U2 L2 R2 U F2 R'
B2 U2 L2 U R F2 D
B2 U2 L2 U R F2 D'
B2 U2 L2 U R F2 D2
B2 U2 L2 U R' F2 R2
B2 U2 L2 U R2 F2 R'
B2 U2 L2 D R2 U R'
B2 U2 L2 B U R F2
B2 U2 L2 B' U R F2
B2 U2 L2 B2 U R F2
B2 U2 R F2 D' L2 B2
B2 U2 R F2 D' B2 L2
L2 D2 F2 U D2 F2 R
L2 D2 F2 U' L' B2 U2
L2 D2 F2 U' B2 L' U2
B2 U2 R' L2 U R2 F2
B2 U2 R' L2 U F2 R2
L2 D2 F2 D2 U F2 R
B2 U2 R2 L2 U R' F2
B2 U2 R2 L2 U F2 R'
D' U2 B2 R D F2 L'
F2 U2 D L' F2 R U2
F2 U2 D F2 U2 L2 R
F2 U2 D F2 U2 R L2
F2 U2 D' L' R2 U2 B2
F2 U2 D' R2 L' U2 B2
B2 U2 F2 D' L2 B2 R'
B2 U2 B L2 U R F2
R' F R2 D F L2 B'
R2 F R' D F L2 B'
B2 U2 B' L2 U R F2
B2 U2 B2 L2 U R F2
F2 D L D2 L R2 B2
F2 D L D2 L B2 R2
F2 D L D2 R2 L B2
F2 D L' D2 L' B2 R'
F2 D L' F2 R U2 F2
F2 D L' F2 U2 F2 L'
F2 D L2 R D2 B2 R'
F2 D L2 R' D2 B2 R'
F2 D L2 R2 D2 B2 R'
F2 D L2 U2 L F2 U2
F2 D L2 U2 F2 L U2
R2 F D R' F L2 B'
F2 D L2 D2 R B2 R'
F2 D L2 D2 R' B2 R'
F2 D L2 D2 R2 B2 R'
F2 D L2 D2 B2 R' D
F2 D L2 D2 B2 R' D'
F2 D L2 D2 B2 R' D2
F2 D L2 D2 B2 D R'
F2 D L2 D2 B2 D' R'
F2 D L2 D2 B2 D2 R'
R2 F D F L2 R' B'
R2 F D F R' L2 B'
F2 D L2 B2 R' D2 B2
F2 D L2 B2 D2 R' B2
F2 D R L2 D2 B2 R'
R2 F D' R' F B2 L
R2 F D' R' B2 F L
R F D F L2 D B'
R F D F L2 D' B'
R F D F L2 D2 B'
R F D F L2 B' D
R F D F L2 B' D'
R F D F L2 B' D2
R2 F D' F R' B2 L
R F D F B L2 B'
R F D F B' L2 B'
R F D F B2 L2 B'
R F D B F L2 B'
R F D B' F L2 B'
R F D B2 F L2 B'
F2 D R' L2 D2 B2 R'
R F D' F B2 D2 L2
R F D' B2 D2 F L2
R F D' B2 F D2 L2
F2 D R2 L2 D2 B2 R'
F2 D U2 L' F2 R U2
F2 D U2 F2 U2 L2 R
F2 D U2 F2 U2 R L2
F' D F L2 R F2 B'
F' D F L2 R B' F2
F' D F L2 B' R F2
F' D F R L2 F2 B'
F' D F R L2 B' F2
F2 D F2 U2 L2 R F2
F2 D F2 U2 R L2 F2
F2 D F2 U2 R F2 L2
F2 D B L2 D2 B2 R'
F2 D B' L2 D2 B2 R'
F2 D B2 L2 D2 B2 R'
F2 D' L B2 D2 L2 R2
F2 D' L B2 D2 R2 L2
B2 D' L2 R' U' R2 B2
B2 D' L2 R' U' B2 R2
B2 D' L2 R2 U' R' B2
F2 D' L2 R' B2 L R'
F2 D' L2 R' B2 R' L
B2 D' L2 U' R B2 D
B2 D' L2 U' R B2 D'
B2 D' L2 U' R B2 D2
B2 D' L2 U' R' B2 R2
B2 D' L2 U' B' R B'
B2 D' L2 U' B2 R D
B2 D' L2 U' B2 R D'
B2 D' L2 U' B2 R D2
B2 D' L2 U' B2 D R
B2 D' L2 U' B2 D' R
B2 D' L2 U' B2 D2 R
B2 D' L2 D' R2 U' R'
F2 D' L2 B2 D2 L2 R'
F2 D' L2 B2 D2 R' L2
R F' D L2 D2 F' B2
R F' D L2 D2 B2 F'
B D' L2 B U' B R
R2 F' D' F' R' B2 L
R F' D F L2 F2 B'
R F' D F L2 B' F2
B2 D' R B2 D L2 F2
B2 D' R B2 D F2 L2
B2 D' R' L2 U' R2 B2
B2 D' R' L2 U' B2 R2
F2 D' R' L2 B2 L R'
F2 D' R' L2 B2 R' L
R F' D' F' B2 D2 L2
F2 D' R' B2 L D2 R2
B2 D' R2 L2 U' R' B2
R F' D' B2 D2 L2 F'
R F' D' B2 D2 F' L2
R F' D' B2 F' D2 L2
B2 D' U' R B2 D F2
B2 D' U' B2 R D F2
B2 D' U' B2 D R F2
F2 D' U2 L' R2 U2 B2
F2 D' U2 R2 L' U2 B2
F' D' F R F2 L' B2
F' D' F R F2 B2 L'
F' D' F R B2 F2 L'
R F2 L U B2 R' U'
D F2 L' U R2 U L'
F' D' F B2 R F2 L'
D F2 L' U2 L' D' F2
D F2 L' U2 D' L' F2
D F2 L' D B2 U2 L'
D F2 L' D' U2 L' F2
B2 D' F2 L2 U' B2 R'
F2 D' F2 R F2 L' B2
F2 D' F2 R F2 B2 L'
F2 D' F2 R B2 F2 L'
R' F2 R' D' R' B2 L
L' F2 R' D L2 B2 R'
R F2 L2 U B2 U' B2
R F2 L2 D L2 D' B2
F2 D' F2 B2 R F2 L'
R' F2 R2 D L2 D2 B2
R' F2 R2 D' B2 D2 L2
R2 F2 R' D L2 D2 B2
R2 F2 R' D' B2 D2 L2
R F2 R D' R' B2 L
B D' B L2 U' B R
F2 D' B2 L D2 L2 R2
F2 D' B2 L D2 R2 L2
B2 D' B2 R D L2 F2
B2 D' B2 R D F2 L2
B2 D' B2 D L2 R F2
F' D' B2 F R F2 L'
B2 D' B2 D R L2 F2
B2 D' B2 D R F2 L2
F2 D' B2 U2 L' R2 U2
F2 D' B2 U2 R2 L' U2
F2 D' B2 F2 R F2 L'
U' F2 D L2 D2 B2 R'
R F2 U B2 U' D' B2
R F2 U B2 U2 L2 U
R F2 U B2 D' U' B2
R F2 U B2 D2 R2 U'
R F2 U' L2 U D L2
R F2 U' L2 U2 B2 U'
R F2 U' L2 D U L2
R F2 U' L2 D2 F2 U
L2 F2 D L2 D' B2 R'
U2 F2 D L2 D2 B2 R'
R2 F2 D L2 R' D2 B2
R2 F2 D L2 D2 R' B2
R2 F2 D R' L2 D2 B2
R F2 U2 D F2 U2 L2
R F2 U2 D' R2 U2 B2
U F2 D L2 D2 B2 R'
R2 F2 D' L R' B2 L
R2 F2 D' L' R' B2 L
R2 F2 D' L2 R' B2 L
R F2 D L D2 L B2
R2 F2 D' R' L B2 L
R2 F2 D' R' L' B2 L
R2 F2 D' R' L2 B2 L
R F2 D L' D2 L' B2
R F2 D L' D2 B2 L'
R2 F2 D' R' B2 L D
R2 F2 D' R' B2 L D'
R2 F2 D' R' B2 L D2
R2 F2 D' R' B2 D L
R2 F2 D' R' B2 D' L
R2 F2 D' R' B2 D2 L
R F2 D L2 U2 F2 U2
R F2 D L2 D2 B2 D
R F2 D L2 D2 B2 D'
R F2 D L2 D2 B2 D2
R F2 D L2 B D2 B2
R F2 D L2 B' D2 B2
R F2 D L2 B2 D2 B2
R F2 D U2 F2 U2 L2
R F2 D F L2 F' B'
R F2 D F L2 B' F'
R F2 D B L2 D2 B2
R F2 D B' L2 D2 B2
R F2 D B2 L2 D2 B2
R F2 D' L B2 D2 L2
L2 F2 D2 F2 U R F2
R F2 D' L' B2 D2 L2
R F2 D' L2 B2 D2 L2
R F2 D' R' B2 L R
R F2 D' R' B2 R L
R F2 D' U2 R2 U2 B2
B2 D2 R2 U B2 L U2
B2 D2 R2 U' R' D2 F2
B2 D2 R2 U' D2 R' F2
B2 D2 R2 U' D2 F2 R'
R F2 D' B D2 L2 B
R F2 D' B D2 B L2
B2 D2 R2 D L2 U' R'
R F2 D' B' D2 B' L2
R F2 D' B2 L D2 L2
R F2 D' B2 L' D2 L2
R F2 D' B2 L2 D2 L2
R F2 D' B2 U2 R2 U2
R F2 D' B2 D2 L2 D
R F2 D' B2 D2 L2 D'
R F2 D' B2 D2 L2 D2
B2 D2 R2 D2 U' R' F2
B2 D2 R2 D2 U' F2 R'
R F2 B' U' L2 F U
R F2 B2 U' L2 U L2
R F2 B2 D' B2 D L2
B D2 B R2 U' F' R'
L2 B R2 F' U F' R'
L2 B U2 B U' R F2
L2 B D R2 F' U R'
R' B' L2 F U R2 F
R' B' L2 F U F R2
D' B' R D F2 B' L'
D' B' R D B' F2 L'
D' B' R B' D F2 L'
B' F' L2 F U R F2
F' B' L2 F U R F2
L2 B' U2 B' U' R F2
R B' U' L2 F U F
L B2 L R' U' R2 F2
L B2 L R' U' F2 R2
R B' F2 U' L2 F U
L B2 L' R' U' R2 F2
L B2 L' R' U' F2 R2
D' B2 R D L F2 L'
D' B2 R D L' F2 L'
D' B2 R D L2 F2 L'
D' B2 R D F2 L' D
D' B2 R D F2 L' D'
D' B2 R D F2 L' D2
D' B2 R D F2 D L'
D' B2 R D F2 D' L'
D' B2 R D F2 D2 L'
D' B2 R F2 D L' F2
L B2 L2 R' U' R2 F2
L B2 L2 R' U' F2 R2
D' B2 R2 D R' F2 L'
L2 B2 R2 U R' F2 L'
L B2 R' L U' R2 F2
L B2 R' L U' F2 R2
L B2 R' L' U' R2 F2
L B2 R' L' U' F2 R2
L B2 R' L2 U' R2 F2
L B2 R' L2 U' F2 R2
L B2 R' U' R' F2 R'
L B2 R' U' R2 F2 D
L B2 R' U' R2 F2 D'
L B2 R' U' R2 F2 D2
L B2 R' U' F R2 F
L B2 R' U' F2 R2 D
L B2 R' U' F2 R2 D'
L B2 R' U' F2 R2 D2
L B2 R' D' L2 F2 U'
L B2 R' D' F2 L2 U'
U' B2 U' R F2 D' B2
L B2 R' F U' R2 F
L B2 R' F U' F R2
L B2 R' F' U' F' R2
L2 B2 U R' F2 L' R2
L2 B2 U R' F2 R2 L'
R' B2 U' R2 F2 D' B2
R' B2 U' F2 R2 D' B2
U' B2 U2 L2 U R F2
R' B2 U2 L2 U R2 F2
R' B2 U2 L2 U F2 R2
L2 B2 U' R F2 D2 B2
U2 B2 U' R F2 D' B2
L' B2 U2 L' U R F2
U2 B2 U2 L2 U R F2
R2 B2 U' F2 D' B2 R'
D2 B2 D R2 U2 R' B2
D' B2 D R F2 D L2
L B2 U' R F2 D B2
R2 B2 U2 L2 U F2 R
U B2 U' R F2 D' B2
U' B2 D' L2 U' R B2
U' B2 D' L2 U' B2 R
R B2 U' L2 U L2 F2
R B2 U' L2 U F2 L2
R' B2 D' L2 F2 U' B2
U B2 U2 L2 U R F2
R' B2 D' F2 L2 U' B2
D2 B2 D' F2 L' U2 L'
U2 B2 D' L2 U' R B2
U2 B2 D' L2 U' B2 R
D' B2 D2 L2 D' R F2
L B2 D' L2 R' U' R2
U B2 D' L2 U' R B2
U B2 D' L2 U' B2 R
L B2 D' R' L2 U' R2
R B2 D' B2 D L2 F2
R B2 D' B2 D F2 L2
R B2 F2 U' L2 U L2
R B2 F2 D' B2 D L2
