L' R U2 R U' R'
R L' U2 R U' R'
D2 L2 R U' L U2
D L2 R U B2 R'
D2 L2 R B2 U R'
D2 L2 B2 R U R2
D2 R L2 U' L U2
D R L2 U B2 R'
D2 R L2 B2 U R'
D' R U' L' F2 U2
D R U' L' U2 B2
D' R U' F2 U2 R
R U' L' U' R U'
R U2 R U L' U2
R U2 R F2 U' R
L2 D R U B2 R'
L D2 L2 R U R
L D2 R L2 U R
U2 F2 L' R2 U' R'
U2 F2 R2 L' U' R'
L D2 R D' U R B2
L D2 R D' U B2 R
L D2 R B L2 U R
L D2 R B' L2 U R
L D2 R B2 L2 U R
L' D2 U L2 R U L2
L' D2 U R L2 U L2
U D2 R' D' F2 R B2
U D2 R' D' F2 B2 R
U D2 R' D' B2 F2 R
R D2 U' L' U' R U'
R D2 U2 R U L' U2
R D2 U2 R F2 U' R
D U2 F2 L' U' R B2
D U2 F2 L' U' B2 R
L D2 B L2 R U R
L D2 B R L2 U R
L2 D2 B2 L2 R U R2
L2 D2 B2 R L2 U R2
L D2 B' L2 R U R
L D2 B' R L2 U R
L D2 B2 L2 R U R
L D2 B2 R L2 U R
B' U2 F2 L' R2 U' R'
B' U2 F2 R2 L' U' R'
B2 U2 F2 L' R2 U' R'
B2 U2 F2 R2 L' U' R'
B U2 F2 L' R2 U' R'
B U2 F2 R2 L' U' R'
U2 F R2 F L' U' R
B' D L2 R U B2 R'
B2 D L2 R U B2 R'
B' D R L2 U B2 R'
B' D R U' L' U2 B2
B D L2 R U B2 R'
B2 D R L2 U B2 R'
B2 D R U' L' U2 B2
U F D F R F' B2
U F D F R B2 F'
U F D F B2 R F'
U F D B2 F R F'
B D R L2 U B2 R'
B D R U' L' U2 B2
U2 F' R2 U' R' F' R
U2 F' R2 F' L' U' R
B' D' R U' L' F2 U2
B' D' R U' F2 U2 R
B2 D' R U' L' F2 U2
B2 D' R U' F2 U2 R
B D' R U' L' F2 U2
B D' R U' F2 U2 R
U2 F2 L' R2 U' R' D
U2 F2 L' R2 U' R' D'
U2 F2 L' R2 U' R' D2
U2 F2 L' R2 U' D R'
U2 F2 L' R2 U' D' R'
U2 F2 L' R2 U' D2 R'
U2 F2 L' R2 D U' R'
U2 F2 L' R2 D' U' R'
U2 F2 L' R2 D2 U' R'
U2 F2 L' R2 F U' R'
U2 F2 L' R2 F' U' R'
U2 F2 L' R2 F2 U' R'
U2 F2 L' U' D R B2
U2 F2 L' U' D B2 R
U2 F2 L' D U' R B2
U2 F2 L' D U' B2 R
U F2 L' R2 U' L R'
U F2 L' R2 U' R' L
R F2 L' U R D' L2
R F2 L' U D' L2 R
R F2 L' U D' R L2
R F2 L' D' U L2 R
R F2 L' D' U R L2
R F2 L' F2 U' L' U2
U F2 R U L' R U'
U F2 R U R L' U'
R' F2 R2 F2 L' U R'
U2 F2 R2 L' U' R' D
U2 F2 R2 L' U' R' D'
U2 F2 R2 L' U' R' D2
U2 F2 R2 L' U' D R'
U2 F2 R2 L' U' D' R'
U2 F2 R2 L' U' D2 R'
U2 F2 R2 L' D U' R'
U2 F2 R2 L' D' U' R'
U2 F2 R2 L' D2 U' R'
U2 F2 R2 L' F U' R'
U2 F2 R2 L' F' U' R'
U2 F2 R2 L' F2 U' R'
R2 F2 R' F2 L' U R2
U2 F2 R2 D L' U' R'
U2 F2 R2 D' L' U' R'
U2 F2 R2 D2 L' U' R'
U2 F2 R2 F U' R' F'
U' F2 U' L' R2 U' R'
U F2 R2 L' U' L R'
U F2 R2 L' U' R' L
U' F2 U' R2 L' U' R'
U F2 U L' R2 U' R'
U F2 U R2 L' U' R'
R2 F2 U' R D' L2 F2
R2 F2 U' R D' F2 L2
B' D2 L2 R U' L U2
B' D2 L2 R B2 U R'
R2 F2 U2 R' F2 U R2
U2 F2 D L' U' R B2
U2 F2 D L' U' B2 R
B2 D2 L2 R U' L U2
B2 D2 L2 R B2 U R'
B' D2 L2 B2 R U R2
B' D2 R L2 U' L U2
B' D2 R L2 B2 U R'
B2 D2 L2 B2 R U R2
B D2 L2 R U' L U2
B D2 L2 R B2 U R'
B2 D2 R L2 U' L U2
B2 D2 R L2 B2 U R'
B D2 L2 B2 R U R2
B D2 R L2 U' L U2
B D2 R L2 B2 U R'
R F2 D' L' U L' R
R F2 D' L' U R L'
R2 F2 D2 B2 L U' R
D2 B L2 R U' L U2
D2 B L2 R B2 U R'
D2 B L2 B2 R U R2
D2 B R L2 U' L U2
D2 B R L2 B2 U R'
D' B R U' L' F2 U2
D' B R U' F2 U2 R
L' B R U2 R U' R'
R B L' U2 R U' R'
R' B R2 U' L' U2 B'
R' B U D' F2 R B
R2 B U L' U2 L F
R2 B U' L' B' U2 B
R B U' L' U' R U'
R' B D' U F2 R B
R B U2 R U L' U2
R B U2 R F2 U' R
L B D2 L2 R U R
L B D2 R L2 U R
D2 B' L2 R U' L U2
D2 B' L2 R B2 U R'
D2 B' L2 B2 R U R2
D2 B' R L2 U' L U2
D2 B' R L2 B2 U R'
D' B' R U' L' F2 U2
D' B' R U' F2 U2 R
L' B' R U2 R U' R'
R B' L' U2 R U' R'
R B' U' L' U' R U'
R B' U2 R U L' U2
R B' U2 R F2 U' R
L B' D2 L2 R U R
L B' D2 R L2 U R
R' B2 L R2 U D2 R2
R' B2 L R2 U' L2 U2
R' B2 L R2 D' B2 U
R' B2 L R2 D2 U R2
R' B2 L D' B2 U F2
R2 B2 L U L2 U2 L2
D2 B2 L2 R U' L U2
D2 B2 L2 R B2 U R'
D2 B2 L2 B2 R U R2
D2 B2 R L2 U' L U2
D2 B2 R L2 B2 U R'
D' B2 R U' L' F2 U2
D' B2 R U' F2 U2 R
L' B2 R U2 R U' R'
R B2 L' U2 R U' R'
L2 B2 R U2 R U' R
R' B2 R2 L U D2 R2
R' B2 R2 L U' L2 U2
R' B2 R2 L D' B2 U
R' B2 R2 L D2 U R2
R B2 U' L' U' R U'
L2 B2 D R U R2 B2
L2 B2 D R U B2 R2
R B2 U2 R U L' U2
R B2 U2 R F2 U' R
L2 B2 D2 L2 R U R2
L2 B2 D2 R L2 U R2
L B2 D2 L2 R U R
L B2 D2 R L2 U R
