R' L U D2 F' R
D2 L R' U F' R
D' L R' B U F'
D L R' B' U F'
L R U' B U2 R'
R L U' B U2 R'
R' L D2 U F' R
R' L B U F' R'
L R' U D2 F' R
D L B' R' U F'
L R' D2 U F' R
L R' B U F' R'
D2 R' L U F' R
D' R' L B U F'
D R' L B' U F'
R' D L B' U F'
L D' R' B U F'
R' D2 L U F' R
L D2 R' U F' R
L B R U R2 F'
L B R2 U R F'
D L B' R' D U F'
D L B' R' D' U F'
D L B' R' D2 U F'
D L B' U2 L U' F
D L B' D R' U F'
D L B' D' R' U F'
D L B' D2 R' U F'
D2 L B2 R' U F' R
D' L B2 R' B U F'
L R' U' B U2 F' R'
L R' U' B' L U2 F'
D' L' R' B L2 U F'
L2 R' D2 L' U F' R
L R' D2 U F' R D
L R' D2 U F' R D'
L R' D2 U F' R D2
L R' D2 U F' D R
L R' D2 U F' D' R
L R' D2 U F' D2 R
L R' D2 B U F' R
L R' D2 B' U F' R
L R' D2 B2 U F' R
R' L' B L2 U F' R'
L' R' B L2 U F' R'
L2 R' B L' U F' R'
L R' B U D F' R'
L R' B U D' F' R'
L R' B U D2 F' R'
L R' B U F R' F2
L R' B U F' R' D
L R' B U F' R' D'
L R' B U F' R' D2
L R' B U F' D R'
L R' B U F' D' R'
L R' B U F' D2 R'
L R' B U F2 R' F
L R' B D U F' R'
L R' B D' U F' R'
L R' B D2 U F' R'
L R' B' U' L U2 F'
L R2 U R D2 F' R
R' L2 D2 L' U F' R
D' L2 R' B L' U F'
R' L2 B L' U F' R'
L R2 B R U F' R2
L R2 B U R F' R2
D2 R L U R2 F' R
D R L B' U D2 F2
D R L B' U' B2 U2
D R L B' D' R2 U
D R L B' D2 U F2
R' U F' B D' R' B
B' R U' L F B U2
B' R U' L B F U2
R' U B D' F' R' B
R' U B F' D' R' B
D2 R' L U F' R D
D2 R' L U F' R D'
D2 R' L U F' R D2
D2 R' L U F' D R
D2 R' L U F' D' R
D2 R' L U F' D2 R
D' R' L D B U F'
D' R' L D' B U F'
D' R' L D2 B U F'
D2 R' L B U F' R
D' R' L B U D F'
D' R' L B U D' F'
D' R' L B U D2 F'
D' R' L B U F' D
D' R' L B U F' D'
D' R' L B U F' D2
D' R' L B D U F'
D' R' L B D' U F'
D' R' L B D2 U F'
D2 R' L B' U F' R
D2 R' L B2 U F' R
D R' L D B' U F'
D R' L D' B' U F'
D R' L D2 B' U F'
D R' L B' U D F'
D R' L B' U D' F'
D R' L B' U D2 F'
D R' L B' U F' D
D R' L B' U F' D'
D R' L B' U F' D2
D R' L B' D U F'
D R' L B' D' U F'
D R' L B' D2 U F'
D' R' L' B L2 U F'
D' R' L2 B L' U F'
B' R' U' L F U2 F2
L U' B U' L U' R'
D' R' D L B U F'
R U' B U2 D' R' B
R U' B D' U2 R' B
L U' B' L U R' U
D R' D L U F' R
D2 R' D' L B' U F'
D' R' D' L B U F'
D' R' D2 L B U F'
L U2 L' U B' L U2
D2 R' B' U F' R B
D2 R2 L U R F' R
D2 R2 L U F' R F'
D' R2 L U F R F'
D R2 L B' R U F'
R' D L D B' U F'
R' D L D' B' U F'
R' D L D2 B' U F'
R' D L B' U D F'
R' D L B' U D' F'
R' D L B' U D2 F'
R' D L B' U F' D
R' D L B' U F' D'
R' D L B' U F' D2
R' D L B' D U F'
R' D L B' D' U F'
R' D L B' D2 U F'
R D L R2 B' U F'
R2 D L B R' B2 U
R2 D L B' U2 L U'
R D L B' U D2 F2
R D L B' U' B2 U2
R D L B' D' R2 U
R D L B' D2 U F2
L D R' U D F' R
L D R' D U F' R
B R2 B' L U R F'
R D R2 L B' U F'
B R2 B2 U R F' B
B R2 B2 U R B F'
B2 U R' F' L' U' L
R' D' L U D' F' R
R' D' L D' U F' R
L2 D' L' R' B U F'
L2 D' R' L' B U F'
L' D' R' B U F' B
L' D' R' B U B F'
L2 D' R' B L' U F'
L D' R' D B U F'
L D' R' D' B U F'
L D' R' D2 B U F'
L D' R' B U D F'
L D' R' B U D' F'
L D' R' B U D2 F'
L D' R' B U F' D
L D' R' B U F' D'
L D' R' B U F' D2
L D' R' B D U F'
L D' R' B D' U F'
L D' R' B D2 U F'
L D' R2 U F R F'
L D' B R' B U F'
L D' B' R' B U F'
R' D2 L U F' R D
R' D2 L U F' R D'
R' D2 L U F' R D2
R' D2 L U F' D R
R' D2 L U F' D' R
R' D2 L U F' D2 R
R' D2 L B U F' R
R' D2 L B' U F' R
R' D2 L B2 U F' R
L D' B2 R' B U F'
L2 D2 L' R' U F' R
R D2 L R2 U F' R
R D2 L U R2 F' R
L2 D2 R' L' U F' R
L D2 R U R2 F' R
L D2 R' U F' R D
L D2 R' U F' R D'
L D2 R' U F' R D2
L D2 R' U F' D R
L D2 R' U F' D' R
L D2 R' U F' D2 R
L D2 R' B U F' R
L D2 R' B' U F' R
L D2 R' B2 U F' R
R D2 R2 L U F' R
L D2 R2 U R F' R
L D2 R2 U F' R F'
R' D2 B' U F' R B
L D2 B R' U F' R
L D2 B' R' U F' R
L D2 B2 R' U F' R
B D' R U R2 F' B
B D' R U R2 B F'
L2 B L' R U R2 F'
L2 B L' R2 U R F'
L' B L2 R U R2 F'
L' B L2 R2 U R F'
L' B R L2 U R2 F'
L2 B R L' U R2 F'
L B R U R2 D F'
L B R U R2 D' F'
L B R U R2 D2 F'
L B R U R2 F' D
L B R U R2 F' D'
L B R U R2 F' D2
L B R U F R2 F'
L' B R2 L2 U R F'
L B R U F' R2 F'
L B R U F2 R2 F'
L B R U' B U2 R2
L2 B R2 L' U R F'
R' B U D' F' R' B
R' B U F' D' R' B
L B R2 U R D F'
L B R2 U R D' F'
L B R2 U R D2 F'
L B R2 U R F' D
L B R2 U R F' D'
L B R2 U R F' D2
F2 D2 B2 R' U' F' R
L B R2 B U R F'
L B R2 B' U R F'
L B R2 B2 U R F'
L B U F R' D' F2
L B U2 L U' R' F
L B U2 L U' F R'
R' B D' U F' R' B
L B D R U R2 F'
L B D R2 U R F'
L B D' R U R2 F'
L B D' R2 U R F'
L B D2 R U R2 F'
L B D2 R2 U R F'
F2 B D' L2 R' F' B
F2 B D' L2 R' B F'
F2 B D' R' L2 F' B
F2 B D' R' L2 B F'
F2 B D' R' F' L2 B
F2 B D' R' F' B L2
F2 B D' R' B L2 F'
F2 B D' R' B F' L2
D2 B' R' U F' R B
D' B' R' B L U F'
L B' R U' L B U2
L B' R' U' L U2 F'
R' B' U' L F U2 F2
L B' R' B2 U F' R'
R B' U' L F B2 U2
R B' U' L B2 F U2
L B2 R' B' U F' R'
B F2 D' L2 R' F' B
B F2 D' L2 R' B F'
B F2 D' R' L2 F' B
B F2 D' R' L2 B F'
B F2 D' R' F' L2 B
B F2 D' R' F' B L2
B F2 D' R' B L2 F'
B F2 D' R' B F' L2
