U' L U' B' U' L
U' L U2 B' L B
U' L B R' B' U2
U' D L U' B' U'
B2 U R' U' F' U
D U' L U' B' U'
B' U2 F U' L R
B' U2 F U' R L
B2 U2 F' U' L' R'
B2 U2 F' U' R' L'
D2 F U L' D2 R2
D2 F U' L U2 L2
D2 F B2 U L' R'
D2 F B2 U R' L'
D2 F' U' L R U2
D2 F' U' R L U2
U' B R' B' L U2
U B' L B' R' B2
U B2 R' B L B
D2 B2 F U L' R'
D2 B2 F U R' L'
U L' B' L B2 R' B'
U L' B' D2 L B R2
U' L2 D L' U F U
U' L2 B R' B' L' U2
U' L2 B' L' B U2 L2
B' L2 B' L2 U L R'
B' L2 B' L2 U R' L
U L2 B' L D2 B R2
U L2 B' L B D2 R2
L U D L' F U F'
U' R L U' B' U' L
U' R L U2 B' L B
U' R L B R' B' U2
U' R D L U' B' U'
B R D' R' F2 B U
B R D' R' B F2 U
B R D' F2 R' B U
D' R F' R' U' L U2
D' R F' R' B2 U R'
U' R B R' B' L U2
U R B' L B' R' B2
U' R' L U' B' U' L
U R B2 R' B L B
U' R' L U2 B' L B
U' R' L B R' B' U2
U' R' D L U' B' U'
U' R' B R' B' L U2
B2 R' B R U L R'
B2 R' B R U R' L
U R' B' L B' R' B2
U' R2 L U' B' U' L
U' R2 L U2 B' L B
U R' B2 R' B L B
U' R2 L B R' B' U2
U' R2 D L U' B' U'
L' D L U2 F2 B' U'
L' D L U2 B' F2 U'
L' D L' F L2 B' U
L D L' F U' L U2
L D L' F B2 U R'
L D L' B2 F U R'
U' R2 B R' B' L U2
B2 R2 B R2 U L R'
B2 R2 B R2 U R' L
U R2 B' L B' R' B2
L D U L' F U F'
U' D L R U' B' U'
B' U L R U' B U
U' D L R' U' B' U'
B' U L R' U F' U'
U' D L R2 U' B' U'
B' U L U F U' R
U' D L U' D B' U'
U' D L U' D' B' U'
U' D L U' D2 B' U'
U' D L U' B' U' D
U' D L U' B' U' D'
U' D L U' B' U' D2
U' D L U' B' D U'
U' D L U' B' D' U'
U' D L U' B' D2 U'
B' U L U' B' U R'
B2 U L R' U' F' U
U' D L D U' B' U'
U' D L D' U' B' U'
U' D L D2 U' B' U'
U R2 B2 R' B L B
B2 U L' R' U' F' U
B2 U L2 R' U' F' U
U' D R L U' B' U'
B' U R L U' B U
B2 U R U B U' R2
U' D R' L U' B' U'
B' U R' L U F' U'
B' U R' U F' U' L
B2 U R' L U' F' U
B2 U R' L' U' F' U
B2 U R' L2 U' F' U
B2 U R' U' D F' U
B2 U R' U' D' F' U
B2 U R' U' D2 F' U
B2 U R' U' F' U D
B2 U R' U' F' U D'
B2 U R' U' F' U D2
B2 U R' U' F' D U
B2 U R' U' F' D' U
B2 U R' U' F' D2 U
B2 U R' D U' F' U
B2 U R' D' U' F' U
B2 U R' D2 U' F' U
B2 U R' F D' L2 F'
B2 U R' F D' F' L2
U' D R2 L U' B' U'
D2 U F L' D2 F' R2
D2 U F L' F' D2 R2
B2 U D R' U' F' U
B2 U D' R' U' F' U
B2 U D2 R' U' F' U
B2 U F' R' F D' L2
R' D' R F' U' L U2
R' D' R F' B2 U R'
R' D' R B2 F' U R'
D' U' L R U F' U
U' D' L R U F' U
D' U' L R' U' B U'
U' D' L R' U' B U'
D2 U' L U F U L'
D2 U' L U2 F L' F'
F' U B' L B' R' B2
D2 U' L F' R F U2
B U B R' B L B2
F2 U B' L B' R' B2
D U' L R U' B' U'
D U' L R' U' B' U'
D U' L R2 U' B' U'
D U' L U' D B' U'
D U' L U' D' B' U'
D U' L U' D2 B' U'
D U' L U' B' U' D
D U' L U' B' U' D'
D U' L U' B' U' D2
D U' L U' B' D U'
D U' L U' B' D' U'
D U' L U' B' D2 U'
D U' L D U' B' U'
D U' L D' U' B' U'
D U' L D2 U' B' U'
F' U B2 R' B L B
F U B' L B' R' B2
F2 U B2 R' B L B
B U B2 L B' R' B'
U' D' R L U F' U
D' U' R L U F' U
F' U' L U' B' U' L
F' U' L U2 B' L B
B2 U' L U F U R'
F2 U' L U' B' U' L
F U B2 R' B L B
F2 U' L U2 B' L B
F' U' L B R' B' U2
F2 U' L B R' B' U2
B' U' L' U B' U L2
D' U' R' L U' B U'
U' D' R' L U' B U'
D U' R L U' B' U'
F U' L U' B' U' L
F U' L U2 B' L B
F U' L B R' B' U2
D U' R' L U' B' U'
D2 U' F L F' U2 L2
D U' R2 L U' B' U'
D2 U' F' R F L U2
B U' R' U B U R'
B U' R' U2 B R' B'
B U' R' B' L B U2
R' D' B2 R F' U R2
F' U' D L U' B' U'
F2 U' D L U' B' U'
L' D' B2 U2 R' B U'
F U' D L U' B' U'
L' D2 L F U L' R2
L' D2 L F U R2 L'
B U' D' R' U B U
U' D2 L U F U L'
U' D2 L U2 F L' F'
U' D2 L F' R F U2
F' U' B R' B' L U2
F2 U' B R' B' L U2
F U' B R' B' L U2
B U' B' L B R' U2
U' D2 F L F' U2 L2
L' D2 F L U L2 R2
L' D2 F L U R2 L2
D2 U2 F U L U2 L2
D2 U2 F U' L' D2 R2
D2 U2 F B2 U' L' R'
D2 U2 F B2 U' R' L'
U2 D2 F U L U2 L2
U' D2 F' R F L U2
U2 D2 F U' L' D2 R2
D2 U2 F' U L R U2
D2 U2 F' U R L U2
U2 D2 F B2 U' L' R'
U2 D2 F B2 U' R' L'
U D2 F L' D2 F' R2
U D2 F L' F' D2 R2
U2 D2 F' U L R U2
U2 D2 F' U R L U2
B' U2 D F U' L R
B' U2 D F U' R L
D2 U2 B2 F U' L' R'
D2 U2 B2 F U' R' L'
B2 U2 D F' U' L' R'
B2 U2 D F' U' R' L'
B' U2 D' F U' L R
B' U2 D' F U' R L
U' F L D2 F' R U2
U2 D2 B2 F U' L' R'
U2 D2 B2 F U' R' L'
B2 U2 D' F' U' L' R'
B2 U2 D' F' U' R' L'
B' U2 D2 F U' L R
B' U2 D2 F U' R L
B2 U2 D2 F' U' L' R'
B2 U2 D2 F' U' R' L'
B' U2 F U' L R D
B' U2 F U' L R D'
B' U2 F U' L R D2
B' U2 F U' L D R
B' U2 F U' L D' R
B' U2 F U' L D2 R
B' U2 F U' R L D
B' U2 F U' R L D'
B' U2 F U' R L D2
B' U2 F U' R D L
B' U2 F U' R D' L
B' U2 F U' R D2 L
B' U2 F U' D L R
B' U2 F U' D R L
B' U2 F U' D' L R
B' U2 F U' D' R L
B' U2 F U' D2 L R
B' U2 F U' D2 R L
B' U2 F D U' L R
B' U2 F D U' R L
B' U2 F D' U' L R
B' U2 F D' U' R L
B2 U2 F U R U2 R2
B' U2 F D2 U' L R
B' U2 F D2 U' R L
B2 U2 F U' R' D2 L2
B' U2 F' U L' U2 L2
B' U2 F' U' L D2 R2
B2 U2 F' U' L' R' D
B2 U2 F' U' L' R' D'
B2 U2 F' U' L' R' D2
B2 U2 F' U' L' D R'
B2 U2 F' U' L' D' R'
B2 U2 F' U' L' D2 R'
B2 U2 F' U' R' L' D
B2 U2 F' U' R' L' D'
B2 U2 F' U' R' L' D2
B2 U2 F' U' R' D L'
B2 U2 F' U' R' D' L'
B2 U2 F' U' R' D2 L'
B2 U2 F' U' D L' R'
B2 U2 F' U' D R' L'
B2 U2 F' U' D' L' R'
B2 U2 F' U' D' R' L'
B2 U2 F' U' D2 L' R'
B2 U2 F' U' D2 R' L'
B2 U2 F' D U' L' R'
B2 U2 F' D U' R' L'
B2 U2 F' D' U' L' R'
B2 U2 F' D' U' R' L'
B2 U2 F' D2 U' L' R'
B2 U2 F' D2 U' R' L'
D2 F U L' R D2 R2
D2 F U L' R' D2 R2
D2 F U L' R2 D2 R2
D2 F U L' U2 L2 U2
D2 F U L' D2 R2 D
D2 F U L' D2 R2 D'
D2 F U L' D2 R2 D2
D2 F U R L' D2 R2
D2 F U R' L' D2 R2
D2 F U R2 L' D2 R2
D2 F U D L' D2 R2
D2 F U D' L' D2 R2
D2 F U D2 L' D2 R2
D2 F U B2 L' R' B2
D2 F U B2 R' L' B2
D2 F U B2 R' B2 L'
D2 F U' L R U2 L2
D2 F U' L R' U2 L2
D2 F U' L R2 U2 L2
D2 F U' L U2 L2 D
D2 F U' L U2 L2 D'
D2 F U' L U2 L2 D2
D2 F U' L D2 R2 U2
D2 F U' R L U2 L2
D2 F U' R' L U2 L2
D2 F U' R2 L U2 L2
D2 F U' D L U2 L2
D2 F U' D' L U2 L2
D2 F U' D2 L U2 L2
D F U' L U' B' U'
D2 F U2 B2 U' L' R'
D2 F U2 B2 U' R' L'
D2 F D U L' D2 R2
D2 F D U' L U2 L2
D2 F D B2 U L' R'
D2 F D B2 U R' L'
D2 F D' U L' D2 R2
D2 F D' U' L U2 L2
U' F D2 L F' R U2
D2 F D' B2 U L' R'
D2 F D' B2 U R' L'
D2 F D2 U L' D2 R2
U' F D2 F' L R U2
U' F D2 F' R L U2
D2 F D2 U' L U2 L2
D2 F D2 B2 U L' R'
D2 F D2 B2 U R' L'
D2 F B2 U L' R' D
D2 F B2 U L' R' D'
D2 F B2 U L' R' D2
D2 F B2 U L' D R'
D2 F B2 U L' D' R'
D2 F B2 U L' D2 R'
D2 F B2 U R' L' D
D2 F B2 U R' L' D'
D2 F B2 U R' L' D2
D2 F B2 U R' D L'
D2 F B2 U R' D' L'
D2 F B2 U R' D2 L'
D2 F B2 U D L' R'
D2 F B2 U D R' L'
D2 F B2 U D' L' R'
D2 F B2 U D' R' L'
D2 F B2 U D2 L' R'
D2 F B2 U D2 R' L'
B2 D U R' U' F' U
D2 F B2 D U L' R'
D2 F B2 D U R' L'
D2 F B2 D' U L' R'
D2 F B2 D' U R' L'
D2 F B2 D2 U L' R'
D2 F B2 D2 U R' L'
F' D U' L U' B' U'
U' F' L U2 L B' L
U' F' L U2 B' L B'
F2 D U' L U' B' U'
B' D U2 F U' L R
B' D U2 F U' R L
F D U' L U' B' U'
B2 D U2 F' U' L' R'
B2 D U2 F' U' R' L'
D2 F' U' L R U2 D
D2 F' U' L R U2 D'
D2 F' U' L R U2 D2
D2 F' U' L R D U2
D2 F' U' L R D' U2
D2 F' U' L R D2 U2
D2 F' U' L D R U2
D2 F' U' L D' R U2
D2 F' U' L D2 R U2
D2 F' U' R L U2 D
D2 F' U' R L U2 D'
D2 F' U' R L U2 D2
D2 F' U' R L D U2
D2 F' U' R L D' U2
D2 F' U' R L D2 U2
D2 F' U' R D L U2
D2 F' U' R D' L U2
D2 F' U' R D2 L U2
D2 F' U' D L R U2
D2 F' U' D R L U2
D2 F' U' D' L R U2
D2 F' U' D' R L U2
D2 F' U' D2 L R U2
D2 F' U' D2 R L U2
D F' U' L U' B' U'
D2 F' D U' L R U2
D2 F' D U' R L U2
D2 F' D' U' L R U2
D2 F' D' U' R L U2
U' F' D2 F L U2 L2
D2 F' D2 U' L R U2
D2 F' D2 U' R L U2
U F' D2 F L' D2 R2
D2 F' B2 U R' D2 L2
D2 F' B2 U' R U2 R2
B2 D' U R' U' F' U
B' D' U2 F U' L R
B' D' U2 F U' R L
B D' U' R' U B U
B2 D' U2 F' U' L' R'
B2 D' U2 F' U' R' L'
L2 F2 L2 B' U L R
L2 F2 L2 B' U R L
D F2 U' L U' B' U'
L2 F2 B' L2 U L' R
L2 F2 B' L2 U R L'
B2 D2 U R' U' F' U
B' D2 U2 F U' L R
B' D2 U2 F U' R L
B2 D2 U2 F' U' L' R'
B2 D2 U2 F' U' R' L'
F' D2 F U L' D2 R2
F' D2 F U' L U2 L2
F2 D2 F U L' D2 R2
F2 D2 F U' L U2 L2
F' D2 F B2 U L' R'
F' D2 F B2 U R' L'
F2 D2 F B2 U L' R'
F2 D2 F B2 U R' L'
L2 B L2 U' L R' U2
L2 B L2 U' R' L U2
F' D2 F' U' L R U2
F' D2 F' U' R L U2
L B L' U' L R' U2
L B L' U' R' L U2
B D2 F U' L' R' U2
B D2 F U' R' L' U2
F2 D2 F' U' L R U2
U' B R B' L R2 U2
F2 D2 F' U' R L U2
U' B R B' R2 L U2
L2 B L2 B2 U L R'
L2 B L2 B2 U R' L
F D2 F U L' D2 R2
F D2 F U' L U2 L2
L B L' B2 U L R'
L B L' B2 U R' L
U B L' B2 L B' R'
B D2 F' U R D2 L2
F D2 F B2 U L' R'
F D2 F B2 U R' L'
B D2 F' U' R' U2 R2
U' B R' B' L U2 D
U' B R' B' L U2 D'
U' B R' B' L U2 D2
U' B R' B' L D U2
U' B R' B' L D' U2
U' B R' B' L D2 U2
U' B R' B' D L U2
U' B R' B' D' L U2
U' B R' B' D2 L U2
B D2 F' B2 U L R
B D2 F' B2 U R L
F D2 F' U' L R U2
F D2 F' U' R L U2
U' B R2 B' L R U2
U' B R2 B' R L U2
U B R B R' B2 L
L B R' U L' R U
L B R' U R L' U
F' D2 B2 F U L' R'
F' D2 B2 F U R' L'
F2 D2 B2 F U L' R'
F2 D2 B2 F U R' L'
B D2 B2 F' U L R
B D2 B2 F' U R L
F D2 B2 F U L' R'
F D2 B2 F U R' L'
B2 F U R' U' F' U
U' B' L B L U2 L'
U' B' L' B L U2 L
B' F U2 F U' L R
B' F U2 F U' R L
B2 F U2 F' U' L' R'
B2 F U2 F' U' R' L'
U B' L R B' R' B
U' B' L2 B L U2 L2
U B' L D B' R' B2
U B' L D' B' R' B2
U B' L D2 B' R' B2
U B' L B U2 L U2
L2 B' L2 U L' D2 R2
U B' L B' R B2 R2
U B' L B' R' B2 D
U B' L B' R' B2 D'
U B' L B' R' B2 D2
U B' L B' R2 B2 R
L2 B' L2 U' L U2 L2
L B' L' U' L U2 L
L2 B' L2 B2 U L' R'
L2 B' L2 B2 U R' L'
U' B' R' U2 L F R
U B' L' B' L2 R' B2
U B' L' B' R' L2 B2
U B' L' B' R' B2 L2
L B' L' B2 U L2 R'
L B' L' B2 U R' L2
U B' L2 B L' D2 R2
U B' L2 B' L' R' B2
U B' L2 B' R' L' B2
U B' L2 B' R' B2 L'
U B' R L B' R' B
U B' R D2 L B' R'
U B' R B' R' B L
U2 B' U' L U F U'
D2 B' U2 F U' L' R
D2 B' U2 F U' R L'
U2 B' U2 F U L R
U2 B' U2 F U R L
D' B' D B' U L R'
D' B' D B' U R' L
U B' D L B' R' B2
B2 F' U R' U' F' U
D2 B' D2 B' U L R'
D2 B' D2 B' U R' L
U B' D' L B' R' B2
D B' D' B' U L R'
D B' D' B' U R' L
U B' D2 L B' R' B2
B' F' U2 F U' L R
B' F' U2 F U' R L
F' B' U2 F U' L R
F' B' U2 F U' R L
B2 F' U2 F' U' L' R'
B2 F' U2 F' U' R' L'
F2 B' U2 F U' L R
F2 B' U2 F U' R L
L2 B' F2 L2 U L' R
L2 B' F2 L2 U R L'
F B' U2 F U' L R
F B' U2 F U' R L
U B2 L R' B L B
D B2 L' F L U R'
U B2 L' R' B L B
R' B2 R B U L R2
R' B2 R B U R2 L
D' B2 R F' R' U R'
U B2 L2 R' B L B
U B2 R B L B R2
D2 B2 U R' F L' F'
U B2 R' L B L B
D' B2 U R' U B U'
U B2 R' L' B L B
U B2 R' L2 B L B
D2 B2 U F L' F' R'
U B2 R' B L D B
U B2 R' B L D' B
U B2 R' B L D2 B
U B2 R' B L B D
U B2 R' B L B D'
U B2 R' B L B D2
U B2 R' B L' B L2
U B2 R' B L2 B L'
U B2 R' B D L B
U B2 R' B D' L B
U B2 R' B D2 L B
R2 B2 R2 B U L R
R2 B2 R2 B U R L
U B2 R2 B L B R
D2 B2 U2 F U' L' R'
D2 B2 U2 F U' R' L'
F' B2 U R' U' F' U
B2 F2 U R' U' F' U
F2 B2 U R' U' F' U
U2 B2 U2 F' U L' R'
U2 B2 U2 F' U R' L'
D' B2 D' F U L' R'
D' B2 D' F U R' L'
B' F2 U2 F U' L R
B' F2 U2 F U' R L
F B2 U R' U' F' U
D B2 D F U L' R'
D B2 D F U R' L'
F' B2 U2 F' U' L' R'
F' B2 U2 F' U' R' L'
B2 F2 U2 F' U' L' R'
B2 F2 U2 F' U' R' L'
F2 B2 U2 F' U' L' R'
F2 B2 U2 F' U' R' L'
D2 B2 F U L' R' D
D2 B2 F U L' R' D'
D2 B2 F U L' R' D2
D2 B2 F U L' D R'
D2 B2 F U L' D' R'
D2 B2 F U L' D2 R'
D2 B2 F U R' L' D
D2 B2 F U R' L' D'
D2 B2 F U R' L' D2
D2 B2 F U R' D L'
D2 B2 F U R' D' L'
D2 B2 F U R' D2 L'
D2 B2 F U D L' R'
D2 B2 F U D R' L'
D2 B2 F U D' L' R'
D2 B2 F U D' R' L'
D2 B2 F U D2 L' R'
D2 B2 F U D2 R' L'
D2 B2 F D U L' R'
D2 B2 F D U R' L'
D2 B2 F D' U L' R'
D2 B2 F D' U R' L'
D2 B2 F D2 U L' R'
D2 B2 F D2 U R' L'
D2 B2 F' U R' D2 L2
D2 B2 F' U' R U2 R2
F B2 U2 F' U' L' R'
F B2 U2 F' U' R' L'
