B' R U2 F' B2 U'
B' R U2 B2 F' U'
B2 R U2 F' B' U'
B2 R U2 B' F' U'
B' R' B R2 F' U
D' R2 F' R' U R2
F R2 F' R B U
R2 F' R B R2 U
R2 F' R' U2 F' U'
R' B R' F' R' U
R2 F' R B R2 D U
R2 F' R B R2 D' U
R2 F' R B R2 D2 U
R2 F' R B U D' F2
R2 F' R B D' U F2
R2 F' R B' R2 B2 U
R2 F' R B2 R2 B' U
R2 F' R' U2 D F' U'
R2 F' R' U2 D' F' U'
R2 F' R' U2 D2 F' U'
R2 F' R' U2 F' U' D
R2 F' R' U2 F' U' D'
R2 F' R' U2 F' U' D2
R2 F' R' U2 F' D U'
R2 F' R' U2 F' D' U'
R2 F' R' U2 F' D2 U'
R2 F' R' D U2 F' U'
R2 F' R' D' U2 F' U'
R2 F' R' D2 U2 F' U'
R2 F' R' B U2 F' U'
R2 F' R' B' U2 F' U'
R2 F' R' B2 U2 F' U'
R2 F' U F R D' F2
D' F' U2 B L U' R
D F' U2 B L U' R'
R2 F' D R B R2 U
R2 F' D R' U2 F' U'
U2 F' D B U' R' F'
R2 F' D' R B R2 U
R2 F' D' R' U2 F' U'
R' F' B R' F' R' U
R2 F' D2 R B R2 U
R2 F' D2 R' U2 F' U'
R2 F' B' R B R' U
R2 F' B2 U2 L F U'
U2 F2 L' D B U' R'
L F2 L' B R F' U'
R2 F2 R F B R2 U
R2 F2 R B R2 F U
R2 F2 R B F R2 U
R2 F2 R' F U D R2
R2 F2 R' F U2 F2 U'
R2 F2 R' F D U R2
R2 F2 R' F D2 B2 U
D2 F2 U2 L' F B U'
D2 F2 U2 L' B F U'
D2 F2 U2 B L' F U'
D F2 U2 L' B U' R'
U2 F2 D L' B U' R'
D F2 U2 B L' U' R'
U2 F2 D B L' U' R'
R F2 U2 D' F U' L'
U2 F2 D2 L' F B U'
U2 F2 D2 L' B F U'
R' F2 B R' F' R' U
U2 F2 D2 B L' F U'
R F2 D' U2 F U' L'
U2 F2 B D2 L' F U'
L F2 B L' R F' U'
L F2 B R L' F' U'
F2 D2 U2 L' F B U'
F2 D2 U2 L' B F U'
F2 D2 U2 B L' F U'
B' D2 F2 U2 L' F U'
R' B R' D F' R' U
R' B R' D' F' R' U
R' B R' D2 F' R' U
R' B R' F R' F2 U
R' B R' F' R' U D
R' B R' F' R' U D'
R' B R' F' R' U D2
R' B R' F' R' D U
R' B R' F' R' D' U
R' B R' F' R' D2 U
R' B R' F' D R' U
R' B R' F' D' R' U
R' B R' F' D2 R' U
R' B R' F2 R' F U
D B R U R2 D2 L2
R' B R2 D' F U L'
R' B U D' F' L' F'
R' B U F D' F2 L'
R' B U F' L' D' F2
R' B U F' D' L' F2
D B U R' D' F2 L'
U2 B U2 R U2 F' U'
U2 B U2 R' B R2 U
R' B D' R' F' U F'
R' B D' U F' L' F'
R' B D' F' U F' L'
R' B F R' F' R' U
U2 B D2 F2 L' F U'
R' B F' R' F' R' U
R' B F2 R' F' R' U
U2 B F2 D2 L' F U'
L B F2 L' R F' U'
L B F2 R L' F' U'
R' B' R' F' R' B2 U
D B' R U2 B2 U' R'
R2 B' R B R' F' U
R2 B' D2 F' R B U
R2 B' F' R B R' U
R' B2 R' F' R' B' U
R' B2 R2 D B' U L
R2 B2 F' U2 L F U'
