U2 R' U R' B
U2 L R' U R' B
B2 L B2 U' R2 B
U2 L' R' U R' B
U2 L2 R' U R' B
U' R D' R F2 B
U' R D' R B F2
U2 R' L U R' B
U2 R' L' U R' B
U2 R' L2 U R' B
U2 R' U R' D B
U2 R' U R' D' B
U2 R' U R' D2 B
U2 R' U R' B D
U2 R' U R' B D'
U2 R' U R' B D2
L' U2 R' U R' B
L2 U2 R' U R' B
L U2 R' U R' B
D' R2 F2 L' U' B
U' R2 B U' R U
U F' U R' U R'
U2 D R2 B2 R U B'
D2 U F' L2 U R' U
D U F' U R' B2 U
U D F' U R' B2 U
F2 U F U R' U R'
F U F2 U R' U R'
L' D' R2 F2 L' U' B
R D' R' U' R2 F2 B
R D' R' U' R2 B F2
L2 D' R2 F2 L' U' B
R D' R2 U' R' F2 B
R D' R2 U' R' B F2
R D' R2 U' F2 R' B
L D' R2 F2 L' U' B
B2 U' L B2 U' R2 B
R D2 L2 R' U' R2 B
R D2 L2 R2 U' R' B
R D2 R' L2 U' R2 B
F' U' B2 L U' L' R2
F' U' B2 L U' R2 L'
U D2 L2 F' U R' U
R D2 R2 L2 U' R' B
B2 U2 L B2 U' R2 B
D U2 R2 B2 R U B'
F2 U2 L2 R' U R' B'
U D2 F' L2 U R' U
F2 U2 R' L2 U R' B'
F2 U2 R' U' F U2 R'
F' U2 R' B' U B R'
F' U2 R' B2 U B2 R'
F U2 R' U R' D2 B2
F U2 R' U D2 R' B2
F U2 R' U' F2 U2 R'
F U2 R' D' L2 U R'
F U2 R' D2 U R' B2
F' U2 D R' B2 U B2
F U2 D R' B2 L U
D2 F D R2 F2 L' U'
F D R2 U2 R B2 U
F D R2 U2 B2 R U
F D R2 D2 F2 L' U'
F' D U2 R' B2 U B2
U F' L U R' U R'
F D U2 R' B2 L U
U F' L' U R' U R'
U F' L2 U R' U R'
R2 F' R U' R' F' B
R2 F' R U' R' B F'
U2 F' U R' F U R'
U2 F' U F R' U R'
U F' U R' U R' D
U F' U R' U R' D'
U F' U R' U R' D2
U F' U R' U D R'
U F' U R' U D' R'
U F' U R' U D2 R'
U F' U R' D U R'
U F' U R' D' U R'
U F' U R' D2 U R'
U F' U D R' B2 U
D F' U2 R' B2 U B2
U F' U2 R D' R F2
U F' U2 R2 U' R U
U F' D U R' B2 U
U F' D2 L2 U R' U
U F' B2 U' L U' R2
R2 F2 L' R U' R' B
R2 F2 L' R2 U' R2 B
D' F2 L2 U2 R' U B'
D' F2 R D2 L2 U' B'
D' F2 R' U F U2 F'
R2 F2 R L' U' R' B
F D' F2 U2 L2 R' U
F D' F2 U2 R' L2 U
R2 F2 R2 L' U' R2 B
D' F2 U F U R' U
D' F2 U2 L2 R' U B'
D' F2 U2 R' L2 U B'
D' F2 U2 R' U' F U2
R2 F2 B U B' L' U'
R2 B L2 U' R F U
U2 B R' U R' F' B
U2 B R' U R' B F'
U' B R2 B U L U'
U2 B U R' F' R' B
R2 B U B' U2 R U
R2 B U' R U2 B' U'
R2 B F2 U B' L' U'
U' B' R D' R F' B
U' B' R D' R B F'
U' B' R2 B U' R' U
R B' R2 F' U R' B
R' B' U2 B U' R' B
B2 F' U' L B2 U' R2
U' B2 L U' L' R2 B
U' B2 L U' R2 L' B
U' B2 L U' R2 B L'
L' B2 L B2 U' R2 B
L2 B2 L B2 U' R2 B
L B2 L B2 U' R2 B
U' B2 R2 U L U' B
U' B2 U L U' R2 B
R' B2 U2 B2 U' R' B
U2 B2 U2 L U' R2 B
U B2 U' L U' R2 B
F' B2 U' L B2 U' R2
R B2 D' R F2 L' B
R B2 D' R F2 B L'
R B2 D' R B F2 L'
U B2 F' U' L U' R2
