F2 R' U B' R'
R' F2 U B' R'
R' U D' B' L2 R'
R' U D' B' R' L2
R' U B' R' D' L2
R' U B' D' L2 R'
R' U B' D' R' L2
F2 R' U R B' R'
F2 R' U R' B' R'
F2 R' U R2 B' R'
F2 R' U D B' R'
F2 R' U D' B' R'
F2 R' U D2 B' R'
F2 R' U B' R' D
F2 R' U B' R' D'
F2 R' U B' R' D2
F2 R' U B' D R'
F2 R' U B' D' R'
F2 R' U B' D2 R'
D' R' U B' L2 R'
D' R' U B' R' L2
F2 R' D U B' R'
F2 R' D' U B' R'
F2 R' D2 U B' R'
F R' F U B' R'
R' D' U B' L2 R'
R' D' U B' R' L2
F2 D R' U B' R'
F2 D' R' U B' R'
R' F2 U R B' R'
R' F2 U R' B' R'
R' F2 U R2 B' R'
R' F2 U D B' R'
R' F2 U D' B' R'
R' F2 U D2 B' R'
R' F2 U B' R' D
R' F2 U B' R' D'
R' F2 U B' R' D2
R' F2 U B' D R'
R' F2 U B' D' R'
R' F2 U B' D2 R'
R' F2 D U B' R'
R F2 R2 U B' R'
R' F2 D' U B' R'
R' F2 D2 U B' R'
F2 D2 R' U B' R'
D2 B2 L F U' B
F2 R' U2 R' F' U' B'
F2 R' U2 F U' B' R'
F2 R' U2 F' U' B' R'
F2 R' U2 F2 U' B' R'
D2 R' D U B' L2 R'
D2 R' D U B' R' L2
F' R' D U B' L R'
F' R' D U B' R' L
D' R' D F2 U B' R'
F2 R' D U R B' R'
F2 R' D U R' B' R'
F2 R' D U R2 B' R'
F2 R' D U B' R' D
F2 R' D U B' R' D'
F2 R' D U B' R' D2
F2 R' D U B' D R'
F2 R' D U B' D' R'
F2 R' D U B' D2 R'
F R' D F U B' R'
F2 R' D' U R B' R'
F2 R' D' U R' B' R'
F2 R' D' U R2 B' R'
F2 R' D' U B' R' D
F2 R' D' U B' R' D'
F2 R' D' U B' R' D2
F2 R' D' U B' D R'
F2 R' D' U B' D' R'
F2 R' D' U B' D2 R'
F R' D' F U B' R'
D2 R' D2 F2 U B' R'
F2 R' D2 U R B' R'
F2 R' D2 U R' B' R'
F2 R' D2 U R2 B' R'
F2 R' D2 U B' R' D
F2 R' D2 U B' R' D'
F2 R' D2 U B' R' D2
F2 R' D2 U B' D R'
F2 R' D2 U B' D' R'
F2 R' D2 U B' D2 R'
D' R' F U B' L2 R'
D' R' F U B' R' L2
F R' D2 F U B' R'
F R' F U R B' R'
F R' F U R' B' R'
F R' F U R2 B' R'
F R' F U D B' R'
F R' F U D' B' R'
F R' F U D2 B' R'
F R' F U B' R' D
F R' F U B' R' D'
F R' F U B' R' D2
F R' F U B' D R'
F R' F U B' D' R'
F R' F U B' D2 R'
D' R' F' U B' L2 R'
D' R' F' U B' R' L2
F R' F D U B' R'
F R' F D' U B' R'
F R' F D2 U B' R'
D' R' F2 U B' L2 R'
D' R' F2 U B' R' L2
R2 U2 R F2 B U B2
R2 U2 R B F2 U B2
U2 R' F2 U2 F U' B'
F2 R' B L' B' U B'
F2 R' B U B' R' B'
U R' F2 B U B2 R'
U R' F2 B2 U B R'
F2 R' B' L' B' U B
U R' B F2 U B2 R'
F2 R' B2 L' B' U B2
F2 R' B2 U B' R' B2
U R' B2 F2 U B R'
F2 R2 U B' R' D' F2
F2 R2 D R U B' R'
F2 R2 D' R U B' R'
F2 R2 D2 R U B' R'
R' D U B' D2 L2 R'
R' D U B' D2 R' L2
R' D U' R2 U2 B' R'
U R2 B' R' D' L2 F2
U R2 B' R' D' F2 L2
F2 U R D' F2 B' R'
F2 U R D' B' R' F2
F2 U R D' B' F2 R'
F2 U R B' D' R' F2
F2 U R B' D' F2 R'
F2 U R2 B' R' D' F2
D2 U B2 L U' B R'
R2 D' R U B' L2 R'
R2 D' R U B' R' L2
L' D' R' B' L U L
R' D' U R B' L2 R'
R' D' U R B' R' L2
R' D' U R' B' L2 R'
R' D' U R' B' R' L2
R' D' U R2 B' L2 R'
R' D' U R2 B' R' L2
F2 U B' R2 D' R F'
R' D' U B' L2 R' D
R' D' U B' L2 R' D'
R' D' U B' L2 R' D2
R' D' U B' L2 D R'
R' D' U B' L2 D' R'
R' D' U B' L2 D2 R'
R' D' U B' R' L2 D
R' D' U B' R' L2 D'
R' D' U B' R' L2 D2
R' D' U B2 L2 B R'
F2 U B' D' R F' R2
R D' U F2 B' L2 R'
R D' U F2 B' R' L2
R D' U B' L2 R' F2
R D' U B' L2 F2 R'
R D' U B' R' L2 F2
R D' U B' R' F2 L2
R D' U B' F2 L2 R'
R D' U B' F2 R' L2
R' D' F U B' L2 R'
R' D' F U B' R' L2
R' D' F' U B' L2 R'
R' D' F' U B' R' L2
R' D' F2 U B' L2 R'
R' D' F2 U B' R' L2
F U' R' F U R B'
F U' R' F U B' R
F U' F R' U R2 B'
F U' F R' U B' R2
U D2 B2 L U' B R'
D' F R' U B' L2 R'
D' F R' U B' R' L2
U' F R' F U R2 B'
U' F R' F U B' R2
R F R2 F U B' R'
R' F D F U B' R'
R' F D' F U B' R'
R' F D2 F U B' R'
F2 D R' U R B' R'
F2 D R' U R' B' R'
F2 D R' U R2 B' R'
F2 D R' U D B' R'
F2 D R' U D' B' R'
F2 D R' U D2 B' R'
F2 D R' U B' R' D
F2 D R' U B' R' D'
F2 D R' U B' R' D2
F2 D R' U B' D R'
F2 D R' U B' D' R'
F2 D R' U B' D2 R'
F2 D R' D U B' R'
F2 D R' D' U B' R'
F2 D R' D2 U B' R'
D2 F B2 L F U' B
F D R' F U B' R'
F' D F' R' U B' R'
F D F R' U B' R'
D' F' R' U B' L2 R'
D' F' R' U B' R' L2
B2 D' L F U' L B
B' D' L2 R D F' R
R' F' D F' U B' R'
R' F' D' F' U B' R'
B' D' R L2 D F' R
R' F' D2 F' U B' R'
F2 D' R' U R B' R'
F2 D' R' U R' B' R'
F2 D' R' U R2 B' R'
F2 D' R' U D B' R'
F2 D' R' U D' B' R'
F2 D' R' U D2 B' R'
F2 D' R' U B' R' D
F2 D' R' U B' R' D'
F2 D' R' U B' R' D2
F2 D' R' U B' D R'
F2 D' R' U B' D' R'
F2 D' R' U B' D2 R'
F2 D' R' D U B' R'
F2 D' R' D' U B' R'
F2 D' R' D2 U B' R'
D2 F' B2 L F U' B
F D' R' F U B' R'
L' F2 L R' U B' R'
R' F2 L' D' B' L U
R' F2 L' B' L U B'
F' D' F' R' U B' R'
F D' F R' U B' R'
L' F2 R' L U B' R'
D' F2 R' U B' L2 R'
D' F2 R' U B' R' L2
U2 F2 R B R2 U B2
L' F2 R' D' B' L U
L' F2 R' B' L U B'
U2 F2 R' U2 F' U' B'
R' F2 U R D B' R'
R' F2 U R D' B' R'
R' F2 U R D2 B' R'
R' F2 U R B' R' D
R' F2 U R B' R' D'
R' F2 U R B' R' D2
R' F2 U R B' D R'
R' F2 U R B' D' R'
R' F2 U R B' D2 R'
R' F2 U R' D B' R'
R' F2 U R' D' B' R'
R' F2 U R' D2 B' R'
R' F2 U R' B' R' D
R' F2 U R' B' R' D'
R' F2 U R' B' R' D2
R' F2 U R' B' D R'
R' F2 U R' B' D' R'
R' F2 U R' B' D2 R'
R' F2 U R2 D B' R'
R' F2 U R2 D' B' R'
R' F2 U R2 D2 B' R'
R' F2 U R2 B' R' D
R' F2 U R2 B' R' D'
R' F2 U R2 B' R' D2
R' F2 U R2 B' D R'
R' F2 U R2 B' D' R'
R' F2 U R2 B' D2 R'
R' F2 U D R B' R'
R' F2 U D R' B' R'
R' F2 U D R2 B' R'
R' F2 U D B' R' D
R' F2 U D B' R' D'
R' F2 U D B' R' D2
R' F2 U D B' D R'
R' F2 U D B' D' R'
R' F2 U D B' D2 R'
R' F2 U D' R B' R'
R' F2 U D' R' B' R'
R' F2 U D' R2 B' R'
R' F2 U D' B' R' D
R' F2 U D' B' R' D'
R' F2 U D' B' R' D2
R' F2 U D' B' D R'
R' F2 U D' B' D' R'
R' F2 U D' B' D2 R'
R' F2 U D2 R B' R'
R' F2 U D2 R' B' R'
R' F2 U D2 R2 B' R'
R' F2 U D2 B' R' D
R' F2 U D2 B' R' D'
R' F2 U D2 B' R' D2
R' F2 U D2 B' D R'
R' F2 U D2 B' D' R'
R' F2 U D2 B' D2 R'
R' F2 U F' B' R' F
R' F2 U F2 B' R' F2
R' F2 U B R B2 R'
R' F2 U B R' B2 R'
R' F2 U B R2 B2 R'
R' F2 U B' R2 D R
R' F2 U B' R2 D' R
R' F2 U B' R2 D2 R
R' F2 U B' D R' D
R' F2 U B' D R' D'
R' F2 U B' D R' D2
R' F2 U B' D' R' D
R' F2 U B' D' R' D'
R' F2 U B' D' R' D2
U F2 R' B U B2 R'
R' F2 U B' D2 R' D
R' F2 U B' D2 R' D'
R' F2 U B' D2 R' D2
R' F2 U B' F' R' F
R' F2 U B' F2 R' F2
U F2 R' B2 U B R'
R' F2 U' L2 F U2 R
R' F2 U' F U2 R B'
R' F2 U' F U2 B' R
R F2 R2 U R B' R'
R F2 R2 U R' B' R'
R F2 R2 U R2 B' R'
R F2 R2 U D B' R'
R F2 R2 U D' B' R'
R F2 R2 U D2 B' R'
R F2 R2 U B' R' D
R F2 R2 U B' R' D'
R F2 R2 U B' R' D2
R F2 R2 U B' D R'
R F2 R2 U B' D' R'
R F2 R2 U B' D2 R'
R F2 R2 D U B' R'
R F2 R2 D' U B' R'
R F2 R2 D2 U B' R'
R' F2 U2 R' F' U' B'
R' F2 U2 F U' B' R'
B2 D2 L F B2 U' B'
R' F2 U2 F' U' B' R'
R' F2 U2 F2 U' B' R'
R F2 U D' F2 B' R'
R F2 U D' B' R' F2
R F2 U D' B' F2 R'
B2 D2 L B2 F U' B'
U' F2 D R' B U B2
R F2 U B' D' R' F2
R F2 U B' D' F2 R'
R' F2 D U R B' R'
R' F2 D U R' B' R'
R' F2 D U R2 B' R'
R' F2 D U B' R' D
R' F2 D U B' R' D'
R' F2 D U B' R' D2
R' F2 D U B' D R'
R' F2 D U B' D' R'
R' F2 D U B' D2 R'
R' F2 D' U R B' R'
R' F2 D' U R' B' R'
R' F2 D' U R2 B' R'
R' F2 D' U B' R' D
R' F2 D' U B' R' D'
R' F2 D' U B' R' D2
R' F2 D' U B' D R'
R' F2 D' U B' D' R'
R' F2 D' U B' D2 R'
L' F2 D' R' B' L U
R' F2 D2 U R B' R'
R' F2 D2 U R' B' R'
R' F2 D2 U R2 B' R'
R' F2 D2 U B' R' D
R' F2 D2 U B' R' D'
R' F2 D2 U B' R' D2
R' F2 D2 U B' D R'
R' F2 D2 U B' D' R'
R' F2 D2 U B' D2 R'
L' F2 D2 R' B' U B2
R' F2 B L' B' U B'
F2 D2 R' U R B' R'
F2 D2 R' U R' B' R'
F2 D2 R' U R2 B' R'
F2 D2 R' U D B' R'
F2 D2 R' U D' B' R'
F2 D2 R' U D2 B' R'
F2 D2 R' U B' R' D
F2 D2 R' U B' R' D'
F2 D2 R' U B' R' D2
F2 D2 R' U B' D R'
F2 D2 R' U B' D' R'
F2 D2 R' U B' D2 R'
R' F2 B U B' R' B'
F2 D2 R' D U B' R'
F2 D2 R' D' U B' R'
F2 D2 R' D2 U B' R'
R' F2 B' L' B' U B
R F2 D' U F2 B' R'
R F2 D' U B' R' F2
R F2 D' U B' F2 R'
D2 F2 B2 L F U' B
R' F2 B2 L' B' U B2
F D2 R' F U B' R'
R' F2 B2 U B' R' B2
U F2 B U B2 R' F'
R' B L' F2 B' U B'
R' B L' B' F2 U B'
F' D2 F' R' U B' R'
F D2 F R' U B' R'
F2 B L' B' R' U B'
R' B F2 L' B' U B'
R' B F2 U B' R' B'
F2 B U B' R' F' B'
F2 B U B' R' B' F'
R' B' L' F2 B' U B
U B F2 U B2 R' F'
R' B' L' B' F2 U B
D2 B' U B' L U' R'
U B' R2 D' L2 R F'
U B' R2 D' R L2 F'
U B' R2 D' R F' L2
U' B' D' L2 F R F'
U' B' D' F L2 R F'
U' B' D' F R L2 F'
U' B' D' F R F' L2
U B' D' L2 R F' R2
U B' D' R L2 F' R2
U B' D' R F' L2 R2
U B' D' R F' R2 L2
R' B' F2 L' B' U B
D2 B2 L D F U' B
D2 B2 L D' F U' B
D2 B2 L D2 F U' B
D2 B2 L F U' D B
D2 B2 L F U' D' B
D2 B2 L F U' D2 B
D2 B2 L F U' B D
D2 B2 L F U' B D'
D2 B2 L F U' B D2
D2 B2 L F D U' B
D2 B2 L F D' U' B
D2 B2 L F D2 U' B
D' B2 L F U' L B
R' B2 L' F2 B' U B2
R' B2 L' B' F2 U B2
B F2 L' B' R' U B'
D2 B2 D L F U' B
D2 B2 D' L F U' B
B F2 U B' R' F' B'
B F2 U B' R' B' F'
D2 B2 D2 L F U' B
D2 B2 F L F U' B
D2 B2 F' L F U' B
D2 B2 F2 L F U' B
R' B2 F2 L' B' U B2
R' B2 F2 U B' R' B2
