D F2 L R B2 U'
D F2 L B2 R U'
D F2 R L B2 U'
D' B2 L' R' F2 U
D' B2 L' F2 R' U
D' B2 R' L' F2 U
L D B2 D R2 U' R
U' D F2 R L B2 U'
L D B2 D2 U' R' B2
U2 D F2 L R B2 U'
U2 D F2 L B2 R U'
U2 D F2 R L B2 U'
D U F2 L R B2 U'
D U F2 L B2 R U'
D U F2 R L B2 U'
U D F2 L R B2 U'
U D F2 L B2 R U'
U D F2 R L B2 U'
D' U B2 L' R' F2 U
D' U B2 L' F2 R' U
D' U B2 R' L' F2 U
L2 D' U F2 L R U
L2 D' U F2 R L U
R2 D' U B2 L' R' U
R2 D' U B2 R' L' U
L D' U' B2 R' D' L2
L D' U' B2 D' L2 R'
L D' U' B2 D' R' L2
L D' U2 F2 U B2 R'
L' D' F2 U R D2 F2
L' D' F2 U D2 R F2
L' D' F2 U' B2 U2 R
L' D' F2 D' R2 U R'
L' D' F2 D2 U R F2
R' D' B2 L' R' U L2
R' D' B2 R' L' U L2
D U' F2 L R B2 U'
D U' F2 L B2 R U'
D U' F2 R L B2 U'
D' U' B2 L' R' F2 U
U' D' B2 L' R' F2 U
D' U' B2 L' F2 R' U
U' D' B2 L' F2 R' U
D' U' B2 R' L' F2 U
U' D' B2 R' L' F2 U
U2 D' B2 L' R' F2 U
U2 D' B2 L' F2 R' U
U2 D' B2 R' L' F2 U
L' D2 L2 D' F2 B2 R'
L' D2 L2 D' B2 R' F2
L' D2 L2 D' B2 F2 R'
U D' B2 L' R' F2 U
U D' B2 L' F2 R' U
U D' B2 R' L' F2 U
L D2 L2 D F2 R B2
L D2 L2 D F2 B2 R
L D2 L2 D B2 F2 R
L' D2 R2 U' L' U2 L'
L' D2 R2 D F2 U R
L' D2 R2 F2 U L2 R
L' D2 R2 F2 U R L2
L D2 R2 U L U2 L
L D2 R2 D' B2 U' R'
L D2 R2 B2 U' L2 R'
L D2 R2 B2 U' R' L2
L' D2 F2 R2 U L2 R'
L' D2 F2 R2 U R' L2
D U2 F2 L R B2 U'
D U2 F2 L B2 R U'
D U2 F2 R L B2 U'
D' U2 B2 L' R' F2 U
D' U2 B2 L' F2 R' U
D' U2 B2 R' L' F2 U
L D2 B2 R2 U' L2 R
L D2 B2 R2 U' R L2
L2 F R2 U L U F
F2 D L R F2 B2 U'
F2 D L R B2 F2 U'
F2 D L B2 R F2 U'
F2 D R L F2 B2 U'
F2 D R L B2 F2 U'
F2 D R F2 L B2 U'
D F' L F' R B2 U'
D F' L F' B2 R U'
D F' L B2 F' R U'
B2 D F2 B2 L R U'
B2 D F2 B2 R L U'
B2 D B2 F2 L R U'
B2 D B2 F2 R L U'
B2 D' L' R' F2 B2 U
B2 D' L' R' B2 F2 U
B2 D' L' F2 R' B2 U
B2 D' R' L' F2 B2 U
B2 D' R' L' B2 F2 U
B2 D' R' B2 L' F2 U
D2 F2 L R U' L R
D2 F2 L R U' R L
D F2 L R U' D L2
D F2 L R D U' L2
D F2 L R B2 U' D
D F2 L R B2 U' D'
D F2 L R B2 U' D2
D F2 L R B2 D U'
D F2 L R B2 D' U'
D F2 L R B2 D2 U'
D F2 L R' B2 R2 U'
D F2 L D R U' L2
D F2 L B' R B' U'
D F2 L B2 R U' D
D F2 L B2 R U' D'
D F2 L B2 R U' D2
D F2 L B2 R D U'
D F2 L B2 R D' U'
D F2 L B2 R D2 U'
D F2 L B2 D R U'
D F2 L B2 D' R U'
D F2 L B2 D2 R U'
D F2 L' R B2 L2 U'
D2 F2 R L U' L R
D2 F2 R L U' R L
D F2 L' B2 L2 R U'
D F2 L' B2 R L2 U'
R2 F2 L2 U' L' R U'
R2 F2 L2 U' R L' U'
D F2 L2 R B2 L' U'
D F2 L2 B2 L' R U'
D F2 L2 B2 R L' U'
D F2 R L U' D L2
D F2 R L D U' L2
D F2 R L B2 U' D
D F2 R L B2 U' D'
D F2 R L B2 U' D2
D F2 R L B2 D U'
D F2 R L B2 D' U'
D F2 R L B2 D2 U'
D F2 R L' B2 L2 U'
D F2 R L2 B2 L' U'
D F2 R D L U' L
F2 D' F2 B2 L' R' U
F2 D' F2 B2 R' L' U
D F2 R B2 U2 R' U
D F2 R' L B2 R2 U'
D' F2 R2 B2 L R' U
D' F2 R2 B2 R' L U
L2 F2 R2 U L R' U
L2 F2 R2 U R' L U
L' F2 U R D F2 L'
F2 D' B2 F2 L' R' U
F2 D' B2 F2 R' L' U
F2 D2 L R U' L R
F2 D2 L R U' R L
B2 D2 L' R' U L' R'
B2 D2 L' R' U R' L'
D F2 D L R U' L
D F2 D R L U' L
F2 D2 R L U' L R
F2 D2 R L U' R L
L' F2 D2 R2 U L2 R'
L' F2 D2 R2 U R' L2
B2 D2 R' L' U L' R'
B2 D2 R' L' U R' L'
D' F2 B2 R' U D B2
D' F2 B2 R' U2 R2 U'
D' F2 B2 R' D U B2
D' F2 B2 R' D2 L2 U
D F2 B2 R U' D' F2
D F2 B2 R U2 R2 U
D F2 B2 R D' U' F2
D F2 B2 R D2 L2 U'
D' B L' F2 B R' U
D' B L' B R' F2 U
D' B L' B F2 R' U
L2 B' R2 U' L' U' B'
D' B2 L R' F2 L2 U
D' B2 L F2 L2 R' U
D' B2 L F2 R' L2 U
D2 B2 L' R' U L' R'
D2 B2 L' R' U R' L'
D' B2 L' R F2 R2 U
D' B2 L' R' U D' L2
D' B2 L' R' D' U L2
D' B2 L' R' F2 U D
D' B2 L' R' F2 U D'
D' B2 L' R' F2 U D2
D' B2 L' R' F2 D U
D' B2 L' R' F2 D' U
D' B2 L' R' F2 D2 U
D' B2 L' D' R' U L2
D' B2 L' F R' F U
D' B2 L' F2 R' U D
D' B2 L' F2 R' U D'
D' B2 L' F2 R' U D2
D' B2 L' F2 R' D U
D' B2 L' F2 R' D' U
D' B2 L' F2 R' D2 U
D' B2 L' F2 D R' U
D' B2 L' F2 D' R' U
D' B2 L' F2 D2 R' U
D' B2 L2 R' F2 L U
D' B2 L2 F2 L R' U
D' B2 L2 F2 R' L U
D' B2 R L' F2 R2 U
R2 B2 L2 U L R' U
R2 B2 L2 U R' L U
D2 B2 R' L' U L' R'
D2 B2 R' L' U R' L'
D' B2 R' L F2 L2 U
D' B2 R' L' U D' L2
D' B2 R' L' D' U L2
D' B2 R' L' F2 U D
D' B2 R' L' F2 U D'
D' B2 R' L' F2 U D2
D' B2 R' L' F2 D U
D' B2 R' L' F2 D' U
D' B2 R' L' F2 D2 U
D' B2 R' L2 F2 L U
D' B2 R' D' L' U L'
D' B2 R' F2 U2 R U'
L2 B2 R2 U' L' R U'
L2 B2 R2 U' R L' U'
D B2 R2 F2 L' R U'
D B2 R2 F2 R L' U'
L B2 U' R' D' B2 L
D' B2 D' L' R' U L'
D' B2 D' R' L' U L'
L B2 D2 R2 U' L2 R
L B2 D2 R2 U' R L2
D' B2 F2 R' U D B2
D' B2 F2 R' U2 R2 U'
D' B2 F2 R' D U B2
D' B2 F2 R' D2 L2 U
D B2 F2 R U' D' F2
D B2 F2 R U2 R2 U
D B2 F2 R D' U' F2
D B2 F2 R D2 L2 U'
