U2 F U2 F'
B L2 F B' L2
B2 L2 B' L2 F
B L2 B' F L2
U2 D F U2 F'
U2 D' F U2 F'
D U2 F U2 F'
D' U2 F U2 F'
U2 D2 F U2 F'
D2 U2 F U2 F'
B' U2 F B U2
B' U2 B F U2
B2 U2 F B2 U2
F' U2 F2 U2 F2
F2 U2 F' U2 F
B U2 F B' U2
B2 U2 B2 F U2
B U2 B' F U2
U2 F U2 D F'
U2 F U2 D' F'
U2 F U2 D2 F'
U2 F U2 F' D
U2 F U2 F' D'
U2 F U2 F' D2
U2 F D U2 F'
U2 F D' U2 F'
U2 F D2 U2 F'
U2 F B U2 F'
U2 F B' U2 F'
U2 F B2 U2 F'
L2 B L2 F B2
L2 B L2 B2 F
F' D2 B2 D2 F2
U2 B F U2 F'
U2 B' F U2 F'
B2 F' D2 F2 B2
B2 F' D2 B2 F2
D F' U2 F2 U2 F2
U2 F' D2 U2 F B2
U2 F' D2 U2 B2 F
B D' L2 F B' L2
D2 F' D2 B2 D2 F2
D' F' D2 B2 D2 F2
B D' L2 B' F L2
L2 F' B L2 F B2
L2 F' B L2 B2 F
D F' D2 B2 D2 F2
D2 F' B2 D2 F2 B2
D2 F' B2 D2 B2 F2
D' F' B2 D2 F2 B2
D' F' B2 D2 B2 F2
R' F2 L' F' U2 L
B' D' U2 F B U2
D F' B2 D2 F2 B2
D F' B2 D2 B2 F2
B' D' U2 B F U2
F2 D' U2 F' U2 F
B D' U2 F B' U2
B D' U2 B' F U2
D' F2 U2 F' U2 F
D2 F2 U2 F' U2 F
D F2 U2 F' U2 F
B2 D2 L2 F2 B' L2
B2 D2 L2 B' L2 F2
B2 D2 L2 B' F2 L2
U2 F2 D2 F' B2 U2
B D2 L2 F B' L2
U2 F2 D2 B2 F' U2
B D2 L2 B' F L2
L2 F2 B L2 F B2
L2 F2 B L2 B2 F
R2 F2 B' R2 F' B
R2 F2 B' R2 B F'
B2 D2 R2 F2 R2 B
B' D2 U2 F B U2
B' D2 U2 B F U2
B2 D2 U2 F U2 F
F' D2 F B2 D2 F2
F2 D2 U2 F' U2 F
L2 B L' B2 L' F
F' D2 F' B2 D2 F2
D2 B L2 F B' L2
B D2 U2 F B' U2
D' B L2 F B' L2
L2 B L2 F B2 D
L2 B L2 F B2 D'
L2 B L2 F B2 D2
D2 B L2 B' F L2
B D2 U2 B' F U2
D' B L2 B' F L2
L2 B L2 B2 D F
L2 B L2 B2 D' F
L2 B L2 B2 D2 F
L2 B L2 B2 F D
L2 B L2 B2 F D'
L2 B L2 B2 F D2
B2 D2 F' D2 F' B2
B2 D2 F' D2 B2 F'
F' D2 F2 B2 D2 F2
B2 D2 F2 R2 B R2
B2 D2 F2 U2 F' U2
D B L2 F B' L2
D B L2 B' F L2
F' D2 B2 U2 B2 U2
F' D2 B2 D2 F2 D
F' D2 B2 D2 F2 D'
F' D2 B2 D2 F2 D2
F' D2 B2 F D2 F2
F' D2 B2 F' D2 F2
F' D2 B2 F2 D2 F2
D2 B U2 F B' U2
F' B L2 F L2 B'
D2 B U2 B' F U2
D' B U2 F B' U2
D' B U2 B' F U2
U2 B D F U2 F'
D B U2 F B' U2
D B U2 B' F U2
U2 B D' F U2 F'
U2 B D2 F U2 F'
L2 B F L2 F B2
L2 B F L2 B2 F
U2 B F U2 D F'
U2 B F U2 D' F'
U2 B F U2 D2 F'
U2 B F U2 F' D
U2 B F U2 F' D'
U2 B F U2 F' D2
U2 B F D U2 F'
U2 B F D' U2 F'
U2 B F D2 U2 F'
L2 B F' L2 F B2
L2 B F' L2 B2 F
L2 B F2 L2 F B2
L2 B F2 L2 B2 F
F' B U2 F2 B' U2
F' B U2 B' F2 U2
B' F U2 B U2 B'
B2 F U2 B2 U2 B2
L2 B' L2 R2 F' R2
F2 B U2 F' B' U2
L2 B' L2 U2 B U2
F2 B U2 B' F' U2
F2 B U2 B' F' U2
B F U2 B' U2 B
F B U2 B' U2 B
B2 F D2 F2 D2 B2
L2 B' R2 L2 F' R2
L2 B' R2 F' L2 R2
L2 B' R2 F' R2 L2
R2 B' R2 F' D2 B2
D2 B' U2 F B U2
D' B' U2 F B U2
D2 B' U2 B F U2
D' B' U2 B F U2
L2 B' U2 B U2 L2
B F' L2 F L2 B'
F' B' R2 F' R2 B
U2 B' D F U2 F'
D B' U2 F B U2
B' F' R2 F' R2 B
D B' U2 B F U2
U2 B' D' F U2 F'
F2 B' R2 F' B R2
F2 B' R2 B F' R2
U2 B' D2 F U2 F'
U2 B' F U2 D F'
U2 B' F U2 D' F'
U2 B' F U2 D2 F'
U2 B' F U2 F' D
U2 B' F U2 F' D'
U2 B' F U2 F' D2
U2 B' F D U2 F'
U2 B' F D' U2 F'
U2 B' F D2 U2 F'
F' B' U2 F2 B U2
F' B' U2 B F2 U2
B' F' U2 F2 B U2
B' F' U2 B F2 U2
F2 B' U2 F' B U2
R2 B' F2 R2 F' B
F2 B' U2 B F' U2
R2 B' F2 R2 B F'
B2 F' U2 F2 B2 U2
B2 F' U2 B2 F2 U2
B F' U2 F2 B' U2
B F' U2 B' F2 U2
F B' U2 B U2 B'
L B2 L B' L2 F
D2 B2 L2 B' L2 F
B2 F' D2 F2 B2 D
B2 F' D2 F2 B2 D'
B2 F' D2 F2 B2 D2
B2 F' D2 B2 F2 D
B2 F' D2 B2 F2 D'
B2 F' D2 B2 F2 D2
D' B2 L2 B' L2 F
L2 B2 L2 D2 F2 B
L2 B2 L2 D2 B F2
D B2 L2 B' L2 F
B' F2 R2 F' B R2
B' F2 R2 B F' R2
D2 B2 U2 F B2 U2
B2 F2 R2 B R2 F'
D' B2 U2 F B2 U2
F2 B2 R2 B R2 F'
D2 B2 U2 B2 F U2
D' B2 U2 B2 F U2
U2 B2 D F U2 F'
D B2 U2 F B2 U2
F' B2 U2 F2 B2 U2
B' F2 U2 F' B U2
F' B2 U2 B2 F2 U2
U2 B2 D' F U2 F'
D B2 U2 B2 F U2
B' F2 U2 B F' U2
F2 B2 U2 F' B2 U2
B2 F2 U2 F' B2 U2
U2 B2 D2 F U2 F'
B2 F2 U2 B2 F' U2
F2 B2 U2 B2 F' U2
U2 B2 F U2 D F'
U2 B2 F U2 D' F'
U2 B2 F U2 D2 F'
U2 B2 F U2 F' D
U2 B2 F U2 F' D'
U2 B2 F U2 F' D2
U2 B2 F U2 F' D2
U2 B2 F D U2 F'
U2 B2 F D' U2 F'
U2 B2 F D2 U2 F'
B F2 U2 F' B' U2
B F2 U2 B' F' U2
F' B2 D2 F2 B2 D
F' B2 D2 F2 B2 D'
F' B2 D2 F2 B2 D2
D2 B2 F' D2 F2 B2
F B2 U2 B2 U2 B2
D2 B2 F' D2 B2 F2
F' B2 D2 B2 F2 D
F' B2 D2 B2 F2 D'
F' B2 D2 B2 F2 D2
D' B2 F' D2 F2 B2
D' B2 F' D2 B2 F2
D B2 F' D2 F2 B2
D B2 F' D2 B2 F2
F B2 D2 F2 D2 B2
F2 L R U2 L' R' B'
F2 L R U2 R' L' B'
F L R U2 L' R' D
F L R U2 L' R' D'
F L R U2 L' R' D2
F L R U2 L' D R'
F L R U2 L' D' R'
F L R U2 L' D2 R'
F L R U2 R' L' D
F L R U2 R' L' D'
F L R U2 R' L' D2
F L R U2 R' D L'
F L R U2 R' D' L'
F L R U2 R' D2 L'
F L R U2 D L' R'
F L R U2 D R' L'
F L R U2 D' L' R'
F L R U2 D' R' L'
F L R U2 D2 L' R'
F L R U2 D2 R' L'
F L R D U2 L' R'
F L R D U2 R' L'
F L R D' U2 L' R'
F L R D' U2 R' L'
F L R D2 U2 L' R'
F L R D2 U2 R' L'
F' L R F2 R U2 R2
F L R' U2 L' R D
F L R' U2 L' R D'
F L R' U2 L' R D2
F L R' U2 L' D R
F L R' U2 L' D' R
F L R' U2 L' D2 R
F L R' U2 R L' D
F L R' U2 R L' D'
F L R' U2 R L' D2
F L R' U2 R D L'
F L R' U2 R D' L'
F L R' U2 R D2 L'
F L R' U2 D L' R
F L R' U2 D R L'
F L R' U2 D' L' R
F L R' U2 D' R L'
F L R' U2 D2 L' R
F L R' U2 D2 R L'
F L R' D U2 L' R
F L R' D U2 R L'
F L R' D' U2 L' R
F L R' D' U2 R L'
F' L R' F2 L' R U2
F L R' D2 U2 L' R
F L R' D2 U2 R L'
F' L R' F2 R L' U2
L' R U2 L R B R2
F2 L R2 U2 L' B R2
F2 L R2 U2 B L' R2
F2 L R2 U2 B R2 L'
R' L U2 L R B' L2
F L R2 U2 L' R2 D
F L R2 U2 L' R2 D'
F L R2 U2 L' R2 D2
F L R2 U2 R2 L' D
F L R2 U2 R2 L' D'
F L R2 U2 R2 L' D2
F L R2 U2 R2 D L'
F L R2 U2 R2 D' L'
F L R2 U2 R2 D2 L'
R' L U2 L B' L2 R
R' L U2 L B' R L2
L' R U2 R L B R2
R2 L U2 L R2 B' L2
L R U2 L R' B' L2
R2 L U2 L B' L2 R2
R2 L U2 L B' R2 L2
R' L U2 R L B' L2
F L R2 D2 L2 U2 L
F' L R2 F2 R U2 R
R L U2 L R' B' L2
L2 R U2 R B' L2 R2
L2 R U2 R B' R2 L2
L R U2 R' L B' L2
L2 R U2 R' B L2 B2
L2 R U2 R' B' L2 D
L2 R U2 R' B' L2 D'
L2 R U2 R' B' L2 D2
L2 R U2 R' B2 L2 B
R2 L U2 R2 L B' L2
L2 R U2 R2 B' L2 R
L2 R U2 R2 B' R L2
R L U2 R' L B' L2
L R U2 D2 L' R' B
L R U2 D2 R' L' B
L R U2 D2 R' B L'
R L U2 D2 L' R' B
R L U2 D2 R' L' B
R L U2 D2 R' B L'
F' L U2 L' D2 B2 R'
U' L U2 L' U F U2
U2 L U2 L' F U2 L
F L U2 L' U2 L U2
F L U2 L' B2 R' B2
F L U2 L2 D2 L R2
F L U2 L2 D2 R2 L
F' L U2 D2 L' B2 R'
F' L U2 F2 R U2 F2
F' L U2 F2 U2 F2 L'
F2 L U2 F' U2 F L'
L2 R D2 R2 U2 R B'
L2 R D2 R2 U2 B' R
F L U2 B2 L' B2 R'
L R D2 U2 L' R' B
L R D2 U2 R' L' B
L R D2 U2 R' B L'
R L D2 U2 L' R' B
R L D2 U2 R' L' B
R L D2 U2 R' B L'
F L D R U2 L' R'
F L D R U2 R' L'
F L D R' U2 L' R
F L D R' U2 R L'
F L D R2 U2 L' R2
F L D R2 U2 R2 L'
L2 R F U2 R' B' L2
F L D' R U2 L' R'
F L D' R U2 R' L'
F L D' R' U2 L' R
F L D' R' U2 R L'
F L D' R2 U2 L' R2
F L D' R2 U2 R2 L'
F' L D2 L' B2 D2 F2
L2 R F' U2 R' B' L2
F L D2 R U2 L' R'
F L D2 R U2 R' L'
R' L F2 L' R F U2
F L D2 R' U2 L' R
F L D2 R' U2 R L'
F L D2 R2 U2 L' R2
F L D2 R2 U2 R2 L'
F' L D2 U2 L' B2 R'
R' L F2 R L' F U2
F' L D2 B2 L' D2 F2
F' L D2 B2 D2 L' F2
L2 R F2 U2 R' B' L2
B L F' L F B' L'
B L F' L B' F L'
F' L F2 L R U2 R'
F' L F2 L' R U2 R'
F' L F2 L2 R U2 R'
F' L F2 R L U2 R'
F' L F2 R L' U2 R'
F' L F2 R L2 U2 R'
F' L F2 R U2 R' D
F' L F2 R U2 R' D'
F' L F2 R U2 R' D2
F' L F2 R U2 D R'
F' L F2 R U2 D' R'
F' L F2 R U2 D2 R'
F' L F2 R D U2 R'
F' L F2 R D' U2 R'
F' L F2 R D2 U2 R'
F2 L F2 R F U2 R'
F L F2 R F2 U2 R'
F' L F2 D R U2 R'
F' L F2 D' R U2 R'
F' L F2 D2 R U2 R'
U2 L B L' F U2 F'
B L B L F B' L2
B L B L B' F L2
B' L B' L B' L2 F
U2 L B' L' F U2 F'
B L B' L F B' L2
B L B' L B' F L2
D2 L B2 L B' L2 F
D' L B2 L B' L2 F
F' L B2 L' D2 F2 B2
F' L B2 L' D2 B2 F2
D L B2 L B' L2 F
U2 L B2 L' F U2 F'
B L B2 L F B' L2
B L B2 L B' F L2
R' L' U2 L R D B
R' L' U2 L R D' B
R' L' U2 L R D2 B
R' L' U2 L R B D
R' L' U2 L R B D'
R' L' U2 L R B D2
L' R' U2 L R D B
L' R' U2 L R D' B
L' R' U2 L R D2 B
L' R' U2 L R B D
L' R' U2 L R B D'
L' R' U2 L R B D2
R' L' U2 L D R B
R' L' U2 L D' R B
L' R' U2 L D R B
R' L' U2 L D2 R B
L' R' U2 L D' R B
L' R' U2 L D2 R B
R' L' U2 L B R B
R' L' U2 L B' R B
L' R' U2 L B R B
R' L' U2 L B2 R B
L' R' U2 L B' R B
R' L' U2 L' R B L2
L' R' U2 L B2 R B
L' R' U2 L' R B L2
R' L' U2 L2 R B L'
L' R' U2 L2 R B L'
R' L' U2 R L D B
R' L' U2 R L D' B
R' L' U2 R L D2 B
R' L' U2 R L B D
R' L' U2 R L B D'
R' L' U2 R L B D2
R2 L' U2 L R B R
R' L' U2 R L' B L2
L' R' U2 R L D B
L' R' U2 R L D' B
L' R' U2 R L D2 B
L' R' U2 R L B D
L' R' U2 R L B D'
L' R' U2 R L B D2
L R' U2 L R B' L2
R' L' U2 R L2 B L'
L' R' U2 R L' B L2
L' R' U2 R L2 B L'
R' L' U2 R D L B
R' L' U2 R D' L B
L' R' U2 R D L B
L' R' U2 R D' L B
R' L' U2 R D2 L B
L' R' U2 R D2 L B
L R' U2 L B' L2 R
L R' U2 L B' R L2
R L' U2 L R B R2
F' L B2 D2 L' F2 B2
F' L B2 D2 L' B2 F2
R' L' U2 D L R B
L R' U2 R L B' L2
R2 L' U2 R L B R
L' R' U2 D L R B
R' L' U2 D R L B
L' R' U2 D R L B
F' L B2 D2 B2 L' F2
R' L' U2 D' L R B
L' R' U2 D' L R B
R' L' U2 D' R L B
L' R' U2 D' R L B
L2 R' U2 R B L2 B2
L2 R' U2 R B' L2 D
L2 R' U2 R B' L2 D'
L2 R' U2 R B' L2 D2
L2 R' U2 R B2 L2 B
R L' U2 R L B R2
R' L' U2 D2 L R B
L' R' U2 D2 L R B
R' L' U2 D2 R L B
L' R' U2 D2 R L B
L2 R' U2 R' B' L2 R2
L2 R' U2 R' B' R2 L2
R2 L' U2 R2 D2 L B'
R' L' U2 B' R B L
L' R' U2 B' R B L
F L' R U2 L R' D
F L' R U2 L R' D'
F L' R U2 L R' D2
F L' R U2 L D R'
F L' R U2 L D' R'
F L' R U2 L D2 R'
F L' R U2 R' L D
F L' R U2 R' L D'
F L' R U2 R' L D2
F L' R U2 R' D L
F L' R U2 R' D' L
F L' R U2 R' D2 L
F L' R U2 D L R'
F L' R U2 D R' L
L2 R' U2 B L2 R B2
F L' R U2 D' L R'
F L' R U2 D' R' L
L2 R' U2 B L2 B2 R
F L' R U2 D2 L R'
L2 R' U2 B R L2 B2
F L' R U2 D2 R' L
L2 R' U2 B R B2 L2
L2 R' U2 B' L2 R D
L2 R' U2 B' L2 R D'
L2 R' U2 B' L2 R D2
L2 R' U2 B' L2 D R
L2 R' U2 B' L2 D' R
L2 R' U2 B' L2 D2 R
F L' R D U2 L R'
F L' R D U2 R' L
L2 R' U2 B' R L2 D
L2 R' U2 B' R L2 D'
L2 R' U2 B' R L2 D2
L2 R' U2 B2 L2 B R
F L' R D' U2 L R'
F L' R D' U2 R' L
F' L' R F2 U2 L R'
F' L' R F2 U2 R' L
F L' R D2 U2 L R'
F L' R D2 U2 R' L
R' L' D U2 L R B
R' L' D U2 R L B
L' R' D U2 L R B
L' R' D U2 R L B
D2 L' R' U2 L R B
D2 L' R' U2 R L B
D' L' R' U2 L R B
D' L' R' U2 R L B
