B' U2 R' F' B L
B' U2 R' B L F'
B' U2 R' B F' L
L' B' U2 R' B L
B R' L U2 B F L
B' R' L2 F' L' F B
B' R' L2 F' L' B F
B' R' L2 F' B L' F
B' R' L2 B F' L' F
B2 R' U2 B L R' F'
B2 R' U2 B R' L F'
B2 R' U2 B R' F' L
B' R' F' L F L2 B
B' R' F' L F B L2
B' R' F' L B F L2
B' R' F' L' B D2 F2
U2 R' F B L R F2
U2 R' F B R L F2
U2 R' F B R F2 L
B' R' F' B L F L2
B' R' F2 L F L' B
B' R' F2 L F B L'
B' R' F2 L B F L'
U2 R' F' B L D2 R2
B' R' F2 B L F L'
B' R' B L F' L' F2
B' R' B L2 F' L' F
U2 R' B L F R F2
B' R' B F' L F L2
B' R' B F2 L F L'
L U2 R' F B L R
L U2 R' F B R L
U2 R' B F L R F2
U2 R' B F R L F2
U2 R' B F R F2 L
L U2 R' B F L R
L U2 R' B F R L
U2 R' B F' L D2 R2
L U2 R2 F R B L
F R' B' R' B2 L F
L U2 F R' B L R2
L U2 F R' B R2 L
U2 R2 F R F' B L
U2 R2 F R B L F'
U2 R2 F R B F' L
B' U2 L R' F' B L
B' U2 L R' B L F'
B' U2 L R' B F' L
B' U2 L' R' F' B L
B' U2 L' R' B L F'
B' U2 L' R' B F' L
B' U2 L2 R' F' B L
B' U2 L2 R' B L F'
B' U2 L2 R' B F' L
B' U2 R' L F' B L
B' U2 R' L B L F'
B' U2 R' L B F' L
B' U2 R' L' F' B L
B' U2 R' L' B L F'
B' U2 R' L' B F' L
B' U2 R' L2 F' B L
B' U2 R' L2 B L F'
B' U2 R' L2 B F' L
B' U2 R' D F' B L
B' U2 R' D B L F'
B' U2 R' D B F' L
B' U2 R' D' F' B L
B' U2 R' D' B L F'
B' U2 R' D' B F' L
B' U2 R' D2 F' B L
B' U2 R' D2 B L F'
B' U2 R' D2 B F' L
B' U2 R' F B L F2
B' U2 R' F' L B L
B' U2 R' F' L' B L
B' U2 R' F' L2 B L
B' U2 R' F' D B L
B' U2 R' F' D' B L
B' U2 R' F' D2 B L
B' U2 R' F' B L D
B' U2 R' F' B L D'
B' U2 R' F' B L D2
B' U2 R' F' B D L
B' U2 R' F' B D' L
B' U2 R' F' B D2 L
B' U2 R' B L D F'
B' U2 R' B L D' F'
B' U2 R' B L D2 F'
B' U2 R' B L F' D
B' U2 R' B L F' D'
B' U2 R' B L F' D2
B' U2 R' B L' F' L2
B' U2 R' B D L F'
B' U2 R' B D F' L
B' U2 R' B D' L F'
B' U2 R' B D' F' L
B' U2 R' B D2 L F'
B' U2 R' B D2 F' L
B' U2 R' B F L F2
B' U2 R' B F' L D
B' U2 R' B F' L D'
B' U2 R' B F' L D2
B' U2 R' B F' D L
B' U2 R' B F' D' L
B' U2 R' B F' D2 L
B2 U2 R' F' B L R'
B2 U2 R' F' B R' L
B2 U2 R' B L F' R'
B2 U2 R' B F' L R'
B2 U2 R' B F' R' L
F U2 R F' L' B U2
F U2 R F' B L' U2
F U2 R B F' L' U2
B' U2 F R' F' B L
B' U2 F R' B L F'
B' U2 F R' B F' L
B' U2 F' R' F' B L
B' U2 F' R' B L F'
B' U2 F' R' B F' L
B' U2 F2 R' F' B L
B' U2 F2 R' B L F'
B' U2 F2 R' B F' L
L' F R F' B' U2 R'
L' F R B' F' U2 R'
B2 U2 B L R' F' B
B2 U2 B L R' B F'
B2 U2 B R' L F' B
B2 U2 B R' L B F'
B2 U2 B R' F' L B
U2 F R' F' B L R2
U2 F R' F' B R2 L
U2 F R' B L F' R2
L F R F' U2 F R
U2 F R' B F' L R2
U2 F R' B F' R2 L
L F R' B' R' B2 L
L F U2 R F' L' U2
L' F B' R U2 R2 B
L' F B' R F' U2 R2
L F B' R' D2 L2 B
L F B' R' D2 B L2
L F B' R' B D2 L2
D2 F' L F B' L2 R'
D2 F' L F B' R' L2
D2 F' L B' R' F L2
D2 F' L B' F L2 R'
D2 F' L B' F R' L2
L2 F' L' F B' R' B
R F' L U2 F L2 R
R F' L U2 F R L2
L2 F' L' B' R' F B
L2 F' L' B' R' B F
L2 F' L' B' F R' B
L F' L' F2 B' R' B
L F' L' B' R' F2 B
L F' L' B' R' B F2
L F' L' B' F2 R' B
L' F' B' U2 L' R' B
L' F' B' U2 R' L' B
L' F' B' U2 R' B L'
L2 F' B' L' R' F B
L2 F' B' L' R' B F
L2 F' B' L' F R' B
L2 F' B' R' L' F B
L2 F' B' R' L' B F
L2 F' B' R' B L' F
R F' B L U2 F L2
L F' B' L' R' F2 B
L F' B' L' R' B F2
L F' B' L' F2 R' B
D2 F2 L F B' L' R'
D2 F2 L F B' R' L'
L F' B' R' L' F2 B
L F' B' R' L' B F2
L F' B' R' B L' F2
D2 F2 L B' R' F L'
D2 F2 L B' F L' R'
D2 F2 L B' F R' L'
R F' B' U2 L' R' F'
R F' B' U2 R' L' F'
U2 F2 R' F' B L R
U2 F2 R' F' B R L
U2 F2 R' B L F' R
U2 F2 R' B F' L R
U2 F2 R' B F' R L
F' D2 L F B' L2 R'
F' D2 L F B' R' L2
F' D2 L B' R' F L2
F' D2 L B' F L2 R'
F' D2 L B' F R' L2
F2 D2 L F B' L R'
F2 D2 L F B' R' L
F2 D2 L B' R' F L
F2 D2 L B' F L R'
F2 D2 L B' F R' L
R B L F' U2 L' F2
F2 D2 B' L R' F B'
F2 D2 B' L R' B' F
F2 D2 B' L F R' B'
F2 D2 B' R' L F B'
F2 D2 B' R' L B' F
B F L R F' U2 F2
F B L R F' U2 F2
B F R L F' U2 F2
F B R L F' U2 F2
B F R F' L U2 F
F B R F' L U2 F
L' B' L U2 R' B L
R B F' L U2 F L2
L' B' L' U2 R' B L
L' B' L2 U2 R' B L
L' B' R U2 R2 B L
L' B' R F' U2 L' R2
L' B' R F' U2 R2 L'
B' F' L R' F L2 B
B' F' L R' F B L2
B' F' L R' B F L2
F' B' L R' F L2 B
F' B' L R' F B L2
F' B' L R' B F L2
B' F' L F L2 R' B
B' F' L F R' L2 B
B' F' L F R' B L2
L2 B' R' F' L' F B
L2 B' R' F' L' B F
L2 B' R' F' B L' F
L2 B' R' B F' L' F
F2 B' L R' F L' B
F2 B' L R' F B L'
F2 B' L R' B F L'
F' B' L F L2 R' B
F' B' L F R' L2 B
F' B' L F R' B L2
B' F' L' R' B D2 F2
F2 B' L F L' R' B
F2 B' L F R' L' B
F2 B' L F R' B L'
F' B' L' R' B D2 F2
L B' R' F' L' F2 B
L B' R' F' L' B F2
L B' R' F' B L' F2
L B' R' B F' L' F2
L' B' U2 L R' B L
L' B' U2 L' R' B L
L' B' U2 L2 R' B L
L' B' U2 R' L B L
L' B' U2 R' L' B L
L' B' U2 R' L2 B L
L' B' U2 R' D B L
L' B' U2 R' D' B L
L' B' U2 R' D2 B L
L' B' U2 R' B L D
L' B' U2 R' B L D'
L' B' U2 R' B L D2
L' B' U2 R' B D L
L' B' U2 R' B D' L
L' B' U2 R' B D2 L
B' F' R' L F L2 B
B' F' R' L F B L2
B' F' R' L B F L2
B' F' R' L' B D2 F2
F' B' R' L F L2 B
F' B' R' L F B L2
F' B' R' L B F L2
F' B' R' L' B D2 F2
F2 B' R' L F L' B
F2 B' R' L F B L'
B' F' R' B L F L2
F2 B' R' L B F L'
F' B' R' B L F L2
F2 B' R' B L F L'
L B' U2 R' F B L
L B' U2 R' B F L
L B' U2 F R' B L
L' B' F R U2 R2 B
L' B' F R F' U2 R2
B' F' U2 L' R' F' B
B' F' U2 L' R' B F'
B' F' U2 R' L' F' B
B' F' U2 R' L' B F'
B' F' U2 R' B L' F'
F' B' U2 L' R' F' B
F' B' U2 L' R' B F'
F' B' U2 R' L' F' B
F' B' U2 R' L' B F'
L' B' F' U2 L' R' B
L' B' F' U2 R' L' B
L' B' F' U2 R' B L'
F' B' U2 R' B L' F'
L2 B' F' L' R' F B
L2 B' F' L' R' B F
L2 B' F' L' F R' B
L2 B' F' R' L' F B
L2 B' F' R' L' B F
L2 B' F' R' B L' F
L B' F R' D2 L2 B
L B' F R' D2 B L2
L B' F R' B D2 L2
L B' F' L' R' F2 B
L B' F' L' R' B F2
L B' F' L' F2 R' B
L B' F' R' L' F2 B
L B' F' R' L' B F2
L B' F' R' B L' F2
R B' F' U2 L' R' F'
R B' F' U2 R' L' F'
B' F2 L R' F L' B
B' F2 L R' F B L'
B' F2 L R' B F L'
B' F2 L F L' R' B
B' F2 L F R' L' B
B' F2 L F R' B L'
L' B2 R' B R' F' L'
B' F2 R' L F L' B
B' F2 R' L F B L'
B' F2 R' L B F L'
B' F2 R' B L F L'
