F2 L U2 F' B' L2
F2 L U2 B' L2 F'
F2 L U2 B' F' L2
L2 R B' L' U2 B'
F2 L' F' D2 R2 B2
F2 L' F' D2 B2 R2
R L2 B' L' U2 B'
D2 R F' L U2 F2
L U2 F2 B' L' F
L U2 B' F2 L' F
L D2 R U2 F' B'
L D2 R U2 B' F'
R2 F B2 L R' B'
R2 F B2 R' L B'
R F' L U2 F2 B'
R F' L U2 B' F2
R F2 L U2 F' B'
R F2 L U2 B' F'
L F2 U2 B' L' F
F D2 B2 R' B L
L2 B' L' R U2 B'
L2 B' R L' U2 B'
R2 B2 R' F L B'
R2 B2 F L R' B'
R2 B2 F R' L B'
U' L2 B' R L' U2 B'
U2 L2 B' L' R U2 B'
B L2 B' L R F U2
U2 L2 B' R L' U2 B'
B L2 B' R L F U2
U L2 B' L' R U2 B'
U L2 B' R L' U2 B'
D2 R L2 B' L' F' U2
U' R L2 B' L' U2 B'
R2 U F B2 L R' B'
R2 U F B2 R' L B'
U2 R L2 B' L' U2 B'
B R L2 B' L F U2
U R L2 B' L' U2 B'
L U F2 U B' L' F
D2 R U2 F D2 B2 R'
D2 R D F' L U2 F2
R2 U B2 R' F L B'
D2 R D' F' L U2 F2
R2 U B2 F L R' B'
R2 U B2 F R' L B'
D2 R D2 F' L U2 F2
D2 R F L F2 U2 F2
F R D2 B2 R' B L
D2 R F' L U2 F2 D
D2 R F' L U2 F2 D'
D2 R F' L U2 F2 D2
D2 R F' L D2 B2 U2
D2 R F' L B U2 F2
D2 R F' L B' U2 F2
D2 R F' L B2 U2 F2
D2 R F' L2 U2 F2 R
U' R F' L U2 F2 B'
U' R F' L U2 B' F2
U2 R F' L U2 F2 B'
U2 R F' L U2 B' F2
D2 R F' D2 L B2 U2
D2 R F' D2 B2 U2 R'
U R F' L U2 F2 B'
U R F' L U2 B' F2
D2 R F' B2 U2 R' F2
D2 R F' B2 U2 F2 R'
U' R F2 L U2 F' B'
U' R F2 L U2 B' F'
U2 R F2 L U2 F' B'
U2 R F2 L U2 B' F'
U R F2 L U2 F' B'
U R F2 L U2 B' F'
D2 R B2 F' U2 R' F2
D2 R B2 F' U2 F2 R'
R2 U' F B2 L R' B'
R2 U' F B2 R' L B'
R2 U' B2 R' F L B'
R2 U' B2 F L R' B'
R2 U' B2 F R' L B'
R U2 L U2 B' L' F
B2 R' F L D2 B' L2
B2 R' F L B' D2 L2
B2 R' F L' D2 L2 B'
L' U2 L2 R B U2 B2
F R' D2 B2 R' B L
L' U2 R L2 B U2 B2
L' U2 R F L2 B U2
L' U2 R F B L2 U2
L' U2 R B L2 U2 B'
L' U2 R B F L2 U2
L2 U2 R B' L' U2 B2
F2 R2 L B U2 L2 B2
F2 R2 L B U2 B2 L2
R U2 D2 F B2 R' B
R U2 D2 B2 R' F B
R U2 D2 B2 R' B F
R U2 D2 B2 F R' B
R2 U2 F B2 L R' B'
R2 U2 F B2 R' L B'
R U2 F U2 L U2 B'
L U2 F B' L' F L'
R U2 F D2 B2 R' B
R U2 F B2 D2 R' B
L U2 F2 B L' F B2
L U2 F2 B L' B2 F
L U2 F2 B' L' D F
L U2 F2 B' L' D' F
L U2 F2 B' L' D2 F
L U2 F2 B' L' F D
L U2 F2 B' L' F D'
L U2 F2 B' L' F D2
L U2 F2 B2 L' F B
L U2 F2 B2 L' B F
L2 U2 B' L' R U2 B
L2 U2 B' R L' U2 B
L U2 B F2 L' F B2
L U2 B F2 L' B2 F
L U2 B' L' F2 L' F'
L U2 B' F L' F L'
R2 U2 B2 R' F L B'
L U2 B' F2 L' D F
L U2 B' F2 L' D' F
L U2 B' F2 L' D2 F
L U2 B' F2 L' F D
L U2 B' F2 L' F D'
L U2 B' F2 L' F D2
R2 U2 B2 F L R' B'
R2 U2 B2 F R' L B'
R U2 B2 D2 R' F B
R U2 B2 D2 R' B F
R U2 B2 D2 F R' B
R U2 B2 F D2 R' B
L U2 B2 F2 L' F B
L U2 B2 F2 L' B F
U' R2 F B2 L R' B'
F R2 D2 B2 R' B L
U' R2 F B2 R' L B'
U2 R2 F B2 L R' B'
U2 R2 F B2 R' L B'
B R2 F B2 L B' R'
U R2 F B2 L R' B'
U R2 F B2 R' L B'
L2 D R B' L' U2 B'
U' R2 B2 R' F L B'
B2 R2 B2 R F L B'
U2 R2 B2 R' F L B'
U' R2 B2 F L R' B'
U' R2 B2 F R' L B'
U2 R2 B2 F L R' B'
U2 R2 B2 F R' L B'
U R2 B2 R' F L B'
B R2 B2 F L B' R'
F2 U L U2 F' B' L2
F2 U L U2 B' L2 F'
F2 U L U2 B' F' L2
U R2 B2 F L R' B'
U R2 B2 F R' L B'
F2 U L' F' D2 R2 B2
F2 U L' F' D2 B2 R2
D2 U R F' L U2 F2
L2 D B' L' R U2 B'
L2 D B' R L' U2 B'
L2 D' R B' L' U2 B'
F2 U' L U2 F' B' L2
F2 U' L U2 B' L2 F'
F2 U' L U2 B' F' L2
D2 U' R F' L U2 F2
F2 U' L' F' D2 R2 B2
F2 U' L' F' D2 B2 R2
L2 D' B' L' R U2 B'
L2 D' B' R L' U2 B'
L2 D2 R B' L' U2 B'
L D2 R U2 D F' B'
L D2 R U2 D B' F'
L D2 R U2 D' F' B'
L D2 R U2 D' B' F'
L D2 R U2 D2 F' B'
L D2 R U2 D2 B' F'
L D2 R U2 F' D B'
L D2 R U2 F' D' B'
L D2 R U2 F' D2 B'
L D2 R U2 F' B' D
L D2 R U2 F' B' D'
L D2 R U2 F' B' D2
L D2 R U2 B' D F'
L D2 R U2 B' D' F'
L D2 R U2 B' D2 F'
L D2 R U2 B' F' D
L D2 R U2 B' F' D'
L D2 R U2 B' F' D2
L D2 R D U2 F' B'
L D2 R D U2 B' F'
L D2 R D' U2 F' B'
L D2 R D' U2 B' F'
L D2 R D2 U2 F' B'
L D2 R D2 U2 B' F'
L D2 R F U2 F2 B'
L D2 R F U2 B' F2
L D2 R F2 U2 F B'
L D2 R F2 U2 B' F
L D2 R B U2 F' B2
L D2 R B U2 B2 F'
L D2 R B2 U2 F' B
L D2 R B2 U2 B F'
U' D2 R F' L U2 F2
D2 U2 R F' L U2 F2
L D2 R' B R2 U2 B2
U2 D2 R F' L U2 F2
U D2 R F' L U2 F2
F2 U2 L U2 F' B' L2
F2 U2 L U2 B' L2 F'
F2 U2 L U2 B' F' L2
R' D2 F B2 L2 R' B
R' D2 F B2 R' L2 B
R' D2 F B2 R' B L2
F U2 L U2 D2 B' L
F U2 L D2 U2 B' L
F2 U2 L' F' D2 R2 B2
F2 U2 L' F' D2 B2 R2
F U2 L F U2 B' L'
F U2 L F' R U2 B'
R D2 U2 F B2 R' B
R D2 U2 B2 R' F B
R D2 U2 B2 R' B F
R D2 U2 B2 F R' B
R2 D2 F B2 L R' B
R2 D2 F B2 R' L B
F U2 L' F L2 U2 L
L2 D2 B' L' R U2 B'
L2 D2 B' R L' U2 B'
L D2 B R U2 F' B2
L D2 B R U2 B2 F'
R' D2 B2 R' F L2 B
R' D2 B2 R' F B L2
R' D2 B2 R' B F L2
R' D2 B2 F L2 R' B
R' D2 B2 F R' L2 B
R' D2 B2 F R' B L2
R2 D2 B2 R' F L B
R2 D2 B2 F L R' B
R2 D2 B2 F R' L B
R' F L' D2 L2 R2 B'
R' F L' D2 L2 B' R2
R' F L' D2 R2 L2 B'
R D2 B2 U2 R' F B
R D2 B2 U2 R' B F
R D2 B2 U2 F R' B
L' F L2 U2 L' F L'
L' F L2 U2 F L' F
R F L F U2 F' B'
R F L F U2 B' F'
R F L F' U2 F B'
R F L F' U2 B' F
R F L F2 U2 F2 B'
R F L F2 U2 B' F2
F U2 F L U2 B' L2
R F L' F L2 U2 F'
F U2 F' L R U2 B'
F U2 F' R L U2 B'
R' F R' B2 L R' B'
R' F R' B2 R' L B'
R F R B2 L R' B'
R F R B2 R' L B'
R' F U2 L R2 U2 B'
R' F U2 R2 L U2 B'
R2 F U2 L R' U2 B'
R2 F U2 R' L U2 B'
R F U2 L U2 B' L'
L F U2 F B' L' F
L F U2 B' L' F L'
L F U2 B' F L' F
U' F D2 B2 R' B L
R' F D2 B2 L2 R' B
D2 F D2 B' L B' R'
R' F D2 B2 R' L2 B
R' F D2 B2 R' B L2
U2 F D2 B2 R' B L
R2 F D2 B2 L R' B
R2 F D2 B2 R' L B
U F D2 B2 R' B L
R' F B2 R' B2 L B'
R2 F B' L B' L R'
R2 F B' L B' R' L
R' F B2 D2 L2 R' B
R' F B2 D2 R' L2 B
R' F B2 D2 R' B L2
R' F' L R2 U2 F2 B'
R' F' L R2 U2 B' F2
R2 F B2 L R B' R2
R2 F B2 L R' D B'
R2 F B2 L R' D' B'
R2 F B2 L R' D2 B'
R2 F B2 L R' B' D
R2 F B2 L R' B' D'
R2 F B2 L R' B' D2
R2 F B2 L R2 B' R
R2 F B2 L D R' B'
R2 F B2 L D' R' B'
R2 F B2 L D2 R' B'
R2 F B2 R L B' R2
R2 F B2 R' L D B'
R2 F B2 R' L D' B'
R2 F B2 R' L D2 B'
R2 F B2 R' L B' D
R2 F B2 R' L B' D'
R2 F B2 R' L B' D2
R2 F B2 R2 L B' R
R2 F B2 D2 L R' B
R2 F B2 D2 R' L B
R2 F' L R' U2 F2 B'
R2 F' L R' U2 B' F2
R F' L U2 F2 D B'
R F' L U2 F2 D' B'
R F' L U2 F2 D2 B'
R F' L U2 F2 B' D
R F' L U2 F2 B' D'
R F' L U2 F2 B' D2
R F' L U2 B' F2 D
R F' L U2 B' F2 D'
R F' L U2 B' F2 D2
R F' L D2 B2 U2 B
R F' L F U2 F B'
R F' L F U2 B' F
R F' L F' U2 F' B'
R F' L F' U2 B' F'
R F' L B U2 F2 B2
R F' L B U2 B2 F2
R F' L B2 U2 F2 B
R F' L B2 U2 B F2
R F' L' F L2 B' U2
R F' L2 U2 F2 R B
R' F' R2 L U2 F2 B'
R' F' R2 L U2 B' F2
R2 F' R' L U2 F2 B'
R2 F' R' L U2 B' F2
R F' D2 B2 U2 R' B
R' F2 L R2 B U2 B2
U' F2 L U2 F' B' L2
U' F2 L U2 B' L2 F'
U' F2 L U2 B' F' L2
R2 F' B2 L R' F2 B'
R2 F' B2 L R' B' F2
R2 F' B2 L F2 R' B'
R2 F' B2 R' L F2 B'
R2 F' B2 R' L B' F2
R2 F' B2 R' F2 L B'
U2 F2 L U2 F' B' L2
U2 F2 L U2 B' L2 F'
U2 F2 L U2 B' F' L2
U' F2 L' F' D2 R2 B2
U' F2 L' F' D2 B2 R2
U F2 L U2 F' B' L2
U F2 L U2 B' L2 F'
U F2 L U2 B' F' L2
L2 F2 L' D2 R F' B'
L2 F2 L' D2 R B' F'
L2 F2 L' D2 B' R F'
U2 F2 L' F' D2 R2 B2
U2 F2 L' F' D2 B2 R2
R F2 L U2 D F' B'
R F2 L U2 D B' F'
R F2 L U2 D' F' B'
R F2 L U2 D' B' F'
R F2 L U2 D2 F' B'
R F2 L U2 D2 B' F'
R F2 L U2 F' D B'
R F2 L U2 F' D' B'
R F2 L U2 F' D2 B'
R F2 L U2 F' B' D
R F2 L U2 F' B' D'
R F2 L U2 F' B' D2
R F2 L U2 B' D F'
R F2 L U2 B' D' F'
R F2 L U2 B' D2 F'
R F2 L U2 B' F' D
R F2 L U2 B' F' D'
R F2 L U2 B' F' D2
L2 F2 L' B' D2 R F'
R F2 L D U2 F' B'
R F2 L D U2 B' F'
R F2 L D' U2 F' B'
R F2 L D' U2 B' F'
L2 F2 L2 R F L B'
R F2 L D2 U2 F' B'
R F2 L D2 U2 B' F'
R F2 L F U2 F2 B'
R F2 L F U2 B' F2
R F2 L F2 U2 F B'
R F2 L F2 U2 B' F
R F2 L B U2 F' B2
R F2 L B U2 B2 F'
R F2 L B2 U2 F' B
R F2 L B2 U2 B F'
U F2 L' F' D2 R2 B2
U F2 L' F' D2 B2 R2
R F2 L' F L2 U2 F2
L2 F2 R L2 F L B'
R' F2 R2 L B U2 B2
L F2 R U2 B' L' F
L F2 R' U2 B' L' F
L F2 R2 U2 B' L' F
L F2 U2 B L' F B2
L F2 U2 B L' B2 F
L F2 U2 B' L' D F
L F2 U2 B' L' D' F
L F2 U2 B' L' D2 F
L F2 U2 B' L' F D
L F2 U2 B' L' F D'
L F2 U2 B' L' F D2
L F2 U2 B2 L' F B
L F2 U2 B2 L' B F
B2 D2 R U2 R2 F B
B2 D2 R U2 R2 B F
B2 D2 R F' U2 R2 F2
B2 D2 R F' U2 F2 R2
B2 D2 R' D2 F L2 B
B2 D2 R' D2 F B L2
B2 D2 R' D2 B F L2
B2 D2 R' F D2 L2 B
B2 D2 R' F D2 B L2
B2 D2 R' F B D2 L2
B D2 R F' U2 R F2
B2 D2 R' B D2 F L2
B2 D2 R' B F D2 L2
D2 F2 B2 L' F' R' B
L F2 B L' F B2 R'
L F2 B L' B2 R' F
L F2 B L' B2 F R'
L2 F2 B' U2 L' R B
L2 F2 B' U2 R L' B
L2 F2 B' U2 R B L'
L F2 B U2 L' F B2
L F2 B U2 L' B2 F
L F2 B U2 B2 L' F
R2 F2 B2 L F' R' B'
L F2 B2 U2 L' F B
L F2 B2 U2 L' B F
L F2 B2 U2 B L' F
L2 B L' R B2 U2 B
L2 B R L' B2 U2 B
B2 D2 F2 L' F' R' B
L2 B R B2 L' U2 B'
R B L2 B' L F U2
F2 D2 B2 L' F' R' B
F' D2 B2 U2 R' B L
F D2 B' L B' R' B
B' F L D2 B' L R'
B' F L D2 B' R' L
B2 F L R' D2 B' L
F D2 B' D2 L B' R'
F D2 B2 L R' B L
B2 F L D2 R' B' L
F D2 B2 L' R' B L
F D2 B2 L2 R' B L
F D2 B2 R' L B L
F D2 B2 R' L' B L
F D2 B2 R' L2 B L
F D2 B2 R' D B L
F D2 B2 R' D' B L
F D2 B2 R' D2 B L
F D2 B2 R' B L D
F D2 B2 R' B L D'
F D2 B2 R' B L D2
F D2 B2 R' B D L
F D2 B2 R' B D' L
F D2 B2 R' B D2 L
L B U2 F2 L' F B2
L B U2 F2 L' B2 F
L B U2 F2 B2 L' F
L B U2 B2 F2 L' F
B2 F R' L D2 B' L
L2 B D2 F2 L' R B'
L2 B D2 F2 L' B' R
L2 B D2 F2 R L' B'
L B D2 R F2 U2 F
L2 B' L R F L2 U2
L B F2 L' F B2 R'
L B F2 L' B2 R' F
L B F2 L' B2 F R'
L2 B' L' R U2 D B'
L2 B' L' R U2 D' B'
L2 B' L' R U2 D2 B'
L2 B' L' R U2 B' D
L2 B' L' R U2 B' D'
L2 B' L' R U2 B' D2
L2 B' L' R D U2 B'
L2 B' L' R D' U2 B'
L2 B' L' R D2 U2 B'
L2 B' L' R F U2 B'
L2 B' L' R F' U2 B'
L2 B' L' R F2 U2 B'
L B F2 U2 L' F B2
L B F2 U2 L' B2 F
L B F2 U2 B2 L' F
L2 B' L' D R U2 B'
L2 B' L' D' R U2 B'
L2 B' L' D2 R U2 B'
L2 B' L' F2 U2 B' L'
L2 B' R L F L2 U2
L2 B' R L' U2 D B'
L2 B' R L' U2 D' B'
L2 B' R L' U2 D2 B'
L2 B' R L' U2 B' D
L2 B' R L' U2 B' D'
L2 B' R L' U2 B' D2
L2 B' R L' D U2 B'
L2 B' R L' D' U2 B'
L2 B' R L' D2 U2 B'
L2 B' R L' F U2 B'
L2 B' R L' F' U2 B'
L2 B' R L' F2 U2 B'
L2 B' R D L' U2 B'
L2 B' R D' L' U2 B'
L2 B' R D2 L' U2 B'
L2 B' R F2 U2 R B
B' F D2 B' L R' B
B' F D2 B' R' L B
B2 F D2 R' B' L B2
F2 B' L F' B' L2 R'
F2 B' L F' B' R' L2
F2 B' L B' L2 F' R'
F2 B' L B' F' L2 R'
F2 B' L B' F' R' L2
F B' L D2 B' L R'
F B' L D2 B' R' L
L2 B' D L' R U2 B'
L2 B' D R L' U2 B'
L2 B' D' L' R U2 B'
L2 B' D' R L' U2 B'
L2 B' D2 L' R U2 B'
L2 B' D2 R L' U2 B'
R2 B' F L B' L R'
R2 B' F L B' R' L
L2 B' F2 U2 L' R B
L2 B' F2 U2 R L' B
L2 B' F2 U2 R B L'
L2 B2 L' B R U2 B2
B' F2 L F' B' L2 R'
B' F2 L F' B' R' L2
B' F2 L B' L2 F' R'
B' F2 L B' F' L2 R'
B' F2 L B' F' R' L2
D2 B2 R U2 R2 F B
D2 B2 R U2 R2 B F
D2 B2 R F' U2 R2 F2
D2 B2 R F' U2 F2 R2
B2 F2 L F' R' B' L2
F2 B2 L F' R' B' L2
R B2 L' F U2 R' F'
F B' D2 B' L R' B
D2 B2 R' D2 F L2 B
D2 B2 R' D2 F B L2
F B' D2 B' R' L B
D2 B2 R' D2 B F L2
R' B2 R' F B2 L B'
D2 B2 R' F D2 L2 B
D2 B2 R' F D2 B L2
D2 B2 R' F B D2 L2
B2 F2 L' F' R' D2 B2
F B2 L R' D2 B' L
B2 F2 L' F' D2 R' B2
D2 B2 R' B D2 F L2
D2 B2 R' B F D2 L2
F2 B2 L' F' R' D2 B2
F2 B2 L' F' D2 R' B2
R' B2 R' B2 F L B'
R2 B2 R F L R2 B'
R2 B2 R F L B' R2
R2 B2 R F R2 L B'
F B2 L D2 R' B' L
R2 B2 R' F L D B'
R2 B2 R' F L D' B'
R2 B2 R' F L D2 B'
R2 B2 R' F L B' D
R2 B2 R' F L B' D'
R2 B2 R' F L B' D2
R2 B2 R' F' L F2 B'
R2 B2 R' F' L B' F2
R2 B2 R' F2 L F' B'
R2 B2 R' F2 L B' F'
R2 B2 U R' F L B'
R2 B2 U F L R' B'
R2 B2 U F R' L B'
F B2 R' L D2 B' L
R2 B2 U' R' F L B'
R2 B2 U' F L R' B'
R2 B2 U' F R' L B'
R2 B2 U2 R' F L B'
R2 B2 U2 F L R' B'
R2 B2 U2 F R' L B'
L B2 U2 F2 L' F B
L B2 U2 F2 L' B F
L B2 U2 F2 B L' F
L B2 U2 B F2 L' F
R' B2 D2 R' F L2 B
R' B2 D2 R' F B L2
R' B2 D2 R' B F L2
R B2 U2 D2 R' F B
R B2 U2 D2 R' B F
R B2 U2 D2 F R' B
R' B2 D2 F L2 R' B
R' B2 D2 F R' L2 B
R' B2 D2 F R' B L2
R B2 U2 F D2 R' B
R' B2 F R' B2 L B'
R' B2 F D2 L2 R' B
R' B2 F D2 R' L2 B
R' B2 F D2 R' B L2
R2 B2 D2 R' F L B
R2 B2 D2 F L R' B
R2 B2 D2 F R' L B
R2 B2 F L R B' R2
R2 B2 F L R' D B'
R2 B2 F L R' D' B'
R2 B2 F L R' D2 B'
R2 B2 F L R' B' D
R2 B2 F L R' B' D'
R2 B2 F L R' B' D2
R2 B2 F L R2 B' R
R2 B2 F L D R' B'
R2 B2 F L D' R' B'
R2 B2 F L D2 R' B'
D2 B2 F2 L' F' R' B
R2 B2 F R L B' R2
R2 B2 F R' L D B'
R2 B2 F R' L D' B'
R2 B2 F R' L D2 B'
R2 B2 F R' L B' D
R2 B2 F R' L B' D'
R2 B2 F R' L B' D2
R2 B2 F R2 L B' R
B2 F2 D2 L' F' R' B
R2 B2 F D2 L R' B
R2 B2 F D2 R' L B
F2 B2 D2 L' F' R' B
R2 B2 F' L R' F2 B'
R2 B2 F' L R' B' F2
R2 B2 F' L F2 R' B'
R B2 D2 U2 R' F B
R B2 D2 U2 R' B F
R B2 D2 U2 F R' B
R2 B2 F' R' L F2 B'
R2 B2 F' R' L B' F2
R2 B2 F' R' F2 L B'
R2 B2 F2 L F' R' B'
F B2 D2 R' B' L B2
L B2 F2 U2 L' F B
L B2 F2 U2 L' B F
L B2 F2 U2 B L' F
