L' R U L B' R'
L2 R B' U L2 B'
R L' U L B' R'
F2 L' F' U' L B'
R L2 B' U L2 B'
R U F U' F' B'
R U F U' B' F'
B' R U F U' F'
U' R U2 F U' B'
B' U F2 L' F' U'
B' U' R U2 F U'
L2 B' R U L2 B'
R B' U F U' F'
F2 B' U L' F' U'
B' F2 U L' F' U'
R' D' F2 R2 B' D' R2
B' U' R L2 B' L2 U
R' D' F2 U F' U' B'
B' U' R U2 D F U'
B' U' R U2 D' F U'
B' U' R U2 D2 F U'
B' U' R U2 F U' D
B' U' R U2 F U' D'
B' U' R U2 F U' D2
B' U' R U2 F D U'
B' U' R U2 F D' U'
B' U' R U2 F D2 U'
B' U' R D U2 F U'
B' U' R D' U2 F U'
B' U' R D2 U2 F U'
R' D' F2 B' U F' U'
B' U' R B U2 F U'
B' U' R B' U2 F U'
B U' L2 B' R U B'
B' U' R B2 U2 F U'
B U' R L2 B' U B'
B U' R U2 F U' B2
B U' R D L2 B' U
R' D' B' U F U' F
R' D' B' F' D F' R2
R' D' B' F2 U F' U'
B' U' D R U2 F U'
B' U' D' R U2 F U'
R D' B' U F U' F'
B U' D L2 R B' U
B U' D L2 B' R U
B U' D R L2 B' U
B' U' D2 R U2 F U'
R D2 L' U L B' R'
R D2 L2 B' U L2 B'
B' U' B R U2 F U'
U' D2 R U2 F U' B'
B' U' B' R U2 F U'
B' U' B2 R U2 F U'
R D2 U F U' F' B'
R D2 U F U' B' F'
R' D2 F L2 U' L2 B'
B' U2 L2 U R B' U
B' U2 L2 U B' R U
R' D2 F' D R2 F2 B'
R' D2 F' D R2 B' F2
R' D2 F' D F2 R2 B'
R' D2 F' D F2 B' R2
R' D2 F' D B' R2 F2
R' D2 F' D B' F2 R2
R' D2 F' B' D R2 F2
R' D2 F' B' D F2 R2
R' D2 B' U F L2 U'
R' D2 B' F' D R2 F2
R' D2 B' F' D F2 R2
R D2 B' U F U' F'
R' F U' R2 U R2 B'
R' F U' R2 U B' R2
R2 F U' R' U R B'
R2 F U' R' U B' R
U' F U2 F' R U B'
F2 D L' F' U' L B'
R' F D' F2 D R2 B'
R' F D' F2 D B' R2
B' D R U F U' F'
R' F D' F2 B' D R2
B D L2 R B' U L2
R' F D' B' F2 D R2
U F D R U' F' B'
U F D R U' B' F'
R' F D2 L2 U' L2 B'
B D L2 B' R U L2
B D R L2 B' U L2
R' F B' U' R2 U R2
R' F B' D' F2 D R2
B' D U F2 L' F' U'
B' D U' R U2 F U'
R2 F B2 L U' L' B
R2 F B2 L U' B L'
B D U' L2 R B' U
B D U' L2 B' R U
B D U' R L2 B' U
B' D F2 U L' F' U'
L' F' U L F B' R'
L' F' U L B' R' F
L' F' U L B' F R'
F2 D B' U L' F' U'
R F' U F2 U' F2 B'
R F' U F2 U' B' F2
R' F' D R2 D2 F2 B'
R' F' D R2 D2 B' F2
R' F' D B R2 F' B2
R' F' D B R2 B2 F'
F2 D' L' F' U' L B'
F D' L' U' F L B'
R' F' D' F2 D2 R2 B'
R' F' D' F2 D2 B' R2
R' F' D' F2 B' D2 R2
B' D' R U F U' F'
R' F' D' B' F2 D2 R2
R F' D R2 D' F2 B'
R F' D R2 D' B' F2
R F' D R2 B' D' F2
R F' D B' R2 D' F2
R' F' B' D R2 D2 F2
R' F' B' D' F2 D2 R2
B' D' U F2 L' F' U'
R' F' B2 D B R2 F'
B' D' U' R U2 F U'
R F' B' U F2 U' F2
R F' B' D R2 D' F2
D2 F2 L' F' U' L B'
D' F2 L' F' U' L B'
D F2 L' F' U' L B'
U F2 L' D F' R U'
B' D' F2 U L' F' U'
F2 D' B' U L' F' U'
R' F2 U' R2 B U B2
R F2 R2 B' D' R2 F2
R F2 R2 B' D' F2 R2
R F2 U F' U' F B'
R F2 U F' U' B' F
F2 D2 L' F' U' L B'
B' D2 R U F U' F'
D2 F2 B' U L' F' U'
R' F2 B' U' R2 B U
D' F2 B' U L' F' U'
B' D2 U F2 L' F' U'
B' D2 U' R U2 F U'
D F2 B' U L' F' U'
R F2 B' U F' U' F
U' B L2 R B' U B'
U' B L2 B' R U B'
U' B R L2 B' U B'
U' B R U2 F U' B2
U' B R D L2 B' U
B' D2 F2 U L' F' U'
L2 B R B2 U L2 B'
R B L2 B' U B' L2
F2 D2 B' U L' F' U'
U' B D L2 R B' U
U' B D L2 B' R U
U' B D R L2 B' U
R B U F U' F' B2
R B U F U' B2 F'
F2 B L' F' U' L B2
R B D L2 B' U L2
F2 B U L' F' U' B2
L2 B' L R U L B'
U' B' L2 R B' U B
U' B' R L2 B' U B
D2 B' R U F U' F'
D' B' R U F U' F'
L2 B' R L U L B'
L2 B' R U L2 D B'
L2 B' R U L2 D' B'
L2 B' R U L2 D2 B'
L2 B' R U L2 B' D
L2 B' R U L2 B' D'
L2 B' R U L2 B' D2
L2 B' R U B L2 B'
L2 B' R U B' L2 B'
L2 B' R U B2 L2 B'
L2 B' R U' F U2 L2
D B' R U F U' F'
R' B' R2 U F U' F'
R B' L2 B' U L2 B
R B' L2 B' U B L2
R' B' U D' F U' F
R' B' U D2 F L2 U'
R' B' U F U' D' F2
R' B' U F U2 R2 U
R' B' U F D' U' F2
R' B' U F D2 L2 U'
D2 B' U F2 L' F' U'
D' B' U F2 L' F' U'
D2 B' U' R U2 F U'
R' B' U' R2 U2 F U'
D' B' U' R U2 F U'
R2 B' U D2 F L' U'
D B' U F2 L' F' U'
D B' U' R U2 F U'
R B' U D F U' F'
R B' U D' F U' F'
R B' U D2 F U' F'
R B' U F L U' F'
R B' U F L' U' F'
R B' U F L2 U' F'
R B' U F U' D F'
R B' U F U' D' F'
R B' U F U' D2 F'
R B' U F U' F' D
R B' U F U' F' D'
R B' U F U' F' D2
R B' U F D U' F'
R B' U F D' U' F'
R B' U F D2 U' F'
R' B' D' U F U' F
R' B' D' F' D F' R2
R' B' D' F2 U F' U'
B' F' U L F2 U' F'
F' B' U L F2 U' F'
R' B' D2 U F L2 U'
B' F' U F2 L U' F
R' B' D2 F' D R2 F2
R' B' D2 F' D F2 R2
R2 B' D' R F' D R2
F2 B' U L F' L2 U'
F2 B' U L' D F' U'
F2 B' U L' D' F' U'
F2 B' U L' D2 F' U'
F2 B' U L' F' U' D
F2 B' U L' F' U' D'
F2 B' U L' F' U' D2
F2 B' U L' F' D U'
F2 B' U L' F' D' U'
F2 B' U L' F' D2 U'
F2 B' U L2 F' L U'
F' B' U F2 L U' F
F2 B' U D L' F' U'
F2 B' U D' L' F' U'
F2 B' U D2 L' F' U'
R B' D U F U' F'
R' B' F U' R2 U R2
R' B' F D' F2 D R2
R2 B' D2 U F L' U'
R B' D' U F U' F'
R' B' F' D R2 D2 F2
R' B' F' D' F2 D2 R2
D2 B' F2 U L' F' U'
R' B' F2 U' R2 B U
D' B' F2 U L' F' U'
R B' D2 U F U' F'
F2 B' D U L' F' U'
D B' F2 U L' F' U'
F2 B' D' U L' F' U'
R B' F' U F2 U' F2
R B' F' D R2 D' F2
R B' F2 U F' U' F
U' B2 L2 B' R U B2
F2 B' D2 U L' F' U'
B2 F2 L' F' U' L B
F2 B2 L' F' U' L B
B F2 L' F' U' L B2
R B2 L2 B' U L2 B2
R B2 L2 B' U B2 L2
R2 B2 U F L U' B
B' F2 U L F' L2 U'
B' F2 U L' D F' U'
B' F2 U L' D' F' U'
B' F2 U L' D2 F' U'
B' F2 U L' F' U' D
B' F2 U L' F' U' D'
B' F2 U L' F' U' D2
B' F2 U L' F' D U'
B' F2 U L' F' D' U'
B' F2 U L' F' D2 U'
B' F2 U L2 F' L U'
B' F2 U D L' F' U'
B' F2 U D' L' F' U'
B' F2 U D2 L' F' U'
B2 F2 U L' F' U' B
F2 B2 U L' F' U' B
R B2 U F U' F' B
R B2 U F U' B F'
B F2 U L' F' U' B2
B' F2 D U L' F' U'
B' F2 D' U L' F' U'
R' B2 F' D B R2 F'
R2 B2 F L U' L' B
R2 B2 F L U' B L'
B' F2 D2 U L' F' U'
