R U' R2 U B L
U' R' U B L R2
U' R' U B R2 L
U R' F' U B R2
R' D B2 U B' L
R' B L R2 D' F2
R' B R2 L D' F2
R' B R2 D' L F2
R' B R2 D' F2 L
R' B' U B2 L R2
R' B' U B2 R2 L
R' B2 U R2 B' L
R' B2 U B' L R2
R' B2 U B' R2 L
R U' R2 F2 U B L
U' R' L F U B R2
U R' L F' U B R2
U R' L' F' U B R2
U' R' U L B L R2
U' R' U L B R2 L
U' R' U L' B L R2
U' R' U L' B R2 L
U' R' U L2 B L R2
U' R' U L2 B R2 L
U R' L2 F' U B R2
U' R' U B L R2 D
U' R' U B L R2 D'
U' R' U B L R2 D2
U' R' U B R2 L D
U' R' U B R2 L D'
U' R' U B R2 L D2
U' R' U B R2 D L
U' R' U B R2 D' L
U' R' U B R2 D2 L
U' R' U B2 R2 B' L
B R' U' L F B R2
B R' U' L B R2 F
B R' U' L B F R2
U R' D F' B2 U B'
U R' D B2 F' U B'
U' R' F U B L R2
U' R' F U B R2 L
U' R' F' U B L R2
U' R' F' U B R2 L
U2 R' F' U L' B R2
U2 R' F' U B L' R2
U2 R' F' U B R2 L'
U R' F' L U B R2
U R' F' L' U B R2
U R' F' L2 U B R2
U R' F' U B R2 D
U R' F' U B R2 D'
U R' F' U B R2 D2
U R' F' U B' R2 B2
U R' F' U B2 R2 B'
U' R' F2 U B L R2
U' R' F2 U B R2 L
U R' F' D B2 U B'
U R' F' B' U R2 B2
U R' F' B' U B2 R2
U R' F' B2 U R2 B'
U R' F' B2 U B' R2
D2 R' B U L R2 B'
D2 R' B U L B' R2
D2 R' B U R2 L B'
U R' B' F' U R2 B2
U R' B' F' U B2 R2
R U2 D F' B2 U2 L'
R U2 D B2 F' U2 L'
R U2 D' F' U2 L' F'
U R' B2 F' U R2 B'
U R' B2 F' U B' R2
R' U2 F' U' L' B R2
R' U2 F' U' B L' R2
R' U2 F' U' B R2 L'
R U2 F' U R2 U L'
R U2 F' U2 L' D' F2
R U2 F' U2 D' L' F2
R U2 F' D B2 U2 L'
R U2 F' D' U2 L' F2
R' D L B2 U B' L
R' D L' B2 U B' L
R' D L2 B2 U B' L
R D R2 B L R2 F'
R D R2 B R2 L F'
R D R2 B R2 F' L
B U L R' F' B R2
B U L R' B F' R2
R' D F B2 U B' L
R D U2 F' B2 U2 L'
R D U2 B2 F' U2 L'
R' D F' B2 U B' L
R' D F2 B2 U B' L
B U R' L F' B R2
B U R' L B F' R2
B U R' F' L B R2
F U R' F' U B R
R' D B2 U B' L D
R' D B2 U B' L D'
R' D B2 U B' L D2
R' D B2 U B' D L
R' D B2 U B' D' L
R' D B2 U B' D2 L
R' D B2 F U B' L
R' D B2 F' U B' L
R' D B2 F2 U B' L
R D' R2 F2 B L R2
R D' R2 F2 B R2 L
R D' R2 B L R2 F2
R D' R2 B L F2 R2
R D' R2 B R2 L F2
R D' R2 B R2 F2 L
R D' R2 B F2 L R2
R D' R2 B F2 R2 L
B U' L R F D2 B2
B U' L R' F B R2
B U' L R' B R2 F
B U' L R' B F R2
R D' U2 F' U2 L' F'
B U' R L F D2 B2
R D' F2 L B L B'
R D' F2 L2 B L B2
B U' R' L F B R2
B U' R' L B R2 F
B U' R' L B F R2
R D' F2 U2 F R U2
R D' F2 B L2 B' L'
R D' F2 B2 L2 B' L
R D' B L' F2 L2 B'
R D' B F2 L2 B' L'
R D' B2 F2 L2 B' L
B U' D2 L R F B'
B U' D2 L R B' F
B U' D2 L B' R F
B U' D2 R L F B'
B U' D2 R L B' F
U F R' F' U B R
R' F D B2 U B' L
R' F B L R2 D' F2
R' F B R2 L D' F2
R' F B R2 D' L F2
R' F B R2 D' F2 L
R' F B' U B2 L R2
R' F B' U B2 R2 L
R' F B2 U R2 B' L
R' F B2 U B' L R2
R' F B2 U B' R2 L
R' F' D B2 U B' L
R' F' B L R2 D' F2
R' F' B R2 L D' F2
R' F' B R2 D' L F2
R' F' B R2 D' F2 L
R' F' B' U B2 L R2
R' F' B' U B2 R2 L
R' F' B2 U R2 B' L
R' F' B2 U B' L R2
R' F' B2 U B' R2 L
B D2 L B' R D' F2
R' F2 D B2 U B' L
R' F2 B L R2 D' F2
R' F2 B R2 L D' F2
R' F2 B R2 D' L F2
R' F2 B R2 D' F2 L
R' F2 B' U B2 L R2
R' F2 B' U B2 R2 L
R' F2 B2 U R2 B' L
R' F2 B2 U B' L R2
R' F2 B2 U B' R2 L
R' B L R2 U' R2 U
R' B L R2 D' F2 D
R' B L R2 D' F2 D'
R' B L R2 D' F2 D2
R' B L R2 F D' F2
R' B L R2 F' D' F2
R' B L R2 F2 D' F2
R' B L F R2 D' F2
R' B L F' R2 D' F2
R' B L F2 R2 D' F2
D2 B L B' R D' F2
B D2 U' L R F B'
B D2 U' L R B' F
B D2 U' L B' R F
B D2 U' R L F B'
B D2 U' R L B' F
R' B L2 R2 D' L' F2
R B L U' R2 U B
R' B R2 L U' R2 U
R' B R2 L D' F2 D
R' B R2 L D' F2 D'
R' B R2 L D' F2 D2
R' B R2 L F D' F2
R' B R2 L F' D' F2
R' B R2 L F2 D' F2
R' B R2 L2 D' L' F2
R' B R2 U' R2 U L
R' B R2 D L D2 F2
R' B R2 D' L F2 D
R' B R2 D' L F2 D'
R' B R2 D' L F2 D2
R' B R2 D' L' F2 L2
R' B R2 D' F' L F'
R' B R2 D' F2 L D
R' B R2 D' F2 L D'
R' B R2 D' F2 L D2
R' B R2 D' F2 D L
R' B R2 D' F2 D' L
R' B R2 D' F2 D2 L
R' B R2 F L D' F2
R' B R2 F D' L F2
R' B R2 F D' F2 L
R' B R2 F' L D' F2
R' B R2 F' D' L F2
R' B R2 F' D' F2 L
R' B R2 F2 L D' F2
R' B R2 F2 D' L F2
R' B R2 F2 D' F2 L
D B R' U' L R2 F
D B R' U' L F R2
D B R' U' R2 L F
R' B U L R2 D B2
R' B U R2 L D B2
R' B U R2 D L B2
D2 B U' L R F B'
D2 B U' L R B' F
D2 B U' L B' R F
D2 B U' R L F B'
D2 B U' R L B' F
R B R2 U L B R2
R' B D B2 U B2 L
R B U' R2 U L B
R' B F L R2 D' F2
R' B F R2 L D' F2
R' B F R2 D' L F2
R' B F R2 D' F2 L
R B D' L' F2 L2 B'
R' B F' L R2 D' F2
R' B F' R2 L D' F2
R' B F' R2 D' L F2
R' B F' R2 D' F2 L
R B D' F2 L2 B' L'
R' B F2 L R2 D' F2
R' B F2 R2 L D' F2
R' B F2 R2 D' L F2
R' B F2 R2 D' F2 L
R' B' L U B2 L R2
R' B' L U B2 R2 L
R' B' L' U B2 L R2
R' B' L' U B2 R2 L
R' B' L2 U B2 L R2
R' B' L2 U B2 R2 L
R' B' R2 B2 D' F2 L'
R' B' U L B2 L R2
R' B' U L B2 R2 L
R' B' U L' B2 L R2
R' B' U L' B2 R2 L
R' B' U L2 B2 L R2
R' B' U L2 B2 R2 L
R' B' U B' R2 B' L
R' B' U B2 L R2 D
R' B' U B2 L R2 D'
R' B' U B2 L R2 D2
R' B' U B2 R2 L D
R' B' U B2 R2 L D'
R' B' U B2 R2 L D2
R' B' U B2 R2 D L
R' B' U B2 R2 D' L
R' B' U B2 R2 D2 L
R' B' U' R' U2 R' B2
R' B' D L2 B2 U L
R' B' D B2 L2 U L'
R' B' F U B2 L R2
R' B' F U B2 R2 L
R' B' F' U B2 L R2
R' B' F' U B2 R2 L
R' B' F2 U B2 L R2
R' B' F2 U B2 R2 L
D2 B2 L U' R B' L
D2 B2 L U' B' L R
D2 B2 L U' B' R L
R' B2 R2 B' L D' F2
R' B2 R2 B' D' L F2
R' B2 R2 B' D' F2 L
R' B2 U R B' L R
R' B2 U R B' R L
R' B2 U R2 B' L D
R' B2 U R2 B' L D'
R' B2 U R2 B' L D2
R' B2 U R2 B' D L
R' B2 U R2 B' D' L
R' B2 U R2 B' D2 L
R' B2 U B' L R2 D
R' B2 U B' L R2 D'
R' B2 U B' L R2 D2
R' B2 U B' R2 L D
R' B2 U B' R2 L D'
R' B2 U B' R2 L D2
R' B2 U B' R2 D L
R' B2 U B' R2 D' L
R' B2 U B' R2 D2 L
R' B2 U' B' L R2 F'
R' B2 U' B' R2 L F'
R' B2 U' B' R2 F' L
R' B2 F U R2 B' L
R' B2 F U B' L R2
R' B2 F U B' R2 L
R' B2 F' U R2 B' L
R' B2 F' U B' L R2
R' B2 F' U B' R2 L
R' B2 F2 U R2 B' L
R' B2 F2 U B' L R2
R' B2 F2 U B' R2 L
