D2 L2 R2 F' U' R
U2 L2 R2 B U R'
B L2 F R2 U R
D2 L2 F' R2 U' R'
U2 L2 B R2 U R
D' R F' U' F' B2
D' R F' U' B2 F'
D2 R2 L2 F' U' R
U2 R2 L2 B U R'
D2 R2 F' L2 U' R
U2 R2 B L2 U R'
D2 F' L2 R2 U' R'
D2 F' R2 L2 U' R'
U2 B L2 R2 U R
R2 B L2 F U R'
U2 B R2 L2 U R
U' B D' R' F2 B2
U' B D' R' B2 F2
U' B D' F2 R' B2
U' B' D' F2 B2 R'
U' B' D' B2 R' F2
U' B' D' B2 F2 R'
D2 F' R2 F' L2 U' R'
D2 F' R2 F2 L2 U' R'
D2 F' U' D R F2 B2
D2 F' U' D R B2 F2
D2 F' U' D B2 R F2
D' F' U' B2 D' F' R
D2 F' D U' R F2 B2
D2 F' D U' R B2 F2
D2 F' D U' B2 R F2
F' D' R F' U' F' B2
F' D' R F' U' B2 F'
F2 D' R F' U' F' B2
F2 D' R F' U' B2 F'
U' F' B D' R' F2 B2
U' F' B D' R' B2 F2
U' F' B D' F2 R' B2
F D' R F' U' F' B2
F D' R F' U' B2 F'
U' F' B' D' F2 B2 R'
U' F' B' D' B2 R' F2
U' F' B' D' B2 F2 R'
R2 F' B L2 F U R'
D2 F2 L2 R2 F U' R
D2 F2 L2 F R2 U' R'
D' F2 R F' U' F B2
D' F2 R F' U' B2 F
B' D' B U' F2 B R'
B' D' B U' B R' F2
B' D' B U' B F2 R'
D2 F2 R2 L2 F U' R
D2 F2 R2 F L2 U' R
F' D2 L2 R2 F' U' R
F2 D2 L2 R2 F' U' R
F' D2 L2 F' R2 U' R'
L' F2 D' R F' U' F'
F2 D2 L2 F' R2 U' R'
F D2 L2 R2 F' U' R
F D2 L2 F' R2 U' R'
U' F2 B D' R' F2 B2
U' F2 B D' R' B2 F2
U' F2 B D' F2 R' B2
F' D2 R2 L2 F' U' R
F2 D2 R2 L2 F' U' R
U' F2 B' D' F2 B2 R'
U' F2 B' D' B2 R' F2
U' F2 B' D' B2 F2 R'
F' D2 R2 F' L2 U' R
R2 F2 B L2 F U R'
F2 D2 R2 F' L2 U' R
F D2 R2 L2 F' U' R
B D2 R2 B' L2 U' R
F D2 R2 F' L2 U' R
U' B L2 R2 U L2 R
U' B L2 R2 U R L2
R' B L2 F U R' F'
F' D2 F' L2 R2 U' R'
U2 B L2 R2 U R D
U2 B L2 R2 U R D'
U2 B L2 R2 U R D2
U2 B L2 R2 U D R
U2 B L2 R2 U D' R
U2 B L2 R2 U D2 R
U2 B L2 R2 D U R
U2 B L2 R2 D' U R
U2 B L2 R2 D2 U R
U2 B L2 R2 B U R
U2 B L2 R2 B' U R
U2 B L2 R2 B2 U R
U2 B L2 U D' R' F2
U2 B L2 U D' F2 R'
F' D2 F' R2 L2 U' R'
F2 D2 F' L2 R2 U' R'
U2 B L2 D' U R' F2
U2 B L2 D' U F2 R'
F2 D2 F' R2 L2 U' R'
R2 B L2 D F U R'
R2 B L2 D' F U R'
R2 B L2 D2 F U R'
R2 B L2 F U R' D
R2 B L2 F U R' D'
R2 B L2 F U R' D2
R2 B L2 F U D R'
R2 B L2 F U D' R'
R2 B L2 F U D2 R'
R2 B L2 F D U R'
R2 B L2 F D' U R'
R2 B L2 F D2 U R'
U' B R' U' L2 R' U
U' B R' U' R' L2 U
R B L2 R F U R2
F D2 F' L2 R2 U' R'
F D2 F' R2 L2 U' R'
U' B R2 L2 U L2 R
U' B R2 L2 U R L2
R B R L2 F U R2
U2 B R2 L2 U R D
U2 B R2 L2 U R D'
U2 B R2 L2 U R D2
U2 B R2 L2 U D R
U2 B R2 L2 U D' R
U2 B R2 L2 U D2 R
U2 B R2 L2 D U R
U2 B R2 L2 D' U R
U2 B R2 L2 D2 U R
U2 B R2 L2 B U R
U2 B R2 L2 B' U R
U2 B R2 L2 B2 U R
U2 B R2 U R D' B2
U2 B R2 U D' R B2
U2 B R2 U D' B2 R
L2 B R2 U2 B' U' R
U2 B R2 D' U R B2
U2 B R2 D' U B2 R
U2 B R2 B L2 U R
U2 B R2 B' L2 U R
U2 B R2 B2 L2 U R
U' B U' L2 R2 U R
U' B U' R2 L2 U R
U2 B U D' R' F2 B2
U2 B U D' R' B2 F2
U2 B U D' F2 R' B2
U B U L2 R2 U R
U B U R2 L2 U R
U' B D R' D2 F2 B2
U' B D R' D2 B2 F2
U' B D' R F2 R2 B2
U' B D' R F2 B2 R2
U' B D' R B2 R2 F2
U' B D' R B2 F2 R2
U' B D' R' F2 B2 D
U' B D' R' F2 B2 D'
U' B D' R' F2 B2 D2
U' B D' R' B2 F2 D
U' B D' R' B2 F2 D'
U' B D' R' B2 F2 D2
U' B D' R2 B2 R F2
U' B D' F R' F B2
U' B D' F R' B2 F
F' B L2 F R2 U R
U' B D' F2 R B2 R2
U' B D' F2 R' B2 D
U' B D' F2 R' B2 D'
U' B D' F2 R' B2 D2
U' B D' F2 R2 B2 R
U B U2 D' R' F2 B2
U B U2 D' R' B2 F2
U B U2 D' F2 R' B2
F2 B L2 F R2 U R
U2 B D' U R' F2 B2
U2 B D' U R' B2 F2
U2 B D' U F2 R' B2
B F L2 F R2 U R
U B D F2 B2 L U2
F B L2 F R2 U R
U B D B2 L F2 U2
U B D B2 F2 L U2
U' B F D' R' F2 B2
U' B F D' R' B2 F2
U' B F D' F2 R' B2
U B D' R' F2 L' B2
U B D' R' F2 B2 L'
U B D' R' B2 F2 L'
U B D' U2 R' F2 B2
U B D' U2 R' B2 F2
U B D' U2 F2 R' B2
U' B F' D' R' F2 B2
U' B F' D' R' B2 F2
U' B F' D' F2 R' B2
R2 B F L2 F U R'
U' B F2 D' R' F2 B2
U' B F2 D' R' B2 F2
U' B F2 D' F2 R' B2
R2 B F' L2 F U R'
R2 B F2 L2 F U R'
U B' L U L R2 U
U B' L U R2 L U
U2 B' L2 R2 U' L' U2
U2 B' L2 U D' F2 R
U2 B' L2 D' U F2 R
U2 B' R2 L2 U' L' U2
U2 B' R2 U D' B2 R'
U2 B' R2 D' U B2 R'
L2 B' R2 F' U' L U2
L2 B' R2 F' B2 U R'
U2 B' R2 B2 L2 U R'
L2 B' R2 B2 F' U R'
U2 B' U D' F2 B2 R'
U2 B' U D' B2 R' F2
U2 B' U D' B2 F2 R'
B F' L2 F R2 U R
U' B' D' R F2 B2 R'
U' B' D' R B2 R' F2
U' B' D' R B2 F2 R'
U' B' D' R' F2 B2 R'
U' B' D' R' B2 R' F2
U' B' D' R' B2 F2 R'
U' B' D' R2 F2 B2 R'
U' B' D' R2 B2 R' F2
U' B' D' R2 B2 F2 R'
U' B' D' F B2 R' F
U' B' D' F2 R B2 R'
U' B' D' F2 R' B2 R'
U' B' D' F2 R2 B2 R'
U' B' D' F2 B2 R' D
U' B' D' F2 B2 R' D'
U' B' D' F2 B2 R' D2
U' B' D' F2 B2 D R'
U' B' D' F2 B2 D' R'
U' B' D' F2 B2 D2 R'
U' B' D' B2 R F2 R2
U' B' D' B2 R' F2 D
U' B' D' B2 R' F2 D'
U' B' D' B2 R' F2 D2
U' B' D' B2 F R' F
U' B' D' B2 F2 R' D
U' B' D' B2 F2 R' D'
U' B' D' B2 F2 R' D2
U' B' D' B2 F2 D R'
U' B' D' B2 F2 D' R'
U' B' D' B2 F2 D2 R'
U B' U2 D' F2 B2 R'
U B' U2 D' B2 R' F2
U B' U2 D' B2 F2 R'
U B' D L F2 B2 U2
U B' D L B2 F2 U2
U2 B' D' U F2 B2 R'
U2 B' D' U B2 R' F2
U2 B' D' U B2 F2 R'
U B' D F2 L B2 U2
U B' D F2 B2 U2 R'
U B' D B2 F2 U2 R'
U B' D' L U2 F2 B2
U B' D' L U2 B2 F2
U' B' F D' F2 B2 R'
U' B' F D' B2 R' F2
U' B' F D' B2 F2 R'
U B' D' U2 F2 B2 R'
U B' D' U2 B2 R' F2
U B' D' U2 B2 F2 R'
U' B' F' D' F2 B2 R'
U' B' F' D' B2 R' F2
U' B' F' D' B2 F2 R'
U B' D' B2 R' F2 L'
U' B' F2 D' F2 B2 R'
U' B' F2 D' B2 R' F2
U' B' F2 D' B2 F2 R'
U2 B2 L2 R2 B' U R'
U2 B2 L2 B' R2 U R
U2 B2 R2 L2 B' U R'
B F2 L2 F R2 U R
U2 B2 R2 B' L2 U R'
U' B2 D' F2 B' R' B'
U' B2 D' B' R' F2 B'
U' B2 D' B' R' B' F2
U' B2 D' B' F2 R' B'
