U' L' B' L F R
B' R' U' F L R
B' R' U' F R L
D2 U' F L' R B'
D2 U' F L' B' R
D2 U' F R L' B'
U' D2 F L' R B'
U' D2 F L' B' R
U' D2 F R L' B'
U' F L' R B' L
U' F L' B' L R
U' F L' B' R L
U' F R L' B' L
U' D2 F D' L' B' R
U' D2 F D' R L' B'
U' D2 F D2 L' R B'
U' D2 F D2 L' B' R
U' D2 F D2 R L' B'
R D2 U' F L' R B'
R D2 U' F L' B' R
R D2 U' F R L' B'
U' D2 F B L' R B'
U' D2 F B L' B' R
U' D2 F B R L' B'
U' D2 F B' L' R B'
U' D2 F B' L' B' R
U' D2 F B' R L' B'
U' D2 F B2 L' R B'
U' D2 F B2 L' B' R
U' D2 F B2 R L' B'
U' D2 B F L' R B'
U' D2 B F L' B' R
U' D2 B F R L' B'
B' U2 R' F' U' L F2
B' U2 R' F' U' F2 L
U' D2 B' F L' R B'
U' D2 B' F L' B' R
U' D2 B' F R L' B'
U' D2 B2 F L' R B'
U' D2 B2 F L' B' R
U' D2 B2 F R L' B'
U' F L' R B' L D
U' F L' R B' L D'
U' F L' R B' L D2
U' F L' R B' D L
U' F L' R B' D' L
U' F L' R B' D2 L
U' F L' R' B' L R2
U' F L' R' B' R2 L
U' F L' B' L R D
U' F L' B' L R D'
U' F L' B' L R D2
U' F L' B' L D R
U' F L' B' L D' R
U' F L' B' L D2 R
U' F L' B' R L D
U' F L' B' R L D'
U' F L' B' R L D2
U' F L' B' R D L
U' F L' B' R D' L
U' F L' B' R D2 L
U' F L' B' D L R
U' F L' B' D R L
U' F L' B' D' L R
U' F L' B' D' R L
U' F L' B' D2 L R
U' F L' B' D2 R L
U' F L2 R B' L B'
U' F L2 B' L R B'
U' F L2 B' L B' R
U' F L2 B' R L B'
U' F R L' B' L D
U' F R L' B' L D'
U' F R L' B' L D2
U' F R L' B' D L
U' F R L' B' D' L
U' F R L' B' D2 L
U' F R L2 B' L B'
U' F R B' L' B' L2
U' F R' L' B' L R2
U' F R' L' B' R2 L
U F R B' L R' B2
U F R B' R' L B2
U F R2 B' L R' B
U F R2 B' R' L B
L F U' L' F B' L
L F U' L' B' F L
B' D R' U' F L R
B' D R' U' F R L
U' F B' L' R B' L2
U' F B' L' B' L2 R
U' F B' L' B' R L2
U' F B' R L' B' L2
U F B' L R B R2
U F B' R L B R2
U' F' L' U2 F2 B' L
U' F' L' U2 B' L F2
U' F' L' U2 B' F2 L
U F B2 R B L R'
U F B2 R B R' L
U' F' L' B' L F2 R
B' D' R' U' F L R
B' D' R' U' F R L
U' F2 L' F' R B' L
U' F2 L' F' B' L R
U' F2 L' F' B' R L
U' F2 L' B' L F' R
U' F2 L' B' F' L R
U' F2 L' B' F' R L
B' D2 R' U' F L R
B' D2 R' U' F R L
L' B L B2 U F L
U B R' F' L U2 F2
B' F L U R' F U'
B' F L U F R' U'
R' B' R' U' F L R
R' B' R' U' F R L
D2 B' R' U' F L' R
D2 B' R' U' F R L'
D' B' R' B U' F R
R2 B' R' U' F L R
R2 B' R' U' F R L
U B' R F L B R2
U B' R' F L D2 B2
U B' R' F D2 L B2
R B' R' U' F L R
R B' R' U' F R L
F B' L U R' F U'
F B' L U F R' U'
L' B' U2 R' U' L F'
L' B' U2 R' U' F' L
U' B' F L' R B' L2
U' B' F L' B' L2 R
U' B' F L' B' R L2
U' B' F R L' B' L2
U B' F L R B R2
U B' F R L B R2
U B2 R F B L R'
U B2 R F B R' L
U B2 R B R' F L
U B2 R B F L R'
U B2 R B F R' L
U B2 F R B L R'
U B2 F R B R' L
