F U' F2 L' R
F U' F2 R L'
F' L' R U R' U'
F' L' R2 D R' B2
D' L' F U' F2 L'
F' R L' U R' U'
F' R U R' U' L'
F' R B2 L' D' B2
F' R2 L' D R' B2
F' R2 D L' R' B2
F' R2 D R' L' B2
F' R2 D R' B2 L'
F U L' R U2 F2
F U L' U2 F2 L'
F U R L' U2 F2
F U R U2 F2 R
F U' F2 L' R D
F U' F2 L' R D'
F U' F2 L' R D2
F U' F2 L' D R
F U' F2 L' D' R
F U' F2 L' D2 R
F U' F2 R L' D
F U' F2 R L' D'
F U' F2 R L' D2
F U' F2 R D L'
F U' F2 R D' L'
F U' F2 R D2 L'
F U' F2 D L' R
F U' F2 D R L'
F U' F2 D' L' R
F U' F2 D' R L'
F U' F2 D2 L' R
F U' F2 D2 R L'
L' F U' F2 L' R
L' F U' F2 R L'
L2 F U' F2 L' R
L2 F U' F2 R L'
L F U' F2 L' R
L F U' F2 R L'
U' F' R U B U'
U2 B U L F' R
U2 B U F' L R
U2 B U F' R L
B' F U' F2 L' R
B' F U' F2 R L'
B2 F U' F2 L' R
B2 F U' F2 R L'
B F U' F2 L' R
B F U' F2 R L'
F B U' F2 L' R
F B U' F2 R L'
F B' U' F2 L' R
F B' U' F2 R L'
F B2 U' F2 L' R
F B2 U' F2 R L'
F' R2 L' D R' B2 D2
F' R2 L' D R2 B2 R
F' R2 L' D' R' D2 B2
F' R2 L' D2 R' D' B2
F' R2 L' B2 D B2 R'
F' R2 L2 D L R' B2
F' R2 L2 D R' L B2
F' R2 U R2 U' L' R
F' R2 U R2 U' R L'
L' U2 B U L F' R
L' U2 B U F' L R
L' U2 B U F' R L
L2 U2 B U L F' R
L2 U2 B U F' L R
L2 U2 B U F' R L
L U2 B U L F' R
L U2 B U F' L R
L U2 B U F' R L
F' R2 D L R' B2 L2
F' R2 D L' R B2 R2
F' R2 D L' R' B2 D
F' R2 D L' R' B2 D'
F' R2 D L' R' B2 D2
F' R2 D L' R2 B2 R
F' R2 D R L' B2 R2
F' R2 D R B2 L' R2
F' R2 D R B2 R2 L'
F' R2 D R' L B2 L2
F' R2 D R' L' B2 D
F' R2 D R' L' B2 D'
F' R2 D R' L' B2 D2
F' R2 D R' B L' B
F' R2 D R' B2 L' D
F' R2 D R' B2 L' D'
F' R2 D R' B2 L' D2
F' R2 D R' B2 D L'
F' R2 D R' B2 D' L'
F' R2 D R' B2 D2 L'
F' R2 D R2 L' B2 R
F' R2 D R2 B2 L' R
F' R2 D R2 B2 R L'
F' R2 D B2 L' D2 R2
F' R2 D' L' R' D2 B2
F' R2 D' L' D2 R' B2
F' R2 D' R' L' D2 B2
F' R2 D' R' D2 L' B2
F' R2 D' R' D2 B2 L'
F' R2 D2 R' D' L' B2
F' R2 D2 R' D' B2 L'
F2 R2 F L' D R B2
F2 R2 F L' D B2 R
F2 R2 F D L' R B2
F2 R2 F D L' B2 R
F2 R2 F D R L' B2
F2 R2 F D R B2 L'
F2 R2 F D B2 L' R
F2 R2 F D B2 R L'
F R2 F2 D B2 L R
F R2 F2 D B2 R L
F' R2 B2 D B2 L' R'
F' R2 B2 D B2 R' L'
F U L' R U2 F2 D
F U L' R U2 F2 D'
F U L' R U2 F2 D2
F U L' R D2 B2 U2
F U L' R B U2 F2
F U L' R B' U2 F2
F U L' R B2 U2 F2
F U L' U2 L F2 L'
F U L' U2 L' F2 L'
F U L' U2 L2 F2 L'
F U L' U2 F2 L' D
F U L' U2 F2 L' D'
F U L' U2 F2 L' D2
F U L' U2 F2 D L'
F U L' U2 F2 D' L'
F U L' U2 F2 D2 L'
F U L' D2 R B2 U2
F U L' D2 B2 R U2
F U L' B R U2 F2
F U L' B U2 F2 L'
F U L' B' R U2 F2
F U L' B' U2 F2 L'
F U L' B2 R U2 F2
F U L' B2 U2 F2 L'
F U R L' U2 F2 D
F U R L' U2 F2 D'
F U R L' U2 F2 D2
F U R L' D2 B2 U2
F U R L' B U2 F2
F U R L' B' U2 F2
F U R L' B2 U2 F2
F U R U2 R F2 R
F U R U2 R' F2 R
F U R U2 R2 F2 R
F U R U2 F2 R D
F U R U2 F2 R D'
F U R U2 F2 R D2
F U R U2 F2 D R
F U R U2 F2 D' R
F U R U2 F2 D2 R
F U R D2 L' B2 U2
F U R D2 B2 L' U2
F U R B L' U2 F2
F U R B U2 F2 R
F U R B' L' U2 F2
F U R B' U2 F2 R
F U R B2 L' U2 F2
F U R B2 U2 F2 R
L' D' L' F U' F2 L'
F U D2 L' R B2 U2
F U D2 L' B2 R U2
F U D2 R L' B2 U2
F U D2 R B2 L' U2
L2 D' L' F U' F2 L'
F U D2 B2 L' R U2
F U D2 B2 R L' U2
L D' L' F U' F2 L'
F U F2 L' R D2 B2
F U F2 L' D2 R B2
F U F2 L' D2 B2 R
F U F2 R L' D2 B2
F U F2 R D2 L' B2
F U F2 R D2 B2 L'
F U F2 D2 L' R B2
F U F2 D2 L' B2 R
F U F2 D2 R L' B2
F U F2 D2 R B2 L'
F U F2 D2 B2 L' R
F U F2 D2 B2 R L'
F U B L' R U2 F2
F U B L' U2 F2 L'
F U B R L' U2 F2
F U B R U2 F2 R
F U B U2 F2 L' R
F U B U2 F2 R L'
F U B' L' R U2 F2
F U B' L' U2 F2 L'
F U B' R L' U2 F2
F U B' R U2 F2 R
F U B' U2 F2 L' R
F U B' U2 F2 R L'
F U B2 L' R U2 F2
F U B2 L' U2 F2 L'
F U B2 R L' U2 F2
F U B2 R U2 F2 R
F U B2 U2 F2 L' R
F U B2 U2 F2 R L'
F' U' L' R U' R' U
F' U' L' R2 D' R' F2
F' U' L' R2 D' F2 R'
F U' L F2 D2 L' R2
F U' L F2 D2 R2 L'
F' U' R L' U' R' U
F' U' R U' R' U L'
F U' L2 F2 L' D2 R2
F2 U' R' F L' D R2
F2 U' R' F D L' R2
F2 U' R' F D R2 L'
F' U' R2 L' D' R' F2
F' U' R2 L' D' F2 R'
F' U' R2 D' L' R' F2
F' U' R2 D' L' F2 R'
F' U' R2 D' R' L' F2
F U' R' F2 D2 L2 R
F U' R' F2 D2 R L2
F U' R2 F2 R D2 L2
B' U' F' R U B U'
B2 U' F' R U B U'
F U' F R F L' R
F U' F R F R L'
F U' F R' F L' R
F U' F R' F R L'
F U' F R2 F L' R
F U' F R2 F R L'
B U' F' R U B U'
F U' F' L F' L' R
F U' F' L F' R L'
F U' F' L' F' L' R
F U' F' L' F' R L'
F U' F' L2 F' L' R
F U' F' L2 F' R L'
F' U' B U R B' L'
F' U' B U B' L' R
F' U' B U B' R L'
F U' F2 L' R2 D R'
F U' F2 L' R2 D' R'
F U' F2 L' R2 D2 R'
F U' F2 L' D R D
F U' F2 L' D R D'
F U' F2 L' D R D2
F U' F2 L' D' R D
F U' F2 L' D' R D'
F U' F2 L' D' R D2
F U' F2 L' D2 R D
F U' F2 L' D2 R D'
F U' F2 L' D2 R D2
F U' F2 L' B R B'
F U' F2 L' B2 R B2
F U' F2 L2 R D L
F U' F2 L2 R D' L
F U' F2 L2 R D2 L
F U' F2 L2 D L R
F U' F2 L2 D R L
F U' F2 L2 D' L R
F U' F2 L2 D' R L
F U' F2 L2 D2 L R
F U' F2 L2 D2 R L
F U' F2 R L2 D L
F U' F2 R L2 D' L
F U' F2 R L2 D2 L
F U' F2 R D L' D
F U' F2 R D L' D'
F U' F2 R D L' D2
F U' F2 R D' L' D
F U' F2 R D' L' D'
F U' F2 R D' L' D2
F U' F2 R D2 L' D
F U' F2 R D2 L' D'
F U' F2 R D2 L' D2
F U' F2 R B' L' B
F U' F2 R B2 L' B2
F U' F2 R2 L' D R'
F U' F2 R2 L' D' R'
F U' F2 R2 L' D2 R'
F U' F2 R2 D L' R'
F U' F2 R2 D R' L'
F U' F2 R2 D' L' R'
F U' F2 R2 D' R' L'
F U' F2 R2 D2 L' R'
F U' F2 R2 D2 R' L'
F U' F2 D L' R D
F U' F2 D L' R D'
F U' F2 D L' R D2
F U' F2 D L' D R
F U' F2 D L' D' R
F U' F2 D L' D2 R
F U' F2 D R L' D
F U' F2 D R L' D'
F U' F2 D R L' D2
F U' F2 D R D L'
F U' F2 D R D' L'
F U' F2 D R D2 L'
F U' F2 D' L' R D
F U' F2 D' L' R D'
F U' F2 D' L' R D2
F U' F2 D' L' D R
F U' F2 D' L' D' R
F U' F2 D' L' D2 R
F U' F2 D' R L' D
F U' F2 D' R L' D'
F U' F2 D' R L' D2
F U' F2 D' R D L'
F U' F2 D' R D' L'
F U' F2 D' R D2 L'
F U' F2 D2 L' R D
F U' F2 D2 L' R D'
F U' F2 D2 L' R D2
F U' F2 D2 L' D R
F U' F2 D2 L' D' R
F U' F2 D2 L' D2 R
F U' F2 D2 R L' D
F U' F2 D2 R L' D'
F U' F2 D2 R L' D2
F U' F2 D2 R D L'
F U' F2 D2 R D' L'
F U' F2 D2 R D2 L'
F U' F2 B R B' L'
F U' F2 B' L' B R
F U' F2 B2 L' R B2
F U' F2 B2 L' B2 R
F U' F2 B2 R L' B2
F U' F2 B2 R B2 L'
F' U' B' U L' B R
F' U' B' U B L' R
F' U' B' U B R L'
F U' B F2 R B' L'
F' U' B2 U L' R B2
F' U' B2 U L' B2 R
F' U' B2 U R L' B2
F' U' B2 U R B2 L'
F' U' B2 U B2 L' R
F' U' B2 U B2 R L'
F U' B' F2 L' B R
F U' B2 F2 L' R B2
F U' B2 F2 L' B2 R
F U' B2 F2 R L' B2
F U' B2 F2 R B2 L'
D2 U2 B U L F' R'
D2 U2 B U F' L R'
D2 U2 B U F' R' L
U2 D2 B U L F' R'
U2 D2 B U F' L R'
U2 D2 B U F' R' L
D' F L' F U' F L'
B' U2 B U L F' R
B' U2 B U F' L R
B' U2 B U F' R L
B2 U2 B U L F' R
B2 U2 B U F' L R
B2 U2 B U F' R L
B U2 B U L F' R
B U2 B U F' L R
B U2 B U F' R L
L' F U L' R U2 F2
L' F U L' U2 F2 L'
L' F U R L' U2 F2
L' F U R U2 F2 R
F2 U2 B' U R' F L'
F2 U2 B' U F L' R'
F2 U2 B' U F R' L'
F U2 B U F2 L' R
F U2 B U F2 R L'
L2 F U L' R U2 F2
L2 F U L' U2 F2 L'
L2 F U R L' U2 F2
L2 F U R U2 F2 R
F U2 B' U F2 L' R
F U2 B' U F2 R L'
L' F U' F2 L' R D
L' F U' F2 L' R D'
L' F U' F2 L' R D2
L' F U' F2 L' D R
L' F U' F2 L' D' R
L' F U' F2 L' D2 R
L F U L' R U2 F2
L' F U' F2 R L' D
L' F U' F2 R L' D'
L' F U' F2 R L' D2
L' F U' F2 R D L'
L' F U' F2 R D' L'
L' F U' F2 R D2 L'
L F U L' U2 F2 L'
L' F U' F2 D L' R
L' F U' F2 D R L'
L' F U' F2 D' L' R
L' F U' F2 D' R L'
L' F U' F2 D2 L' R
L' F U' F2 D2 R L'
L F U R L' U2 F2
L F U R U2 F2 R
L2 F U' F2 L' R D
L2 F U' F2 L' R D'
L2 F U' F2 L' R D2
L2 F U' F2 L' D R
L2 F U' F2 L' D' R
L2 F U' F2 L' D2 R
L2 F U' F2 R L' D
L2 F U' F2 R L' D'
L2 F U' F2 R L' D2
L2 F U' F2 R D L'
L2 F U' F2 R D' L'
L2 F U' F2 R D2 L'
L2 F U' F2 D L' R
L2 F U' F2 D R L'
L2 F U' F2 D' L' R
L2 F U' F2 D' R L'
L2 F U' F2 D2 L' R
L2 F U' F2 D2 R L'
F U2 B2 U F2 L' R
F U2 B2 U F2 R L'
F' D L' R U R' U'
F' D L' R2 D R' B2
L F U' F2 L' R D
L F U' F2 L' R D'
L F U' F2 L' R D2
L F U' F2 L' D R
L F U' F2 L' D' R
L F U' F2 L' D2 R
L F U' F2 R L' D
L F U' F2 R L' D'
L F U' F2 R L' D2
L F U' F2 R D L'
L F U' F2 R D' L'
L F U' F2 R D2 L'
L F U' F2 D L' R
L F U' F2 D R L'
L F U' F2 D' L' R
L F U' F2 D' R L'
L F U' F2 D2 L' R
L F U' F2 D2 R L'
F' D R L' U R' U'
F' D R U R' U' L'
F' D R B2 L' D' B2
D2 F B U' F2 L' R'
D2 F B U' F2 R' L'
L' F B U' F2 L' R
L' F B U' F2 R L'
F' D R2 L' D R' B2
F' D R2 D L' R' B2
F' D R2 D R' L' B2
F' D R2 D R' B2 L'
U2 F B U F2 L R
U2 F B U F2 R L
L2 F B U' F2 L' R
L2 F B U' F2 R L'
L' F B' U' F2 L' R
L' F B' U' F2 R L'
L2 F B' U' F2 L' R
L2 F B' U' F2 R L'
U' F' L R U B U'
L' F B2 U' F2 L' R
L' F B2 U' F2 R L'
L F B U' F2 L' R
L F B U' F2 R L'
L2 F B2 U' F2 L' R
L2 F B2 U' F2 R L'
U' F' L' R U B U'
L F B' U' F2 L' R
L F B' U' F2 R L'
L' F' L' R U R' U'
L' F' L' R2 D R' B2
L F B2 U' F2 L' R
L F B2 U' F2 R L'
L2 F' L' R U R' U'
U' F' L2 R U B U'
L2 F' L' R2 D R' B2
U' F' R L U B U'
U' F' R L' U B U'
U' F' R L2 U B U'
L F' L' R U R' U'
U' F' R U D B U'
U' F' R U D' B U'
U' F' R U D2 B U'
U' F' R U B U' D
U' F' R U B U' D'
U' F' R U B U' D2
U' F' R U B D U'
U' F' R U B D' U'
U' F' R U B D2 U'
L F' L' R2 D R' B2
U' F' R D U B U'
U' F' R D' U B U'
L' F' R L' U R' U'
U' F' R D2 U B U'
L' F' R U R' U' L'
U' F' R B' D L2 B
U' F' R B' D B L2
L2 F' R L' U R' U'
U F' L2 R D' B' L
L2 F' R U R' U' L'
U' F' R' U' F' U R2
L' F' R B2 L' D' B2
F' D F2 U' F2 L' R
F' D F2 U' F2 R L'
U F' L2 D' R B' L
U F' L2 D' B' L R
U F' L2 D' B' R L
L2 F' R B2 L' D' B2
U F' R L2 D' B' L
L F' R L' U R' U'
L F' R U R' U' L'
L' F' R2 L' D R' B2
L' F' R2 D L' R' B2
L' F' R2 D R' L' B2
L' F' R2 D R' B2 L'
L2 F' R2 L' D R' B2
L F' R B2 L' D' B2
R' F' U L' R F' B'
R' F' U L' R B' F'
R' F' U L' B' R F'
R' F' U R L' F' B'
R' F' U R L' B' F'
L2 F' R2 D L' R' B2
L2 F' R2 D R' L' B2
L2 F' R2 D R' B2 L'
R2 F' R2 U' L' F' R'
R F' R' U' L' F' R2
R' F' U' L' R F' B
R' F' U' L' R B F'
L F' R2 L' D R' B2
R' F' U' R L' F' B
R' F' U' R L' B F'
R' F' U' R B L' F'
L F' R2 D L' R' B2
L F' R2 D R' L' B2
L F' R2 D R' B2 L'
U' F' U' B U L R
U' F' U' B U R L
F' D' L' R U R' U'
F' D' L' R2 D R' B2
U' F' D R U B U'
B' D' L' F U' F2 L'
B2 D' L' F U' F2 L'
U' F' D' R U B U'
B D' L' F U' F2 L'
F' D' R L' U R' U'
F' D' R U R' U' L'
U' F' D2 R U B U'
F D' L2 U L R U2
F D' L2 U R L U2
F' D' R B2 L' D' B2
U' F' B R B' D L2
F' D' R2 L' D R' B2
F' D' R2 D L' R' B2
F' D' R2 D R' L' B2
F' D' R2 D R' B2 L'
F' D' F2 U' F2 L' R
F' D' F2 U' F2 R L'
U' F2 R' F R D' L2
U' F2 R' F D' L2 R
U' F2 R' F D' R L2
U' F2 R2 D' F L' R
U' F2 R2 D' F R L'
F D' F2 L2 U' L R
F D' F2 L2 U' R L
F' D2 L' R U R' U'
F' D2 L' R2 D R' B2
F' D2 R L' U R' U'
F' D2 R U R' U' L'
F' D2 R B2 L' D' B2
D2 F2 B U' R' F L'
D2 F2 B U' F L' R'
D2 F2 B U' F R' L'
F' D2 R2 L' D R' B2
F' D2 R2 D L' R' B2
F' D2 R2 D R' L' B2
F' D2 R2 D R' B2 L'
F D2 U L' R B2 U2
F D2 U L' B2 R U2
F D2 U R L' B2 U2
F D2 U R B2 L' U2
D' B L' F U' F2 L'
F D2 U B2 L' R U2
F D2 U B2 R L' U2
F' D2 F2 U' F2 L' R
F' D2 F2 U' F2 R L'
U' B U F' R B' L'
U' B U F' B' L' R
U' B U F' B' R L'
U' B U B' F' L' R
U' B U B' F' R L'
U2 B U L F' R D
U2 B U L F' R D'
U2 B U L F' R D2
U2 B U L F' D R
U2 B U L F' D' R
U2 B U L F' D2 R
U2 B U L' F' L2 R
U2 B U L' F' R L2
U2 B U F' L R D
U2 B U F' L R D'
U2 B U F' L R D2
U2 B U F' L D R
U2 B U F' L D' R
U2 B U F' L D2 R
U2 B U F' R L D
U2 B U F' R L D'
U2 B U F' R L D2
U2 B U F' R D L
U2 B U F' R D' L
U2 B U F' R D2 L
U2 B U F' D L R
U2 B U F' D R L
U2 B U F' D' L R
U2 B U F' D' R L
U2 B U F' D2 L R
U2 B U F' D2 R L
F' B L' R U R' U'
F' B L' R2 D R' B2
F' B R L' U R' U'
F' B R U R' U' L'
F' B R B2 L' D' B2
D2 B F U' F2 L' R'
D2 B F U' F2 R' L'
L' B F U' F2 L' R
L' B F U' F2 R L'
U' B F' R B' D L2
F' B R2 L' D R' B2
F' B R2 D L' R' B2
F' B R2 D R' L' B2
F' B R2 D R' B2 L'
U2 B F U F2 L R
U2 B F U F2 R L
L2 B F U' F2 L' R
L2 B F U' F2 R L'
B' F U L' R U2 F2
B' F U L' U2 F2 L'
B' F U R L' U2 F2
B' F U R U2 F2 R
B2 F U L' R U2 F2
B2 F U L' U2 F2 L'
D2 B F2 U' R' F L'
D2 B F2 U' F L' R'
D2 B F2 U' F R' L'
B2 F U R L' U2 F2
B2 F U R U2 F2 R
L B F U' F2 L' R
L B F U' F2 R L'
B F U L' R U2 F2
B F U L' U2 F2 L'
B' F U' F2 L' R D
B' F U' F2 L' R D'
B' F U' F2 L' R D2
B' F U' F2 L' D R
B' F U' F2 L' D' R
B' F U' F2 L' D2 R
B' F U' F2 R L' D
B' F U' F2 R L' D'
B' F U' F2 R L' D2
B' F U' F2 R D L'
B' F U' F2 R D' L'
B' F U' F2 R D2 L'
B F U R L' U2 F2
B' F U' F2 D L' R
B' F U' F2 D R L'
B F U R U2 F2 R
B' F U' F2 D' L' R
B' F U' F2 D' R L'
B' F U' F2 D2 L' R
B' F U' F2 D2 R L'
F B U L' R U2 F2
F B U L' U2 F2 L'
F B U R L' U2 F2
F B U R U2 F2 R
B2 F U' F2 L' R D
B2 F U' F2 L' R D'
B2 F U' F2 L' R D2
B2 F U' F2 L' D R
B2 F U' F2 L' D' R
B2 F U' F2 L' D2 R
B2 F U' F2 R L' D
B2 F U' F2 R L' D'
B2 F U' F2 R L' D2
B2 F U' F2 R D L'
B2 F U' F2 R D' L'
B2 F U' F2 R D2 L'
B2 F U' F2 D L' R
B2 F U' F2 D R L'
B2 F U' F2 D' L' R
B2 F U' F2 D' R L'
B2 F U' F2 D2 L' R
B2 F U' F2 D2 R L'
D' B' L' F U' F2 L'
B F U' F2 L' R D
B F U' F2 L' R D'
B F U' F2 L' R D2
B F U' F2 L' D R
B F U' F2 L' D' R
B F U' F2 L' D2 R
B F U' F2 R L' D
B F U' F2 R L' D'
B F U' F2 R L' D2
B F U' F2 R D L'
B F U' F2 R D' L'
B F U' F2 R D2 L'
B F U' F2 D L' R
B F U' F2 D R L'
B F U' F2 D' L' R
B F U' F2 D' R L'
B F U' F2 D2 L' R
B F U' F2 D2 R L'
F B U' F2 L' R D
F B U' F2 L' R D'
F B U' F2 L' R D2
F B U' F2 L' D R
F B U' F2 L' D' R
F B U' F2 L' D2 R
F B U' F2 R L' D
F B U' F2 R L' D'
F B U' F2 R L' D2
F B U' F2 R D L'
F B U' F2 R D' L'
F B U' F2 R D2 L'
F B U' F2 D L' R
F B U' F2 D R L'
F B U' F2 D' L' R
F B U' F2 D' R L'
F B U' F2 D2 L' R
F B U' F2 D2 R L'
B' F' L' R U R' U'
B' F' L' R2 D R' B2
F' B' L' R U R' U'
U' B' U F' L' B R
U' B' U F' B L' R
U' B' U F' B R L'
F' B' L' R2 D R' B2
B2 F' L' R U R' U'
U' B' U B F' L' R
U' B' U B F' R L'
B2 F' L' R2 D R' B2
U' B' U' F' B L R
U' B' U' F' B R L
U' B' U' B L F' R
B F' L' R U R' U'
U' B' U' B F' L R
U' B' U' B F' R L
U2 B' U F' R D2 L2
B F' L' R2 D R' B2
B' F' R L' U R' U'
B' F' R U R' U' L'
F' B' R L' U R' U'
F' B' R U R' U' L'
B2 F' R L' U R' U'
B2 F' R U R' U' L'
B' F' R B2 L' D' B2
F' B' R B2 L' D' B2
B2 F' R B2 L' D' B2
B F' R L' U R' U'
B F' R U R' U' L'
B' F' R2 L' D R' B2
B' F' R2 D L' R' B2
B' F' R2 D R' L' B2
B' F' R2 D R' B2 L'
F' B' R2 L' D R' B2
B F' R B2 L' D' B2
B2 F' R2 L' D R' B2
F' B' R2 D L' R' B2
F' B' R2 D R' L' B2
