B L R' F U' R
B L F R' U' R2
B R' L F U' R
B R' F L U' R
B F L R' U' R2
F B L R' U' R2
B F R' L U' R2
F B R' L U' R2
B' U' B2 L R' F' U'
B' U' B2 R' L F' U'
B' U' B2 R' F' L U'
B D L R' F U' R
B D L F R' U' R2
L' F B L R' U' R2
L' F B R' L U' R2
L2 F B L R' U' R2
B D R' L F U' R
L2 F B R' L U' R2
D F B L U' R B'
D F B L U' B' R
B D R' F L U' R
L F B L R' U' R2
L F B R' L U' R2
B D F L R' U' R2
B D F R' L U' R2
F D B L U' R B'
F D B L U' B' R
B D' L R' F U' R
B D' L F R' U' R2
B D' R' L F U' R
B D' R' F L U' R
B D' F L R' U' R2
B D' F R' L U' R2
B D2 L R' F U' R
B D2 L F R' U' R2
B D2 R' L F U' R
B D2 R' F L U' R
U' B L R' F' U' F2
L' B L R' F U' R
L' B L F R' U' R2
L2 B L R' F U' R
L2 B L F R' U' R2
D B L F U' R B'
D B L F U' B' R
L B L R' F U' R
U B L R' F U' F2
L B L F R' U' R2
U B L F R' U' F'
B D2 F L R' U' R2
B D2 F R' L U' R2
U' B R' L F' U' F2
L' B R' L F U' R
U' B R' F' L U' F
L' B R' F L U' R
L2 B R' L F U' R
U2 B R' U L U2 F
L2 B R' F L U' R
L B R' L F U' R
U B R' L F U' F2
U B R' U' F R F2
L B R' F L U' R
U B R' F2 U' F R
F' B L R' U L2 U2
F' B L R' U' D2 R2
F' B L R' D F2 U'
F' B L R' D2 U' R2
F' B L D R' F2 U'
F' B L D F2 R' U'
F2 B L R' F' U' R
F' B L D2 R' U' R'
F2 B L F' R' U' R2
B F L R' U' R2 D
B F L R' U' R2 D'
B F L R' U' R2 D2
B F L R' D' F2 U'
B F L R' F U' R2
B F L R' F' U' R2
B F L R' F2 U' R2
B F L U' R D B2
B F L D R' U' R2
B F L D' R' U' R2
B F L D2 R' U' R2
F B L R' U' R2 D
F B L R' U' R2 D'
F B L R' U' R2 D2
F B L R' D' F2 U'
F B L R' F U' R2
F B L R' F' U' R2
F B L R' F2 U' R2
F B L U' R D B2
F B L D R' U' R2
F B L D' R' U' R2
F B L D2 R' U' R2
F' B R' L U L2 U2
F' B R' L U' D2 R2
F' B R' L D F2 U'
F' B R' L D2 U' R2
F2 B R' L F' U' R
L' B F L R' U' R2
L' B F R' L U' R2
F' B R' F2 L U' R
F2 B R' F' L U' R
L2 B F L R' U' R2
B F R' L U' R2 D
B F R' L U' R2 D'
B F R' L U' R2 D2
B F R' L D' F2 U'
B F R' L F U' R2
B F R' L F' U' R2
B F R' L F2 U' R2
L2 B F R' L U' R2
B F R' D' L F2 U'
B F R' D' F2 L U'
F B R' L U' R2 D
F B R' L U' R2 D'
F B R' L U' R2 D2
F B R' L D' F2 U'
F B R' L F U' R2
F B R' L F' U' R2
F B R' L F2 U' R2
B F R' F L U' R2
D B F L U' R B'
D B F L U' B' R
B F R' F' L U' R2
B F R' F2 L U' R2
F B R' D' L F2 U'
F B R' D' F2 L U'
F B R' F L U' R2
F B R' F' L U' R2
F B R' F2 L U' R2
L B F L R' U' R2
L B F R' L U' R2
B F D L R' U' R2
B F D R' L U' R2
F B D L R' U' R2
F B D R' L U' R2
B F D' L R' U' R2
B F D' R' L U' R2
F B D' L R' U' R2
F B D' R' L U' R2
B F D2 L R' U' R2
B F D2 R' L U' R2
F B D2 L R' U' R2
F B D2 R' L U' R2
B F' L R' U L2 U2
B F' L R' U' D2 R2
B F' L R' D F2 U'
B F' L R' D2 U' R2
B F' L D R' F2 U'
B F' L D F2 R' U'
B F' L D2 R' U' R'
B F' R' L U L2 U2
B F' R' L U' D2 R2
B F' R' L D F2 U'
B F' R' L D2 U' R2
B F' R' F2 L U' R
B F2 L R' F' U' R
B F2 L F' R' U' R2
B F2 R' L F' U' R
B F2 R' F' L U' R
