F R' B U F2
D' F U F2 R
F R U2 F' U' F'
F R D R2 B U
F R' D B R2 U
F' R' F2 B U F2
F' R' B F2 U F2
F R' B R U F2
F R' B R' U F2
F R' B R2 U F2
F R' B U F2 D
F R' B U F2 D'
F R' B U F2 D2
F R' B D R2 U
F R2 U F R F
R' D F B R' U
R' D B R' F U
R' D B F R' U
D' U F' R D' L2
D' U F' D' L2 R
D' U F' D' R L2
F U F' D' F' R
U D' F' R D' L2
U D' F' D' L2 R
U D' F' D' R L2
D' F R U F2 R
D' F R' U F2 R
D' F R2 U F2 R
D' F U R F2 R
D' F U R' F2 R
D' F U R2 F2 R
D' F U F2 R D
D' F U F2 R D'
D' F U F2 R D2
D' F U F2 D R
D' F U F2 D' R
D' F U F2 D2 R
D' F U' L' U2 F2
R2 F U' B L U2
R' F D B R' U
R' F B R U F'
D' F B U F2 R
D' F B' U F2 R
D F B U R' F2
D F B U F2 R'
D' F B2 U F2 R
F D R2 B U R'
F D B R2 U R
B2 D' F U F2 R
B' D' F U F2 R
F2 D' F' U R F2
B D' F U F2 R
R' B R F U F2
R' B F R U F'
B' F R' B U F2
B2 F R' B U F2
D' B F U F2 R
D B F U R' F2
D B F U F2 R'
B F R' B U F2
F B R' B U F2
F B' R' B U F2
D' B' F U F2 R
F B2 R' B U F2
D' B2 F U F2 R
F D B2 R2 B' U R'
D' F' D' L2 R D' B2
D' F' D' L2 D' R B2
D' F' D' L2 D' B2 R
D' F' D' R L2 D' B2
U F' D' L2 F' R F
R' F' B R F2 U F
U F' D' F' R F L2
B' D' U F' R D' L2
B' D' U F' D' L2 R
B' D' U F' D' R L2
B2 D' U F' R D' L2
B2 D' U F' D' L2 R
B2 D' U F' D' R L2
B D' U F' R D' L2
B D' U F' D' L2 R
B D' U F' D' R L2
F D' U F D F2 R
F D' U F' R D F2
F D' U F' D R F2
B' D' F R U F2 R
B' D' F R' U F2 R
B' D' F R2 U F2 R
B' D' F U R F2 R
B' D' F U R' F2 R
B' D' F U R2 F2 R
B' D' F U F2 R D
B' D' F U F2 R D'
B' D' F U F2 R D2
B' D' F U F2 D R
B' D' F U F2 D' R
B' D' F U F2 D2 R
B' D' F U' L' U2 F2
B2 D' F R U F2 R
B2 D' F R' U F2 R
B2 D' F R2 U F2 R
B' D' F B U F2 R
B2 D' F U R F2 R
B' D' F B' U F2 R
B2 D' F U R' F2 R
B2 D' F U R2 F2 R
B2 D' F U F2 R D
B2 D' F U F2 R D'
B2 D' F U F2 R D2
B2 D' F U F2 D R
B2 D' F U F2 D' R
B2 D' F U F2 D2 R
B2 D' F U' L' U2 F2
B' D' F B2 U F2 R
F D' U2 L2 F' U' R
B2 D' F B U F2 R
B2 D' F B' U F2 R
B2 D' F B2 U F2 R
F D' U2 F' L2 U' R
B D' F R U F2 R
F' D' F' U R F L2
B D' F R' U F2 R
B D' F R2 U F2 R
B D' F U R F2 R
B D' F U R' F2 R
B D' F U R2 F2 R
F2 D' F' R' U R2 F2
F2 D' F' R' U F2 R2
B D' F U F2 R D
B D' F U F2 R D'
B D' F U F2 R D2
B D' F U F2 D R
B D' F U F2 D' R
B D' F U F2 D2 R
B D' F U' L' U2 F2
F2 D' F' R2 U R' F2
F2 D' F' R2 U F2 R'
F2 D' F' U R F2 D
F2 D' F' U R F2 D'
F2 D' F' U R F2 D2
F2 D' F' U R' F2 R2
F2 D' F' U R2 F2 R'
F2 D' F' D R2 U R'
B D' F B U F2 R
B D' F B' U F2 R
B D' F B2 U F2 R
F2 D' F' B U R F2
F2 D' F' B' U R F2
F2 D' F' B2 U R F2
B' D' B F U F2 R
B2 D' B F U F2 R
F2 D' B F' U R F2
B' D' B' F U F2 R
B D' B F U F2 R
B2 D' B' F U F2 R
F2 D' B' F' U R F2
B' D' B2 F U F2 R
B D' B' F U F2 R
B2 D' B2 F U F2 R
F2 D' B2 F' U R F2
B D' B2 F U F2 R
R' F2 D F' B R' U
D2 F2 D F' U R F2
D' F2 D F' U F2 R
R' F2 D B F' R' U
R' F2 D' F' B R U
D' F2 D' F' U F2 R
R' F2 D' B F' R U
D' F2 D2 F' U F2 R
R' F2 B R U F' L'
R' F2 B D' F' R U
D F2 D2 F' U R F2
R' B R U F' D' L2
R' B R D F U F2
R' B R D' F U F2
R' B R D2 F U F2
R' B R F R U F2
R' B R F R' U F2
R' B R F R2 U F2
R' B R F U F2 D
R' B R F U F2 D'
R' B R F U F2 D2
R' B R F D R2 U
R' B R' F R2 U F'
R' B R' F U' B U2
R' B R2 F R' U F'
D' B U F' R D' L2
D' B U F' D' L2 R
D' B U F' D' R L2
D B U F' R' D' L2
D B U F' D' L2 R'
D B U F' D' R' L2
D2 B D F U F2 R
R' B D' F U2 L' U'
R' B D' F' R F2 U
B' F R U2 F' U' F'
B' F R D R2 B U
D B D F U R' F2
D B D F U F2 R'
B2 F R U2 F' U' F'
B2 F R D R2 B U
B' F R' D B R2 U
D B D' F U R' F2
D B D' F U F2 R'
R' B F R U D F'
R' B F R U D' F'
R' B F R U D2 F'
R' B F R U F' D
R' B F R U F' D'
R' B F R U F' D2
B' F R' B R U F2
R' B F R D U F'
B' F R' B R' U F2
R' B F R D' U F'
B' F R' B R2 U F2
R' B F R D2 U F'
B' F R' B U F2 D
B' F R' B U F2 D'
B' F R' B U F2 D2
B' F R' B D R2 U
R' B F R' U' B U2
B F R U2 F' U' F'
D' B F R U F2 R
B F R D R2 B U
D' B F R' U F2 R
R' B F U R F' R'
B2 F R' D B R2 U
D' B F R2 U F2 R
D' B F U R F2 R
D' B F U R' F2 R
D' B F U R2 F2 R
D' B F U F2 R D
D' B F U F2 R D'
D' B F U F2 R D2
D' B F U F2 D R
D' B F U F2 D' R
D' B F U F2 D2 R
F' B R' F2 B U F2
D' B F U' L' U2 F2
B' F R2 U F R F
F' B R' B F2 U F2
B2 F R' B R U F2
B2 F R' B R' U F2
B2 F R' B R2 U F2
F B R U2 F' U' F'
B2 F R' B U F2 D
B2 F R' B U F2 D'
B2 F R' B U F2 D2
B2 F R' B D R2 U
F B R D R2 B U
R' B F' R F2 U F
D B D2 F U R' F2
D B D2 F U F2 R'
B2 F R2 U F R F
B F R' D B R2 U
B F R' B R U F2
B F R' B R' U F2
D B F R U R2 F2
D B F R U F2 R2
B F R' B R2 U F2
B F R' B U F2 D
B F R' B U F2 D'
B F R' B U F2 D2
B F R' B D R2 U
R' B F2 R U F' L'
F B R' D B R2 U
D B F R2 U R F2
D B F U R F2 R2
D B F U R' F2 D
D B F U R' F2 D'
D B F U R' F2 D2
D B F U F R' F
D B F U F2 R' D
D B F U F2 R' D'
D B F U F2 R' D2
D B F U F2 D R'
D B F U F2 D' R'
D B F U F2 D2 R'
B' F U F' D' F' R
B F R2 U F R F
D B F D R2 U R
F B R' B R U F2
F B R' B R' U F2
F B R' B R2 U F2
F B R' B U F2 D
F B R' B U F2 D'
F B R' B U F2 D2
F B R' B D R2 U
R' B F2 D' F' R U
F B R2 U F R F
B2 F U F' D' F' R
B F U F' D' F' R
F B U F' D' F' R
B' F D R2 B U R'
B' F D B R2 U R
B2 F D R2 B U R'
B2 F D B R2 U R
R' B' R F B2 U F2
B F D R2 B U R'
R' B' R B2 F U F2
B F D B R2 U R
F2 B D' F' U R F2
F B D R2 B U R'
F B D B R2 U R
D' B' U F' R D' L2
D' B' U F' D' L2 R
D' B' U F' D' R L2
L2 B' U' D' F' R B2
L2 B' U' D' F' B2 R
L2 B' U' D' B2 F' R
D2 B' D F U F2 R
B' F' R' F2 B U F2
B' F' R' B F2 U F2
F' B' R' F2 B U F2
F' B' R' B F2 U F2
B2 F' R' F2 B U F2
B2 F' R' B F2 U F2
F B' R U2 F' U' F'
F B' R D R2 B U
B F' R' F2 B U F2
B F' R' B F2 U F2
L2 B' D' U' F' R B2
L2 B' D' U' F' B2 R
L2 B' D' U' B2 F' R
F B' R' D B R2 U
F B' R' B R U F2
F B' R' B R' U F2
F B' R' B R2 U F2
F B' R' B U F2 D
F B' R' B U F2 D'
F B' R' B U F2 D2
F B' R' B D R2 U
R' B' F R B2 U F'
F B' R2 U F R F
D' B' F R U F2 R
D' B' F R' U F2 R
D' B' F R2 U F2 R
D' B' F U R F2 R
D' B' F U R' F2 R
D' B' F U R2 F2 R
D' B' F U F2 R D
D' B' F U F2 R D'
D' B' F U F2 R D2
D' B' F U F2 D R
D' B' F U F2 D' R
D' B' F U F2 D2 R
D' B' F U' L' U2 F2
R2 B' D2 F U F R
F B' U F' D' F' R
D B' F U' L U2 F2
F2 B' D' F' U R F2
F B' D R2 B U R'
F B' D B R2 U R
R' B2 R F B' U F2
R' B2 R B' F U F2
D' B2 U F' R D' L2
D' B2 U F' D' L2 R
D' B2 U F' D' R L2
F' B2 R' F2 B U F2
F' B2 R' B F2 U F2
F B2 R U2 F' U' F'
F B2 R D R2 B U
F B2 R' D B R2 U
F B2 R' B R U F2
F B2 R' B R' U F2
F B2 R' B R2 U F2
F B2 R' B U F2 D
F B2 R' B U F2 D'
F B2 R' B U F2 D2
F B2 R' B D R2 U
D2 B2 D F U F2 R
F B2 R2 U F R F
F B2 U F' D' F' R
R' B2 F R B' U F'
D' B2 F R U F2 R
D' B2 F R' U F2 R
D' B2 F R2 U F2 R
D' B2 F U R F2 R
D' B2 F U R' F2 R
D' B2 F U R2 F2 R
D' B2 F U F2 R D
D' B2 F U F2 R D'
D' B2 F U F2 R D2
D' B2 F U F2 D R
D' B2 F U F2 D' R
D' B2 F U F2 D2 R
D' B2 F U' L' U2 F2
B' F2 D' F' U R F2
B2 F2 D' F' U R F2
F2 B2 D' F' U R F2
R2 B2 F U' B' U2 R'
F B2 D R2 B U R'
F B2 D B R2 U R
B F2 D' F' U R F2
