B' L D2 B2 U L
B R' F2 L' U' L2
B U2 R' F2 U' L
B U2 F2 R' U' L
B' D2 L B2 U L
D B U L R2 B'
D B U L B' R2
D B U R2 L B'
L B' L D2 B2 U L
B F U2 F R' U' L
F B U2 R' F U' L
F B U2 F R' U' L
F2 B' L U' R' U2 R
D' B' U' L2 R' U2 B
D' B' U' R' L2 U2 B
D B' U B2 L R2 B'
D B' U B2 L B' R2
D B' U B2 R2 L B'
L' B' D2 L B2 U L
L2 B' D2 L B2 U L
L B' D2 L B2 U L
B F' U2 F' R' U' L
D B2 L U R2 B' L
D B2 L U B' L R2
D B2 L U B' R2 L
B' F2 L U' R' U2 R
D2 B2 U B' D' L B'
D B2 U L R2 B' L
D B2 U L B' L R2
D B2 U L B' R2 L
D B2 U R2 L B' L
D B2 U R2 B' L B'
B F2 R' U2 R U L
D B2 U B' L R2 B'
D B2 U B' L B' R2
D B2 U B' R2 L B'
D2 B2 F D L' F U
D2 B2 F2 U L' B' L
