B' L U2 R B'
B' L U2 B' R
B' L2 U2 R B
L2 U2 R F B
L2 U2 R B F
F2 B' L' F U2
B' F2 L' F U2
B' L U2 D2 B' R D2
B' L U2 D2 B' D R
B' L U2 D2 B' D' R
F' L U2 D2 B' R' F'
B' L U2 D2 B' D2 R
F' L U2 F B' R' F'
R L D' B2 L F B
R L D' B2 L B F
F' L U2 F' B' R' F'
B L U2 D2 R F2 B'
B L U2 D2 R B' F2
B L U2 D2 B' R F2
F' L U2 F2 B' R' F'
B' L U2 B R B2 D
B' L U2 B R B2 D'
B' L U2 B R B2 D2
B' L U2 B R' B2 R2
B' L U2 B' R2 D R'
B' L U2 B' R2 D' R'
B' L U2 B' R2 D2 R'
F' L U2 B' R' D F'
F' L U2 B' R' D' F'
F' L U2 B' R' D2 F'
F' L U2 B' R' F' D
F' L U2 B' R' F' D'
F' L U2 B' R' F' D2
B' L U2 B' D R D
B' L U2 B' D R D'
B' L U2 B' D R D2
F' L U2 B' D R' F'
B' L U2 B' D' R D
B' L U2 B' D' R D'
B' L U2 B' D' R D2
B' L U2 B' D2 R D
B' L U2 B' D2 R D'
B' L U2 B' D2 R D2
F' L U2 B' D' R' F'
F' L U2 B' D2 R' F'
F' L U2 B' F R' F'
F' L U2 B' F' R' F'
F' L U2 B' F2 R' F'
B2 L U2 B' R D2 F2
B' L U2 B2 D B R
B' L U2 B2 D' B R
B' L U2 B2 D2 B R
B2 L U2 B' D2 R F2
B' L D L U2 R B
F L U2 B' R' F' R
L R D2 B2 L F B
L R D2 B2 L B F
B' L D U2 R D B'
B' L D U2 R D' B'
B' L D U2 R D2 B'
B' L D U2 R B' D
B' L D U2 R B' D'
B' L D U2 R B' D2
B' L D U2 R' B' R2
B' L D U2 B R B2
B' L D U2 B' R D
B' L D U2 B' R D'
B' L D U2 B' R D2
B' L D U2 B' D R
B' L D U2 B' D' R
B' L D U2 B' D2 R
F' L D U2 B' R' F'
R L D2 B2 L F B
R L D2 B2 L B F
B' L D F' U2 B' R'
L2 R F L' B2 L B
L2 R F L2 B2 L B'
B2 L D B U2 R B2
B2 L D B U2 B2 R
B' L D' L U2 R B
L2 R F U2 R' F' U2
L2 R F B' L' B' L
L R F B2 L F B
L R F B2 L B F
L2 R F B2 L' B' L2
B' L D' U2 R D B'
B' L D' U2 R D' B'
B' L D' U2 R D2 B'
B' L D' U2 R B' D
B' L D' U2 R B' D'
B' L D' U2 R B' D2
B' L D' U2 R' B' R2
F' L D' U2 B' R' F'
B' L D' U2 B R B2
B' L D' U2 B' R D
B' L D' U2 B' R D'
B' L D' U2 B' R D2
B' L D' U2 B' D R
B' L D' U2 B' D' R
B' L D' U2 B' D2 R
R L F B2 L F B
R L F B2 L B F
B' L D' F' U2 B' R'
B2 L D' B U2 R B2
B2 L D' B U2 B2 R
B' L D2 L U2 R B
L R F' B2 L F B
L R F' B2 L B F
B' L D2 U2 R D B'
B' L D2 U2 R D' B'
B' L D2 U2 R D2 B'
B' L D2 U2 R B' D
B' L D2 U2 R B' D'
B' L D2 U2 R B' D2
F' L D2 U2 B' R' F'
B' L D2 U2 R' B' R2
B' L D2 U2 B R B2
B' L D2 U2 B' R D
B' L D2 U2 B' R D'
B' L D2 U2 B' R D2
B' L D2 U2 B' D R
B' L D2 U2 B' D' R
B' L D2 U2 B' D2 R
R L F' B2 L F B
R L F' B2 L B F
B' L D2 F' U2 B' R'
B L D2 U2 R F2 B'
B L D2 U2 R B' F2
B L D2 U2 B' R F2
B2 L D2 B U2 R B2
B2 L D2 B U2 B2 R
B' L F L2 F L' U2
L R F2 B2 L F B
L R F2 B2 L B F
R L F2 B2 L F B
R L F2 B2 L B F
R' L B R2 B2 L F
B' L F' L2 F U2 R
L' R B' L2 B' L F
L R B' L D2 F L'
B' L F' U2 R B' R'
B' L F' U2 R' B' R'
B' L F' U2 R2 B' R'
B' L F' U2 D B' R'
B' L F' U2 D' B' R'
B' L F' U2 D2 B' R'
B' L F' U2 B' R' D
B' L F' U2 B' R' D'
B' L F' U2 B' R' D2
B' L F' U2 B' D R'
B' L F' U2 B' D' R'
B' L F' U2 B' D2 R'
R L B' L D2 F L'
L2 R B' L' B' L F
B' L F' D U2 B' R'
B' L F' D' U2 B' R'
B' L F' D2 U2 B' R'
B' L F2 L2 F L U2
L R B' D2 L F L'
L2 R B' D2 F L' B'
R L B' D2 L F L'
L2 R B' F L' B' L
L R B2 L D F B
L R B2 L D B F
L R B2 L D' F B
L R B2 L D' B F
L R B2 L D2 F B
L R B2 L D2 B F
L R B2 L F D B
L R B2 L F D' B
L R B2 L F D2 B
L R B2 L F B D
L R B2 L F B D'
L R B2 L F B D2
L R B2 L B D F
L R B2 L B D' F
L R B2 L B D2 F
L R B2 L B F D
L R B2 L B F D'
L R B2 L B F D2
R L B2 L D F B
R L B2 L D B F
R L B2 L D' F B
R L B2 L D' B F
R L B2 L D2 F B
R L B2 L D2 B F
R L B2 L F D B
R L B2 L F D' B
R L B2 L F D2 B
R L B2 L F B D
R L B2 L F B D'
R L B2 L F B D2
R L B2 L B D F
R L B2 L B D' F
R L B2 L B D2 F
R L B2 L B F D
R L B2 L B F D'
R L B2 L B F D2
F L F2 U2 B' R' F'
L R B2 L2 B L' F
R L B2 L2 B L' F
B2 L F2 B L' U2 B2
B2 L B L U2 R B2
B2 L B L U2 B2 R
B L F2 B2 L' U2 B
L R B2 D L F B
L R B2 D L B F
B2 L B L' U2 R B2
B2 L B L' U2 B2 R
L R B2 D' L F B
L R B2 D' L B F
B2 L B L2 U2 R B2
R L B2 D L F B
R L B2 D L B F
B2 L B L2 U2 B2 R
L R B2 D2 L F B
L R B2 D2 L B F
R L B2 D' L F B
R L B2 D' L B F
L R B2 F L F B
L R B2 F L B F
R L B2 D2 L F B
R L B2 D2 L B F
L2 R B2 F L' B' L2
L R B2 F' L F B
L R B2 F' L B F
R L B2 F L F B
R L B2 F L B F
L R B2 F2 L F B
L R B2 F2 L B F
R L B2 F' L F B
R L B2 F' L B F
R L B2 F2 L F B
R L B2 F2 L B F
B2 L B U2 R B2 D
B2 L B U2 R B2 D'
B2 L B U2 R B2 D2
B2 L B U2 R' B2 R2
B2 L B U2 B' R B'
B2 L B U2 B2 R D
B2 L B U2 B2 R D'
B2 L B U2 B2 R D2
B2 L B U2 B2 D R
B2 L B U2 B2 D' R
B2 L B U2 B2 D2 R
B2 L B D2 F2 L' U2
B2 L B F2 L' U2 B2
U2 L B' L R F L2
U2 L B' R L F L2
B L B2 L U2 B R
B L B2 L' U2 B R
B L B2 L2 U2 B R
B L B2 U2 D B R
B L B2 U2 D' B R
B L B2 U2 D2 B R
B L B2 U2 B R D
B L B2 U2 B R D'
B L B2 U2 B R D2
B L B2 U2 B D R
B L B2 U2 B D' R
B L B2 U2 B D2 R
B L B2 U2 B' R B2
B L B2 U2 B2 R B'
B L B2 D U2 B R
B L B2 D' U2 B R
B L B2 D2 U2 B R
B L B2 F2 L' U2 B
B' L' R F R' U2 R
B' L' R2 F R2 U2 R
B' L' U L2 U R B'
B' L' U L2 U B' R
B' L' U2 L2 R B' L2
B' L' U2 L2 B' L2 R
B' L' U2 L2 B' R L2
B' L' U2 R L2 B' L2
B' L' U2 R U2 F U2
R' L' F2 L' R2 F B
R' L' F2 L' R2 B F
L' R' F2 L' R2 F B
L' R' F2 L' R2 B F
R' L' F2 R2 L' F B
R' L' F2 R2 L' B F
B' L' D L' U2 R B
L' R' F2 R2 L' F B
L' R' F2 R2 L' B F
R' L' F2 R2 B L' F
B' L' D L2 U2 R B'
B' L' D L2 U2 B' R
L2 R' F2 L' F' R2 B'
L2 R' F2 L' F' B' R2
L2 R' F2 L' B' F' R2
L' R' F2 R2 B L' F
F2 L' D F U' L' U'
B' L' D F2 L' F' U2
B' L' D' L' U2 R B
B' L' D' L2 U2 R B'
B' L' D' L2 U2 B' R
L R' B R2 B2 L F
B' L' D' F2 L' F' U2
B' L' D2 L' U2 R B
B' L' D2 L2 U2 R B'
B' L' D2 L2 U2 B' R
R L' B' L2 B' L F
F' L' D2 F U2 R F'
B' L' D2 F2 L' F' U2
F' L' F L B' U2 R
F' L' F L' U2 R F
F2 L' F L B' L' U2
F L' F L B' L2 U2
F L' F L' U2 D F
F L' F L' U2 D' F
F L' F L' U2 D2 F
F L' F L' U2 F D
F L' F L' U2 F D'
F L' F L' U2 F D2
F L' F L' D U2 F
F L' F L' D' U2 F
F L' F L' D2 U2 F
F L' F L' B U2 F
F L' F L' B' U2 F
F L' F L' B2 U2 F
B' L' F U' F' U' R
F' L' F U2 D2 R F'
F2 L' F U' L' U' F
B' L' F U2 F' R F
F2 L' F U2 L' F L
B2 L' F U2 R2 F' R
F' L' F D2 U2 R F'
B2 L' F D2 B U2 R'
F' L' F' L' F2 U2 F'
F L' F B L' U2 F
F L' F B' L' U2 F
F L' F B2 L' U2 F
B' L' F2 L F' L2 U2
B' L' F2 L' D F' U2
B' L' F2 L' D' F' U2
B' L' F2 L' D2 F' U2
B' L' F2 L' F' U2 D
B' L' F2 L' F' U2 D'
B' L' F2 L' F' U2 D2
B' L' F2 L' F' D U2
B' L' F2 L' F' D' U2
B' L' F2 L' F' D2 U2
B' L' F2 L2 F' L U2
B2 L' F2 L' F' B U2
B2 L' F2 L' B F' U2
B L' F2 L' F' B2 U2
B L' F2 L' B2 F' U2
B' L' F2 D L' F' U2
B' L' F2 D' L' F' U2
B' L' F2 D2 L' F' U2
B2 L' F2 B L' F' U2
B L' F2 B2 L' F' U2
B2 L' B L' U2 R B
B2 L' B L2 U2 R B'
B2 L' B L2 U2 B' R
R L2 U2 R' F' U2 F2
B2 L' B F2 L' F' U2
F L' B F L' U2 F
F L' B' F L' U2 F
B L' B2 L' U2 R B
B L' B2 L2 U2 R B'
B L' B2 L2 U2 B' R
F L' B2 F L' U2 F
B L' B2 F2 L' F' U2
D2 L2 R F D2 B2 L
U2 L2 R F L' B' L'
R L2 F L' B2 L B
R L2 F L2 B2 L B'
R L2 F U2 R' F' U2
R L2 F B' L' B' L
R L2 F B2 L' B' L2
B' L2 U L U R B
B' L2 U L' U R B
B' L2 U L2 U R B
R' L2 F2 L' F' R2 B'
R' L2 F2 L' F' B' R2
R' L2 F2 L' B' F' R2
B' L2 U B L U R
B' L2 U2 L R B L'
B' L2 U2 L2 R B L2
D2 L2 U2 R F D2 B2
B' L2 U2 R L B L'
B' L2 U2 R L2 B L2
B' L2 U2 R D B D
B' L2 U2 R D B D'
B' L2 U2 R D B D2
B' L2 U2 R D' B D
B' L2 U2 R D' B D'
B' L2 U2 R D' B D2
B' L2 U2 R D2 B D
B' L2 U2 R D2 B D'
B' L2 U2 R D2 B D2
D2 L2 U2 R' F B R2
D2 L2 U2 R' B R2 F
B' L2 U2 R B2 D B'
B' L2 U2 R B2 D' B'
B' L2 U2 R B2 D2 B'
D2 L2 U2 R' B F R2
B' L2 U2 R' B R2 B
B' L2 U2 R' B' R2 B
B' L2 U2 R' B2 R2 B
B' L2 U2 D R D B
B' L2 U2 D R D' B
B' L2 U2 D R D2 B
B' L2 U2 D R B D
B' L2 U2 D R B D'
B' L2 U2 D R B D2
B' L2 U2 D B R B
B' L2 U2 D B' R B
B' L2 U2 D B2 R B
U2 L2 U2 R F L2 B
U2 L2 U2 R F B L2
B' L2 U2 D' R D B
B' L2 U2 D' R D' B
B' L2 U2 D' R D2 B
U2 L2 U2 R B F L2
B' L2 U2 D' R B D
B' L2 U2 D' R B D'
B' L2 U2 D' R B D2
B' L2 U2 D' B R B
B' L2 U2 D' B' R B
B' L2 U2 D' B2 R B
B' L2 U2 D2 R D B
B' L2 U2 D2 R D' B
B' L2 U2 D2 R D2 B
B' L2 U2 D2 R B D
B' L2 U2 D2 R B D'
B' L2 U2 D2 R B D2
B' L2 U2 D2 B R B
B' L2 U2 D2 B' R B
B' L2 U2 D2 B2 R B
B2 L2 U2 R2 F' R' B
B L2 U2 R D2 F2 B
B L2 U2 R D2 B F2
B' L2 U2 B R D B
B' L2 U2 B R D' B
B' L2 U2 B R D2 B
B' L2 U2 B R B D
B' L2 U2 B R B D'
B' L2 U2 B R B D2
B' L2 U2 B D R B
B' L2 U2 B D' R B
B' L2 U2 B D2 R B
B' L2 U2 B' R D B
B' L2 U2 B' R D' B
B' L2 U2 B' R D2 B
B' L2 U2 B' R B D
B' L2 U2 B' R B D'
B' L2 U2 B' R B D2
B' L2 U2 B' D R B
B' L2 U2 B' D' R B
B' L2 U2 B' D2 R B
B L2 U2 D2 R F2 B
B L2 U2 D2 R B F2
B' L2 U2 B2 R D B
B' L2 U2 B2 R D' B
B' L2 U2 B2 R D2 B
B' L2 U2 B2 R B D
B' L2 U2 B2 R B D'
B' L2 U2 B2 R B D2
B' L2 U2 B2 D R B
B' L2 U2 B2 D' R B
B' L2 U2 B2 D2 R B
B' L2 D L' U2 R B'
B' L2 D L' U2 B' R
F L2 U2 F' R F2 B
F L2 U2 F' R B F2
R L2 B' L' B' L F
B' L2 D U2 R D B
B' L2 D U2 R D' B
B' L2 D U2 R D2 B
B' L2 D U2 R B D
B' L2 D U2 R B D'
B' L2 D U2 R B D2
B' L2 D U2 B R B
B' L2 D U2 B' R B
B' L2 D U2 B2 R B
B' L2 D F2 L' U2 B'
R L2 B' D2 F L' B'
R L2 B' F L' B' L
B2 L2 D B U2 R B
B' L2 D' L' U2 R B'
B' L2 D' L' U2 B' R
B' L2 D' U2 R D B
B' L2 D' U2 R D' B
B' L2 D' U2 R D2 B
B' L2 D' U2 R B D
B' L2 D' U2 R B D'
B' L2 D' U2 R B D2
B' L2 D' U2 B R B
B' L2 D' U2 B' R B
B' L2 D' U2 B2 R B
B' L2 D' F2 L' U2 B'
R L2 B2 F L' B' L2
B2 L2 D' B U2 R B
B' L2 D2 L' U2 R B'
B' L2 D2 L' U2 B' R
B' L2 D2 U2 R D B
B' L2 D2 U2 R D' B
B' L2 D2 U2 R D2 B
B' L2 D2 U2 R B D
B' L2 D2 U2 R B D'
B' L2 D2 U2 R B D2
B' L2 D2 U2 B R B
B' L2 D2 U2 B' R B
B' L2 D2 U2 B2 R B
B' L2 D2 F2 L' U2 B'
B L2 D2 U2 R F2 B
B L2 D2 U2 R B F2
B2 L2 D2 B U2 R B
B' L2 F L F L' U2
F2 L2 F L F U2 F'
B' L2 F' L F U2 R
B' L2 F' L' U2 B' R'
F' L2 F' L' U2 F2 B'
F' L2 F' L' U2 B' F2
F2 L2 F' L F U2 F
F' L2 F' U2 F2 R B
B' L2 F2 L F L2 U2
F L2 F' U2 R F2 B
F L2 F' U2 R B F2
B' L2 F2 L' U2 D B'
B' L2 F2 L' U2 D' B'
B' L2 F2 L' U2 D2 B'
B' L2 F2 L' U2 B' D
B' L2 F2 L' U2 B' D'
B' L2 F2 L' U2 B' D2
B' L2 F2 L' D U2 B'
B' L2 F2 L' D' U2 B'
B' L2 F2 L' D2 U2 B'
B' L2 F2 L' F U2 B'
B' L2 F2 L' F' U2 B'
B' L2 F2 L' F2 U2 B'
F2 L2 F2 L F U2 F2
B2 L2 F2 L' B U2 B2
B L2 F2 L' B2 U2 B
F' L2 F2 U2 F' R B
B' L2 F2 D L' U2 B'
B' L2 F2 D' L' U2 B'
B' L2 F2 D2 L' U2 B'
B2 L2 F2 B L' U2 B'
B2 L2 B L' U2 R B'
B2 L2 B L' U2 B' R
B L2 F2 B2 L' U2 B'
B2 L2 B U2 R D B
B2 L2 B U2 R D' B
B2 L2 B U2 R D2 B
B2 L2 B U2 R B D
B2 L2 B U2 R B D'
B2 L2 B U2 R B D2
B2 L2 B U2 D R B
B2 L2 B U2 D' R B
B2 L2 B U2 D2 R B
B2 L2 B U2 B R B
B2 L2 B U2 B' R B
B2 L2 B U2 B2 R B
B2 L2 B D U2 R B
B2 L2 B D' U2 R B
B2 L2 B D2 U2 R B
B2 L2 B F2 L' U2 B'
L U R2 U R' F' B'
L U R2 U R' B' F'
F2 L2 B' U2 F R B
B L2 B2 L' U2 R B'
B L2 B2 L' U2 B' R
B L2 B2 U2 R D B
B L2 B2 U2 R D' B
B L2 B2 U2 R D2 B
B L2 B2 U2 R B D
B L2 B2 U2 R B D'
B L2 B2 U2 R B D2
B L2 B2 U2 D R B
B L2 B2 U2 D' R B
B L2 B2 U2 D2 R B
B L2 B2 U2 B R B
B L2 B2 U2 B' R B
B L2 B2 U2 B2 R B
B L2 B2 D U2 R B
B L2 B2 D' U2 R B
B L2 B2 D2 U2 R B
B L2 B2 F2 L' U2 B'
R2 U D2 L2 R' F B
R2 U D2 L2 R' B F
R2 U D2 L2 F R' B
R2 U D2 R' L2 F B
R2 U D2 R' L2 B F
U2 R L B' L F L2
B' R L' F R' U2 R
D2 R L2 F D2 B2 L
U2 R L2 F L' B' L'
D2 R U2 F' R' B' U2
B R U2 B2 U2 L B'
B' R D2 R' U2 B R
D2 R F' R' B' U2 R
L U' R2 U' R' F' B'
L U' R2 U' R' B' F'
B R B' L B' L F
B' R B2 L D2 F2 B'
B' R B2 L D2 B' F2
R2 U' D2 L2 R' F B
R2 U' D2 L2 R' B F
R2 U' D2 L2 F R' B
R2 U' D2 R' L2 F B
R2 U' D2 R' L2 B F
B' R' U2 R2 B2 L B'
L2 U2 L R B L' F
B' R' D2 L2 R F' U2
B' R' D2 R L2 F' U2
B' R' D2 R F' L2 U2
L2 U2 R L B L' F
L2 U2 R D F D B
L2 U2 R D F D' B
L2 U2 R D F D2 B
L2 U2 R D F B D
L2 U2 R D F B D'
L2 U2 R D F B D2
L2 U2 R D B D F
L2 U2 R D B D' F
L2 U2 R D B D2 F
L2 U2 R D B F D
L2 U2 R D B F D'
L2 U2 R D B F D2
L2 U2 R D' F D B
L2 U2 R D' F D' B
L2 U2 R D' F D2 B
L2 U2 R D' F B D
L2 U2 R D' F B D'
L2 U2 R D' F B D2
L2 U2 R D' B D F
L2 U2 R D' B D' F
L2 U2 R D' B D2 F
L2 U2 R D' B F D
L2 U2 R D' B F D'
L2 U2 R D' B F D2
L2 U2 R D2 F D B
L2 U2 R D2 F D' B
L2 U2 R D2 F D2 B
L2 U2 R D2 F B D
L2 U2 R D2 F B D'
L2 U2 R D2 F B D2
L2 U2 R D2 B D F
L2 U2 R D2 B D' F
L2 U2 R D2 B D2 F
L2 U2 R D2 B F D
L2 U2 R D2 B F D'
L2 U2 R D2 B F D2
L2 U2 R F L B L'
L2 U2 R F L2 B L2
L2 U2 R F D B D
L2 U2 R F D B D'
L2 U2 R F D B D2
L2 U2 R F D' B D
L2 U2 R F D' B D'
L2 U2 R F D' B D2
L2 U2 R F D2 B D
L2 U2 R F D2 B D'
L2 U2 R F D2 B D2
L2 U2 R F B2 D B'
L2 U2 R F B2 D' B'
L2 U2 R F B2 D2 B'
L2 U2 R F2 D F' B
L2 U2 R F2 D B F'
L2 U2 R F2 D' F' B
L2 U2 R F2 D' B F'
L2 U2 R F2 D2 F' B
L2 U2 R F2 D2 B F'
L2 U2 R F2 B D F'
L2 U2 R F2 B D' F'
L2 U2 R F2 B D2 F'
L2 U2 R B R F R'
L2 U2 R B R2 F R2
L2 U2 R B D F D
L2 U2 R B D F D'
L2 U2 R B D F D2
L2 U2 R B D' F D
L2 U2 R B D' F D'
L2 U2 R B D' F D2
L2 U2 R B D2 F D
L2 U2 R B D2 F D'
L2 U2 R B D2 F D2
L2 U2 R B F2 D F'
L2 U2 R B F2 D' F'
L2 U2 R B F2 D2 F'
L U2 R U2 B U2 B2
L U2 R D B' D2 F2
L2 U2 R B2 D F B'
L2 U2 R B2 D B' F
L2 U2 R B2 D' F B'
L2 U2 R B2 D' B' F
L2 U2 R B2 D2 F B'
L2 U2 R B2 D2 B' F
L2 U2 R B2 F D B'
L2 U2 R B2 F D' B'
L2 U2 R B2 F D2 B'
L U2 R D' B' D2 F2
L U2 R D2 B' D2 F2
L U2 R F B' D2 F2
L U2 R F' B' D2 F2
L U2 R F2 B' D2 F2
L U2 R B' U2 B2 U2
L U2 R B' D2 F2 D
L U2 R B' D2 F2 D'
L U2 R B' D2 F2 D2
L U2 R B' F D2 F2
L U2 R B' F' D2 F2
L U2 R B' F2 D2 F2
L2 U2 R' F R2 D2 B2
L2 U2 R' B R2 F B
L2 U2 R' B R2 B F
L2 U2 R' B' R2 F B
L2 U2 R' B' R2 B F
L2 U2 R' B2 R2 F B
L2 U2 R' B2 R2 B F
L U2 R' F R2 F2 B'
L U2 R' F R2 B' F2
L U2 R' F B' R2 F2
L U2 R' F' R B' R
L U2 R' F' R2 D B'
L U2 R' F' R2 D' B'
L U2 R' F' R2 D2 B'
L U2 R' F' R2 B' D
L U2 R' F' R2 B' D'
L U2 R' F' R2 B' D2
L U2 R' F' B R2 B2
L U2 R' F' B' R2 D
L U2 R' F' B' R2 D'
L U2 R' F' B' R2 D2
D2 R' B' R U2 R B2
D2 R' B' R U2 B2 R
L U2 R' F2 R2 F B'
L U2 R' F2 R2 B' F
L U2 R' F2 B' R2 F
L U2 R' B F' R2 B2
L U2 R' B' F R2 F2
L U2 R' B' F' R2 D
L U2 R' B' F' R2 D'
L U2 R' B' F' R2 D2
L U2 R' B' F2 R2 F
F2 R' B' L' R F U2
D2 R' B' U2 R2 B2 L
L2 U2 R2 F R' D B
L2 U2 R2 F R' D' B
L2 U2 R2 F R' D2 B
L2 U2 R2 F R' B D
