U2 L' B2 U F B'
U2 L' B2 U B' F
L' U' D' F B R2
L' U' D' B R2 F
L' U' D' B F R2
L' U' F D' B R2
L' U2 B2 U F B'
L' U2 B2 U B' F
L' D' U' F B R2
L' D' U' B R2 F
L' D' U' B F R2
L' D2 F2 U' F' B
L' D2 F2 U' B F'
L' U' F D' B R2 D2
L' U' F D' B' R2 B2
L' U' F D' B2 R2 B'
L' U' F D2 B D R2
L' U' F B U' B U
L' U' F2 D' F' B R2
L' U' F2 D' B F' R2
L' U' B R2 F D R2
L' U' B U' B U F
L' U' B F U' B U
R' U2 L' B2 U F B
R' U2 L' B2 U B F
L U2 L2 B2 U F B'
L U2 L2 B2 U B' F
R' U2 B2 L' U F B'
R' U2 B2 L' U B' F
L' U2 B2 R U F B'
L' U2 B2 R U B' F
L' U2 B2 R' U F B'
L' U2 B2 R' U B' F
L' U2 B2 R2 U F B'
L' U2 B2 R2 U B' F
L' U2 B2 U D F B'
L' U2 B2 U D B' F
L' U2 B2 U D' F B'
L' U2 B2 U D' B' F
L' U2 B2 U D2 F B'
L' U2 B2 U D2 B' F
L' U2 B2 U F D B'
L' U2 B2 U F D' B'
L' U2 B2 U F D2 B'
L' U2 B2 U F B' D
L' U2 B2 U F B' D'
L' U2 B2 U F B' D2
L' U2 B2 U B' D F
L' U2 B2 U B' D' F
L' U2 B2 U B' D2 F
L' U2 B2 U B' F D
L' U2 B2 U B' F D'
L' U2 B2 U B' F D2
L' U2 B2 D U F B'
L' U2 B2 D U B' F
L2 U2 B2 R' U F' B'
L2 U2 B2 R' U B' F'
L' U2 B2 D' U F B'
L' U2 B2 D' U B' F
L' U2 B2 D2 U F B'
L' U2 B2 D2 U B' F
L U2 B2 R2 U F' B'
L U2 B2 R2 U B' F'
L U2 B2 U B' D2 F2
L U2 B2 U' B U2 B2
L' D U L2 B' U2 B2
L' D U' F D2 B R2
L' D U' F B D2 R2
L D U L2 U2 F B
L D U L2 U2 B F
L' D U' B D2 R2 F
L' D U' B D2 F R2
L' D U' B F D2 R2
L D U B' L2 U2 B2
L D U' B D2 R2 F2
L D U' B D2 F2 R2
L2 D' L U' F B R2
L2 D' L U' B R2 F
L2 D' L U' B F R2
L D' L2 U' F B R2
L D' L2 U' B R2 F
L D' L2 U' B F R2
B2 U B' L' D F L'
L' D' U' R2 F D2 B2
L' D' U' F B R2 D
L' D' U' F B R2 D'
L' D' U' F B R2 D2
L' D' U' F B' R2 B2
L' D' U' F B2 R2 B'
L' D' U' F' B R2 F2
L' D' U' B R' F R'
L' D' U' B R2 D F
L' D' U' B R2 D' F
L' D' U' B R2 D2 F
L' D' U' B R2 F D
L' D' U' B R2 F D'
L' D' U' B R2 F D2
L' D' U' B F R2 D
L' D' U' B F R2 D'
L' D' U' B F R2 D2
L' D' U' B F' R2 F2
L' D' U' B' R2 F B2
L' D' U' B' R2 B2 F
L' D' U' B' F R2 B2
L' D' U' B2 R2 F B'
L' D' U' B2 R2 B' F
L' D' U' B2 F R2 B'
L D' U B' U2 R2 B2
L D' U B' U2 B2 R2
L D' U' B R2 D2 F2
L D' U' B2 R2 F' B'
L D' U' B2 R2 B' F'
L' D' F' U' F2 B R2
L' D' F' U' B R2 F2
L' D' F' U' B F2 R2
L' D' F2 U' F' B R2
L' D' F2 U' B F' R2
D' U' B R D' R F2
U' D' B R D' R F2
D' U' B R2 U' R U
U' D' B R2 U' R U
D2 U' B R D F' R2
D2 U' B R' D R2 F'
U' D' B U' R' U R'
D' U' B U' R' U R'
L2 D2 L F2 U' F' B
L2 D2 L F2 U' B F'
R' D2 R F2 U' F B
R' D2 R F2 U' B F
L D2 L2 F2 U' F' B
L D2 L2 F2 U' B F'
L' D2 U' B D R2 F
L' D2 U' B D F R2
F' U2 L' B2 U F B'
F' U2 L' B2 U B' F
F2 U2 L' B2 U F B'
F2 U2 L' B2 U B' F
R' D2 F2 R U' F' B
R' D2 F2 R U' B F'
L' D2 F2 L U' F' B
L' D2 F2 L U' B F'
L' D2 F2 L' U' F' B
L' D2 F2 L' U' B F'
L' D2 F2 L2 U' F' B
L' D2 F2 L2 U' B F'
F U2 L' B2 U F B'
F U2 L' B2 U B' F
L' D2 F2 U' D F' B
L' D2 F2 U' D B F'
L' D2 F2 U' D' F' B
L' D2 F2 U' D' B F'
L' D2 F2 U' D2 F' B
L' D2 F2 U' D2 B F'
L' D2 F2 U' F' D B
L' D2 F2 U' F' D' B
L' D2 F2 U' F' D2 B
L' D2 F2 U' F' B D
L' D2 F2 U' F' B D'
L' D2 F2 U' F' B D2
L' D2 F2 U' B D F'
L' D2 F2 U' B D' F'
L' D2 F2 U' B D2 F'
L' D2 F2 U' B F' D
L' D2 F2 U' B F' D'
L' D2 F2 U' B F' D2
L2 D2 F2 L U' F B
L2 D2 F2 L U' B F
L' D2 F2 D U' F' B
L' D2 F2 D U' B F'
L' D2 F2 D' U' F' B
L' D2 F2 D' U' B F'
L' D2 F2 D2 U' F' B
L' D2 F2 D2 U' B F'
U' D2 B R D F' R2
U' D2 B R' D R2 F'
L D2 F2 L2 U' F B
L D2 F2 L2 U' B F
L D2 F2 U B' U2 B2
L D2 F2 U' B D2 F2
D F L' U L' U2 B
D F L' F2 U' B R
B2 U2 B2 L' U' F B
B2 U2 B2 L' U' B F
D F D L' F2 U' B
D2 F D' F L' U' B
L' F D2 F2 U' F2 B
L' F D2 F2 U' B F2
D F D2 L' U' B R2
B2 D F' R U B' L2
L' F' U' F2 D' B R2
L' F' U2 B2 U F2 B'
L' F' U2 B2 U B' F2
L' F' D' L2 U' B R2
D F' D F2 L' U' B
D2 F2 U' R F' R' B
L' F2 U' D' F' B R2
L' F2 U' D' B F' R2
D2 F2 U' B R F' R'
L' F2 U' F' D' B R2
L' F2 U2 B2 U F' B'
L' F2 U2 B2 U B' F'
L' F2 D' U' F' B R2
L' F2 D' U' B F' R2
D2 F2 D2 L' U' F B
D2 F2 D2 L' U' B F
B2 D2 R F2 U F B'
B2 D2 R F2 U B' F
L' F2 D2 F2 U' F B
L' F2 D2 F2 U' B F
U2 B L' B U F B'
U2 B L' B U B' F
B2 D2 F2 R U F' B'
B2 D2 F2 R U B' F'
U' B U' D' B R' U
U' B D' U' B R' U
U' B D2 R D' F' R
U2 B D' B R' U B'
D' B' L B U' B R2
U' B2 L' U F L B'
L' B2 U D F B' L2
L' B2 U D B' F L2
L' B2 U F D B' L2
U2 B2 U L' F L B'
U2 B2 U B' L' F L
L' B2 U2 B2 U' F B
L' B2 U2 B2 U' B F
L' B2 D U F B' L2
L' B2 D U B' F L2
L' B2 D2 F2 U F' B'
L' B2 D2 F2 U B' F'
U2 B2 D2 R U F' B'
U2 B2 D2 R U B' F'
