L' R F2 U2 F' R
F L' R F L' B'
R L' F2 U2 F' R
F' L' F' U2 L' F2
F R L' F L' B'
F2 U2 L' F' R F2
R F' L' F' U2 F2
L' F2 U2 L' F' R
U2 F2 U2 L' F R
B2 R L' F2 U2 F' R
F R L' F L' D B'
F R L' F L' D' B'
F R L' F L' D2 B'
F R L' F L' B' D
F R L' F L' B' D'
F R L' F L' B' D2
B R L' F2 U2 F' R
F R L' F D L' B'
F R L' F D' L' B'
F R L' F D2 L' B'
F R L' F B L' B'
F R L' F B' L' B'
F R L' F B2 L' B'
F R L' B F L' B'
F R L' B' F L' B'
F R L' B2 F L' B'
F R L2 D2 B' L F
F R L2 B' L F L'
F2 R U2 L' F' R F2
D2 R U2 F' B' R' B'
D2 R U2 B' F' R' B'
D2 R U2 B2 D2 F' R
F R U2 F U2 L' F
D2 R F R F2 B2 L
D2 R F R B2 L F2
D2 R F R B2 F2 L
D2 R F U2 R F2 B2
D2 R F U2 R B2 F2
D2 R F U2 B2 R F2
B' R F' L' F' U2 F2
B2 R F' L' F' U2 F2
B R F' L' F' U2 F2
U2 R F2 L B' U2 R'
U2 R F2 L' U2 F R
U2 R F2 B L B' U2
U2 R B L F2 B' U2
U2 R B L B' F2 U2
F R B L' F L' B'
U2 R B F2 L B' U2
D2 R B' U2 F' B' R'
D2 R B' U2 B' F' R'
F R B' L' F L' B'
F R B2 L' F L' B'
F R' L' F L' R2 B'
F R' L' F L' B' R2
F R' L' F R2 L' B'
F2 R' U2 L' F' R F2
F R' F L' F R2 B
F R' F U2 L' R2 F
F R' F U2 L' F R2
F R' F U2 R2 L' F
L2 U2 R F2 B L U2
L2 U2 R B L F2 U2
L2 U2 R B F2 L U2
L U2 R F2 B' U2 R'
D2 R' B R2 F' L' U2
L U2 R B' F2 U2 R'
D2 R' B2 D2 L2 F R
F' R2 L' U2 F B L
F' R2 L' U2 B F L
F R2 L' F L' R' B'
F R2 L' F R' L' B'
F2 R2 U2 L' F' R F2
L U2 F2 B' U2 L' R'
L U2 F2 B' U2 R' L'
L U2 B' R F2 U2 R2
L U2 B' F2 U2 L' R'
L U2 B' F2 U2 R' L'
F R2 F U2 L' R' F
F R2 F U2 L' F R'
F R2 F U2 R' L' F
F U L' R F L' B'
F U R L' F L' B'
F U' L' R F L' B'
F U' R L' F L' B'
R' D2 L2 F R F' B2
R' D2 L2 F R B2 F'
R' D2 L2 F B2 R F'
R' D2 L2 B2 F R F'
R' D2 R F' L2 B2 R'
L' D2 R F R B2 L
R' D2 R' B2 L2 F R
L D2 R B' U2 B' R'
L' D2 R2 F B2 L R
L' D2 R2 F B2 R L
L' D2 R2 B2 F L R
L' D2 R2 B2 F R L
L2 D2 R2 B2 L F R
R' D2 F L2 R F' B2
R' D2 F L2 R B2 F'
R' D2 F L2 B2 R F'
R' D2 F R L2 F' B2
R' D2 F R L2 B2 F'
R' D2 F R F' L2 B2
R' D2 F R F' B2 L2
F2 U2 L F' L2 R F
F2 U2 L F' R L2 F
R' D2 F R B2 L2 F'
R' D2 F R B2 F' L2
F2 U2 L F2 L2 F R
F2 U2 L' R F' R F2
F2 U2 L' R' F' R F2
F2 U2 L' R2 F' R F2
R' D2 F B2 L2 R F'
R' D2 F B2 R L2 F'
R' D2 F B2 R F' L2
F2 U2 L' F U2 L' U2
F2 U2 L' F' R F2 D
F2 U2 L' F' R F2 D'
F2 U2 L' F' R F2 D2
F2 U2 L' F' R' F2 R2
F2 U2 L' F' R2 F2 R'
F U2 L' R F L' B'
R2 D2 F B2 L R F'
R2 D2 F B2 R L F'
R2 D2 F B2 R F' L
R D2 F R F' B2 L
R D2 F R B2 L F'
R D2 F R B2 F' L
F2 U2 L2 F' L R F
F2 U2 L2 F' R L F
F2 U2 L2 F2 L F R
L' D2 F2 L' F' R B2
L' D2 F2 L' F' B2 R
L' D2 F2 L' B2 F' R
R D2 F U2 R F' B2
R D2 F U2 R B2 F'
R D2 F U2 B2 R F'
F2 U2 R L' F' R F2
L' D2 F2 B2 L' F' R
F2 U2 R' L' F' R F2
F U2 R L' F L' B'
F2 U2 R2 L' F' R F2
R' D2 B2 L2 F R F'
R' D2 B2 F L2 R F'
R' D2 B2 F R L2 F'
R' D2 B2 F R F' L2
L D2 B' R U2 B' R'
R2 D2 B2 L F R F'
L' D2 B2 F2 L' F' R
R2 D2 B2 F L R F'
R2 D2 B2 F R L F'
R2 D2 B2 F R F' L
L' F L2 R D2 B' L
U2 F L' F L' B' R'
L' F L2 D2 R B' L
L' F L2 D2 B' L R
L' F L2 D2 B' R L
F2 U2 F' L' R F L'
F2 U2 F' R L' F L'
F2 U2 F' R F L' F
R F L' U2 R F B
R F L' U2 R B F
L' F R L2 D2 B' L
L' F R U2 F U2 L'
D2 F R F L' F2 B2
D2 F R F L' B2 F2
D2 F R F B2 L' F2
L' F R D2 L2 B' L
L F L2 R F B' L'
L F L2 R B' F L'
D2 F R B2 F L' F2
B' U2 F2 U2 L' F R
B2 U2 F2 U2 L' F R
L F L2 B' R F L'
L F R L2 F B' L'
L F R L2 B' F L'
B U2 F2 U2 L' F R
R' F D2 L2 R F' B'
R' F D2 L2 R B' F'
R' F D2 L2 B' R F'
R' F D2 R L2 F' B'
R' F D2 R L2 B' F'
L' F D2 L2 R B' L
L' F D2 L2 B' L R
L' F D2 L2 B' R L
L' F D2 R L2 B' L
D2 F B2 R F L' F2
R' F' L' R2 U2 F B
R' F' L' R2 U2 B F
R' F' L' F' R2 U2 F2
L' F' L' F' U2 L' F'
L2 F' L' F' B' U2 L'
L2 F' L' B' F' U2 L'
R2 F' L' F' R' U2 F2
R F' L F' L2 U2 F
R F' L F' B' L2 U2
R F' L B' L2 F' U2
R F' L B' F' L2 U2
R F' L' U2 F D2 B2
R F' L' D F' U2 F2
R F' L' D' F' U2 F2
L F' L' F' U2 L' F
R F' L' D2 F' U2 F2
R F' L' F' U2 F2 D
R F' L' F' U2 F2 D'
R F' L' F' U2 F2 D2
R F' L' F' D2 B2 U2
R F' L' F' B U2 F2
R F' L' F' B' U2 F2
R F' L' F' B2 U2 F2
R F' L' B F' U2 F2
R F' L' B' F' U2 F2
R F' L' B2 F' U2 F2
R F' L2 F' L U2 F
R' F' R2 L' U2 F B
R' F' R2 L' U2 B F
R F' B L' F' U2 F2
L F' B' L' F' U2 L'
L' F2 L U2 L2 F' R
L' F2 L U2 F' L2 R
L' F2 L U2 F' R L2
R F' B' L' F' U2 F2
L' F2 L F' L2 R B'
L' F2 L F' L2 B' R
L' F2 L F' R L2 B'
D2 F2 L' R F' R B2
D2 F2 L' R F' B2 R
D2 F2 L' R B2 F' R
U2 F2 L U2 L2 F R
R F' B2 L' F' U2 F2
D2 F2 L' F' R F' B2
D2 F2 L' F' R B2 F'
U2 F2 L B' U2 L2 R'
U2 F2 L B' U2 R' L2
D2 F2 L' F' B2 R F'
D2 F2 L' B2 R F' R
D2 F2 L' B2 F' R F'
L' F2 L2 U2 L F' R
L' F2 L2 U2 F' L R
L' F2 L2 U2 F' R L
R F2 L D2 B' L U2
D2 F2 R L' F' R B2
D2 F2 R L' F' B2 R
D2 F2 R L' B2 F' R
R F2 L' U2 F' R F2
D2 F2 R B2 L' F' R
U2 F2 R U2 L' F R
R F2 L2 U2 R' F' R
U2 F2 R' U2 L' F R
U2 F2 R2 U2 L' F R
L' F2 U2 L F' L2 R
L' F2 U2 L F' R L2
L' F2 U2 L' F' R D
L' F2 U2 L' F' R D'
L' F2 U2 L' F' R D2
L' F2 U2 L' F' D R
L' F2 U2 L' F' D' R
L' F2 U2 L' F' D2 R
L' F2 U2 L2 F' L R
L' F2 U2 L2 F' R L
U2 F2 U2 L' R F R
U2 F2 U2 L' R' F R
L2 F2 U2 L' R' F' R
U2 F2 U2 L' R2 F R
U2 F2 U2 L' D F R
U2 F2 U2 L' D' F R
U2 F2 U2 L' D2 F R
U2 F2 U2 L' F R D
U2 F2 U2 L' F R D'
U2 F2 U2 L' F R D2
U2 F2 U2 L' F D R
U2 F2 U2 L' F D' R
U2 F2 U2 L' F D2 R
U2 F2 U2 R L' F R
L2 F2 U2 R' L' F' R
U2 F2 U2 R' L' F R
U2 F2 U2 R2 L' F R
R F2 U2 F' D2 R F'
F D2 L2 R F' B' L
F D2 L2 R B' L F'
F D2 L2 R B' F' L
F D2 L2 B' L R F'
F D2 L2 B' R L F'
F D2 L2 B' R F' L
F D2 R L2 F' B' L
F D2 R L2 B' L F'
F D2 R L2 B' F' L
R2 F2 D2 R' B U2 R'
L' F2 B U2 L' F' R
U2 F2 B L U2 L2 F
U2 F2 B L B' U2 L2
F2 D2 R' B U2 L' R'
F2 D2 R' B U2 R' L'
L' F2 B' U2 L' F' R
D2 F2 B2 L' R F' R
D2 F2 B2 L' F' R F'
D2 F2 B2 R L' F' R
L F2 D2 B' L U2 L2
U2 F2 B' U2 L' R' F
U2 F2 B' U2 L' F R'
U2 F2 B' U2 R' L' F
L' F2 B2 U2 L' F' R
U2 B L R F2 B' U2
U2 B L R B' F2 U2
U2 B L F2 B' U2 L'
U2 B L B' R F2 U2
U2 B L B' F2 U2 L'
U2 B R L F2 B' U2
U2 B R L B' F2 U2
L' B R F2 U2 F' R
R B L' F2 U2 F' R
U2 B R F2 L B' U2
B' F L' R F L' B'
B2 F L' R F L' B'
F' B L' F' U2 L' F2
B F L' R F L' B'
F B L' R F L' B'
B' F R L' F L' B'
B2 F R L' F L' B'
B F R L' F L' B'
F B R L' F L' B'
L' B F2 U2 L' F' R
U2 B F2 L U2 L2 F
U2 B F2 L B' U2 L2
R B F' L' F' U2 F2
F2 B U2 L' F' R F2
D2 B' R U2 F' B' R'
D2 B' R U2 B' F' R'
L' B' R F2 U2 F' R
R B' L' F2 U2 F' R
L B' R F' L' F' U2
B' F' L' F' U2 L' F2
F' B' L' F' U2 L' F2
B2 F' L' F' U2 L' F2
F B' L' R F L' B'
B F' L' F' U2 L' F2
F B' R L' F L' B'
F2 B' U2 L' F' R F2
L' B' F2 U2 L' F' R
U2 B' F2 U2 L' R' F
U2 B' F2 U2 L' F R'
U2 B' F2 U2 R' L' F
L B' F' L' F' U2 L'
R B' F' L' F' U2 F2
R2 B2 L' F L2 R B'
R2 B2 L' F L2 B' R
R2 B2 L' F R L2 B'
L' B2 R F2 U2 F' R
F' B2 L' F' U2 L' F2
R B2 L' F2 U2 F' R
F B2 L' R F L' B'
F B2 R L' F L' B'
B' F2 U2 L' F' R F2
B2 F2 U2 L' F' R F2
F2 B2 U2 L' F' R F2
B F2 U2 L' F' R F2
D2 B2 F R F L' F2
D2 B2 F2 L' R F' R
D2 B2 F2 L' F' R F'
D2 B2 F2 R L' F' R
L' B2 F2 U2 L' F' R
R B2 F' L' F' U2 F2
