U' L F' U2 F2
U' F' L U2 F
U' L U2 F D2 B2
U' L D F' U2 F2
U' L D' F' U2 F2
U' L D2 F' U2 F2
U' L F' U2 F2 D
U' L F' U2 F2 D'
U' L F' U2 F2 D2
U' L F' D2 B2 U2
U' L F' B U2 F2
U' L F' B' U2 F2
U' L F' B2 U2 F2
U' L B F' U2 F2
U' L B' F' U2 F2
U' L B2 F' U2 F2
U' L' F' L2 U2 F
U' L' F' B' L2 U2
U' L' B' L2 F' U2
U' L' B' F' L2 U2
R' U B2 R' F' B
R' U B2 R' B F'
R2 U B2 R' F' B'
R2 U B2 R' B' F'
R2 U' L U2 F B
R2 U' L U2 B F
L2 U' L' F' B' U2
L2 U' L' B' F' U2
U R' F' B2 R' B
B' R' B' U R' B
U R' B2 F' R' B
U' D L F' U2 F2
U' D F' L U2 F
U' D' L F' U2 F2
D2 U' L F' U2 F2
D' U' L F' U2 F2
D U' L F' U2 F2
U' D' F' L U2 F
D2 U' F' L U2 F
D' U' F' L U2 F
D U' F' L U2 F
U' D2 L F' U2 F2
U' D2 F' L U2 F
U' F L F2 U2 F'
U F D2 B2 R' F'
U' F' L U2 D F
U' F' L U2 D' F
U' F' L U2 D2 F
U' F' L U2 F D
U' F' L U2 F D'
U' F' L U2 F D2
U' F' L D U2 F
U' F' L D' U2 F
U' F' L D2 U2 F
U' F' L B U2 F
U' F' L B' U2 F
U' F' L B2 U2 F
U' F' L' B' L2 U2
U' F' D L U2 F
U' F' D' L U2 F
U' F' D2 L U2 F
U' F' B2 U2 R' F'
U B2 R2 B R F'
U' B2 F' U2 R' F'
U' L' B L2 F' B2 U2
U' L' B L2 B2 F' U2
U' L' B F' L2 B2 U2
U' L' B' L F' L U2
U' L' B' L2 D F' U2
U' L' B' L2 D' F' U2
U' L' B' L2 D2 F' U2
U' L' B' L2 F' U2 D
U' L' B' L2 F' U2 D'
U' L' B' L2 F' U2 D2
U' L' B' L2 F' D U2
U' L' B' L2 F' D' U2
U' L' B' L2 F' D2 U2
U' L' B' U2 D2 R2 B
U' L' B' D2 U2 R2 B
U' L' B' D2 F' U2 R2
U' L' B' F L2 F2 U2
U' L' B' F' L2 U2 D
U' L' B' F' L2 U2 D'
U' L' B' F' L2 U2 D2
U' L' B' F' L2 D U2
U' L' B' F' L2 D' U2
U' L' B' F' L2 D2 U2
U' L' B' F' U2 D2 R2
U' L' B' F' D2 U2 R2
U' L' B' F2 L2 U2 B'
U' L' B2 L2 F' B U2
U' L' B2 L2 B F' U2
U' L' B2 F' L2 B U2
B' L2 R' B' U R' B
U2 L2 U L' F' B' U2
U2 L2 U L' B' F' U2
D2 L2 U' L' F' B' U2
D2 L2 U' L' B' F' U2
D' L2 U' L' F' B' U2
D' L2 U' L' B' F' U2
D L2 U' L' F' B' U2
D L2 U' L' B' F' U2
L2 U L' F' U2 L F
R' U R' F' B2 R' B'
U' L2 B L' F' U2 F2
R' U R' B D2 F' R
R' U R' B2 F' R' B'
U' L2 B' L' F' U2 F2
L2 U R2 F2 B R F'
L2 U R2 B F2 R F'
U' L2 B2 L' F' U2 F2
R2 U D B2 R' F' B'
R2 U D B2 R' B' F'
L' U D2 R' F' R' B
R2 U D' B2 R' F' B'
R2 U D' B2 R' B' F'
R2 U D2 B2 R' F' B'
R2 U D2 B2 R' B' F'
U R L B U2 L' B'
R' U F B2 R' F' B
R' U F B2 R' B F'
R2 U F B2 R' F' B'
R2 U F B2 R' B' F'
R' U F' B2 R' F' B
R' U F' B2 R' B F'
R2 U F' B2 R' F' B'
R2 U F' B2 R' B' F'
R' U F2 B2 R' F' B
R' U F2 B2 R' B F'
R' U B R' F' B R'
R' U B R' B F' R'
R2 U F2 B2 R' F' B'
R2 U F2 B2 R' B' F'
R2 U B R' D2 F' R
R2 U B D2 R' F' R
U R U2 L F B U2
U R U2 L B F U2
R' U B2 R' D F' B
R' U B2 R' D B F'
R' U B2 R' D' F' B
R' U B2 R' D' B F'
R' U B2 R' D2 F' B
R' U B2 R' D2 B F'
R' U B2 R' F' D B
R' U B2 R' F' D' B
R' U B2 R' F' D2 B
R' U B2 R' F' B D
R' U B2 R' F' B D'
R' U B2 R' F' B D2
R' U B2 R' B D F'
R' U B2 R' B D' F'
R' U B2 R' B D2 F'
R' U B2 R' B F' D
R' U B2 R' B F' D'
R' U B2 R' B F' D2
R' U B2 F R' F' B
R' U B2 F R' B F'
R' U B2 F' R' F' B
R' U B2 F' R' B F'
R2 U B2 R' D F' B'
R2 U B2 R' D B' F'
R2 U B2 R' D' F' B'
R2 U B2 R' D' B' F'
R2 U B2 R' D2 F' B'
R2 U B2 R' D2 B' F'
R2 U B2 R' F' D B'
R2 U B2 R' F' D' B'
R2 U B2 R' F' D2 B'
R2 U B2 R' F' B' D
R2 U B2 R' F' B' D'
R2 U B2 R' F' B' D2
R2 U B2 R' B' D F'
R2 U B2 R' B' D' F'
R2 U B2 R' B' D2 F'
R2 U B2 R' B' F' D
R2 U B2 R' B' F' D'
R2 U B2 R' B' F' D2
R' U B2 F2 R' F' B
R' U B2 F2 R' B F'
R2 U B2 R2 B' R F'
R2 U B2 D R' F' B'
R2 U B2 D R' B' F'
R2 U B2 D' R' F' B'
R2 U B2 D' R' B' F'
R2 U B2 D2 R' F' B'
R2 U B2 D2 R' B' F'
R2 U B2 F R' F' B'
R2 U B2 F R' B' F'
R2 U B2 F' R' F' B'
R2 U B2 F' R' B' F'
R2 U B2 F2 R' F' B'
R2 U B2 F2 R' B' F'
L' U' L F' L U2 F2
R2 U' L U2 D F B
R2 U' L U2 D B F
R2 U' L U2 D' F B
R2 U' L U2 D' B F
R2 U' L U2 D2 F B
R2 U' L U2 D2 B F
R2 U' L U2 F D B
R2 U' L U2 F D' B
R2 U' L U2 F D2 B
R2 U' L U2 F B D
R2 U' L U2 F B D'
R2 U' L U2 F B D2
R2 U' L U2 B D F
R2 U' L U2 B D' F
R2 U' L U2 B D2 F
R2 U' L U2 B F D
R2 U' L U2 B F D'
R2 U' L U2 B F D2
R2 U' L D U2 F B
R2 U' L D U2 B F
L2 U' L F' L2 U2 F2
R2 U' L D' U2 F B
R2 U' L D' U2 B F
R2 U' L D2 U2 F B
R2 U' L D2 U2 B F
R2 U' L F' U2 F2 B
R2 U' L F' U2 B F2
R2 U' L F2 U2 F' B
R2 U' L F2 U2 B F'
R2 U' L B' U2 F B2
R2 U' L B' U2 B2 F
R2 U' L B2 U2 F B'
R2 U' L B2 U2 B' F
L2 U' L' D F' B' U2
L2 U' L' D B' F' U2
L2 U' L' D' F' B' U2
L2 U' L' D' B' F' U2
L' U' L' B' L' F' U2
L2 U' L' D2 F' B' U2
L2 U' L' D2 B' F' U2
L2 U' L' F' D B' U2
L2 U' L' F' D' B' U2
L2 U' L' F' D2 B' U2
L2 U' L' F' B' U2 D
L2 U' L' F' B' U2 D'
L2 U' L' F' B' U2 D2
L2 U' L' F' B' D U2
L2 U' L' F' B' D' U2
L2 U' L' F' B' D2 U2
L2 U' L' B' D F' U2
L2 U' L' B' D' F' U2
L2 U' L' B' D2 F' U2
L2 U' L' B' F' U2 D
L2 U' L' B' F' U2 D'
L2 U' L' B' F' U2 D2
L2 U' L' B' F' D U2
L2 U' L' B' F' D' U2
L2 U' L' B' F' D2 U2
R2 U' L' B' L2 U2 B2
L2 U' L2 F' L B' U2
L2 U' D L' F' B' U2
L2 U' D L' B' F' U2
R2 U' D L U2 F B
R2 U' D L U2 B F
L2 U' D' L' F' B' U2
L2 U' D' L' B' F' U2
R2 U' D' L U2 F B
R2 U' D' L U2 B F
R' U' D2 L U2 F B'
R' U' D2 L U2 B' F
L2 U' D2 L' F' B' U2
L2 U' D2 L' B' F' U2
R2 U' D2 L U2 F B
R2 U' D2 L U2 B F
B' R' L B' U R' B
R2 U' F L U2 F B
R2 U' F L U2 B F
B' R' L' B' U R' B
L' U' F' L' B' L' U2
B' R' L2 B' U R' B
R2 U' F' L U2 F B
R2 U' F' L U2 B F
L2 U' F' U2 R' F' R
D2 R' U B2 R' F' B
D2 R' U B2 R' B F'
D' R' U B2 R' F' B
D' R' U B2 R' B F'
R2 U' F2 L U2 F B
R2 U' F2 L U2 B F
D R' U B2 R' F' B
D R' U B2 R' B F'
L2 U' B L' F' B' U2
L2 U' B L' B' F' U2
U2 R' U' B2 R' F' B
U2 R' U' B2 R' B F'
L2 U' B' L' F' B' U2
L2 U' B' L' B' F' U2
R' U' B2 U2 R' F' B
R' U' B2 U2 R' B F'
B' R' D B' L U R'
L2 U' B2 L' F' B' U2
L2 U' B2 L' B' F' U2
R2 U' B2 U2 R' F' B'
R2 U' B2 U2 R' B' F'
U R' F B2 R' F2 B
U R' F B2 R' B F2
U R' F' R' B2 R' B'
U R' F' B R' B R'
U R' F' B2 R' D B
U R' F' B2 R' D' B
U R' F' B2 R' D2 B
U R' F' B2 R' B D
U R' F' B2 R' B D'
U R' F' B2 R' B D2
B' R' B U B2 R' B
B2 R' B R' U B R
U R' F2 B2 R' F B
U R' F2 B2 R' B F
B' R' B' L U R' B
B' R' B' L' U R' B
B' R' B' L2 U R' B
B' R' B' U R' D B
B' R' B' U R' D' B
B' R' B' U R' D2 B
B' R' B' U R' B D
B' R' B' U R' B D'
B' R' B' U R' B D2
U R' B F' R' B R'
B' R' B2 U R' B R'
B' R' B2 U B R' B
U R' B2 F R' F2 B
U R' B2 F R' B F2
U R' B2 F' R' D B
U R' B2 F' R' D' B
U R' B2 F' R' D2 B
U R' B2 F' R' B D
U R' B2 F' R' B D'
U R' B2 F' R' B D2
U R' B2 F2 R' F B
U R' B2 F2 R' B F
U2 R2 U L U2 F B
U2 R2 U L U2 B F
B2 R2 U D' B R F'
D2 R2 U B2 R' F' B'
D2 R2 U B2 R' B' F'
D' R2 U B2 R' F' B'
D' R2 U B2 R' B' F'
D2 R2 U' L U2 F B
D2 R2 U' L U2 B F
D' R2 U' L U2 F B
D' R2 U' L U2 B F
B2 R2 U B R D' F2
D R2 U B2 R' F' B'
D R2 U B2 R' B' F'
D R2 U' L U2 F B
D R2 U' L U2 B F
U2 R2 U' B2 R' F' B'
U2 R2 U' B2 R' B' F'
B R2 U2 L U' B R'
B2 R2 D' U B R F'
B' R2 B' R U R2 B2
B' R2 B' R U B2 R2
U R2 B R D2 F' R
B R2 B' U B2 R' F'
R2 D U B2 R' F' B'
R2 D U B2 R' B' F'
L2 D U' L' F' B' U2
L2 D U' L' B' F' U2
R2 D U' L U2 F B
R2 D U' L U2 B F
U' D L U2 F D2 B2
U' D L D F' U2 F2
U' D L D' F' U2 F2
U R2 B2 R F' R2 B'
U R2 B2 R F' B' R2
U R2 B2 R B' F' R2
U' D L D2 F' U2 F2
U R2 B2 R' B' D2 F2
U' D L F' U2 F2 D
U' D L F' U2 F2 D'
U' D L F' U2 F2 D2
U' D L F' D2 B2 U2
U' D L F' B U2 F2
U' D L F' B' U2 F2
U' D L F' B2 U2 F2
U' D L B F' U2 F2
U' D L B' F' U2 F2
U' D L B2 F' U2 F2
U' D L' F' L2 U2 F
U' D L' F' B' L2 U2
U' D L' B' L2 F' U2
U' D L' B' F' L2 U2
D' U R' F' B2 R' B
D2 U R' F' B2 R' B
D' U R' B2 F' R' B
D2 U R' B2 F' R' B
D U R' F' B2 R' B
B2 U R2 D' B R F'
D U R' B2 F' R' B
U' D F L F2 U2 F'
U D R' F' B2 R' B
B2 U R2 B R D' F2
U D R' B2 F' R' B
D' U F D2 B2 R' F'
D2 U F D2 B2 R' F'
U' D F' L U2 D F
U' D F' L U2 D' F
U' D F' L U2 D2 F
U' D F' L U2 F D
U' D F' L U2 F D'
U' D F' L U2 F D2
U' D F' L D U2 F
U' D F' L D' U2 F
U' D F' L D2 U2 F
U' D F' L B U2 F
U' D F' L B' U2 F
U' D F' L B2 U2 F
U' D F' L' B' L2 U2
U' D F' D L U2 F
U' D F' D' L U2 F
U' D F' D2 L U2 F
D U F D2 B2 R' F'
U' D F' B2 U2 R' F'
U D F D2 B2 R' F'
D' U B2 R2 B R F'
D2 U B2 R2 B R F'
U' D B2 F' U2 R' F'
D' U' L U2 F D2 B2
U' D' L U2 F D2 B2
D' U' L D F' U2 F2
D2 U' L U2 F D2 B2
U' D' L D F' U2 F2
D U B2 R2 B R F'
D' U' L D' F' U2 F2
D2 U' L D F' U2 F2
U' D' L D' F' U2 F2
D' U' L D2 F' U2 F2
D2 U' L D' F' U2 F2
U' D' L D2 F' U2 F2
D2 U' L D2 F' U2 F2
D' U' L F' U2 F2 D
D' U' L F' U2 F2 D'
D' U' L F' U2 F2 D2
U' D' L F' U2 F2 D
U' D' L F' U2 F2 D'
U' D' L F' U2 F2 D2
D' U' L F' D2 B2 U2
D' U' L F' B U2 F2
U' D' L F' D2 B2 U2
D' U' L F' B' U2 F2
U' D' L F' B U2 F2
D' U' L F' B2 U2 F2
U' D' L F' B' U2 F2
U' D' L F' B2 U2 F2
D2 U' L F' U2 F2 D
D2 U' L F' U2 F2 D'
D2 U' L F' U2 F2 D2
D2 U' L F' D2 B2 U2
D2 U' L F' B U2 F2
D2 U' L F' B' U2 F2
D2 U' L F' B2 U2 F2
D' U' L B F' U2 F2
U' D' L B F' U2 F2
U D B2 R2 B R F'
D' U' L B' F' U2 F2
U' D' L B' F' U2 F2
D2 U' L B F' U2 F2
D' U' L B2 F' U2 F2
U' D' L B2 F' U2 F2
D2 U' L B' F' U2 F2
D2 U' L B2 F' U2 F2
D U' L U2 F D2 B2
D U' L D F' U2 F2
D U' L D' F' U2 F2
U' D' L' F' L2 U2 F
D' U' L' F' L2 U2 F
D U' L D2 F' U2 F2
D' U' L' F' B' L2 U2
U' D' L' F' B' L2 U2
D2 U' L' F' L2 U2 F
D2 U' L' F' B' L2 U2
D U' L F' U2 F2 D
D U' L F' U2 F2 D'
D U' L F' U2 F2 D2
D U' L F' D2 B2 U2
D U' L F' B U2 F2
D U' L F' B' U2 F2
D U' L F' B2 U2 F2
U' D' L' B' L2 F' U2
D' U' L' B' L2 F' U2
U' D' L' B' F' L2 U2
D' U' L' B' F' L2 U2
D2 U' L' B' L2 F' U2
D U' L B F' U2 F2
D2 U' L' B' F' L2 U2
D U' L B' F' U2 F2
D U' L B2 F' U2 F2
L2 D' U' L' F' B' U2
L2 D' U' L' B' F' U2
R2 D' U B2 R' F' B'
R2 D' U B2 R' B' F'
R2 D' U' L U2 F B
R2 D' U' L U2 B F
D U' L' F' L2 U2 F
D U' L' F' B' L2 U2
D U' L' B' L2 F' U2
D U' L' B' F' L2 U2
D' U' F L F2 U2 F'
U' D' F L F2 U2 F'
D2 U' F L F2 U2 F'
U D' R' F' B2 R' B
U D' R' B2 F' R' B
U' D' F' L U2 D F
U' D' F' L U2 D' F
U' D' F' L U2 D2 F
U' D' F' L U2 F D
U' D' F' L U2 F D'
U' D' F' L U2 F D2
D' U' F' L U2 D F
D' U' F' L U2 D' F
D' U' F' L U2 D2 F
D' U' F' L U2 F D
D' U' F' L U2 F D'
D' U' F' L U2 F D2
U' D' F' L D U2 F
D' U' F' L D U2 F
U' D' F' L D' U2 F
D' U' F' L D' U2 F
U' D' F' L D2 U2 F
D' U' F' L D2 U2 F
U' D' F' L B U2 F
D' U' F' L B U2 F
U' D' F' L B' U2 F
D' U' F' L B' U2 F
U' D' F' L B2 U2 F
D' U' F' L B2 U2 F
U' D' F' L' B' L2 U2
D' U' F' L' B' L2 U2
D2 U' F' L U2 D F
D2 U' F' L U2 D' F
D2 U' F' L U2 D2 F
D2 U' F' L U2 F D
D2 U' F' L U2 F D'
D2 U' F' L U2 F D2
D2 U' F' L D U2 F
D2 U' F' L D' U2 F
D2 U' F' L D2 U2 F
D2 U' F' L B U2 F
D2 U' F' L B' U2 F
D2 U' F' L B2 U2 F
D2 U' F' L' B' L2 U2
D U' F L F2 U2 F'
D' U' F' D L U2 F
U' D' F' D L U2 F
D' U' F' D' L U2 F
U' D' F' D' L U2 F
D' U' F' D2 L U2 F
U' D' F' D2 L U2 F
D2 U' F' D L U2 F
D2 U' F' D' L U2 F
D2 U' F' D2 L U2 F
U' D' F' B2 U2 R' F'
D' U' F' B2 U2 R' F'
D2 U' F' B2 U2 R' F'
D U' F' L U2 D F
D U' F' L U2 D' F
D U' F' L U2 D2 F
D U' F' L U2 F D
D U' F' L U2 F D'
D U' F' L U2 F D2
D U' F' L D U2 F
D U' F' L D' U2 F
D U' F' L D2 U2 F
D U' F' L B U2 F
D U' F' L B' U2 F
D U' F' L B2 U2 F
D U' F' L' B' L2 U2
U D' F D2 B2 R' F'
D U' F' D L U2 F
D U' F' D' L U2 F
D U' F' D2 L U2 F
D U' F' B2 U2 R' F'
D' U' B2 F' U2 R' F'
U' D' B2 F' U2 R' F'
D2 U' B2 F' U2 R' F'
U' D2 L U2 F D2 B2
U' D2 L D F' U2 F2
U' D2 L D' F' U2 F2
U' D2 L D2 F' U2 F2
U' D2 L F' U2 F2 D
U' D2 L F' U2 F2 D'
U' D2 L F' U2 F2 D2
U' D2 L F' D2 B2 U2
U' D2 L F' B U2 F2
U' D2 L F' B' U2 F2
U' D2 L F' B2 U2 F2
U' D2 L B F' U2 F2
U' D2 L B' F' U2 F2
U' D2 L B2 F' U2 F2
U D' B2 R2 B R F'
D U' B2 F' U2 R' F'
U' D2 L' F' L2 U2 F
U' D2 L' F' B' L2 U2
U' D2 L' B' L2 F' U2
U' D2 L' B' F' L2 U2
L' D2 R' U R' F' B
L' D2 R' U R' B F'
L' D2 U R' F' R' B
R' D2 U' L U2 F B'
R' D2 U' L U2 B' F
L2 D2 U' L' F' B' U2
L2 D2 U' L' B' F' U2
R2 D2 U B2 R' F' B'
R2 D2 U B2 R' B' F'
R2 D2 U' L U2 F B
R2 D2 U' L U2 B F
U' D2 F L F2 U2 F'
U D2 R' F' B2 R' B
B U2 L R2 U' B R'
B U2 L U' R2 B R'
U D2 R' B2 F' R' B
U' D2 F' L U2 D F
U' D2 F' L U2 D' F
U' D2 F' L U2 D2 F
U' D2 F' L U2 F D
U' D2 F' L U2 F D'
U' D2 F' L U2 F D2
U' D2 F' L D U2 F
U' D2 F' L D' U2 F
U' D2 F' L D2 U2 F
U' D2 F' L B U2 F
U' D2 F' L B' U2 F
U' D2 F' L B2 U2 F
U' D2 F' L' B' L2 U2
U' D2 F' D L U2 F
U' D2 F' D' L U2 F
U' D2 F' D2 L U2 F
U' D2 F' B2 U2 R' F'
U D2 F D2 B2 R' F'
L' D2 B' R' U R' B
B U2 R2 L U' B R'
U' D2 B2 F' U2 R' F'
U' F L U2 D2 F B2
U' F L U2 D2 B2 F
U' F L D2 U2 F B2
U' F L D2 U2 B2 F
U' F L F2 U2 D F'
U' F L F2 U2 D' F'
U' F L F2 U2 D2 F'
U' F L F2 U2 F' D
U' F L F2 U2 F' D'
U' F L F2 U2 F' D2
U' F L F2 D U2 F'
U' F L F2 D' U2 F'
U' F L F2 D2 U2 F'
U' F L F2 B U2 F'
U' F L F2 B' U2 F'
U' F L F2 B2 U2 F'
U' F L B F2 U2 F'
U' F L B' F2 U2 F'
U' F L B2 F2 U2 F'
U D2 B2 R2 B R F'
U' F L' F2 L2 U2 F
U' F L' F2 B' L2 U2
U' F L' B' L2 F2 U2
U' F L' B' F2 L2 U2
U F L F2 R B U2
U F R' D2 F' B2 R'
U F R' D2 B2 F' R'
U' F U2 D2 B2 R' F'
U F U2 L F2 U2 F'
U F U2 F2 L U2 F
U' F D2 L U2 F B2
U' F D2 L U2 B2 F
U' F D2 U2 B2 R' F'
B' D R' B' U R' B
U F D2 R' F' B2 R'
U F D2 R' B2 F' R'
U F D2 F B2 R' F'
U F D2 F' B2 R' F'
U F D2 F2 B2 R' F'
U F D2 B2 R' D F'
U F D2 B2 R' D' F'
U F D2 B2 R' D2 F'
U F D2 B2 R' F' D
U F D2 B2 R' F' D'
U F D2 B2 R' F' D2
U F D2 B2 D R' F'
U F D2 B2 D' R' F'
U F D2 B2 D2 R' F'
U F D2 B2 F R' F'
U F D2 B2 F' R' F'
U F D2 B2 F2 R' F'
U' F' L U R U F
U' F' L U R' U F
U' F' L U R2 U F
U' F' L U2 R F R'
U' F' L U2 R2 F R2
U' F' L U2 D F D
U' F' L U2 D F D'
U' F' L U2 D F D2
U' F' L U2 D' F D
U' F' L U2 D' F D'
U' F' L U2 D' F D2
U' F' L U2 D2 F D
U' F' L U2 D2 F D'
U' F' L U2 D2 F D2
U' F' L U2 F2 D F'
U' F' L U2 F2 D' F'
U' F' L U2 F2 D2 F'
U' F' L D U2 F D
U' F' L D U2 F D'
U' F' L D U2 F D2
U' F' L D B U2 F
U' F' L D B' U2 F
U' F' L D B2 U2 F
U' F' L D' U2 F D
U' F' L D' U2 F D'
U' F' L D' U2 F D2
U' F' L D' B U2 F
U' F' L D' B' U2 F
U' F' L D' B2 U2 F
U' F' L D2 U2 F D
U' F' L D2 U2 F D'
U' F' L D2 U2 F D2
U' F' L D2 B U2 F
U' F' L D2 B' U2 F
U' F' L D2 B2 U2 F
U' F' L B U2 D F
U' F' L B U2 D' F
U' F' L B U2 D2 F
U' F' L B U2 F D
U' F' L B U2 F D'
U' F' L B U2 F D2
U' F' L B D U2 F
U' F' L B D' U2 F
U' F' L B D2 U2 F
U' F' L B' U2 D F
