L' R U F B L
L' R U B F L
R L' U F B L
R L' U B F L
F L' R U F B
F L' R U B F
F R L' U F B
F R L' U B F
D2 R F U F2 B
D2 R F U B F2
F U2 L' U' F B'
F U2 L' U' B' F
D2 F R U F' B
D2 F R U B F'
R F L' U F B
R F L' U B F
D F U2 L' U' B'
F2 D F' R U B
D F' R F2 U B
F D2 R U F' B
F D2 R U B F'
R F L' U F B D'
R F L' U F B D2
R F L' U B D F
R F L' U B D' F
R F L' U B D2 F
R F L' U B F D
R F L' U B F D'
R F L' U B F D2
D2 F R U D F' B
D2 F R U D B F'
D2 F R U D' F' B
D2 F R U D' B F'
D2 F R U D2 F' B
D2 F R U D2 B F'
D2 F R U F' D B
D2 F R U F' D' B
D2 F R U F' D2 B
D2 F R U F' B D
D2 F R U F' B D'
D2 F R U F' B D2
D2 F R U B D F'
D2 F R U B D' F'
D2 F R U B D2 F'
D2 F R U B F' D
D2 F R U B F' D'
D2 F R U B F' D2
R F L' D U F B
R F L' D U B F
D2 F R D U F' B
D2 F R D U B F'
R F L' D' U F B
R F L' D' U B F
D2 F R D' U F' B
D2 F R D' U B F'
R F L' D2 U F B
R F L' D2 U B F
D2 F R D2 U F' B
D2 F R D2 U B F'
D2 F R' U' F' B U2
D2 F R' U' B F' U2
D F R U2 L' U' B
R2 F R' L' U F B
R2 F R' L' U B F
R F U L' F L B
F2 D L F' R U B
R F U B L' F L
D F U2 L' R U' B'
D F U2 L' R' U' B'
D F U2 L' R2 U' B'
D F U2 L' U' D B'
D F U2 L' U' D' B'
D F U2 L' U' D2 B'
D F U2 L' U' B' D
D F U2 L' U' B' D'
D F U2 L' U' B' D2
D F U2 L' D U' B'
D F U2 L' D' U' B'
D F U2 L' D2 U' B'
D F U2 R L' U' B'
D F U2 R' L' U' B'
F2 D L' F' R U B
D F U2 R2 L' U' B'
D F U2 D L' U' B'
D F U2 D' L' U' B'
D F U2 D2 L' U' B'
R F U2 L' U' F B
R F U2 L' U' B F
D' F D' R U F' B
D' F D' R U B F'
F2 D L2 F' R U B
D F D U2 L' U' B'
R' F D2 R U F' B2
R' F D2 R U B2 F'
D F D' U2 L' U' B'
D F D2 U2 L' U' B'
D F' L R F2 U B
U F' L D' L2 F B2
U F' L D' L2 B2 F
D F' L' R F2 U B
F2 D F' L R U B
F2 D F' L' R U B
F2 D F' L2 R U B
F2 D F' R L U B
F2 D F' R L' U B
F2 D F' R L2 U B
F2 D F' R U D B
F2 D F' R U D' B
F2 D F' R U D2 B
F2 D F' R U B D
F2 D F' R U B D'
F2 D F' R U B D2
F2 D F' R D U B
F2 D F' R D' U B
F2 D F' R D2 U B
D F' L2 R F2 U B
L' F' R U F2 B L
L' F' R U B L F2
L' F' R U B F2 L
F2 D F' D R U B
F2 D F' D' R U B
D2 F' R F2 U F B
D2 F' R F2 U B F
F2 D F' D2 R U B
R F' L' F2 U F' B
R F' L' F2 U B F'
D F' R L F2 U B
D F' R L' F2 U B
F D F' R F U B
D F' R L2 F2 U B
D F' R U D' L2 B
D F' R U D' B L2
D F' R U B D' L2
D F' R D' U L2 B
D F' R D' U B L2
D F' R F2 L U B
D F' R F2 L' U B
D F' R F2 L2 U B
D F' R F2 U D B
D F' R F2 U D' B
D F' R F2 U D2 B
D F' R F2 U B D
D F' R F2 U B D'
D F' R F2 U B D2
D F' R F2 D U B
D F' R F2 D' U B
D F' R F2 D2 U B
D F' R2 F2 R' U B
U F' U' L' F2 U F'
D F' D' R U L2 B
D F' D' R U B L2
D2 F2 R U F' L' B
D2 F2 R U F' B L'
D2 F2 R U B F' L'
R F2 L' F' U F2 B
R F2 L' F' U B F2
F D2 L R U F' B
F D2 L R U B F'
F D2 L' R U F' B
F D2 L' R U B F'
D2 F2 D' F' R U B
F2 D2 R U F' L' B
F2 D2 R U F' B L'
F2 D2 R U B F' L'
F D2 L2 R U F' B
F D2 L2 R U B F'
D' F2 D2 F' R U B
F D2 R L U F' B
F D2 R L U B F'
F D2 R L' U F' B
F D2 R L' U B F'
F D2 R L2 U F' B
F D2 R L2 U B F'
F D2 R U D F' B
F D2 R U D B F'
F D2 R U D' F' B
F D2 R U D' B F'
F D2 R U D2 F' B
F D2 R U D2 B F'
F D2 R U F' D B
F D2 R U F' D' B
F D2 R U F' D2 B
F D2 R U F' B D
F D2 R U F' B D'
F D2 R U F' B D2
F D2 R U B D F'
F D2 R U B D' F'
F D2 R U B D2 F'
F D2 R U B F' D
F D2 R U B F' D'
F D2 R U B F' D2
F D2 R D U F' B
F D2 R D U B F'
F D2 R D' U F' B
F D2 R D' U B F'
F D2 R D2 U F' B
F D2 R D2 U B F'
F D2 R' U' F' B U2
F D2 R' U' B F' U2
F2 D2 F' R U F' B
F2 D2 F' R U B F'
