D2 L2 U F L2
D B2 D' R2 F'
D2 L2 R U F L2
D2 L2 R' U F L2
D2 L2 R2 U F L2
U L2 R2 U' R2 F
U L2 R2 U' F R2
D' L2 U F L2 B'
D2 L2 U F L2 D
D2 L2 U F L2 D'
D2 L2 U F L2 D2
D2 L2 U F' L2 F2
D2 L2 U F2 L2 F'
D L2 U F L2 B2
D L2 U F L2 B2
D L2 U F B2 L2
D L2 U B2 F L2
D2 L2 D F2 U F'
D2 L2 F' U L2 F2
D2 L2 F' U F2 L2
D2 L2 F2 U L2 F'
D2 L2 F2 U F' L2
L2 U F L2 D B2
D2 R L2 U F L2
D R B2 D' R2 F'
D2 R' L2 U F L2
L2 U2 R2 U' F L2
D R' B2 D' R2 F'
D2 R2 L2 U F L2
U R2 L2 U' R2 F
U R2 L2 U' F R2
U2 R2 U R2 B' U2
U2 R2 U B' R2 U2
U2 R2 U' D2 L2 F
U R2 U B' U2 R2
U2 R2 D2 U' L2 F
D R2 B2 D' R2 F'
L2 D F2 U F' B2
L2 D F2 U B2 F'
D2 F L2 U F L2
D F B2 D' R2 F'
D2 F' L2 U F L2
F' D B2 D' R2 F'
F2 D B2 D' R2 F'
F D B2 D' R2 F'
B2 D' R2 D2 F' B2
B2 D' R2 D2 B2 F'
D F' B2 D' R2 F'
D2 F2 L2 U F L2
B2 D' F' R2 F' B
B2 D' F' R2 B F'
F' D2 L2 U F L2
F2 D2 L2 U F L2
F D2 L2 U F L2
D F2 B2 D' R2 F'
U2 B' U' R2 U' R2
D B2 R2 D' F' R2
D B2 R2 F' D' R2
D2 B2 D' R2 F' B2
D2 B2 D' R2 B2 F'
D B2 D' R2 D F'
D B2 D' R2 D' F'
D B2 D' R2 D2 F'
D B2 D' R2 F' D
D B2 D' R2 F' D'
D B2 D' R2 F' D2
D B2 D' F R2 F'
D B2 D' F' R2 F'
D B2 D' F2 R2 F'
U B2 D B2 L2 F
D B2 F D' R2 F'
D B2 F' D' R2 F'
D B2 F2 D' R2 F'
D2 L2 U B2 F L2 B2
D' L2 U B2 F L2 B'
D L2 U F B L2 B
D L2 U F B2 L2 D
D L2 U F B2 L2 D'
D L2 U F B2 L2 D2
D L2 U F' L2 F2 B2
D L2 U F' L2 B2 F2
D L2 U F' B2 L2 F2
D L2 U F2 L2 F' B2
D L2 U F2 L2 B2 F'
F L2 U F L2 D B2
R L2 F2 L' U L' F'
D L2 U F2 B2 L2 F'
D2 L2 U' R U2 F L2
D L2 U B F L2 B
L2 R2 F2 U F' L2 B'
D2 L2 U' R' U2 F L2
R2 L2 F2 U F' L2 B'
D2 L2 U' R2 U2 F L2
D L2 U B2 F L2 D
D L2 U B2 F L2 D'
D L2 U B2 F L2 D2
D L2 U B2 F' L2 F2
D L2 U B2 F2 L2 F'
B' L2 U' R2 F' U' L2
D2 L2 U' D2 R2 U2 F
U2 L2 U' R2 U' R2 F
U2 L2 U' R2 U' F R2
D' L2 U' F2 U2 L2 F'
D' L2 U' F2 U2 F' L2
D2 L2 U' B U2 F L2
D2 L2 U' B' U2 F L2
D2 L2 U' B2 U2 F L2
F' L2 U2 R2 U' F L2
D2 L2 U2 D' B2 U' F
F2 L2 U2 R2 U' F L2
D2 L2 U2 B U' F L2
D2 L2 U2 B' U' F L2
F L2 U2 R2 U' F L2
D2 L2 U2 B2 U' F L2
D2 L2 D R F2 U F'
D2 L2 D R' F2 U F'
D2 L2 D R2 F2 U F'
D2 L2 D F2 U D F'
D2 L2 D F2 U D' F'
D2 L2 D F2 U D2 F'
D2 L2 D F2 U F' D
D2 L2 D F2 U F' D'
D2 L2 D F2 U F' D2
D2 L2 D F2 D U F'
D2 L2 D F2 D' U F'
D2 L2 D F2 D2 U F'
F' L2 D F2 U F' B2
F' L2 D F2 U B2 F'
F2 L2 D F2 U F' B2
F2 L2 D F2 U B2 F'
D L2 D F2 L2 U F'
F L2 D F2 U F' B2
F L2 D F2 U B2 F'
U L2 D F B2 D L2
D2 L2 D' U F D L2
D2 L2 D' U2 B2 U' F
U L2 D B2 D F L2
U L2 D B2 F D L2
D2 L2 D2 U F D2 L2
D2 L2 D2 U' R2 U2 F
L' U L' F L2 D B2
D2 L2 F U L2 D F2
R' U L2 R' U' R F
D L2 F L2 B2 D' R2
D2 L2 F D F2 U F2
D2 L2 F' R U L2 F2
D2 L2 F' R U F2 L2
R U L2 R U' R' F
R U L2 R U' F R'
D2 L2 F' R' U L2 F2
D2 L2 F' R' U F2 L2
D2 L2 F' R2 U L2 F2
D2 L2 F' R2 U F2 L2
D2 L2 F' U L F2 L
D L2 F B2 L2 D' R2
D2 L2 F' U L2 F2 D
D2 L2 F' U L2 F2 D'
D2 L2 F' U L2 F2 D2
D2 L2 F' U F' L2 F'
D2 L2 F' U F2 L2 D
D2 L2 F' U F2 L2 D'
D2 L2 F' U F2 L2 D2
U L2 F D B2 D L2
D' L2 F' U F2 L2 B'
D2 L2 F' D R2 F2 U
D2 L2 F' D F2 R2 U
U L2 F B2 D L2 B2
U L2 F B2 D B2 L2
D L2 F' U L2 F2 B2
D L2 F' U L2 B2 F2
D L2 F' U F2 L2 B2
D L2 F' U F2 B2 L2
D L2 F' U B2 L2 F2
D L2 F' U B2 F2 L2
U L2 F' R2 U' R2 F2
U L2 F' R2 U' F2 R2
R U R L2 U' R' F
R U R L2 U' F R'
D2 L2 F2 U L F' L
D2 L2 F2 U L2 D F'
D2 L2 F2 U L2 D' F'
D2 L2 F2 U L2 D2 F'
D2 L2 F2 U L2 F' D
D2 L2 F2 U L2 F' D'
D2 L2 F2 U L2 F' D2
D2 L2 F2 U F L2 F2
D2 L2 F2 U F' L2 D
D2 L2 F2 U F' L2 D'
D2 L2 F2 U F' L2 D2
R' U R' L2 U' R F
D2 L2 F2 D F2 U F
R' U R' U B' U2 R
D L2 F2 U L2 F' B2
D L2 F2 U L2 B2 F'
D L2 F2 U F' L2 B2
D L2 F2 U F' B2 L2
D L2 F2 U B2 L2 F'
D L2 F2 U B2 F' L2
U L2 F2 R2 U' R2 F'
L2 U R2 U' R2 F L2
L2 U R2 U' F L2 R2
L2 U R2 U' F R2 L2
L2 U D B2 D' F L2
L U D B2 D L' F
L2 U D' F D L2 B'
D L2 B2 F L2 D' R2
U L2 B2 D F L2 B2
U L2 B2 D F B2 L2
U L2 B2 D B2 F L2
U L2 B2 F D L2 B2
U L2 B2 F D B2 L2
L2 U F L D L B2
L2 U F L' D L' B2
L2 U F L' D B2 L'
L2 U F L2 U R2 U'
L2 U F L2 D B2 D
L2 U F L2 D B2 D'
L2 U F L2 D B2 D2
L2 U F L2 B D B2
L2 U F L2 B' D B2
L2 U F L2 B2 D B2
D2 R L2 U F L2 D
D2 R L2 U F L2 D'
D2 R L2 U F L2 D2
D2 R L2 U F' L2 F2
D2 R L2 U F2 L2 F'
D' R L2 U F L2 B'
L2 U F U R2 U' L2
D2 R L2 D F2 U F'
L2 U F D B2 D' L2
D2 R L2 F' U L2 F2
D2 R L2 F' U F2 L2
D R L2 U F L2 B2
D R L2 U F B2 L2
D R L2 U B2 F L2
D2 R L2 F2 U L2 F'
D2 R L2 F2 U F' L2
L2 U F B L2 D B2
L2 U F B' L2 D B2
L2 U F B2 L2 D B2
L2 U F' L2 F2 D B2
L2 U F2 L2 D F' B2
L2 U F2 L2 D B2 F'
L2 U F2 L2 F' D B2
L U B L' D F2 B2
L U B L' D B2 F2
L2 U B F L2 D B2
D R D L2 U F L2
L2 U B' F L2 D B2
D' R D' L2 U F L2
L2 U B2 F L2 D B2
L U B2 D L' F B2
L U B2 D L' B2 F
L U B2 D B2 L' F
D2 R D' B2 D' R2 F'
D' R D2 B2 D' R2 F'
D2 R F L2 U F L2
D2 R F' L2 U F L2
D R F B2 D' R2 F'
D2 R F2 L2 U F L2
D R F' B2 D' R2 F'
D R F2 B2 D' R2 F'
D2 R B2 D' R2 F' B2
D2 R B2 D' R2 B2 F'
D R B2 R2 D' F' R2
D R B2 R2 F' D' R2
D R B2 D' R2 D F'
D R B2 D' R2 D' F'
D R B2 D' R2 D2 F'
D R B2 D' R2 F' D
D R B2 D' R2 F' D'
D R B2 D' R2 F' D2
D R B2 D' F R2 F'
D R B2 D' F' R2 F'
D R B2 D' F2 R2 F'
D R B2 F D' R2 F'
D R B2 F' D' R2 F'
D R B2 F2 D' R2 F'
D2 R' L2 U F L2 D
D2 R' L2 U F L2 D'
D2 R' L2 U F L2 D2
D2 R' L2 U F' L2 F2
D2 R' L2 U F2 L2 F'
D' R' L2 U F L2 B'
D2 R' L2 D F2 U F'
D2 R' L2 F' U L2 F2
D2 R' L2 F' U F2 L2
D2 R' L2 F2 U L2 F'
D2 R' L2 F2 U F' L2
D R' L2 U F L2 B2
D R' L2 U F B2 L2
D R' L2 U B2 F L2
D R' D L2 U F L2
D' R' D' L2 U F L2
D2 R' D' B2 D' R2 F'
L' U2 L' R2 U' F L2
D' R' D2 B2 D' R2 F'
D2 R' F L2 U F L2
D2 R' F' L2 U F L2
D R' F B2 D' R2 F'
D2 R' F2 L2 U F L2
R' U2 R' U R B' U2
R' U2 R' U B' R U2
D R' F' B2 D' R2 F'
R U2 R U R' B' U2
L' U2 R2 L' U' F L2
D R' F2 B2 D' R2 F'
L' U2 R2 U' L' F L2
L2 U2 R2 U' F L2 D
L2 U2 R2 U' F L2 D'
L2 U2 R2 U' F L2 D2
L2 U2 R2 U' F' L2 F2
L2 U2 R2 U' F2 L2 F'
L2 U2 R2 D' B2 U' F
L U2 R2 U' D2 L' F
L2 U2 R2 B U' F L2
L2 U2 R2 B' U' F L2
L2 U2 R2 B2 U' F L2
L U2 R2 D2 U' L' F
D2 R' B2 D' R2 F' B2
D2 R' B2 D' R2 B2 F'
D R' B2 R2 D' F' R2
D R' B2 R2 F' D' R2
D R' B2 D' R2 D F'
D R' B2 D' R2 D' F'
D R' B2 D' R2 D2 F'
D R' B2 D' R2 F' D
D R' B2 D' R2 F' D'
D R' B2 D' R2 F' D2
D R' B2 D' F R2 F'
D R' B2 D' F' R2 F'
D R' B2 D' F2 R2 F'
D R' B2 F D' R2 F'
D R' B2 F' D' R2 F'
D R' B2 F2 D' R2 F'
D2 R2 L2 U F L2 D
D2 R2 L2 U F L2 D'
D2 R2 L2 U F L2 D2
D2 R2 L2 U F' L2 F2
D' R2 L2 U F L2 B'
D2 R2 L2 U F2 L2 F'
D2 R2 L2 D F2 U F'
U2 R2 L2 U R2 U2 F
D2 R2 L2 F' U L2 F2
D2 R2 L2 F' U F2 L2
U2 R2 L2 U' D2 F L2
D2 R2 L2 F2 U L2 F'
U2 R2 L2 U' F D2 L2
D2 R2 L2 F2 U F' L2
U2 R2 L2 D B2 U' F
D R2 L2 U F L2 B2
D R2 L2 U F B2 L2
D R2 L2 U B2 F L2
U2 R2 L2 D2 U' F L2
U R2 L2 U' R' F R'
U R2 L2 U' R2 D F
U R2 L2 U' R2 D' F
U R2 L2 U' R2 D2 F
U R2 L2 U' R2 F D
U R2 L2 U' R2 F D'
U R2 L2 U' R2 F D2
U R2 L2 U' F R2 D
U R2 L2 U' F R2 D'
U R2 L2 U' F R2 D2
U R2 L2 U' F' R2 F2
U R2 L2 D' F2 U' F'
U2 R2 U R B' R U2
U R2 L2 F' U' R2 F2
U2 R2 U R2 D B' U2
U R2 L2 F' U' F2 R2
U2 R2 U R2 D' B' U2
U2 R2 U R2 D2 B' U2
U2 R2 U R2 B' U2 D
U2 R2 U R2 B' U2 D'
U2 R2 U R2 B' U2 D2
U2 R2 U R2 B' D U2
U2 R2 U R2 B' D' U2
U2 R2 U R2 B' D2 U2
U R2 L2 F2 U' F' R2
U2 R2 U D2 B' U2 L2
U2 R2 U B R2 B2 U2
U R2 U L2 U2 R2 F
U R2 U L2 U2 F R2
U2 R2 U B' R2 U2 D
U2 R2 U B' R2 U2 D'
U2 R2 U B' R2 U2 D2
U2 R2 U B' R2 D U2
U2 R2 U B' R2 D' U2
U2 R2 U B' R2 D2 U2
U2 R2 U B' U2 D2 L2
U2 R2 U B' D2 U2 L2
U2 R2 U B2 R2 U2 F'
U2 R2 U' L2 D2 F L2
U2 R2 U' L2 F D2 L2
U R2 U D2 L2 U2 F
U R2 U D2 B' L2 U2
U2 R2 U' D2 L2 D F
U2 R2 U' D2 L2 D' F
U2 R2 U' D2 L2 D2 F
U2 R2 U' D2 L2 F D
U2 R2 U' D2 L2 F D'
U2 R2 U' D2 L2 F D2
U2 R2 U' D2 F L2 F
U2 R2 U' D2 F' L2 F
U2 R2 U' D2 F2 L2 F
U R2 U B' L U2 R2
U R2 U B' L' U2 R2
U R2 U B' L2 U2 R2
U R2 U B' U2 R2 D
U R2 U B' U2 R2 D'
U R2 U B' U2 R2 D2
U R2 U B' D2 L2 U2
U2 R2 U' F D2 L2 F
U R2 U B2 U2 R2 F'
U2 R2 U' F' D2 L2 F
U2 R2 U' F2 D2 L2 F
B2 R2 U' B2 U F' B2
B2 R2 U' B2 U B2 F'
U R2 U' L2 R2 F L2
L2 U2 B R2 U' F L2
U R2 U' L2 F L2 R2
U R2 U' L2 F R2 L2
U R2 U' R2 L2 F L2
U R2 U' R2 U2 B' U2
U R2 U' B2 R2 F' B2
U R2 U' B2 R2 B2 F'
L2 U2 B' R2 U' F L2
U2 R2 D L2 B2 U' F
D R2 D L2 U F L2
B R2 D L2 F U' L2
U R2 U2 B2 U R2 F'
D' R2 D' L2 U F L2
R U2 B' U' R U' R'
L2 U2 B2 R2 U' F L2
U2 R2 D B2 U B U2
D2 R2 D' B2 D' R2 F'
B2 R2 D' F' R2 D B2
U R2 D' L2 F2 U' F'
U2 R2 D2 L' U' L' F
L D L U F L2 B2
L D L U F B2 L2
L D L U B2 F L2
U2 R2 D2 U B' U2 L2
U R2 D' F2 L2 U' F
U2 R2 D2 U' L2 D F
D' R2 D2 B2 D' R2 F'
U2 R2 D2 U' L2 D' F
U2 R2 D2 U' L2 D2 F
U2 R2 D2 U' L2 F D
U2 R2 D2 U' L2 F D'
U2 R2 D2 U' L2 F D2
U R2 D' F2 U B' U2
U2 R2 D2 U' F L2 F
U2 R2 D2 U' F' L2 F
U2 R2 D2 U' F2 L2 F
D2 R2 F L2 U F L2
U R2 D2 U L2 U2 F
U R2 D2 U B' L2 U2
D2 R2 F' L2 U F L2
U R2 F L2 U' R2 F
U R2 F L2 U' F R2
L D L' B2 D' R2 F'
U R2 F U B' U2 R2
D R2 F B2 D' R2 F'
B2 R2 F' U' B2 U B2
B2 R2 F' D' R2 D B2
D2 R2 F2 L2 U F L2
U R2 F' L2 U' R2 F
U R2 F' L2 U' F R2
U R2 F' U B' U2 R2
D R2 F' B2 D' R2 F'
L2 D R F2 U F' B2
L2 D R F2 U B2 F'
U R2 F2 L2 U' R2 F
U R2 F2 L2 U' F R2
U R2 F2 U B' U2 R2
D R2 F2 B2 D' R2 F'
L2 D R' F2 U F' B2
L2 D R' F2 U B2 F'
U2 R2 B U R2 B2 U2
U2 R2 B U B2 R2 U2
U2 R2 B U' D2 L2 F2
U2 R2 B U' D2 F2 L2
U2 R2 B D L2 B2 U'
U2 R2 B D B2 L2 U'
U2 R2 B D2 U' L2 F2
U2 R2 B D2 U' F2 L2
L2 D R2 F2 U F' B2
L2 D R2 F2 U B2 F'
D2 R2 B2 D' R2 F' B2
D2 R2 B2 D' R2 B2 F'
U2 R2 B2 U R2 U2 F'
L2 D U B2 D' F L2
U2 R2 B2 U B R2 U2
D R2 B2 R2 D' F' R2
D R2 B2 R2 F' D' R2
D R2 B2 D' R2 D F'
D R2 B2 D' R2 D' F'
D R2 B2 D' R2 D2 F'
D R2 B2 D' R2 F' D
D R2 B2 D' R2 F' D'
D R2 B2 D' R2 F' D2
D R2 B2 D' F R2 F'
D R2 B2 D' F' R2 F'
D R2 B2 D' F2 R2 F'
L D U B2 D L' F
D R2 B2 F D' R2 F'
D R2 B2 F' D' R2 F'
D R2 B2 F2 D' R2 F'
F' U L2 R2 U' R2 F
F' U L2 R2 U' F R2
L' D F' R U L B2
F2 U L2 R2 U' R2 F
F2 U L2 R2 U' F R2
F U L2 R2 U' R2 F
F U L2 R2 U' F R2
L' D F2 U L F B2
L' D F2 U L B2 F
D U L2 F B2 D L2
L2 D F2 L U F' B2
L2 D F2 L U B2 F'
L2 D F2 L' U F' B2
L2 D F2 L' U B2 F'
L2 D F2 L2 U F' B2
L2 D F2 L2 U B2 F'
D U L2 B2 D F L2
D U L2 B2 F D L2
U D L2 F B2 D L2
L2 D F2 U F' B2 D
L2 D F2 U F' B2 D'
L2 D F2 U F' B2 D2
L2 D F2 U B2 D F'
L2 D F2 U B2 D' F'
L2 D F2 U B2 D2 F'
L2 D F2 U B2 F' D
L2 D F2 U B2 F' D'
L2 D F2 U B2 F' D2
L2 D F2 D L2 U F'
U D L2 B2 D F L2
U D L2 B2 F D L2
F' U R2 L2 U' R2 F
F' U R2 L2 U' F R2
F' U R2 U B' U2 R2
B' U R2 U2 R2 B U
F2 U R2 L2 U' R2 F
F2 U R2 L2 U' F R2
B' U R2 D' F' U' F'
B2 U R2 U' D' F' R2
B' U R2 D2 L2 F' U'
B2 U R2 U' F' D' R2
F2 U R2 U B' U2 R2
B' U R2 D2 F' L2 U'
B2 U R2 U2 B2 U F'
B' U R2 F' U' D' F2
B' U R2 F' U2 R2 U
B' U R2 F' D' U' F2
B' U R2 F' D2 L2 U'
B2 U R2 D' U' F' R2
B2 U R2 D2 F2 U' F
D U R2 U' B2 R2 F'
B U R2 D L2 F U'
F U R2 L2 U' R2 F
F U R2 L2 U' F R2
F U R2 U B' U2 R2
U D R2 U' B2 R2 F'
B U D L2 F U' B2
L2 D B2 D' R2 F L2
L2 D B2 D' F L2 R2
L2 D B2 D' F R2 L2
B' U D2 B L2 F U
L D' L U F L2 B'
B' U B U2 R2 B' U'
B' U B U2 B' R2 U'
B' U B D2 L2 F U
L2 D' U F D L2 B'
D2 U' L2 U D2 R2 F
D2 U' L2 U D2 F R2
D2 U' L2 U F D2 R2
D2 U' L2 U' L2 B' U2
F' U B2 D B2 L2 F
D2 U' L2 D' B2 U F
D2 U' L2 D2 U R2 F
D2 U' L2 D2 U F R2
F2 U B2 D B2 L2 F
F U B2 D B2 L2 F
B' U' R2 F' U2 F U
D' U' F2 U2 D' L2 F
U' D' F2 U2 D' L2 F
D' U' F2 D R2 B' U2
U' D' F2 D R2 B' U2
D' U' F2 D B' R2 U2
U' D' F2 D B' R2 U2
D' U' F2 D' U2 L2 F
U' D' F2 D' U2 L2 F
D' U' F2 D' B' U2 L2
U' D' F2 D' B' U2 L2
D' U' F2 B' U F2 U
U' D' F2 B' U F2 U
D' U' F2 B' U2 D' L2
U' D' F2 B' U2 D' L2
D' U' F2 B' D R2 U2
U' D' F2 B' D R2 U2
D' U' F2 B' D' U2 L2
U' D' F2 B' D' U2 L2
U2 D' F2 D B' U2 R2
U2 D' F2 D' L2 U2 F
U2 D' F2 D' B' L2 U2
U2 D' F2 B' U' F2 U'
U2 D' F2 B' U2 D R2
U2 D' F2 B' D U2 R2
U2 D' F2 B' D' L2 U2
D2 U' B' U L2 U L2
U' D' B' F2 U F2 U
D' U' B' F2 U F2 U
U' D' B' F2 U2 D' L2
D' U' B' F2 U2 D' L2
U' D' B' F2 D R2 U2
D' U' B' F2 D R2 U2
U' D' B' F2 D' U2 L2
D' U' B' F2 D' U2 L2
B' U' F R2 F' B U'
B' U' F R2 B F' U'
L' D2 L2 R U L' F'
U2 D' B' F2 U' F2 U'
U2 D' B' F2 U2 D R2
U2 D' B' F2 D U2 R2
U2 D' B' F2 D' L2 U2
L' D2 L2 U D2 L' F
B U' D2 B' L2 U F2
L' D2 L2 D2 U L' F
L2 D2 L2 U D2 L2 F
L2 D2 L2 U' R2 B' U2
L2 D2 L2 U' B' R2 U2
L2 D2 L2 D2 U L2 F
L' D2 R L2 U L' F'
L D2 L2 U L' F L2
U' D2 L2 U D2 R2 F
U' D2 L2 U D2 F R2
U' D2 L2 U F D2 R2
U' D2 L2 U' L2 B' U2
U' D2 L2 D' B2 U F
U' D2 L2 D2 U R2 F
U' D2 L2 D2 U F R2
B U' B' D2 L2 U F
B2 U' B2 D2 L2 U F
D' U2 F2 D B' U2 R2
D' U2 F2 D' L2 U2 F
D' U2 F2 D' B' L2 U2
D' U2 F2 B' U' F2 U'
D' U2 F2 B' U2 D R2
D' U2 F2 B' D U2 R2
D' U2 F2 B' D' L2 U2
U' D2 B' U L2 U L2
F' U2 R2 U R2 B' U2
F' U2 R2 U B' R2 U2
F' U2 R2 U' D2 L2 F
F2 U2 R2 U R2 B' U2
F2 U2 R2 U B' R2 U2
F' U2 R2 D2 U' L2 F
F2 U2 R2 U' D2 L2 F
D' U2 B' F2 U' F2 U'
D' U2 B' F2 U2 D R2
D' U2 B' F2 D U2 R2
D' U2 B' F2 D' L2 U2
F2 U2 R2 D2 U' L2 F
B2 U2 D L2 B U2 B
F U2 R2 U R2 B' U2
F U2 R2 U B' R2 U2
F U2 R2 U' D2 L2 F
B2 U2 D B L2 U2 B
F U2 R2 D2 U' L2 F
B2 U2 D' F2 U2 R2 F'
B2 U2 D' F2 B U2 R2
B2 U2 D' B F2 U2 R2
D2 F L2 R U F L2
D2 F L2 R' U F L2
D2 F L2 R2 U F L2
D' F L2 U F B' L2
D' F L2 U B' F L2
D2 F L2 U F L2 D
D2 F L2 U F L2 D'
D2 F L2 U F L2 D2
D2 F L2 U F' L2 F2
D2 F L2 U F2 L2 F'
D2 F L2 D F2 U F'
D2 F L2 F' U L2 F2
D2 F L2 F' U F2 L2
D2 F L2 F2 U L2 F'
D2 F L2 F2 U F' L2
L2 F L2 U R2 U' R2
