B' R D' L2 R F2
B' R D' R L2 F2
B' R D' R F2 L2
F2 R' U R' F' B'
F2 R' U R' B' F'
B' R2 U' R F2 U
F2 U R' F' R' B'
F2 U B' R' F' R'
B' U' R' F2 U R'
B' U' F2 R' U R'
R' F2 U R' F' B'
R' F2 U R' B' F'
R B' R D' L2 F2
R B' R D' F2 L2
R2 B' U' R' F2 U
R2 B' U' F2 R' U
R B' R U' R2 F2 U
R B' R U' F2 R2 U
R B' R D' L F2 L
R B' R D' L2 F2 D
R B' R D' L2 F2 D'
R B' R D' L2 F2 D2
R B' R D' F' L2 F'
R B' R D' F2 L2 D
R B' R D' F2 L2 D'
R B' R D' F2 L2 D2
U B' R' D' L2 F' R'
U B' R' D' F' L2 R'
U B' R' D' F' R' L2
R2 B' U D2 B2 L U'
R2 B' U' R F2 R2 U
R2 B' U' R' U D' L2
R2 B' U' R' D' U L2
R2 B' U' R' F2 U D
R2 B' U' R' F2 U D'
R2 B' U' R' F2 U D2
R2 B' U' R' F2 D U
R2 B' U' R' F2 D' U
R2 B' U' R' F2 D2 U
R2 B' U' D' R' U L2
R2 B' U' F R' F U
R2 B' U' F2 R' U D
R2 B' U' F2 R' U D'
R2 B' U' F2 R' U D2
R2 B' U' F2 R' D U
R2 B' U' F2 R' D' U
R2 B' U' F2 R' D2 U
R2 B' U' F2 D R' U
R2 B' U' F2 D' R' U
R2 B' U' F2 D2 R' U
R B' U' R' F2 U R2
F2 B' R' B' U B R'
F2 B' R' B2 U B2 R'
R2 B' D' L2 U' R' U
R2 B' D' U' R' U L2
R B' D R D' F2 L'
F B' R2 U' R F U
B' F' U' F' R' U R'
R2 B' D2 U B2 L U'
R B' D' L2 R D' F2
F' B' U' F' R' U R'
R B' D' R L2 D' F2
R2 B' F U' R' F U
R2 B' F U' F R' U
F B' U' R' F U R'
F B' U' F R' U R'
R2 B' F' U' F' R' U
L2 B' F2 R' U R' B
F2 B' D R' B2 U B2
B' F2 R' B' U B R'
B' F2 R' B2 U B2 R'
B' F2 D R' B2 U B2
B F2 U2 L U' R2 B2
B F2 U2 L U' B2 R2
R B2 D' L2 B R F'
R B2 D' B L2 R F'
R B2 D' B R L2 F'
R B2 D' B R F' L2
B F2 D B2 L2 R' U
B F2 D B2 R' L2 U
