B2 L U B' L' F'
F' L D' R2 B' L'
F' L D' B' L' R2
F' L D' B' R2 L'
U' L B2 U F' B
U' L B2 U B F'
F' U' L B2 U B
L D' B' L' F' R2
F' U' B2 L U B'
D2 F' R' D B R'
D' F' R' D' R' B
D' F' R' D' R' B
F' D' R' D' R' B
F' D2 R D R2 B
F' D2 R' D B R2
F' D2 R' B D R2
L B' L' D F' R
U' B2 L U F' B'
U' B2 L U B' F'
L B2 U L' F' B
L B2 U L' B F'
L B2 U B L' F'
U' L B2 L U F' B
U' L B2 L U B F'
U' L B2 L' U F' B
U' L B2 L' U B F'
U' L B2 L2 U F' B
U' L B2 L2 U B F'
F2 L B2 U L' F B
F2 L B2 U L' B F
U' L B2 U D F' B
U' L B2 U D B F'
U' L B2 U D' F' B
U' L B2 U D' B F'
F2 L B2 U B L' F
U' L B2 U D2 F' B
U' L B2 U D2 B F'
U' L B2 U F' D B
U' L B2 U F' D' B
U' L B2 U F' D2 B
U' L B2 U F' B D
U' L B2 U F' B D'
U' L B2 U F' B D2
U' L B2 U B D F'
U' L B2 U B D' F'
U' L B2 U B D2 F'
U' L B2 U B F' D
U' L B2 U B F' D'
U' L B2 U B F' D2
F L B2 U L' F2 B
F L B2 U L' B F2
F L B2 U B L' F2
U' L B2 D U F' B
U' L B2 D U B F'
U' L B2 D' U F' B
U' L B2 D' U B F'
U' L B2 D2 U F' B
U' L B2 D2 U B F'
B2 L' U L2 B' L' F'
B2 L' U F' L D2 B2
B2 L' U F' D2 L B2
B2 L' U' F U2 L F2
B2 L' U' F U2 F2 L
U2 L' D L2 U2 F' B'
U2 L' D L2 U2 B' F'
U2 L' D F L2 U2 F2
F' L' D' L2 R2 B' L'
F' L' D' L2 B' L' R2
F' L' D' L2 B' R2 L'
F' L' D' R2 L2 B' L'
U2 L' D' F U2 R2 F2
U2 L' D' F U2 F2 R2
U2 L' F U B2 U F2
U2 L' F U2 F2 D' R2
D' L' F' R2 D L B'
F L' F2 L D' R2 B
F L' F2 D' L R2 B
F L' F2 D' R2 L B
U' L' B2 L2 U F' B'
U' L' B2 L2 U B' F'
U' L' B2 U F' D2 B2
U' L' B2 U' F U2 F2
L R2 D' R2 B' L' F'
U' L2 B2 L' U F' B'
U' L2 B2 L' U B' F'
F' R L D' R2 B' L'
F' R L D' B' L' R2
F' R L D' B' R2 L'
L U D' B' L' F' R2
F' R U' L B2 U B
F' R U' B2 L U B'
D2 R D R' F' R' B
L U B' L' D F' R
D' R D' R' F' B R2
D' R D' R' B F' R2
F' R D' R' D' R' B
L U B2 U L' F' B
L U B2 U L' B F'
L U B2 U B L' F'
F' R D2 R D R2 B
F' R D2 R' D B R2
F' R D2 R' B D R2
F' R' L D' R2 B' L'
F' R' L D' B' L' R2
F' R' L D' B' R2 L'
L U' D' B' L' F' R2
F' R' U' L B2 U B
F' R' U' B2 L U B'
L U' B' L' D F' R
F' R' D' R' D' R' B
L U' B2 U L' F' B
L U' B2 U L' B F'
L U' B2 U B L' F'
F' R' D2 R D R2 B
F' R' D2 R' D B R2
F' R' D2 R' B D R2
D2 R' B R D F' R2
D2 R' B R' D R2 F'
F' R2 L D' R2 B' L'
F' R2 L D' B' L' R2
F' R2 L D' B' R2 L'
L U2 D' B' L' F' R2
F' R2 U' L B2 U B
F' R2 U' B2 L U B'
D' R2 U2 B U' R' U'
D2 R2 D R B R F'
L U2 B' L' D F' R
F' R2 D' R' D' R' B
L U2 B2 U L' F' B
L U2 B2 U L' B F'
L U2 B2 U B L' F'
F' R2 D2 R D R2 B
F' R2 D2 R' D B R2
F' R2 D2 R' B D R2
L' D L2 U2 B' L' F'
L D L2 F U2 L F2
L D L2 F U2 F2 L
L' D F L2 U2 L' F2
L' D F' L D2 B2 R'
L' D F' D2 L R2 B2
L' D F' D2 L B2 R2
L' D F' D2 R2 L B2
L D F' D2 R2 B' L
L D F' D2 B' L R2
L D F' D2 B' R2 L
L D B' L' F2 R F
L D B' D2 L' F' R2
F' U D2 R' F2 U' B
F' U D2 F2 R' U' B
D2 U F2 R' U' F B
D2 U F2 R' U' B F
L' D' L2 B' L' F' R2
R2 D' R' D' R' F' B
R2 D' R' D' R' B F'
R D' R' D' F' R' B
R D' R' F' D' R' B
L D' R2 B' L' D2 F2
L D' R2 B' D2 L' F2
B' U' L U F' B' R'
B' U' L U B' F' R'
F' U' L U D' R2 B'
F' U' L U D' B' R2
F' U' L D' U R2 B'
F' U' L D' U B' R2
L D' U B' L' F' R2
F' U' L B2 L U B
F' U' L B2 L' U B
F' U' L B2 L2 U B
F' U' L B2 U D B
F' U' L B2 U D' B
F' U' L B2 U D2 B
F' U' L B2 U B D
F' U' L B2 U B D'
F' U' L B2 U B D2
F' U' L B2 D U B
F' U' L B2 D' U B
F' U' L B2 D2 U B
L D' U' B' L' F' R2
L' D' F U2 L R2 F2
L' D' F U2 L F2 R2
L' D' F U2 R2 L F2
L' D' F U2 R2 F2 L
L' D' F U2 F2 L R2
L' D' F U2 F2 R2 L
B U' L B U F' B2
B U' L B U B2 F'
L' D' F' L R2 D2 B2
F' U' L' B2 L2 U B'
F' U' L' B2 U' F U2
L D' U2 B' L' F' R2
L' D' F' R2 L D2 B2
L' D' F' R2 D2 L B2
F U' L B2 U F2 B
F U' L B2 U B F2
L' D' F' D2 L B2 R'
F' U' L2 B2 L' U B'
L' D' F2 R2 F L B
L D' F' R2 D2 B' L
L D' B L' F' R2 B2
L D' B L' F' B2 R2
L D' B L' B2 F' R2
L D' B' L F' L2 R2
L D' B' L F' R2 L2
L D' B' L' F R2 F2
L D' B' L' F' R2 D
L D' B' L' F' R2 D'
L D' B' L' F' R2 D2
L D' B' L' F2 R2 F
L D' B' L2 F' L R2
L D' B' L2 F' R2 L
U' D' B' L U F' R2
D' U' B' L U F' R2
B' U' D' B' L U F'
F' U' D' B' L U R2
L D' B2 L' F' B R2
L D' B2 L' B F' R2
F' U' B L B U B2
R D2 R D R2 F' B
R D2 R D R2 B F'
B' U' B' L U F' B'
B' U' B' L U B' F'
F' U' B' L U B' R'
B U' B L U F' B'
B U' B L U B' F'
R D2 R' D F' B R2
R D2 R' D B F' R2
F' U' B' D' B' L U
R D2 R' B D F' R2
F' U' B2 L U D B'
F' U' B2 L U D' B'
F' U' B2 L U D2 B'
F' U' B2 L U B' D
F' U' B2 L U B' D'
F' U' B2 L U B' D2
F' U' B2 L D U B'
F' U' B2 L D' U B'
F' U' B2 L D2 U B'
F' U' B2 L' U' F U2
F' U' B2 U L B' L'
F' U2 L U B2 U B
F' U2 L U2 D' R2 B'
F' U2 L U2 D' B' R2
F' U2 L D L2 F U2
F U' B2 L U F2 B'
F U' B2 L U B' F2
F' U2 L D' U2 R2 B'
F' U2 L D' U2 B' R2
F' U2 L' D L2 U2 B'
F' U2 L' D F L2 U2
F' U2 L' D' F U2 R2
F' U2 L' F U B2 U
F' U2 L' F U2 D' R2
F' U2 L' F D L2 U2
F' U2 L' F D' U2 R2
U D2 F2 R' U' F B
U D2 F2 R' U' B F
L D2 B' L' D F' R2
L D2 B' D L' F' R2
D F L' U F2 L R
D F L' U F2 R L
D' F R' F2 D' R' B
L' F U2 L F2 D' R2
D F U' L' U F2 R
L' F U2 F2 L D' R2
L' F U2 F2 D' L R2
L' F U2 F2 D' R2 L
U' F' L D' R2 B' L
U' F' L D' B' L R2
U' F' L D' B' R2 L
L' F' L D' R2 D' B2
L' F' L D2 B2 D R2
D' F' L' R2 D L B'
B2 D F L' U L F2
B2 D F L' U F2 L
L2 F' L' D' R2 B' L'
L2 F' L' D' B' L' R2
L2 F' L' D' B' R2 L'
B2 D F' U R U' R'
D' F' R D' R' B R2
D' F' R B R D B2
D2 F' R' D B R' D
D2 F' R' D B R' D'
D2 F' R' D B R' D2
D2 F' R' D B D R'
D2 F' R' D B D' R'
D2 F' R' D B D2 R'
D' F' R' D' R' D B
D' F' R' D' R' D' B
D' F' R' D' R' D2 B
D' F' R' D' R' B D
D' F' R' D' R' B D'
D' F' R' D' R' B D2
D F' R D2 R2 D B2
D' F' R2 L' D L B'
D2 F' R2 U' B L U
D' F' R2 D L B' L'
D' F' R2 D' R' B R
D F' R' D B2 D R2
D' F' R2 B U R' U'
D' F' R2 B' U' L U
D F' R' D2 R2 D' B2
D2 F' U D' F' R U'
D2 F' U F' R' U' B
D F' U R U L2 U2
D F' U R U' D2 R2
D F' U R D F2 U'
D F' U R D2 U' R2
D F' U D R F2 U'
D' F' U' B' L U R2
D F' U D2 R U' R
F' D' L' R2 D L B'
L' F' D L D B2 R'
D F' U2 L2 U' R U'
D' F' D' R D R2 B
D' F' D' R' D B R2
D' F' D' R' B D R2
D2 F' D' U F' R U'
L' F' D' R2 D' L B2
D F' D R' D R2 B2
D F' D R' D B2 R2
D F' D U R F2 U'
F' D' R D' R' B R2
L' F' D2 L B2 D R2
F' D' R B R D B2
F' D' R' D' R' D B
F' D' R' D' R' D' B
F' D' R' D' R' D2 B
F' D' R' D' R' B D
F' D' R' D' R' B D'
F' D' R' D' R' B D2
D' F' B R D R B2
D' F' B R D B2 R
D2 F' B R' D B R'
D' F' B R2 U R U'
L F' D' R2 D' B' L
D' F' B U R' U' R'
F2 D' R' D' R' F B
F2 D' R' D' R' B F
F2 D' R' D' F R' B
D F' D2 R' D R' B2
F2 D' R' F D' R' B
D F' D2 R2 U R' U'
F' D' R2 L' D L B'
D F' D2 U R U' R
D2 F' B' R' D B R'
F' D' R2 D L B' L'
F' D' R2 D' R' B R
D' F' B' R2 U' L U
D' F' B' U' L U R2
F' D' R2 B U R' U'
F' D' R2 B' U' L U
L F' D2 B' L D R2
L F' D2 B' D L R2
L F' D2 B' D R2 L
D2 F' B2 R' D B R'
B' D' U' B' L U F'
F' D' U' B' L U R2
F2 D' F R' D' R' B
B' D' F' U' B' L U
D' F2 R' D' R' F B
D' F2 R' D' R' B F
D' F2 R' D' F R' B
D' F2 R' F D' R' B
F' D' B R D R B2
F' D' B R D B2 R
F' D' B R2 U R U'
F' D' B U R' U' R'
B' D' B' L U L' F'
F' D' B' R2 U' L U
F' D' B' U' L U R2
L' F2 D' R2 F L B
F' D2 R D R2 D B
F' D2 R D R2 D' B
F' D2 R D R2 D2 B
F' D2 R D R2 B D
F' D2 R D R2 B D'
F' D2 R D R2 B D2
F' D2 R D B R2 B
F' D2 R D B' R2 B
F' D2 R D B2 R2 B
F2 D2 R D R2 F B
F2 D2 R D R2 B F
F' D2 R B D R2 B
F' D2 R B' D R2 B
F' D2 R B2 D R2 B
F' D2 R' U F2 U' B
F' D2 R' D B R2 D
F' D2 R' D B R2 D'
F' D2 R' D B R2 D2
F' D2 R' D B' R2 B2
F' D2 R' D B2 R2 B'
F' D2 R' D' B D2 R2
F2 D2 R' D F B R2
F2 D2 R' D B R2 F
F2 D2 R' D B F R2
F' D2 R' B R D R2
F' D2 R' B R' D R2
F' D2 R' B R2 D R2
F' D2 R' B U F2 U'
F' D2 R' B D R2 D
F' D2 R' B D R2 D'
F' D2 R' B D R2 D2
F' D2 R' B2 D R2 B'
F' D2 R' B2 D B' R2
F2 D2 R' B D R2 F
F2 D2 R' B D F R2
F' D2 R2 D R B R
F' D2 U R' F2 U' B
F D2 R' B D R2 F'
F' D2 U F2 R' U' B
U' B L B U F' B2
U' B L B U B2 F'
B' D2 F' R' B D' R2
F' D2 B R D R2 B
F' D2 B R' D B R2
F' D2 B R' B D R2
F' D2 B' R D R2 B
F' D2 B' R' D B R2
F' D2 B' R' B D R2
F' D2 B2 R D R2 B
F' D2 B2 R' D B R2
F' D2 B2 R' B D R2
B2 F L U B' L' F2
F' B L B' L' D' R2
F' B L B' D' L' R2
F' B L B' D' R2 L'
D2 B F' R' D B R'
D' B F' R D R B2
D' B F' R D B2 R
D' B F' R2 U R U'
D' B F' U R' U' R'
U' B' L U F' B' R'
U' B' L U B' F' R'
D' B' L U L' F' R2
F' B U' L B U B2
F' B U' B L U B'
L B' L' D F' R D
L B' L' D F' R D'
L B' L' D F' R D2
L B' L' D F' D R
L B' L' D F' D' R
L B' L' D F' D2 R
L B' L2 F' L D R2
L B' L2 F' D L R2
L B' L2 F' D R2 L
D' B' U' L U F' R2
B F' L B' L' D' R2
B F' L B' D' L' R2
B F' L B' D' R2 L'
L B' U' B' U L' F'
U' B' D' B' L U F'
L B' D L' D F' R
B' F' U' L U B' R'
F' B' U' L U B' R'
L B' D' L' D F' R
B' F' U' D' B' L U
B' F' U' B' L U B'
F' B' U' D' B' L U
D2 B' F' R' D B R'
F' B' U' B' L U B'
D' B' F' R2 U' L U
L B' D2 L' D F' R
D' B' F' U' L U R2
B F' U' L B U B2
B F' U' B L U B'
U' B2 L U D F' B'
U' B2 L U D B' F'
U' B2 L U D' F' B'
U' B2 L U D' B' F'
U' B2 L U D2 F' B'
U' B2 L U D2 B' F'
U' B2 L U F' D B'
U' B2 L U F' D' B'
U' B2 L U F' D2 B'
U' B2 L U F' B' D
U' B2 L U F' B' D'
U' B2 L U F' B' D2
U' B2 L U B' D F'
U' B2 L U B' D' F'
U' B2 L U B' D2 F'
U' B2 L U B' F' D
U' B2 L U B' F' D'
U' B2 L U B' F' D2
U' B2 L D U F' B'
U' B2 L D U B' F'
U' B2 L D' U F' B'
U' B2 L D' U B' F'
U' B2 L D2 U F' B'
U' B2 L D2 U B' F'
U' B2 L' U F' D2 B2
B' F' D' U' B' L U
U' B2 L' U' F U2 F2
F' B' D' U' B' L U
B' F' D2 R' B D' R2
L2 B2 L' U B' L' F'
F' B' D2 R' B D' R2
L B2 L U L2 F' B
L B2 L U L2 B F'
L B2 L U F' L2 B
L B2 L U F' B L2
L B2 L U B L2 F'
L B2 L U B F' L2
B2 F2 L U B' L' F
F2 B2 L U B' L' F
L B2 L2 U L F' B
L B2 L2 U L B F'
L B2 L2 U F' L B
F B2 L U B' L' F2
U' B2 U L B' L' F'
U' B2 U F' L B' L'
L' B2 U F' D2 B2 L
U' B2 U2 L U' F' B'
U' B2 U2 L U' B' F'
L' B2 U' F R' U2 F2
L B2 U L F' L2 B
L B2 U L F' B L2
L B2 U L B L2 F'
L B2 U L B F' L2
L B2 U L' D F' B
L B2 U L' D B F'
L B2 U L' D' F' B
L B2 U L' D' B F'
L B2 U L' D2 F' B
L B2 U L' D2 B F'
L B2 U L' F' D B
L B2 U L' F' D' B
L B2 U L' F' D2 B
L B2 U L' F' B D
L B2 U L' F' B D'
L B2 U L' F' B D2
L B2 U L' B D F'
L B2 U L' B D' F'
L B2 U L' B D2 F'
L B2 U L' B F' D
L B2 U L' B F' D'
L B2 U L' B F' D2
L B2 U L2 F' L B
L B2 U D L' F' B
L B2 U D L' B F'
L B2 U D B L' F'
L B2 U D' L' F' B
L B2 U D' L' B F'
L B2 U D' B L' F'
L B2 U D2 L' F' B
L B2 U D2 L' B F'
L B2 U D2 B L' F'
L B2 U B L F' L2
L B2 U B L' D F'
L B2 U B L' D' F'
L B2 U B L' D2 F'
L B2 U B L' F' D
L B2 U B L' F' D'
L B2 U B L' F' D2
L B2 U B L2 F' L
L B2 U B D L' F'
L B2 U B D' L' F'
L B2 U B D2 L' F'
L B2 U B' L' F' B2
L B2 U B' L' B2 F'
L B2 D U L' F' B
L B2 D U L' B F'
L B2 D U B L' F'
L B2 D' U L' F' B
L B2 D' U L' B F'
L B2 D' U B L' F'
D2 B2 F' R' D B R'
L B2 D2 U L' F' B
L B2 D2 U L' B F'
L B2 D2 U B L' F'
