F2 L B2 L2 U F
F2 L' R2 B2 U F'
F2 L' U D' R2 F'
F2 L' D' U R2 F'
B2 L' F2 L' U F
F2 L' B2 U' B' U2
B2 L2 F2 L' U F'
D' R U' L2 R F'
D' R U' R L2 F'
D' R U' R F' L2
F2 R2 L' B2 U F'
F2 R2 B2 L' U F'
B U F2 L' B U
B U F2 B L' U
B U B F2 L' U
F2 D' L' U R2 F'
R2 B2 L F2 U F
L2 D' R U' R F' L2
B U F2 L B L2 U
B U F2 L' D B U
B U F2 L' D' B U
B U F2 L' D2 B U
B U F2 L' B U D
B U F2 L' B U D'
B U F2 L' B U D2
B U F2 L' B D U
B U F2 L' B D' U
B U F2 L' B D2 U
L D' R U' L2 R F'
L D' R U' R L2 F'
L D' R U' R F' L2
B U F2 D L' B U
B U F2 D B L' U
B U F2 D' L' B U
B U F2 D' B L' U
B U F2 D2 L' B U
B U F2 D2 B L' U
B U F2 B L' U D
B U F2 B L' U D'
B U F2 B L' U D2
B U F2 B L' D U
B U F2 B L' D' U
B U F2 B L' D2 U
B U F2 B D L' U
B U F2 B D' L' U
B U F2 B D2 L' U
B U F2 B' L' B2 U
B U B L F2 L' U
B U B L' F2 L' U
B U B L2 F2 L' U
B U B F2 L' U D
B U B F2 L' U D'
B U B F2 L' U D2
B U B F2 L' D U
B U B F2 L' D' U
B U B F2 L' D2 U
B U B F2 D L' U
B U B F2 D' L' U
B U B F2 D2 L' U
B U B' F2 L' B2 U
U' D' R U' L2 R F'
D' U' R U' L2 R F'
U' D' R U' R L2 F'
U' D' R U' R F' L2
D' U' R U' R L2 F'
D' U' R U' R F' L2
U2 D' R U' L2 R F'
U2 D' R U' R L2 F'
U2 D' R U' R F' L2
U D' R U' L2 R F'
U D' R U' R L2 F'
U D' R U' R F' L2
R D' F L' U' L' R2
R D' F L' U' R2 L'
R D2 L' F2 B2 U' F'
R D2 L' B2 F2 U' F'
F2 U' B U L' B U
F2 U' B U B L' U
D' U2 R U' L2 R F'
D' U2 R U' R L2 F'
D' U2 R U' R F' L2
B2 U' B' U F2 L' U
B2 U2 R U' D' L2 F
B2 U2 R D' U' L2 F
R2 D2 F2 R' B2 U' F
R D2 F2 L' B2 U' F
R D2 F2 B2 L' U' F
B2 U2 D' R U' L2 F
R D2 B2 L' F2 U' F'
R D2 B2 F2 L' U' F
B U2 F2 L' B U F2
B U2 F2 B L' U F2
B U2 B F2 L' U F2
F2 D L' U' L' B U2
F2 D L' U' B L' U2
B D R2 U' F' R' U'
R2 F' U' F' B2 L U
F2 D' L' R U R F'
R2 F' U' B2 L F' U
R2 F' U' B2 F' L U
F2 D' L' U R2 D F'
F2 D' L' U R2 D' F'
F2 D' L' U R2 D2 F'
F2 D' L' U R2 F' D
F2 D' L' U R2 F' D'
F2 D' L' U R2 F' D2
F2 D' L' U F R2 F'
F2 D' L' U F' R2 F'
F2 D' L' U F2 R2 F'
F2 D' L' U' B U2 R2
F2 D' R L' U R F'
R2 F' B2 L F' U F
U' F2 L B2 L2 U F
U' F2 L' R2 B2 U F'
U' F2 L' U D' R2 F'
L' F2 L B2 L2 U F
D' F2 L' U L' R2 F'
D' F2 L' U R2 L' F'
U' F2 L' D' U R2 F'
L' F2 L' R2 B2 U F'
B2 D' U2 R U' L2 F
L' F2 L' U D' R2 F'
L' F2 L' D' U R2 F'
U' F2 L' B2 U' B' U2
U2 F2 L B2 L2 U F
L2 F2 L B2 L2 U F
U2 F2 L' R2 B2 U F'
L2 F2 L' R2 B2 U F'
U2 F2 L' U D' R2 F'
L2 F2 L' U D' R2 F'
L' F2 L' B2 U' B' U2
U2 F2 L' D' U R2 F'
L2 F2 L' D' U R2 F'
U2 F2 L' B2 U' B' U2
L2 F2 L' B2 U' B' U2
F' D' F' L' U R2 F'
U F2 L B2 L2 U F
L F2 L B2 L2 U F
U F2 L' R2 B2 U F'
R2 F2 L' B2 L U F
U F2 L' U D' R2 F'
L F2 L' R2 B2 U F'
L F2 L' U D' R2 F'
U F2 L' D' U R2 F'
L F2 L' D' U R2 F'
U F2 L' B2 U' B' U2
L F2 L' B2 U' B' U2
B2 D' F2 L' U L' F
R' F2 R' B2 L U F'
U' F2 R2 L' B2 U F'
L' F2 R2 L' B2 U F'
U' F2 R2 B2 L' U F'
U2 F2 R2 L' B2 U F'
L2 F2 R2 L' B2 U F'
L' F2 R2 B2 L' U F'
R F2 R B2 L U F'
U2 F2 R2 B2 L' U F'
L2 F2 R2 B2 L' U F'
U F2 R2 L' B2 U F'
L F2 R2 L' B2 U F'
U F2 R2 B2 L' U F'
L F2 R2 B2 L' U F'
F2 D2 L' U D R2 F'
F2 D2 L' D U R2 F'
U' F2 D' L' U R2 F'
L' F2 D' L' U R2 F'
U2 F2 D' L' U R2 F'
L2 F2 D' L' U R2 F'
U F2 D' L' U R2 F'
L F2 D' L' U R2 F'
D B L2 R2 U' R' U'
U' B U F2 L' B U
U' B U F2 B L' U
U' B U B F2 L' U
D B R2 L2 U' R' U'
L' B U F2 L' B U
L' B U F2 B L' U
L' B U B F2 L' U
D' B U' R U' L2 R
D' B U' R U' R L2
U2 B U F2 L' B U
L2 B U F2 L' B U
U2 B U F2 B L' U
L2 B U F2 B L' U
U2 B U B F2 L' U
L2 B U B F2 L' U
D2 B U' B R F2 U'
L B U F2 L' B U
U B U F2 L' B U
F2 B L B L2 U F
L B U F2 B L' U
U B U F2 B L' U
L B U B F2 L' U
U B U B F2 L' U
F2 B L' B U' B' U2
F2 B U B L' U L
B F U F L' B U
B F U F B L' U
B F U B F L' U
F B U F L' B U
F B U F B L' U
F B U B F L' U
B2 F' L' F' L' U F
B2 F' L2 F' L' U F2
U' B2 L' F2 L' U F
F2 B' D' R2 B' L' U
R2 B2 L U D' L2 F'
R2 B2 L U D' F' L2
R2 B2 L D' U L2 F'
R2 B2 L D' U F' L2
L' B2 L' F2 L' U F
D2 B2 L2 R F2 U' F'
F2 B' D' B' L' R2 U
F2 B' D' B' R2 L' U
R2 B2 L F2 R U F
R2 B2 L F2 R' U F
R2 B2 L F2 R2 U F
R2 B2 L F2 U D F
R2 B2 L F2 U D' F
R2 B2 L F2 U D2 F
R2 B2 L F2 U F D
R2 B2 L F2 U F D'
R2 B2 L F2 U F D2
R2 B2 L F2 D U F
R2 B2 L F2 D' U F
R2 B2 L F2 D2 U F
U' B2 L2 F2 L' U F'
L2 B2 L' F2 L' U F
U2 B2 L' F2 L' U F
L' B2 L2 F2 L' U F'
F2 B' D2 B' L' U F2
D2 B2 R L2 F2 U' F'
D' B2 R U' L2 R F
D' B2 R U' R L2 F
L2 B2 L2 F2 L' U F'
U2 B2 L2 F2 L' U F'
D2 B2 R F2 L2 U' F
D2 B2 R F2 U B' U2
L B2 L' F2 L' U F
U B2 L' F2 L' U F
B2 F2 L' U L' F L
B2 F2 L' U2 L' U' F
F2 B2 L' U L' F L
F' B2 L' F' L' U F
F2 B2 L' U2 L' U' F
B2 F2 L' D2 R U F'
F2 B2 L' D2 R U F'
B F2 L B L2 U F
L B2 L2 F2 L' U F'
U B2 L2 F2 L' U F'
F' B2 L2 F' L' U F2
B F2 L' B U' B' U2
B F2 U B L' U L
B2 F2 U' B' U L' U
F2 B2 U' B' U L' U
R2 B2 D' L U L F'
R2 B2 D' L U F' L
B' F2 D' R2 B' L' U
B' F2 D' B' L' R2 U
B' F2 D' B' R2 L' U
B' F2 D2 B' L' U F2
R2 B2 F' L F' U F
