R2 L U' F L U2
L R2 U' F L U2
D' L' B2 U F2 B
D' L' B2 U B F2
L' U D' F2 R B'
L' U D' F2 B' R
L' U D' B' F2 R
L' U B' D' F2 R
R2 D' L' B2 U B
L' D' U F2 R B'
L' D' U F2 B' R
L' D' U B' F2 R
R2 D' B2 L' U B'
R2 D2 L' U R2 B'
R2 D2 L' U B' R2
D' B2 L' U F2 B'
D' B2 L' U B' F2
L' U D' F2 B' D' R
L' U D' F2 B' D2 R
L' U D' B F2 R B2
L' U D' B' R F2 R
L' U D' B' R' F2 R
L' U D' B' R2 F2 R
L' U D' B' F2 R D
L' U D' B' F2 R D'
L' U D' B' F2 R D2
L' U D' B' F2 D R
L' U D' B' F2 D' R
L' U D' B' F2 D2 R
L' U D2 B' D F2 R
D' R L' B2 U F2 B
D' R L' B2 U B F2
L' U F2 D' R F2 B'
L' U F2 D' R B' F2
L' U F2 D' B' R F2
L' U F2 B' D' R F2
L' U B' D' R F2 R
L' U B' D' R' F2 R
L' U B' D' R2 F2 R
L' U B' D' F2 R D
L' U B' D' F2 R D'
L' U B' D' F2 R D2
L' U B' D' F2 D R
L' U B' D' F2 D' R
L' U B' D' F2 D2 R
L' U B' F2 D' R F2
U2 R D F2 L' U' B
L' U B2 D' F2 B R
L' U B2 D' B F2 R
R2 U' L2 U L' U B'
R2 U' L2 U' R U' B
R2 U' L2 F U' R U'
R2 U' L2 F' U L' U
D' R B2 L' U F2 B'
D' R B2 L' U B' F2
L' U' D B2 L' U2 B
L U' D F L B2 U2
L U' D F B2 U2 R'
L U' D B2 F U2 R'
D' R' L' B2 U F2 B
D' R' L' B2 U B F2
R2 U' F L2 U' R U'
L U' F L U R2 U
L U' F L U2 D' F2
L U' F L D B2 U2
L U' F L D' U2 F2
L U' F D L B2 U2
L U' F D B2 U2 R'
L U' F D' L U2 F2
R2 U' F' L2 U L U
R2 U2 R U L2 U2 B
R2 U2 R U' D2 B R2
R2 U2 R U' B D2 R2
R2 U2 R D F2 U' B
R2 U2 R D2 U' B R2
R2 U2 R' U L2 F' U2
R2 U2 R' U F' L2 U2
R2 U2 R' U' D2 R2 B
R2 U2 R' D2 U' R2 B
D' R' B2 L' U F2 B'
D' R' B2 L' U B' F2
R2 U2 D R F2 U' B
R2 U2 D F2 R U' B
B' R2 L U' F L U2
B2 R2 L U' F L U2
B R2 L U' F L U2
R2 U2 D2 R U' B R
D' R2 L' B2 U F2 B
D' R2 L' B2 U B F2
F2 R2 L' F2 U R B'
F2 R2 L' F2 U B' R
B' R2 D' L' B2 U B
B2 R2 D' L' B2 U B
B R2 D' L' B2 U B
B' R2 D' B2 L' U B'
B' R2 D2 L' U R2 B'
B' R2 D2 L' U B' R2
B2 R2 D' B2 L' U B'
B2 R2 D2 L' U R2 B'
B2 R2 D2 L' U B' R2
B R2 D' B2 L' U B'
B R2 D2 L' U R2 B'
B R2 D2 L' U B' R2
R2 D L' U D R2 B'
R2 D L' U D B' R2
R2 D L' U B' D R2
R2 D L' U2 F2 U' B'
R2 D L' D U R2 B'
R2 D L' D U B' R2
R2 D L' D2 B2 U B
D' R2 B2 L' U F2 B'
D' R2 B2 L' U B' F2
L' D U' B2 L' U2 B
L D U' F L B2 U2
L D U' F B2 U2 R'
R2 D U2 R F2 U' B
L D U' B2 F U2 R'
R2 D U2 F2 R U' B
R' D' L' R' B2 U B
R2 D' L B2 L2 U B'
R2 D' L B2 U' F U2
R2 D' L' U D' R2 B'
R2 D' L' U D' B' R2
R2 D' L' D' U R2 B'
R2 D' L' D' U B' R2
R D' L' R B2 U B
R2 D' L' B2 L U B
R2 D' L' B2 L' U B
R2 D' L' B2 L2 U B
R2 D' L' B2 U D B
R2 D' L' B2 U D' B
R2 D' L' B2 U D2 B
R2 D' L' B2 U B D
R2 D' L' B2 U B D'
R2 D' L' B2 U B D2
R2 D' L' B2 D U B
R2 D' L' B2 D' U B
R2 D' L' B2 D2 U B
L' D' R U F2 R B'
L' D' R U F2 B' R
L' D' R U B' F2 R
L D' L2 U F2 R B'
L D' L2 U F2 B' R
L D' L2 U B' F2 R
R2 D' L2 B2 L U B'
R' D' R' L' B2 U B
L' D' R' U F2 R B'
L' D' R' U F2 B' R
L' D' R' U B' F2 R
R D' R L' B2 U B
R' D' R' B2 L' U B'
L' D' R2 U F2 R B'
L' D' R2 U F2 B' R
L' D' R2 U B' F2 R
R D' R B2 L' U B'
L' D' U R F2 R B'
L' D' U R F2 B' R
L' D' U R B' F2 R
L' D' U R' F2 R B'
L' D' U R' F2 B' R
L' D' U R' B' F2 R
L' D' U R2 F2 R B'
L' D' U R2 F2 B' R
L' D' U R2 B' F2 R
L' D' U F2 R D B'
L' D' U F2 R D' B'
L' D' U F2 R D2 B'
L' D' U F2 R B' D
L' D' U F2 R B' D'
L' D' U F2 R B' D2
L' D' U F2 R' B' R2
L' D' U F2 D R B'
L' D' U F2 D B' R
L' D' U F2 D' R B'
L' D' U F2 D' B' R
L' D' U F2 D2 R B'
L' D' U F2 D2 B' R
L' D' U F2 B R B2
L' D' U F2 B' R D
L' D' U F2 B' R D'
L' D' U F2 B' R D2
L' D' U F2 B' D R
L' D' U F2 B' D' R
L' D' U F2 B' D2 R
L' D' U B F2 R B2
L' D' U B' R F2 R
L' D' U B' R' F2 R
L' D' U B' R2 F2 R
L' D' U B' F2 R D
L' D' U B' F2 R D'
L' D' U B' F2 R D2
L' D' U B' F2 D R
L' D' U B' F2 D' R
L' D' U B' F2 D2 R
L' D' F2 R D' B' L2
L' D' F2 R B' D' L2
L' D' F2 D' R B' L2
L' D' F2 D' B' L2 R
L' D' F2 D' B' R L2
L' D' F2 B' R D' L2
L' D' F2 B' D' L2 R
L' D' F2 B' D' R L2
L' D' B U F2 R B2
L' D' B U F2 B2 R
L' D' B U B2 F2 R
R2 D' B L' B U B2
L2 D' B' L U F2 R
L' D' B' F2 R D' L2
L' D' B' F2 D' L2 R
L' D' B' F2 D' R L2
L' D' B2 U F2 B R
L' D' B2 U B F2 R
R2 D' B2 L U' F U2
R2 D' B2 L' U D B'
R2 D' B2 L' U D' B'
R2 D' B2 L' U D2 B'
R2 D' B2 L' U B' D
R2 D' B2 L' U B' D'
R2 D' B2 L' U B' D2
R2 D' B2 L' D U B'
R2 D' B2 L' D' U B'
R2 D' B2 L' D2 U B'
R2 D' B2 U2 R U' B
R2 D' B2 D L' U B'
R2 D' B2 D' L' U B'
R2 D' B2 D2 L' U B'
R D' B2 L' R U B'
R' D2 L' R' U R' B'
R D' B2 R L' U B'
R2 D2 L U' F U2 R2
R2 D2 L' U R B' R
R2 D2 L' U R2 D B'
R2 D2 L' U R2 D' B'
R2 D2 L' U R2 D2 B'
R2 D2 L' U R2 B' D
R2 D2 L' U R2 B' D'
R2 D2 L' U R2 B' D2
R2 D2 L' U B R2 B2
R2 D2 L' U B' R2 D
R2 D2 L' U B' R2 D'
R2 D2 L' U B' R2 D2
R2 D2 L' D B2 U B
R2 D2 L' B U R2 B2
R2 D2 L' B U B2 R2
R D2 L' R U R B'
R D2 L' R U B' R
R2 D2 L' B2 U B R2
R' D2 R' L' U R' B'
D2 U2 L2 R U' B R
R D2 R L' U R B'
R D2 R L' U B' R
U2 D2 L2 R U' B R
D2 U2 R L2 U' B R
U2 D2 R L2 U' B R
L' D2 U B' D F2 R
R2 D2 U2 R U' B R
R2 D2 B L' U R2 B'
R2 D2 B L' U B' R2
R2 D2 B' L' U R2 B'
R2 D2 B' L' U B' R2
R2 D2 B2 L' U R2 B'
R2 D2 B2 L' U B' R2
L F L U F' R2 U
U' F' L2 U L R2 U
U' F' L2 U R2 L U
B' D' L' B2 U F2 B
B' D' L' B2 U B F2
B2 D' L' B2 U F2 B
B2 D' L' B2 U B F2
B D' L' B2 U F2 B
B D' L' B2 U B F2
D' F2 L D' L2 R2 B'
D' F2 L D' L2 B' R2
D' F2 L D' R2 L2 B'
D' F2 L' D' R2 B' L2
D' F2 L' D' B' L2 R2
D' F2 L' D' B' R2 L2
R2 F2 L' F2 U R B'
R2 F2 L' F2 U B' R
L' F2 R2 F2 U R' B'
B' D' B2 L' U F2 B'
B' D' B2 L' U B' F2
B2 D' B2 L' U F2 B'
B2 D' B2 L' U B' F2
B D' B2 L' U F2 B'
B D' B2 L' U B' F2
D' F2 D' L' R2 B' L'
D' F2 D' L' B' L' R2
D' F2 D' L' B' R2 L'
D' F2 D' R2 L' B' L'
L' F2 D' R F2 B' L2
L' F2 D' R B' L2 F2
L' F2 D' R B' F2 L2
L' F2 D' B' L2 R F2
L' F2 D' B' R L2 F2
L' F2 D' B' R F2 L2
L' F2 B' D' L2 R F2
L' F2 B' D' R L2 F2
L' F2 B' D' R F2 L2
R2 B L U' F L U2
D' B L' B U F2 B2
D' B L' B U B2 F2
L' B L2 R2 U B2 R'
L' B R2 L2 U B2 R'
L' B R2 U' L' U2 B2
L' B U B2 D' F2 R
R2 B D' L' B2 U B
R2 B D' B2 L' U B'
R2 B D2 L' U R2 B'
R2 B D2 L' U B' R2
R2 B' L U' F L U2
L' B' D' F2 R D' L2
L' B' D' F2 D' L2 R
L' B' D' F2 D' R L2
R2 B' D' L' B2 U B
R2 B' D' B2 L' U B'
R2 B' D2 L' U R2 B'
R2 B' D2 L' U B' R2
L' B' F2 D' L2 R F2
L' B' F2 D' R L2 F2
L' B' F2 D' R F2 L2
D' B2 L U' F U2 F
D' B2 L' R U F2 B'
D' B2 L' R U B' F2
D' B2 L' R' U F2 B'
D' B2 L' R' U B' F2
D' B2 L' R2 U F2 B'
D' B2 L' R2 U B' F2
D' B2 L' U F2 D B'
D' B2 L' U F2 D' B'
D' B2 L' U F2 D2 B'
D' B2 L' U F2 B' D
D' B2 L' U F2 B' D'
D' B2 L' U F2 B' D2
D' B2 L' U B' F2 D
D' B2 L' U B' F2 D'
D' B2 L' U B' F2 D2
D' B2 L' D R2 U B'
R2 B2 L U' F L U2
D' B2 R L' U F2 B'
D' B2 R L' U B' F2
D' B2 R' L' U F2 B'
D' B2 R' L' U B' F2
L B2 L2 R2 U R B'
L B2 L2 R2 U B' R
D' B2 R2 L' U F2 B'
D' B2 R2 L' U B' F2
L' B2 R2 U' L' F' U2
L' B2 U D' F2 B R
L' B2 U D' B F2 R
L' B2 U B D' F2 R
L B2 R2 L2 U R B'
L B2 R2 L2 U B' R
D' B2 U2 R U' F2 B
D' B2 U2 R U' B F2
D' B2 D L' R2 U B'
D' B2 D R2 L' U B'
L' B2 D' U F2 B R
L' B2 D' U B F2 R
R2 B2 D' L' B2 U B
R2 B2 D' B2 L' U B'
R2 B2 D2 L' U R2 B'
R2 B2 D2 L' U B' R2
