F' U L' R' D2 F2
F' U L' D2 R' F2
F' U L' D2 F2 R'
F' U R' L' D2 F2
F' U R' D2 L' F2
F U R' D2 L2 F2
F U R' D2 F2 L2
F' U D2 L' R' F2
F' U D2 L' F2 R'
F' U D2 R' L' F2
F U D2 F2 L' R'
F U D2 F2 R' L'
F U' R B2 U2 R2
F' U' B2 L U2 L2
F U' B2 L R U2
F U' B2 R L U2
D' F' R2 U L' R
D' F' R2 U R L'
D2 F' U L' F' R'
F' D' R2 U L' R
F' D' R2 U R L'
F' D2 U L' R' F2
F' D2 U L' F2 R'
F' D2 U R' L' F2
F D2 U F2 L' R'
F D2 U F2 R' L'
F U D2 F2 L' R' D
F U D2 F2 L' R' D'
F U D2 F2 L' R' D2
F U D2 F2 L' D R'
F U D2 F2 L' D' R'
F U D2 F2 L' D2 R'
F U D2 F2 R' L' D
F U D2 F2 R' L' D'
F U D2 F2 R' L' D2
F U D2 F2 R' D L'
F U D2 F2 R' D' L'
F U D2 F2 R' D2 L'
F U D2 F2 D L' R'
F U D2 F2 D R' L'
F U D2 F2 D' L' R'
F U D2 F2 D' R' L'
F U D2 F2 D2 L' R'
F U D2 F2 D2 R' L'
F2 U F D2 L' R' F2
F2 U F D2 L' F2 R'
F2 U F D2 R' L' F2
F2 U F' R' D2 L2 F2
F2 U F' R' D2 F2 L2
F2 U F' D2 F2 L' R'
F2 U F' D2 F2 R' L'
F' U F2 R' D2 L2 F2
F' U F2 R' D2 F2 L2
F' U F2 D2 F2 L' R'
F' U F2 D2 F2 R' L'
F U F2 L' R' D2 F2
F U F2 L' D2 R' F2
F U F2 L' D2 F2 R'
F U F2 R' L' D2 F2
F U F2 R' D2 L' F2
R' D' R2 F' U L' R2
R' D' R2 F' U R2 L'
F U F2 D2 L' R' F2
F U F2 D2 L' F2 R'
F U F2 D2 R' L' F2
R2 D' R2 F' U L' R'
R2 D' R2 F' U R' L'
F' U B2 L U2 L2 B2
F' U B2 L U2 B2 L2
F' U B2 U2 B2 L' R'
F' U B2 U2 B2 R' L'
F U B2 L R U2 B2
F U B2 R L U2 B2
F U B2 R U2 B2 R'
F' U' L B2 L U2 L
F U' L R B2 U2 R2
F' U' L' B2 L U2 L'
R' D' F' R2 U L' R2
R' D' F' R2 U R2 L'
F U' L B2 L R U2
F U' L B2 R L U2
F U' L' R B2 U2 R2
F' U' L2 B2 L R' U2
F' U' L2 B2 R' L U2
F U' L' B2 L R U2
F U' L' B2 R L U2
F U' L2 R B2 U2 R2
R D' F' R2 B U L'
F' U' R B2 U2 L' R2
F' U' R B2 U2 R2 L'
F U' L2 B2 L R U2
F U' L2 B2 R L U2
F U' R L B2 U2 R2
F U' R L' B2 U2 R2
F U' R L2 B2 U2 R2
F U' R U2 R2 D2 F2
F U' R D2 L2 U2 F2
F U' R B U2 R2 F'
F U' R B2 L U2 R2
F U' R B2 L' U2 R2
F U' R B2 L2 U2 R2
F U' R B2 U2 R2 D
F U' R B2 U2 R2 D'
F U' R B2 U2 R2 D2
F U' R B2 D2 L2 U2
F' U' R2 B2 U2 L' R
F' U' R2 B2 U2 R L'
F U' R' B2 R2 U2 R2
F U' R2 B2 U2 L R
F U' R2 B2 U2 R L
F U' D2 R U2 R2 F2
F U' D2 R U2 F2 R2
F' U' B2 L R U2 L2
F' U' B2 L R' U2 L2
F' U' B2 L R2 U2 L2
F' U' B2 L U2 L2 D
F' U' B2 L U2 L2 D'
F' U' B2 L U2 L2 D2
F' U' B2 L D2 R2 U2
F' U' B2 R L U2 L2
F' U' B2 R' L U2 L2
F' U' B2 R2 L U2 L2
F' U' B2 U2 L' D2 R2
F' U' B2 D L U2 L2
F U' B' R B' L U2
F' U' B2 D' L U2 L2
F' U' B2 D2 L U2 L2
F U' B2 L R U2 D
F U' B2 L R U2 D'
F U' B2 L R U2 D2
F U' B2 L R D U2
F U' B2 L R D' U2
F U' B2 L R D2 U2
F U' B2 L D R U2
F U' B2 L D' R U2
F U' B2 L D2 R U2
F U' B2 R L U2 D
F U' B2 R L U2 D'
F U' B2 R L U2 D2
F U' B2 R L D U2
F U' B2 R L D' U2
F U' B2 R L D2 U2
F U' B2 R D L U2
F U' B2 R D' L U2
F U' B2 R D2 L U2
F U' B2 D L R U2
F U' B2 D R L U2
F U' B2 D' L R U2
F U' B2 D' R L U2
F U' B2 D2 L R U2
F U' B2 D2 R L U2
F' U2 D L2 U' L R'
F' U2 D L2 U' R' L
D' F R2 U R D2 L2
D' F R2 U' R' U2 R2
D' F R2 B2 U L R
D' F R2 B2 U R L
D2 F U R' D2 F L2
D2 F U R' F D2 L2
D' F U D' F2 L' R'
D' F U D' F2 R' L'
D2 F U F2 L' F' R'
D2 F U' R U2 R2 F
D2 F U' R U2 F R2
D F U D F2 L' R'
D F U D F2 R' L'
R F U' R B2 U2 R
R F U' B2 R U2 R
D' F D' U F2 L' R'
D' F D' U F2 R' L'
D F D U F2 L' R'
D F D U F2 R' L'
F' D U R' D L' F2
F' D U2 L2 U' L R'
F' D U2 L2 U' R' L
D' F' R2 U L' R D
D' F' R2 U L' R D'
D' F' R2 U L' R D2
D' F' R2 U L' D R
D' F' R2 U L' D' R
D' F' R2 U L' D2 R
D' F' R2 U R L' D
D' F' R2 U R L' D'
D' F' R2 U R L' D2
D' F' R2 U R D L'
D' F' R2 U R D' L'
D' F' R2 U R D2 L'
D' F' R2 U D L' R
D' F' R2 U D R L'
D' F' R2 U D' L' R
D' F' R2 U D' R L'
D' F' R2 U D2 L' R
D' F' R2 U D2 R L'
D' F' R2 D U L' R
D' F' R2 D U R L'
D' F' R2 D' U L' R
D' F' R2 D' U R L'
D' F' R2 D2 U L' R
D' F' R2 D2 U R L'
D' F' R2 B U L' R
D' F' R2 B U R L'
D' F' R2 B' U L' R
D' F' R2 B' U R L'
D' F' R2 B2 U L' R
D' F' R2 B2 U R L'
D2 F' U L F' L2 R'
D2 F' U L F' R' L2
D2 F' U L' D F' R'
D2 F' U L' D' F' R'
D' F' U L' D' R' F2
D2 F' U L' D2 F' R'
D' F' U L' D' F2 R'
D2 F' U L' F R' F2
D2 F' U L' F' R' D
D2 F' U L' F' R' D'
D2 F' U L' F' R' D2
D2 F' U L' F' D R'
D2 F' U L' F' D' R'
D2 F' U L' F' D2 R'
D2 F' U L' F2 R' F
D2 F' U L2 F' L R'
D2 F' U L2 F' R' L
D2 F' U R' D2 L' F
D2 F' U D L' F' R'
D2 F' U D' L' F' R'
D' F' U D' L' R' F2
D' F' U D' L' F2 R'
D' F' U D' R' L' F2
D2 F' U D2 L' F' R'
D F' U R' D L' F2
D F' U D L' R' F2
D F' U D L' F2 R'
D F' U D R' L' F2
R F' U L' R2 D2 F2
R F' U R2 L' D2 F2
R F' U R2 D2 L' F2
R F' U D2 L' F2 R
D2 F' D U L' F' R'
D F' U2 L2 U' L R'
D F' U2 L2 U' R' L
R F' U' B2 U2 L' R2
R F' U' B2 U2 R2 L'
R' F' D' R2 U L' R2
R' F' D' R2 U R2 L'
D2 F' D' U L' F' R'
D' F' D' U L' R' F2
D' F' D' U L' F2 R'
D' F' D' U R' L' F2
D F' D U L' R' F2
D F' D U L' F2 R'
D F' D U R' L' F2
D2 F' D2 U L' F' R'
D F' D2 R2 U L' R
D F' D2 R2 U R L'
F' D' R2 U L' R D
F' D' R2 U L' R D'
F' D' R2 U L' R D2
F' D' R2 U L' D R
F' D' R2 U L' D' R
F' D' R2 U L' D2 R
F' D' R2 U R L' D
F' D' R2 U R L' D'
F' D' R2 U R L' D2
F' D' R2 U R D L'
F' D' R2 U R D' L'
F' D' R2 U R D2 L'
F' D' R2 U D L' R
F' D' R2 U D R L'
F' D' R2 U D' L' R
F' D' R2 U D' R L'
F' D' R2 U D2 L' R
F' D' R2 U D2 R L'
F' D' R2 D U L' R
F' D' R2 D U R L'
F' D' R2 D' U L' R
F' D' R2 D' U R L'
F' D' R2 D2 U L' R
F' D' R2 D2 U R L'
F' D' R2 B U L' R
F' D' R2 B U R L'
F' D' R2 B' U L' R
F' D' R2 B' U R L'
F' D' R2 B2 U L' R
F' D' R2 B2 U R L'
R F' D2 U L' F2 R
F' D' U L' D' R' F2
F' D' U L' D' F2 R'
F D' R2 U R D2 L2
F D' R2 U' R' U2 R2
R F' B U L' R2 F'
R F' B U R2 L' F'
F D' R2 B2 U L R
F D' R2 B2 U R L
F D' F2 R2 U L' R
F D' F2 R2 U R L'
F' D2 R U L' R2 F2
F' D2 R U L' F2 R2
F' D2 R U R2 L' F2
F' D2 R2 U L' R F2
F' D2 R2 U R L' F2
F' D2 U L R' F2 L2
F' D2 U L F2 L2 R'
F' D2 U L F2 R' L2
F' D2 U L' R F2 R2
F' D2 U L' R' F2 D
F' D2 U L' R' F2 D'
F' D2 U L' R' F2 D2
F' D2 U L' F R' F
F' D2 U L' F2 R' D
F' D2 U L' F2 R' D'
F' D2 U L' F2 R' D2
F' D2 U L' F2 D R'
F' D2 U L' F2 D' R'
F' D2 U L' F2 D2 R'
F' D2 U L2 R' F2 L
F' D2 U L2 F2 L R'
F' D2 U L2 F2 R' L
F' D2 U R L' F2 R2
F' D2 U R' L F2 L2
F' D2 U R' L' F2 D
F' D2 U R' L' F2 D'
F' D2 U R' L' F2 D2
F' D2 U R' L2 F2 L
F' D2 U F2 R' D2 L2
F D2 U L F2 L' R'
F D2 U L F2 R' L'
F D2 U L' F2 L' R'
F D2 U L' F2 R' L'
F D2 U L2 F2 L' R'
F D2 U L2 F2 R' L'
F D2 U R' F2 D2 L2
F D2 U F R' F L'
F D2 U F2 L' R' D
F D2 U F2 L' R' D'
F D2 U F2 L' R' D2
F D2 U F2 L' D R'
F D2 U F2 L' D' R'
F D2 U F2 L' D2 R'
F D2 U F2 R' L' D
F D2 U F2 R' L' D'
F D2 U F2 R' L' D2
F D2 U F2 R' D L'
F D2 U F2 R' D' L'
F D2 U F2 R' D2 L'
F D2 U F2 D L' R'
F D2 U F2 D R' L'
F D2 U F2 D' L' R'
F D2 U F2 D' R' L'
F D2 U F2 D2 L' R'
F D2 U F2 D2 R' L'
F D2 U' R U2 R2 F2
F D2 U' R U2 F2 R2
F D2 F U R' F L'
F D2 F U F L' R'
F D2 F U F R' L'
B2 F L R U L' U
B2 F R L U L' U
B' F U' R B' L U2
B' F U' B' L R U2
B' F U' B' R L U2
R B F' U L' R2 F'
R B F' U R2 L' F'
B2 F' L U L' U L'
U2 B' U R' B' L U2
B' F' U' B' L U2 L2
F' B' U' B' L U2 L2
U' B2 L R U' B U'
U' B2 L R' U F' U
U' B2 L U F' U L'
F B' U' R B' L U2
U' B2 L U' B U' L
F B' U' B' L R U2
F B' U' B' R L U2
L2 B2 L U L F U
U B2 L U F U B2
U' B2 R L U' B U'
F' B2 L U L' U L'
U' B2 R' L U F' U
F B2 L R U L' U
F B2 R L U L' U
