U' L F' B' L2 U
U' L B' L2 F' U
U' L B' F' L2 U
U' L' F' U D R2
U' L' F' U2 F2 U'
U' L' F' D U R2
D L' F' U R F
U' L' F' D2 B2 U
L U' F' B' L2 U
L U' B' L2 F' U
L U' B' F' L2 U
U' D L' F' U R
D U' L' F' U R
L' F' U D R2 F
L' F' U D F R2
L' F' U2 F2 U' F'
L' F' D U R2 F
L' F' D U F R2
L' F' D2 B2 U F
L B' L2 F' U F
B' U' L B' L2 F' U
B' U' L B' F' L2 U
B2 U' L F' B' L2 U
B2 U' L B' L2 F' U
D U' L2 F' L U R
B2 U' L B' F' L2 U
L D' U' F' B' U B'
L D' U' B' F' U B'
B' U' L' F' U D R2
B' U' L' F' U2 F2 U'
B' U' L' F' D U R2
B' U' L' F' D2 B2 U
B U' L F' B' L2 U
B U' L B' L2 F' U
B2 U' L' F' U D R2
B2 U' L' F' U2 F2 U'
B2 U' L' F' D U R2
B2 U' L' F' D2 B2 U
B U' L B' F' L2 U
L' D' F' U D R2 F
L' D' F' U D F R2
L' D' F' U2 F2 U' F'
L' D' F' D U R2 F
L' D' F' D U F R2
B U' L' F' U D R2
B U' L' F' U2 F2 U'
B U' L' F' D U R2
B U' L' F' D2 B2 U
L' D' F' D2 B2 U F
L D' F' B' U F B'
L D' F' B' U B' F
B' U' D L' F' U R
D' U' B L' F' U R'
U' D' B L' F' U R'
B2 U' D L' F' U R
B U' D L' F' U R
L D' B' F' U F B'
L D' B' F' U B' F
D U' B L' F' U R
L D' B2 U' F' B U
L D' B2 U' B F' U
D U' B' L' F' U R
D U' B2 L' F' U R
U' D2 L' D' F' U R
L' D2 F' U D R2 F
L' D2 F' U D F R2
L' D2 F' U2 F2 U' F'
L' D2 F' D U R2 F
L' D2 F' D U F R2
L' D2 F' D2 B2 U F
L' F U' D' F' L2 B'
B' D L' F' U R F
B2 D L' F' U R F
B D L' F' U R F
L' F D' U' F' L2 B'
B' D U' L' F' U R
B2 D U' L' F' U R
U' F' L D2 B' L U
L F B' L2 F2 U F
B D U' L' F' U R
L' F' R U D R2 F
L' F' R U D F R2
L' F' R U2 F2 U' F'
L' F' R D U R2 F
L' F' R D U F R2
L' F' R D2 B2 U F
L' F' R' U D R2 F
L' F' R' U D F R2
L' F' R' U2 F2 U' F'
L' F' R' D U R2 F
L' F' R' D U F R2
L' F' R' D2 B2 U F
L' F' R2 U D R2 F
L' F' R2 U D F R2
L' F' R2 U2 F2 U' F'
L' F' R2 D U R2 F
L' F' R2 D U F R2
L' F' R2 D2 B2 U F
L' F' U R D R2 F
L' F' U R D F R2
L' F' U R' D R2 F
L' F' U R' D F R2
L' F' U R2 D R2 F
L' F' U R2 D F R2
L' F' U D R' F R'
L' F' U D R2 D F
L' F' U D R2 D' F
L' F' U D R2 D2 F
L' F' U D R2 F D
L' F' U D R2 F D'
L' F' U D R2 F D2
L' F' U D F R2 D
L' F' U D F R2 D'
L' F' U D F R2 D2
L' F' U D F' R2 F2
L' F' U D' F D2 R2
L' F' U D2 F D' R2
L' F' U F U F U'
L' F' U' D' L2 B' U2
L' F' U2 F2 L U' F'
L' F' U2 F2 L' U' F'
L' F' U2 F2 L2 U' F'
L' F' U2 F2 U' D F'
L' F' U2 F2 U' D' F'
L' F' U2 F2 U' D2 F'
L' F' U2 F2 U' F' D
L' F' U2 F2 U' F' D'
L' F' U2 F2 U' F' D2
L' F' U2 F2 D U' F'
L' F' U2 F2 D' U' F'
L' F' U2 F2 D2 U' F'
L' F' D R U R F
L' F' D R' U R' F
L' F' D R' U F R'
L' F' D U R' F R'
L' F' D U R2 D F
L' F' D U R2 D' F
L' F' D U R2 D2 F
L' F' D U R2 F D
L' F' D U R2 F D'
L' F' D U R2 F D2
L' F' D U F R2 D
L' F' D U F R2 D'
L' F' D U F R2 D2
L' F' D U F' R2 F2
L' F' D B U R2 F
L' F' D B U F R2
L' F' D B' U R2 F
L' F' D B' U F R2
L' F' D B2 U R2 F
L' F' D B2 U F R2
L' F' D' U F D2 R2
L' F' D' U' L2 B' U2
L' F' D2 R B2 U F
L' F' D2 R' B2 U F
L' F' D2 R2 B2 U F
L' F' D2 U F D' R2
L' F' D2 B2 R U F
L' F' D2 B2 R' U F
L' F' D2 B2 R2 U F
L' F' D2 B2 U D F
L' F' D2 B2 U D' F
L' F' D2 B2 U D2 F
L' F' D2 B2 U F D
L' F' D2 B2 U F D'
L' F' D2 B2 U F D2
L' F' D2 B2 D U F
L' F' D2 B2 D' U F
L' F' D2 B2 D2 U F
L' F' B U D R2 F
L' F' B U D F R2
L' F' B U2 F2 U' F'
L' F' B D U R2 F
L' F' B D U F R2
L F' D' B' U F B'
L F' D' B' U B' F
L' F' B D2 B2 U F
L' F' B' U D R2 F
L' F' B' U D F R2
L' F' B' U2 F2 U' F'
L' F' B' D U R2 F
L' F' B' D U F R2
L' F' B' D2 B2 U F
L' F' B2 U D R2 F
L' F' B2 U D F R2
L' F' B2 U2 F2 U' F'
L' F' B2 D U R2 F
L' F' B2 D U F R2
L' F' B2 D2 B2 U F
L F' B' L2 U' B' U2
L F' B' U D' F B2
L F' B' U D' B2 F
L F' B' U F D' B2
L F' B' D' U F B2
L F' B' D' U B2 F
L' F2 R F U F R
L' F2 R2 F B U F
L' F2 R2 B F U F
L' F2 D R2 F B U
L' F2 D R2 B F U
U' B L F' B' L2 U
U' B L B' L2 F' U
U' B L B' F' L2 U
U' B L' F' U D R2
U' B L' F' U2 F2 U'
U' B L' F' D U R2
U' B L' F' D2 B2 U
D' B L' F' U R' F
D' B L' F' U F R'
D B L' F' U R F
L B L2 F' B2 U F
L B L2 B2 F' U F
D' B U' L' F' U R'
D B U' L' F' U R
U' B D L' F' U R
L B U' L2 F' B2 U
L B U' L2 B2 F' U
L B U' F' L2 B2 U
L B U' F' B2 L2 U
L B U' B2 L2 F' U
L B U' B2 F' L2 U
L' B F' U D R2 F
L' B F' U D F R2
L' B F' U2 F2 U' F'
L' B F' D U R2 F
L' B F' D U F R2
L' B F' D2 B2 U F
U' B' L F' B' L2 U
U' B' L B' L2 F' U
U' B' L B' F' L2 U
U' B' L' F' U D R2
U' B' L' F' U2 F2 U'
U' B' L' F' D U R2
U' B' L' F' D2 B2 U
D B' L' F' U R F
L B' L2 D F' U F
L B' L2 D' F' U F
L B' L2 D2 F' U F
L B' L2 F' R U F
L B' L2 F' R' U F
L B' L2 F' R2 U F
L B' L2 F' U D F
L B' L2 F' U D' F
L B' L2 F' U D2 F
L B' L2 F' U F D
L B' L2 F' U F D'
L B' L2 F' U F D2
L B' L2 F' D U F
L B' L2 F' D' U F
L B' L2 F' D2 U F
D B' U' L' F' U R
U' B' D L' F' U R
L B' D' F' U F B2
L B' D' F' U B2 F
L' B' F' U D R2 F
L' B' F' U D F R2
L' B' F' U2 F2 U' F'
L' B' F' D U R2 F
L' B' F' D U F R2
L' B' F' D2 B2 U F
L B' F L2 F2 U F
U' B2 L F' B' L2 U
U' B2 L B' L2 F' U
U' B2 L B' F' L2 U
L B' F' L2 U' B' U2
L B' F' U D' F B2
L B' F' U D' B2 F
L B' F' U F D' B2
U' B2 L' F' U D R2
U' B2 L' F' U2 F2 U'
U' B2 L' F' D U R2
L B' F' D' U F B2
L B' F' D' U B2 F
U' B2 L' F' D2 B2 U
D B2 L' F' U R F
L B2 L2 F' B U F
L B2 L2 B F' U F
D' B2 U' L' F' B' U
D' B2 U' L' B' F' U
U' B2 D L' F' U R
D B2 U' L' F' U R
L B2 U' L2 F' B U
L B2 U' L2 B F' U
L B2 U' F' L2 B U
L B2 U' F' B L2 U
L B2 U' B L2 F' U
L B2 U' B F' L2 U
L' B2 F' U D R2 F
L' B2 F' U D F R2
L' B2 F' U2 F2 U' F'
L' B2 F' D U R2 F
L' B2 F' D U F R2
L' B2 F' D2 B2 U F
