R' U2 B' U' R'
L2 R' F L2 U R
R' L2 F L2 U R
D2 R' U2 B' U' R'
D' R' U2 B' U' R'
D R' U2 B' U' R'
F R' U2 B' U' R2
R' U2 D B' U' R'
R' U2 D' B' U' R'
R' U2 D2 B' U' R'
R' U2 F B' U' R'
R' U2 F' B' U' R'
R' U2 F2 B' U' R'
R' U2 B' U' R' D
R' U2 B' U' R' D'
R' U2 B' U' R' D2
R' U2 B' U' D R'
R' U2 B' U' D' R'
R' U2 B' U' D2 R'
R' U2 B' D U' R'
R' U2 B' D' U' R'
R' U2 B' D2 U' R'
R' U2 B' F U' R'
R' U2 B' F' U' R'
R' U2 B' F2 U' R'
R' D U2 B' U' R'
R' D' U2 B' U' R'
R' D2 U2 B' U' R'
L2 F L2 R' U R2
L2 F R' L2 U R2
R' F U2 B' U' R
U2 B2 L B U' R'
R' D2 U2 B' D' U' R'
R' D2 U2 B' D2 U' R'
R' D2 U2 B' F U' R'
R' D2 U2 B' F' U' R'
R' D2 U2 B' F2 U' R'
B2 U2 L B U L U2
R' D2 F U2 B' U' R
R D2 U2 B' L2 U' R'
D' U2 B2 L B U' R'
D2 U2 B2 L B U' R'
U2 D2 B2 L B U' R'
D U2 B2 L B U' R'
L2 F L2 R' U R2 D
L2 F L2 R' U R2 D'
L2 F L2 R' U R2 D2
L2 F L2 R' D B2 U
L2 F L2 R' B U R2
L2 F L2 R' B' U R2
L2 F L2 R' B2 U R2
L2 F L2 U R D' F2
L2 F L2 D R' U R2
L2 F L2 D' R' U R2
L2 F L2 D2 R' U R2
D' F R' U2 B' U' R2
D2 F R' U2 B' U' R2
L2 F R' L2 U R2 D
L2 F R' L2 U R2 D'
L2 F R' L2 U R2 D2
L2 F R' L2 D B2 U
L2 F R' L2 B U R2
L2 F R' L2 B' U R2
L2 F R' L2 B2 U R2
L2 F R' U R2 D' B2
L2 F R' B L2 U R2
L2 F R' B' L2 U R2
L2 F R' B2 L2 U R2
D F R' U2 B' U' R2
R' F U R U B' U'
L2 F U R D' F2 B2
L2 F U R D' B2 F2
F U2 B' U' D' R F'
F U2 B' D' U' R F'
F U2 B2 L B U' R
R' F U2 D B' U' R
R' F U2 D' B' U' R
R' F U2 D2 B' U' R
R' F U2 B' U' R D
R' F U2 B' U' R D'
R' F U2 B' U' R D2
R' F U2 B' U' D R
R' F U2 B' U' D' R
R' F U2 B' U' D2 R
R' F U2 B' D U' R
R' F U2 B' D' U' R
R' F U2 B' D2 U' R
R' F D U2 B' U' R
R' F D' U2 B' U' R
L2 F D' R' U R2 B2
L2 F D' R' U B2 R2
R' F D2 U2 B' U' R
R' F B U R D L2
R' F B U D L2 R
R' F B U D R L2
R' F B U2 B2 U' R
R' F B D U L2 R
R' F B D U R L2
F2 D R' B U D L2
F2 D R' B U2 B2 U'
F2 D R' B D U L2
F2 D R' B D2 F2 U
F D R' U2 B' U' R2
R' F B2 U2 B U' R
U2 F B2 L B U' R'
R F B2 R2 F' U R'
L2 F' R' F2 L2 U R
R' F' U2 F2 B' U' R
R' F' U2 B' U L' U2
R' F' U2 B' F2 U' R
R' F' B D2 F2 U R
R' F' B' U' L' U2 L
F D' R' U2 B' U' R2
U2 F' B2 L B U' R'
L2 F2 L2 F' R' U R2
R' F2 U2 F' B' U' R
R' F2 U2 B' F' U' R
F D2 R' U2 B' U' R2
U2 F2 B2 L B U' R'
R F2 B2 R2 F' U R
B D2 F2 U R' F' R
R' B D F U L2 R
R' B D F U R L2
R' B F U R D L2
R' B F U D L2 R
R' B F U D R L2
R' B F U2 B2 U' R
R' B F D U L2 R
R' B F D U R L2
R' B F' D2 F2 U R
B2 F U2 L B U' R
U2 B' U' R2 D' R F'
U2 B' U' D' R F' R2
U2 B' D L' U' R' F
U2 B' D L' U' F R'
U2 B' D' U' R F' R2
U2 B' D2 F L' U' R'
U2 B' D2 F2 U' R' F'
R' B' F' U' L' U2 L
U2 B2 L F B U' R'
U2 B2 L F' B U' R'
U2 B2 L F2 B U' R'
U2 B2 L B U' R' D
U2 B2 L B U' R' D'
U2 B2 L B U' R' D2
U2 B2 L B U' D R'
U2 B2 L B U' D' R'
U2 B2 L B U' D2 R'
U2 B2 L B D U' R'
U2 B2 L B D' U' R'
U2 B2 L B D2 U' R'
U2 B2 L B F U' R'
U2 B2 L B F' U' R'
U2 B2 L B F2 U' R'
U2 B2 L' B L2 U' R'
U B2 L F B U' B
U B2 L B F U' B
U2 B2 L2 B L' U' R'
R B2 R2 F' U' L' U2
R' B2 U2 B U L U2
R' B2 F U2 B U' R
F B2 U2 L B U' R
U2 B2 F L B U' R'
U2 B2 F' L B U' R'
U2 B2 F2 L B U' R'
R B2 F R2 F' U R'
R B2 F2 R2 F' U R
