B2 L2 U' F B R
B2 L2 U' B F R
D R2 F' R B' L2
D R2 F' B' L2 R
D R2 F' B' R L2
D R2 B' L2 F' R
D R2 B' F' L2 R
D R2 B' F' R L2
R2 D F' R B' L2
R2 D F' B' L2 R
R2 D F' B' R L2
R2 D B' L2 F' R
R2 D B' F' L2 R
R2 D B' F' R L2
D' B R2 U2 R B2
D' B R2 U2 B2 R
D' B U2 R' B2 L
D' B' D2 L2 F2 R
R2 D B' L F' R L
U' D R2 B' F' L2 R
U' D R2 B' F' R L2
R2 D B' L2 F' R D
R2 D B' L2 F' R D'
R2 D B' L2 F' R D2
R2 D B' L2 F' D R
R2 D B' L2 F' D' R
R2 D B' L2 F' D2 R
U2 D R2 F' R B' L2
U2 D R2 F' B' L2 R
U2 D R2 F' B' R L2
U2 D R2 B' L2 F' R
U2 D R2 B' F' L2 R
U2 D R2 B' F' R L2
D U R2 F' R B' L2
D U R2 F' B' L2 R
D U R2 F' B' R L2
R2 D B' F' L2 R D
R2 D B' F' L2 R D'
R2 D B' F' L2 R D2
R2 D B' F' L2 D R
R2 D B' F' L2 D' R
R2 D B' F' L2 D2 R
R2 D B' F' R L2 D
R2 D B' F' R L2 D'
R2 D B' F' R L2 D2
D U R2 B' L2 F' R
D U R2 B' F' L2 R
D U R2 B' F' R L2
U D R2 F' R B' L2
R2 D B2 L2 F' B R
R2 D B2 L2 B F' R
U D R2 F' B' L2 R
U D R2 F' B' R L2
U D R2 B' L2 F' R
U D R2 B' F' L2 R
U D R2 B' F' R L2
R2 D B2 F' L2 B R
B2 U D' B' L U2 B2
B2 U D' B' U2 B2 R'
D' U B R2 U2 R B2
D' U B R2 U2 B2 R
D' U B U2 R' B2 L
D' U B' D2 L2 F2 R
B' U B' L2 U' F R
R2 D' R2 B U2 R' B2
R2 D' F' B R' B2 L
R' D' B R' F' B2 L
R' D' B R' B2 L F'
R' D' B R' B2 F' L
D U' R2 F' R B' L2
D U' R2 F' B' L2 R
D U' R2 F' B' R L2
D U' R2 B' L2 F' R
D U' R2 B' F' L2 R
D U' R2 B' F' R L2
R2 D' B F' R' B2 L
D' U' B R2 U2 R B2
U' D' B R2 U2 R B2
D' U' B R2 U2 B2 R
U' D' B R2 U2 B2 R
D' U' B U2 R' B2 L
U' D' B U2 R' B2 L
U2 D' B R2 U2 R B2
U2 D' B R2 U2 B2 R
U2 D' B U2 R' B2 L
B2 U' D' B R' D2 F2
B2 U' D' B D2 R' F2
B2 U' D' B D2 F2 R'
U' D' B' D2 L2 F2 R
D' U' B' D2 L2 F2 R
U D' B R2 U2 R B2
U D' B R2 U2 B2 R
U D' B U2 R' B2 L
B U' D' B R2 U' R
U2 D' B' D2 L2 F2 R
U D' B' D2 L2 F2 R
B U' B U' D' B R'
B U' B D' U' B R'
D U2 R2 F' R B' L2
D U2 R2 F' B' L2 R
D U2 R2 F' B' R L2
D U2 R2 B' L2 F' R
D U2 R2 B' F' L2 R
D U2 R2 B' F' R L2
D' U2 B R2 U2 R B2
D' U2 B R2 U2 B2 R
D' U2 B U2 R' B2 L
D' U2 B' D2 L2 F2 R
R2 D2 B' D' L2 F' R
R2 D2 B' D' F' L2 R
R2 D2 B' D' F' R L2
D' F B R2 U2 R B2
D' F B R2 U2 B2 R
D' F B U2 R' B2 L
F' D R2 F' R B' L2
F' D R2 F' B' L2 R
F' D R2 F' B' R L2
D F B L' U2 L' B2
D F B L' U2 B2 L'
F' D R2 B' L2 F' R
D' F B' D2 L2 F2 R
F' D R2 B' F' L2 R
F' D R2 B' F' R L2
F2 D R2 F' R B' L2
F2 D R2 F' B' L2 R
F2 D R2 F' B' R L2
F2 D R2 B' L2 F' R
F2 D R2 B' F' L2 R
F2 D R2 B' F' R L2
D F B U2 L2 B2 R'
F D R2 F' R B' L2
F D R2 F' B' L2 R
F D R2 F' B' R L2
F D R2 B' L2 F' R
F D R2 B' F' L2 R
F D R2 B' F' R L2
D F' R2 F' R' B' L2
B2 D' L2 U' F B R'
B2 D' L2 U' B R' F
B2 D' L2 U' B F R'
R2 F' D' B R' B2 L
D' F' B R2 U2 R B2
D' F' B R2 U2 B2 R
D' F' B U2 R' B2 L
D' F' B' D2 L2 F2 R
D F' B U2 L2 R B2
D F' B U2 L2 B2 R
D F' B U2 R L2 B2
D F' B U2 R B2 L2
D F' B U2 B2 L2 R
D F' B U2 B2 R L2
D F' B' L2 R D2 F2
D F' B' L2 D2 R F2
D F' B' R L2 D2 F2
B2 D' U B' L U2 B2
B2 D' U B' U2 B2 R'
D F' B' D2 R F2 L'
D F' B2 L2 B R F
B2 D' U' B R' D2 F2
B2 D' U' B D2 R' F2
B2 D' U' B D2 F2 R'
B D' U' B R2 U' R
F' D' B R2 U2 R B2
F' D' B R2 U2 B2 R
F' D' B U2 R' B2 L
F2 D' B R2 U2 R B2
F2 D' B R2 U2 B2 R
F2 D' B U2 R' B2 L
F' D' B' D2 L2 F2 R
F D' B R2 U2 R B2
F D' B R2 U2 B2 R
F2 D' B' D2 L2 F2 R
F D' B U2 R' B2 L
F D' B' D2 L2 F2 R
D' F2 B R2 U2 R B2
D' F2 B R2 U2 B2 R
D' F2 B U2 R' B2 L
D' F2 B' D2 L2 F2 R
D' B L R2 U2 R B2
D' B L R2 U2 B2 R
D' B L U2 R' B2 L
D F2 B2 L2 F B R
D F2 B2 L2 B F R
D' B L' R2 U2 R B2
D' B L' R2 U2 B2 R
D' B L' U2 R' B2 L
D' B L2 R2 U2 R B2
D' B L2 R2 U2 B2 R
D' B L2 U2 R' B2 L
D' B R U2 R2 B2 L
D' B R' B2 L D2 F2
D' B R' B2 D2 L F2
D' B R' B2 D2 F2 L
D' B R2 L U2 R B2
D' B R2 L U2 B2 R
D' B R2 L' U2 R B2
D' B R2 L' U2 B2 R
D' B R2 L2 U2 R B2
D' B R2 L2 U2 B2 R
D' B R2 U2 R B2 D
D' B R2 U2 R B2 D'
D' B R2 U2 R B2 D2
D' B R2 U2 R' B2 R2
D' B R2 U2 B' R B'
D' B R2 U2 B2 R D
D' B R2 U2 B2 R D'
D' B R2 U2 B2 R D2
D' B R2 U2 B2 D R
D' B R2 U2 B2 D' R
D' B R2 U2 B2 D2 R
D' B R2 D2 F2 L' U2
D' B R2 F2 L' U2 B2
D' B U2 L R' B2 L
D' B U2 L' R' B2 L
D' B U2 L2 R' B2 L
D' B U2 R' L B2 L
D' B U2 R' L' B2 L
D' B U2 R' L2 B2 L
D' B U2 R' B2 L D
D' B U2 R' B2 L D'
D' B U2 R' B2 L D2
D' B U2 R' B2 D L
D' B U2 R' B2 D' L
D' B U2 R' B2 D2 L
B2 F L2 U' F B R
B2 F L2 U' B F R
D' B D2 F2 U2 L2 R'
D' B D2 F2 U2 R' L2
D' B F R2 U2 R B2
D' B F R2 U2 B2 R
D' B F U2 R' B2 L
D' B F' R2 U2 R B2
D' B F' R2 U2 B2 R
D' B F' U2 R' B2 L
D B F L' U2 L' B2
D B F L' U2 B2 L'
D B F U2 L2 B2 R'
D' B F2 R2 U2 R B2
D' B F2 R2 U2 B2 R
D' B F2 U2 R' B2 L
D' B' L R2 B2 U2 B2
D B F' U2 L2 R B2
D B F' U2 L2 B2 R
D B F' U2 R L2 B2
D B F' U2 R B2 L2
D B F' U2 B2 L2 R
D B F' U2 B2 R L2
D' B' L B2 R2 U2 B2
D' B' L' D2 L2 R2 F2
D' B' L' D2 L2 F2 R2
D' B' L' D2 R2 L2 F2
D' B' L' D2 R2 F2 L2
D' B' L' D2 F2 L2 R2
D' B' L' D2 F2 R2 L2
D' B' L2 D2 F2 L2 R
D' B' L2 D2 F2 R L2
D B' L2 F D2 F2 R
D B' L2 F' R D2 F2
D B' L2 F' D2 R F2
D' B' R2 L B2 U2 B2
D' B' R2 B2 U2 R' B2
B2 F' L2 U' F B R
B2 F' L2 U' B F R
D' B' U2 L R2 B2 U2
D' B' U2 L B2 R2 U2
D' B' U2 R2 L B2 U2
D' B' U2 R2 B2 U2 R'
D' B' U2 B2 R2 U2 R
D' B' D2 L2 R F2 R
D' B' D2 L2 R' F2 R
D' B' D2 L2 R2 F2 R
D' B' D2 L2 F2 R D
D' B' D2 L2 F2 R D'
D' B' D2 L2 F2 R D2
D' B' D2 L2 F2 D R
D' B' D2 L2 F2 D' R
D' B' D2 L2 F2 D2 R
D' B' D2 R L2 F2 R
D' B' D2 R' L2 F2 R
D' B' D2 R2 L2 F2 R
D' B' F D2 L2 F2 R
D' B' F' D2 L2 F2 R
D' B' F2 D2 L2 F2 R
D B' F' L2 R D2 F2
D B' F' L2 D2 R F2
D B' F' R L2 D2 F2
D B' F' D2 R F2 L'
U' B2 L2 U' F B R
U' B2 L2 U' B F R
R2 B2 L' F U' F2 B
R2 B2 L' F U' B F2
U2 B2 L2 U' F B R
U2 B2 L2 U' B F R
D B2 L2 D2 F B R'
D B2 L2 D2 B R' F
D B2 L2 D2 B F R'
D B2 L2 F' B R F2
D B2 L2 B F' R F2
U B2 L2 U' F B R
U B2 L2 U' B F R
F' B2 L2 U' F B R
F' B2 L2 U' B F R
B2 F2 L2 U' F B R
B2 F2 L2 U' B F R
F2 B2 L2 U' F B R
F2 B2 L2 U' B F R
D' B2 R2 F' B' U2 R'
D' B2 R2 B' F' U2 R'
F B2 L2 U' F B R
F B2 L2 U' B F R
L2 B2 U F B' U2 R'
L2 B2 U B' F U2 R'
R2 B2 U' D F' B R
R2 B2 U' D B F' R
R2 B2 U' D' F' B R'
R2 B2 U' D' B F' R'
R2 B2 U' F' D' B R'
R2 B2 U' B D F' R
R2 B2 D U' F' B R
R2 B2 D U' B F' R
R2 B2 D' U' F' B R'
R2 B2 D' U' B F' R'
D B2 F' L2 B R F
D B2 F2 L2 F B R
D B2 F2 L2 B F R
