F' L2 U2 L F2 U'
F' L2 U2 F2 L U'
F' L2 D2 B2 R' U
U2 L2 F' B' R' U
U2 L2 B' F' R' U
F' U2 L' F2 R U'
F U2 L2 R F2 U
F U2 R L2 F2 U
F U2 R F2 L2 U
L2 F R F2 B' U
L2 F R B' F2 U
L2 F B' R F2 U
L2 F' B' U2 L' U'
F D2 R2 B2 L U'
L2 B' F R F2 U
L2 B' F' U2 L' U'
F' L2 U2 F2 D' L U'
F' L2 U2 F2 D2 L U'
R' L2 B' F R F' U
F' L2 D U2 L U' R2
U2 L2 D F' B' R' U
F' L2 D B2 R' U R'
U2 L2 D B' F' R' U
U L2 D F' R B' U
U L2 D F' B' R U
U L2 D B' F' R U
U2 L2 D' F' B' R' U
U2 L2 D' B' F' R' U
F' L2 D2 R B2 R' U
F' L2 D2 R' B2 R' U
F' L2 D2 R2 B2 R' U
L U L F' B' U F2
L U L B' F' U F2
U2 L2 D2 F' B' R' U
F' L2 D2 B2 R' U D
F' L2 D2 B2 R' U D'
F' L2 D2 B2 R' U D2
F' L2 D2 B2 R' D U
F' L2 D2 B2 R' D' U
F' L2 D2 B2 R' D2 U
F' L2 D2 B2 D R' U
F' L2 D2 B2 D' R' U
F' L2 D2 B2 D2 R' U
U2 L2 D2 B' F' R' U
B' L2 F R F2 B' U
B' L2 F R B' F2 U
B2 L2 F R F2 B' U
B2 L2 F R B' F2 U
B L2 F R F2 B' U
B L2 F R B' F2 U
B' L2 F B' R F2 U
B2 L2 F B' R F2 U
U2 L2 F B' R' F2 U
B L2 F B' R F2 U
U' L2 F' R' B' U F'
U2 L2 F' R B' R' U
U2 L2 F' R' B' R' U
U2 L2 F' R2 B' R' U
U2 L2 F' D B' R' U
U' L2 F' B' R' U F'
B' L2 F' B' U2 L' U'
U2 L2 F' D' B' R' U
U2 L2 F' D2 B' R' U
U2 L2 F' B' R' U D
U2 L2 F' B' R' U D'
U2 L2 F' B' R' U D2
U2 L2 F' B' R' D U
U2 L2 F' B' R' D' U
U2 L2 F' B' R' D2 U
B2 L2 F' B' U2 L' U'
U2 L2 F' B' D R' U
U2 L2 F' B' D' R' U
U2 L2 F' B' D2 R' U
B L2 F' B' U2 L' U'
F L2 F2 U2 L' F2 U'
U2 L2 F2 B' R' F U
B' L2 B' F R F2 U
U2 L2 B' D F' R' U
B' L2 B' F' U2 L' U'
U' L2 B' F' R' U F'
U2 L2 B' D' F' R' U
B2 L2 B' F R F2 U
U2 L2 B' D2 F' R' U
U2 L2 B' F R' F2 U
B2 L2 B' F' U2 L' U'
U2 L2 B' F' R' U D
U2 L2 B' F' R' U D'
U2 L2 B' F' R' U D2
U2 L2 B' F' R' D U
U2 L2 B' F' R' D' U
U2 L2 B' F' R' D2 U
U2 L2 B' F' D R' U
U2 L2 B' F' D' R' U
U2 L2 B' F' D2 R' U
U2 L2 B' F2 R' F U
B L2 B' F R F2 U
F' L2 B2 R' U D R2
F' L2 B2 R' U2 F2 U'
F' L2 B2 R' D U R2
F' L2 B2 R' D2 B2 U
B L2 B' F' U2 L' U'
U L2 B' D F' R U
F' L2 B2 D R' U R'
F' L2 B2 D2 R' B2 U
F' R L2 U2 L F2 U'
F' R L2 U2 F2 L U'
F' R L2 D2 B2 R' U
U2 R L2 B' R' F' U
L U F' L B' U F
F R L2 F2 U D R2
F R L2 F2 U2 F2 U'
F R L2 F2 D U R2
F R L2 F2 D2 B2 U
F' R U2 L' F2 R U'
F R F' L2 F' B' U
F R F' L2 B' F' U
F R F2 L2 U D R2
F R F2 L2 U2 F2 U'
F R F2 L2 D U R2
F R F2 L2 D2 B2 U
F' R' L2 U2 L F2 U'
F' R' L2 U2 F2 L U'
F' R' L2 D2 B2 R' U
F' R' U2 L' F2 R U'
F R' U' D' L2 F2 B2
F R' U' D' L2 B2 F2
F R' U' D' F2 L2 B2
F R' U' D' F2 B2 L2
F R' U' D' B2 L2 F2
F R' U' D' B2 F2 L2
F R' U2 L2 R2 F2 U
F R' U2 L2 F2 R2 U
F R' U2 R2 L2 F2 U
F R' U2 R2 F2 L2 U
F R' U2 F2 L2 R2 U
F R' U2 F2 R2 L2 U
F R' D' U' L2 F2 B2
F R' D' U' L2 B2 F2
F R' D' U' F2 L2 B2
F R' D' U' F2 B2 L2
F R' D' U' B2 L2 F2
F R' D' U' B2 F2 L2
F R' D2 L2 R2 B2 U'
L U2 L F' B' R' U
F R' D2 L2 B2 R2 U'
F R' D2 R2 L2 B2 U'
L U2 L B' F' R' U
F R' D2 R2 B2 L2 U'
F R' D2 B2 L2 R2 U'
F R' D2 B2 R2 L2 U'
F' R2 L2 U2 L F2 U'
F' R2 L2 U2 F2 L U'
F' R2 L2 D2 B2 R' U
L U2 F' L B' R' U
F' R2 U2 L' F2 R U'
F R2 U2 L2 R' F2 U
F R2 U2 L2 F2 R' U
F R2 U2 R' L2 F2 U
F R2 U2 R' F2 L2 U
F R2 U2 F2 L2 R' U
F R2 U2 F2 R' L2 U
D2 R2 F B U2 R U
F R2 D2 B2 L R2 U'
F R2 D2 B2 R2 L U'
D2 R2 F' L' F2 B U'
D2 R2 F' L' B F2 U'
D2 R2 F' B L' F2 U'
D2 R2 B F U2 R U
D2 R2 B F' L' F2 U'
F' U L' F2 R U' L
L2 D F R F2 B' U
L2 D F R B' F2 U
L2 D F B' R F2 U
L2 D F' B' U2 L' U'
L2 D B' F R F2 U
L2 D B' F' U2 L' U'
L2 D' F R F2 B' U
L2 D' F R B' F2 U
L2 D' F B' R F2 U
L2 D' F' B' U2 L' U'
F U' L2 R F2 U R'
F U' R L2 F2 U R'
F U' R F2 L2 U R'
L2 D' B' F R F2 U
L2 D' B' F' U2 L' U'
D2 U2 R2 F B L U'
D2 U2 R2 B F L U'
F' U2 L' R F2 R U'
U2 D2 R2 F B L U'
F' U2 L' R' F2 R U'
F' U2 L' R2 F2 R U'
U2 D2 R2 B F L U'
F U2 L R F2 L U
L2 D2 F R F2 B' U
F' U2 L' F2 R U' D
F' U2 L' F2 R U' D'
F' U2 L' F2 R U' D2
F' U2 L' F2 R D U'
F' U2 L' F2 R D' U'
F' U2 L' F2 R D2 U'
L2 D2 F R B' F2 U
F' U2 L' F2 D R U'
F' U2 L' F2 D' R U'
F' U2 L' F2 D2 R U'
L2 D2 F B' R F2 U
B' U2 L2 F' B' R' U
B' U2 L2 B' F' R' U
B2 U2 L2 F' B' R' U
B2 U2 L2 B' F' R' U
F' U2 R L' F2 R U'
F U2 L2 R U D' L2
L2 D2 F' B' U2 L' U'
F U2 L2 R D' U L2
F U2 L2 R F2 U D
F U2 L2 R F2 U D'
F U2 L2 R F2 U D2
F U2 L2 R F2 D U
F U2 L2 R F2 D' U
F U2 L2 R F2 D2 U
F U2 L2 R' F2 R2 U
F U2 L2 R2 F2 R' U
B U2 L2 F' B' R' U
F U2 L2 D' R U L2
B U2 L2 B' F' R' U
F' U2 R' L' F2 R U'
F U2 L2 F2 U2 L' U'
F U2 R L F2 L U
F U2 R L2 U D' L2
F U2 R L2 D' U L2
F U2 R L2 F2 U D
F U2 R L2 F2 U D'
F U2 R L2 F2 U D2
F U2 R L2 F2 D U
F U2 R L2 F2 D' U
F U2 R L2 F2 D2 U
F U2 R U D' L2 B2
F U2 R U D' B2 L2
F U2 R D' U L2 B2
F U2 R D' U B2 L2
F U2 R F' L2 F' U
F' U2 R2 L' F2 R U'
F U2 R F2 L2 U D
F U2 R F2 L2 U D'
F U2 R F2 L2 U D2
F U2 R F2 L2 D U
F U2 R F2 L2 D' U
F U2 R F2 L2 D2 U
F U2 R F2 U D' B2
F U2 R F2 D' U B2
F U2 R' L2 F2 R2 U
F U2 R' F2 L2 R2 U
F U2 R' F2 R2 L2 U
L2 D2 B' F R F2 U
L2 D2 B' F' U2 L' U'
F U2 R2 L2 F2 R' U
F U2 R2 F2 L2 R' U
F U2 R2 F2 R' L2 U
F U2 D' R U L2 B2
F U2 D' R U B2 L2
L F L R F2 B' U
L F L R B' F2 U
L F L B' R F2 U
R' F R F' L2 B' U
L2 F R D' B' U L2
F' U2 F2 U2 L2 R U
F' U2 F2 U2 R L2 U
L2 F R F2 D B' U
L2 F R F2 D' B' U
L2 F R F2 D2 B' U
L2 F R F2 B' U D
L2 F R F2 B' U D'
L2 F R F2 B' U D2
L2 F R F2 B' D U
L2 F R F2 B' D' U
L2 F R F2 B' D2 U
L2 F R B' U D' L2
L2 F R B' D' U L2
L2 F R B' F2 U D
L2 F R B' F2 U D'
L2 F R B' F2 U D2
L2 F R B' F2 D U
L2 F R B' F2 D' U
L2 F R B' F2 D2 U
L F R L F2 B' U
L F R L B' F2 U
F U2 F2 L2 U2 L U'
D2 F R2 U2 R' F2 U
D2 F R2 U2 F2 R' U
L2 F R' F2 R2 B' U
L2 F R' F2 B' R2 U
L F R F2 L B' U
D2 F R2 D2 B2 L U'
L2 F R' B' R2 F2 U
L2 F R' B' F2 R2 U
L2 F R2 F2 R' B' U
R' F U2 L2 R F' U
R' F U2 R L2 F' U
R' F U2 R F' L2 U
D' F U2 R F2 U B2
D2 F U2 R F2 L' U
L2 F D' R B' U L2
L2 F D' B' R U L2
L2 F B R F2 B2 U
L2 F B R B2 F2 U
R2 F B U2 L2 R U
R2 F B U2 R L2 U
L2 F B' R U D' L2
L2 F B' R D' U L2
L2 F B' R F2 U D
L2 F B' R F2 U D'
L2 F B' R F2 U D2
L2 F B' R F2 D U
L2 F B' R F2 D' U
L2 F B' R F2 D2 U
L2 F B' R' F2 R2 U
L2 F B' R2 F2 R' U
L2 F B' D' R U L2
L F' L U2 L2 F U'
L F' L D B' U F2
L F' L D2 R2 B' U
L F' L D2 B' R2 U
L F' L B' U D F2
L F' L B' U2 L2 U'
L F' L B' D U F2
L F' L B' D2 R2 U
R2 F' L' F2 B R U'
R2 F' L' B F2 R U'
R F' L' F2 R B U'
L2 F' R B' U2 L' U'
L2 F' R' B' U2 L' U'
L2 F' R2 B' U2 L' U'
D2 F' U2 L' R2 F2 U'
D2 F' U2 L' F2 R2 U'
D' F' U2 L' F2 U' B2
D2 F' U2 R2 L' F2 U'
L2 F' U2 L2 F L U'
L2 F' D B' U2 L' U'
D2 F' D2 L2 B2 R' U
L2 F' D' B' U2 L' U'
L2 F' D2 B' U2 L' U'
R2 F' B L' F2 R U'
L2 F' B' R U2 L' U'
L2 F' B' R' U2 L' U'
L2 F' B' R2 U2 L' U'
L2 F' B' U2 L' U' D
L2 F' B' U2 L' U' D'
L2 F' B' U2 L' U' D2
L2 F' B' U2 L' D U'
L2 F' B' U2 L' D' U'
L2 F' B' U2 L' D2 U'
L2 F' B' U2 D L' U'
L2 F' B' U2 D' L' U'
L2 F' B' U2 D2 L' U'
L2 F' B' D U2 L' U'
L2 F' B' D' U2 L' U'
L2 F' B' D2 U2 L' U'
F D' U2 R U L2 B2
F D' U2 R U B2 L2
F D2 L R2 B2 L U'
F D2 L' R2 B2 L U'
F D2 L2 R2 B2 L U'
F D2 R2 L B2 L U'
F D2 R2 L' B2 L U'
F D2 R2 L2 B2 L U'
F D2 R2 B2 L U' D
F D2 R2 B2 L U' D'
F D2 R2 B2 L U' D2
F D2 R2 B2 L D U'
F D2 R2 B2 L D' U'
F D2 R2 B2 L D2 U'
F D2 R2 B2 D L U'
F D2 R2 B2 D' L U'
F D2 R2 B2 D2 L U'
F' D2 B2 U2 L' R2 U'
F' D2 B2 U2 R2 L' U'
F D2 B2 R2 U2 R' U
R2 B U2 L2 B' R' U
F' B L2 U2 L F2 U'
F' B L2 U2 F2 L U'
F' B L2 D2 B2 R' U
L2 B F R F2 B2 U
L2 B F R B2 F2 U
R2 B F U2 L2 R U
R2 B F U2 R L2 U
R2 B F' L' F2 R U'
B' F U2 L2 R F2 U
B' F U2 R L2 F2 U
B' F U2 R F2 L2 U
F' B U2 L' F2 R U'
B2 F U2 L2 R F2 U
B2 F U2 R L2 F2 U
B2 F U2 R F2 L2 U
B F U2 L2 R F2 U
B F U2 R L2 F2 U
B F U2 R F2 L2 U
F B U2 L2 R F2 U
F B U2 R L2 F2 U
F B U2 R F2 L2 U
U2 B' L2 F' R' B' U
B' F D2 R2 B2 L U'
B2 F D2 R2 B2 L U'
L2 B' R' F R F' U
B F D2 R2 B2 L U'
L2 B' R2 U2 B L U'
F B D2 R2 B2 L U'
L2 B' U L F D' L2
B' F' L2 U2 L F2 U'
B' F' L2 U2 F2 L U'
B' F' L2 D2 B2 R' U
F' B' L2 U2 L F2 U'
F' B' L2 U2 F2 L U'
B2 F' L2 U2 L F2 U'
B2 F' L2 U2 F2 L U'
F' B' L2 D2 B2 R' U
B2 F' L2 D2 B2 R' U
B F' L2 U2 L F2 U'
B F' L2 U2 F2 L U'
B F' L2 D2 B2 R' U
L2 B' D F R F2 U
L2 B' D F' U2 L' U'
L2 B' D' F R F2 U
L2 B' D' F' U2 L' U'
L2 B' D2 F R F2 U
L2 B' D2 F' U2 L' U'
B' F' U2 L' F2 R U'
L2 B' F R U D' L2
L2 B' F R D' U L2
L2 B' F R F2 U D
L2 B' F R F2 U D'
L2 B' F R F2 U D2
L2 B' F R F2 D U
L2 B' F R F2 D' U
L2 B' F R F2 D2 U
L2 B' F R' F2 R2 U
L2 B' F R2 F2 R' U
F' B' U2 L' F2 R U'
L2 B' F D' R U L2
B2 F' U2 L' F2 R U'
L2 B' F' R U2 L' U'
L2 B' F' R' U2 L' U'
L2 B' F' R2 U2 L' U'
L2 B' F' U2 L' U' D
L2 B' F' U2 L' U' D'
L2 B' F' U2 L' U' D2
L2 B' F' U2 L' D U'
L2 B' F' U2 L' D' U'
L2 B' F' U2 L' D2 U'
L2 B' F' U2 D L' U'
L2 B' F' U2 D' L' U'
L2 B' F' U2 D2 L' U'
L2 B' F' D U2 L' U'
L2 B' F' D' U2 L' U'
L2 B' F' D2 U2 L' U'
B F' U2 L' F2 R U'
F B' U2 L2 R F2 U
F B' U2 R L2 F2 U
F B' U2 R F2 L2 U
F B' D2 R2 B2 L U'
R2 B2 L2 F R B' U
R2 B2 L2 F B' R U
R2 B2 L2 B' F R U
F' B2 L2 U2 L F2 U'
F' B2 L2 U2 F2 L U'
F' B2 L2 D2 B2 R' U
F' B2 U2 L' F2 R U'
F B2 U2 L2 R F2 U
F B2 U2 R L2 F2 U
F B2 U2 R F2 L2 U
F B2 D2 R2 B2 L U'
