R2 L D' F L'
L R2 D' F L'
R2 D' L F L'
F L R2 D' F L'
F2 L R2 D' F L'
F' L R2 D' F L'
R2 L D' F L' D
R2 L D' F L' D'
R2 L D' F L' D2
R2 L D' F D L'
R2 L D' F D' L'
R2 L D' F D2 L'
R' L F R' D' L2
R' L F D' L2 R'
R' L F D' R' L2
R2 L' D' L2 F L'
L R' F R' D' L2
L R' F D' L2 R'
L R' F D' R' L2
L' R2 D' L2 F L'
L R2 D' F L' D
L R2 D' F L' D'
L R2 D' F L' D2
L R2 D' F D L'
L R2 D' F D' L'
L R2 D' F D2 L'
R U B L U' R
R2 U' F R F' U
F' R2 L D' F L'
F2 R2 L D' F L'
F R2 L D' F L'
F' R2 D' L F L'
F2 R2 D' L F L'
B R2 D B' L F
F R2 D' L F L'
R2 D L D2 F L'
R2 D B' L F B
R2 D B' L B F
R2 D' L F L' D
R2 D' L F L' D'
R2 D' L F L' D2
R2 D' L F D L'
R2 D' L F D' L'
R2 D' L F D2 L'
R2 D' L2 F L' F
R2 D' F L F L2
R2 F L D' F L'
R2 F D' L F L'
R2 F' L D' F L'
R2 F' D' L F L'
R2 F2 L D' F L'
R2 F2 D' L F L'
U' B U L R2 F
U' B U L F R2
U' B U R2 L F
R2 B D B' L F
R2 F U' F R F' U
L F U' B U L R2
L F U' B U R2 L
R' F D' L R' F L
R' F D' L F L R'
R' F D' L F R' L
R2 F D L D2 F L'
R' F D' R' L F L
R2 F D B' L F B
R2 F D B' L B F
R2 F D' L F L' D
R2 F D' L F L' D'
R2 F D' L F L' D2
R2 F D' L F D L'
R2 F D' L F D' L'
R2 F D' L F D2 L'
R2 F D' L2 F L' F
R2 F D' F L F L2
U' F B R U L R
U' F B R U R L
R2 F B D B' L F
L F B R2 D B' L
R2 F' L D' F L' D
R2 F' L D' F L' D'
R2 F' L D' F L' D2
R2 F' L D' F D L'
R2 F' L D' F D' L'
R2 F' L D' F D2 L'
L2 F' L' R2 D' F L'
L' F' L2 R2 D' F L'
R2 F' L' D' L2 F L'
U F' L2 U' L R2 F
U F' L2 U' L F R2
U F' L2 U' R2 L F
L' F' R2 L2 D' F L'
L' F' R2 D' L2 F L'
L2 F' R2 L' D' F L'
L F' R2 F D' F L'
R2 F' U' F R F' U
U F' U' L R2 F L2
U F' U' L F L2 R2
U F' U' L F R2 L2
R F' U B L F U'
U F' U' R2 L F L2
R2 F' D L D2 F L'
R2 F' D B' L F B
R2 F' D B' L B F
R2 F' D' L F L' D
R2 F' D' L F L' D'
R2 F' D' L F L' D2
R2 F' D' L F D L'
R2 F' D' L F D' L'
R2 F' D' L F D2 L'
R2 F' D' L2 F L' F
R2 F' D' F L F L2
R2 F' B D B' L F
U F' B L U' L2 R2
U F' B L U' R2 L2
R' F2 L R' D F L'
R' F2 L D R' F L'
R' F2 L D F L' R'
R' F2 L D F R' L'
R2 F2 L D' F L' D
R2 F2 L D' F L' D'
R2 F2 L D' F L' D2
R2 F2 L D' F D L'
R2 F2 L D' F D' L'
R2 F2 L D' F D2 L'
L2 F2 L' R2 D' F L'
L' F2 L2 R2 D' F L'
R2 F2 L' D' L2 F L'
R' F2 R' L D F L'
R' F2 R' U' F R U
L' F2 R2 L2 D' F L'
L' F2 R2 D' L2 F L'
L2 F2 R2 L' D' F L'
R' F2 U' F R U R2
R2 F2 U' F R F' U
U F2 U' L R2 F L'
U F2 U' L F L' R2
U F2 U' L F R2 L'
U F2 U' R2 L F L'
R2 F2 D L D2 F L'
R2 F2 D B' L F B
R2 F2 D B' L B F
R2 F2 D' L F L' D
R2 F2 D' L F L' D'
R2 F2 D' L F L' D2
R2 F2 D' L F D L'
R2 F2 D' L F D' L'
R2 F2 D' L F D2 L'
R2 F2 D' L2 F L' F
R2 F2 D' F L F L2
R2 F2 B D B' L F
R2 B L D' F L' B'
U B L F' U' L' R2
U B L F' U' R2 L'
U' B R U L R F
U' B R U R L F
U' B R' U L R' F
U' B R' U L F R'
U' B R' U R' L F
U' B U L R' F R'
U' B U L R2 D F
U' B U L R2 D' F
U' B U L R2 D2 F
U' B U L R2 F D
U' B U L R2 F D'
U' B U L R2 F D2
U' B U L F R2 D
U' B U L F R2 D'
U' B U L F R2 D2
U' B U L F' R2 F2
U' B U R' L F R'
U' B U R2 L D F
U' B U R2 L D' F
U' B U R2 L D2 F
U' B U R2 L F D
U' B U R2 L F D'
U' B U R2 L F D2
U' B U R2 D L F
U' B U R2 D' L F
U' B U R2 D2 L F
U' B U R2 F L F
U' B U R2 F' L F
U' B U R2 F2 L F
U' B U F L R2 F
U' B U F L F R2
U' B U F R2 L F
U' B U F' L R2 F
U' B U F' L F R2
U' B U F' R2 L F
U' B U F2 L R2 F
U' B U F2 L F R2
U' B U F2 R2 L F
L B R2 D F B' L
L B R2 D B' F L
L B R2 D' F B' L'
L B R2 D' B' F L'
L B R2 F D B' L
L B R2 B' D' F L'
R2 B D F B' L F
R2 B D F' B' L F
R2 B D F2 B' L F
R2 B D B' L D F
R2 B D B' L D' F
R2 B D B' L D2 F
R2 B D B' L F D
R2 B D B' L F D'
R2 B D B' L F D2
R2 B D B' D L F
R2 B D B' D' L F
R2 B D B' D2 L F
R2 B D B' F L F
R2 B D B' F' L F
R2 B D B' F2 L F
R2 B D' L F L' B'
U' B F R U L R
U' B F R U R L
R2 B D' B' L F L'
F' B R2 D B' L F
F2 B R2 D B' L F
R2 B F D B' L F
B F R2 D B' L F
L B F R2 D B' L
F B R2 D B' L F
R2 B F' D B' L F
U B F' L U' L2 R2
U B F' L U' R2 L2
R2 B F2 D B' L F
R2 B' L D' F L' B
R2 B' L D' F B L'
R2 B' L D' B F L'
R2 B' L B D' F L'
U' B' U' R' U2 F' R'
U' B' D B2 U L F
L B' U' F B L R2
L B' U' F B R2 L
L B' U' B R2 F L
L B' U' B F L R2
L B' U' B F R2 L
R2 B' D B' L F B2
R2 B' D B' L B2 F
R2 B' D' L F L' B
R2 B' D' L F B L'
R2 B' D' L B F L'
B F' R2 D B' L F
R2 B' D' B L F L'
R2 B2 L B2 D' F L'
L' B2 U R2 F' L' B2
L' B2 U R2 F' B2 L'
L' B2 U R2 B2 F' L'
L B2 R2 B2 D' F L'
L B2 U F R2 B2 L
B F2 R2 D B' L F
