F2 R U R B U
F2 D B L B R U2
F2 D B' R B' U2 R2
B' D' L' F2 R' D B2
B' D' L2 U L R' F2
B' D' L2 U L F2 R'
B' D' L2 U R' L F2
B' D' L2 U R' F2 L
B' D' L2 U F2 L R'
B' D' L2 U F2 R' L
B D' L2 U F2 L R
B D' L2 U F2 R L
F2 D' R U2 F R F
F2 D' R B L U2 F2
F2 D' R B' U2 R' F2
F2 D' R B' U2 F2 R'
F2 D' U2 F R F L'
F D' F R U2 F R
F2 D' B L R U2 F2
F2 D' B L U2 F2 L'
U F2 R U B R U
F2 D' B R L U2 F2
F2 D' B' R U2 R2 F2
F2 D' B' R U2 F2 R2
F2 D' B' U2 F2 L' R'
F2 D' B' U2 F2 R' L'
B' D2 L2 U' L R' B2
B' D2 L2 U' R' L B2
B' D2 R' B2 D L' F2
D' B L2 U F2 L R
D' B L2 U F2 R L
R2 B U L' D2 R2 B2
R2 B U L' D2 B2 R2
R2 B U D2 B2 L' R'
R2 B U D2 B2 R' L'
F2 B L R U R U
B D2 B2 R' D L' F2
R2 B U' L F2 U2 L2
F2 B L U2 D' F2 L'
F2 B L D R B2 U2
B D2 B2 D L' R' F2
B D2 B2 D L' F2 R'
F2 B L D B2 R U2
B D2 B2 D R' L' F2
F2 B L D' R U2 F2
F2 B L D' U2 F2 L'
R2 B U' F2 L R U2
R2 B U' F2 R L U2
L' B D' F2 D' B2 R'
F2 B R L U R U
L' B D2 B2 R' D F2
L' B D2 B2 D R' F2
L' B D2 B2 D F2 R'
R2 B D2 U B2 L' R'
R2 B D2 U B2 R' L'
D' B' L' F2 R' D B2
D' B' L2 U L R' F2
D' B' L2 U L F2 R'
D' B' L2 U R' L F2
D' B' L2 U R' F2 L
D' B' L2 U F2 L R'
D' B' L2 U F2 R' L
F2 B D L R B2 U2
F2 B D L B2 R U2
F2 B D R L B2 U2
F2 B D R B2 U2 R'
F2 B D B2 R U2 R2
F2 B D' L R U2 F2
F2 B D' L U2 F2 L'
F2 B D' R L U2 F2
D2 B' R' D B' L' F2
D2 B' R' B' D L' F2
R2 B' U L' R' D2 B2
R2 B' U L' D2 R' B2
R2 B' U R' L' D2 B2
R2 B' U R' D2 L' B2
R2 B' U R' D2 B2 L'
R2 B' U D2 L' R' B2
R2 B' U D2 R' L' B2
R2 B' U D2 R' B2 L'
F2 B' R U R U R
R2 B' U' F2 R U2 R2
D2 B' D R' B' L' F2
L' B' D' R' F2 D' B2
L' B' D' F2 R' D' B2
L' B' D' F2 D' R' B2
R2 B' D' L2 U L R'
R2 B' D' L2 U R' L
L' B' D2 R' B2 D F2
R2 B' D2 U L' R' B2
R2 B' D2 U R' L' B2
R2 B' D2 U R' B2 L'
F2 B' U2 D' F2 L' R'
F2 B' U2 D' F2 R' L'
F2 B' D R B2 U2 R2
F2 B' D B2 L R U2
F2 B' D B2 R L U2
F2 B' D' R U2 R2 F2
F2 B' D' R U2 F2 R2
F2 B' D' U2 F2 L' R'
F2 B' D' U2 F2 R' L'
B F2 L R U R U
B F2 L U2 D' F2 L'
B F2 L D R B2 U2
B F2 L D B2 R U2
B F2 L D' R U2 F2
B F2 L D' U2 F2 L'
B' F2 R U R U R
B F2 R L U R U
B' F2 U2 D' F2 L' R'
B' F2 U2 D' F2 R' L'
B' F2 D R B2 U2 R2
B' F2 D B2 L R U2
B' F2 D B2 R L U2
B' F2 D' R U2 R2 F2
B' F2 D' R U2 F2 R2
B' F2 D' U2 F2 L' R'
B' F2 D' U2 F2 R' L'
B F2 D L R B2 U2
B F2 D L B2 R U2
B F2 D R L B2 U2
B F2 D R B2 U2 R'
B F2 D B2 R U2 R2
B F2 D' L R U2 F2
B F2 D' L U2 F2 L'
B F2 D' R L U2 F2
